feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_atd_T7W30,0.17138683472714733,0.1031702433347783,1.0,204,0.51
z_l1_T7W30,-0.14149608546999798,0.09297701998165421,1.0,267,0.6675
z_re_T7W30,-0.10999163145035276,0.09171763233972266,1.0,176,0.44
z_diameter_T7W30,-0.09325633065211514,0.15019466813425733,1.0,303,0.7575
z_density_T7W30,0.0731512517619348,0.04312182055494866,1.0,392,0.98
z_l2_T7W30,-0.06600517267271305,0.07724771600813854,1.0,106,0.265
z_lsc_T7W30,0.06366164406188433,0.06469791011869791,1.0,149,0.3725
z_asp_T7W30,-0.0543682508884596,0.18619848959786287,1.0,280,0.7
z_pe_T7W30,-0.03797533553305365,0.05177575215485398,1.0,94,0.235
z_l3_T7W30,0.03771263947572706,0.05125700380789754,1.0,29,0.0725
