subject,edges_T2W20,z_density_T2W20,z_diameter_T2W20,z_asp_T2W20
CDMS-10-4A-JURAN,0.5283025107261066,-0.5316532744582474,0.6954705920090215,0.6529251440062606
CDMS-10-5A-HEPIHO,0.06603901162467352,1.3327070169773376,-1.0267293609868293,-1.149709460625322
CDMS-10-5A-KSRAGU,0.5283025107261066,-0.027495471378695152,-0.20136522286344918,-0.12871902574666413
CDMS-10-5A-SROPU,0.5283025107261066,-0.45499023230190133,0.24414354053297416,0.4130317730219467
CDMS-10-5A-SZURO,-0.6575038565340876,1.1765909446392033,-0.9344661943003552,-1.2398953216996493
CDMS-10-5B-SRAJA,0.5283025107261066,-0.06946379020974032,0.9094364476596234,0.5799258382292594
CDMS-10-5C-DAAUSA,0.5283025107261066,0.5177107789910981,-0.2256155232270703,-0.24807866342972196
CDMS-10-5C-ICAPA,-1.4345663623523275,-0.7766670362269922,0.14416202031158432,0.07629844528522078
CDMS-10-5C-JFALGI,0.5283025107261066,2.1849975401000634,-1.9207510817754265,-1.9584276313849913
CDMS-10-5C-MAORTO,-2.5020915389388527,0.29295154045411304,-1.8921638006501944,-1.622797071470705
CDMS-10-5C-NBEMO,-1.1762941422104323,-0.27420928814012346,-0.1719466884973871,-0.24004708224647237
CDMS-10-6B-ASCACO,0.17782469423448208,-0.9428446842602398,0.43222933107242156,0.5699421554834244
CDMS-10-6B-JJMOBE,-1.3893687238274997,2.2000487037668996,-1.7191711705829689,-1.9588175597269524
CDMS-11-5A-EAARCA,0.5283025107261066,-0.239542426614844,-0.09727351135978113,-0.11594901389196877
CDMS-11-5A-MGTHAR,0.08063066248014623,0.45932637282959365,-0.8824674493771657,-0.7427628534392862
CDMS-11-6A-DFVEBE,0.5283025107261066,0.028992875829011444,1.5185719561379698,1.5442737516004739
CDMS-11-6A-NMREPR,0.5283025107261066,-0.44979980823356236,1.3851596559626136,1.2736767208446
CDMS-11-6B-ARAHE,0.5283025107261066,-0.5729515246489623,0.6347687766965495,0.6939869320399074
CDMS-11-6B-AVROTO,0.5283025107261066,0.8158654589463634,-0.8911544436975519,-0.8349042398123838
CDMS-11-6B-EAFESA,0.5283025107261066,-1.2051965585155513,0.9556162207672203,0.8337909033682427
CDMS-11-6B-EFRGR,0.5283025107261066,-0.9525702802233811,0.6157736205456289,0.6161002640938122
CDMS-11-6B-EROCO,0.5283025107261066,-0.529627382763848,0.9014006972540002,0.9199628555039037
CDMS-11-6B-JACUPE,0.18738318013879393,-0.7486841876569728,0.7290573707101764,0.6021453282470017
CDMS-11-6B-JDCHBA,0.1517055757750116,-0.23090428859288115,0.5436287977312566,0.4351204594660274
CDMS-11-6B-JFSAHE,0.5283025107261066,0.1257773635141861,-0.9614552624647947,-0.7602461492008942
CDMS-11-6B-JLPENA,-3.228767663093209,-0.1934857106966008,-0.042551374834838215,0.2610510459795598
CDMS-11-6B-JMARME,0.2986050894084202,-0.45777683704961936,0.38046999799268233,0.3806961572303792
CDMS-11-6B-JPSAMA,0.5283025107261066,0.7194409517995077,-0.7537445529696575,-0.6056236816407176
CDMS-11-6B-LESTA,-1.077681112701713,0.13065488831789515,-0.49031190439510725,-0.3938629873048034
CDMS-11-6B-MAGIMU,0.5283025107261066,-2.3849099050972726,2.3754448401447537,1.8874228533800916
CDMS-11-6B-MEBRTA,0.5283025107261066,-1.4114137087762686,1.6107676209887962,1.7946038960111996
CDMS-11-6B-MMAMO,0.5283025107261066,0.1500470737732253,0.0705486384271954,-0.02764651946044235
CDMS-11-6B-RSECA,0.5283025107261066,0.09446035782337459,-0.16778963055182763,-0.2647507594882434
CDMS-11-6B-SCAPA,0.5283025107261066,1.3096694901688604,-0.8091077241688484,-0.7398800838825531
CDMS-11-6B-VZAPE,0.5283025107261066,-1.2253302521661942,-0.23699430116990058,-0.11831700936564404
CDMS-11-6B-YLNIME,0.5283025107261066,1.3013428618914795,-1.194105199103704,-1.2492031126663057
CDMS-11-7C-ICARE,0.5283025107261066,0.5453772323937532,-0.7938875492469523,-0.6828407542492375
CDMS-11-7C-SALMA,0.5283025107261066,0.5225195267553657,-0.7092267504821398,-0.623341922427134
CDMS-11-7C-SPGAVE,-1.1213071534060295,0.387464423404798,-0.197263230670638,-0.25960169360098206
CDMS-12-5A-SRIGO,0.5283025107261066,-0.27206834067503444,0.5397018166858001,0.42122448292466264
CDMS-12-6A-FAROPA,0.5283025107261066,0.06806401284835499,-0.08998333668852578,-0.07707517583426102
CDMS-12-6A-JGIGA,0.5283025107261066,1.1191991515852766,-0.8926962186087727,-0.9998987167075196
CDMS-12-6A-JSOTGU,-2.3126919108347876,1.1841870447992988,-1.9274563204196855,-1.7399018268824114
CDMS-12-6A-SROAL,0.5283025107261066,0.14804892029300284,-0.016543593824897253,-0.24833820346339322
CDMS-12-6B-IJDAGA,0.5283025107261066,-1.3216316844470641,1.29781226287092,1.3404593676123289
CDMS-12-6B-SCLAG,0.00011763235139446802,-0.9613821792971509,1.3925458842923926,1.748747259247404
CDMS-12-7C-ARAHE,-2.1232922827307346,-1.408704176146592,-0.5255061097109395,-0.36596031195046735
CDMS-12-7C-CATRAR,0.5283025107261066,2.215948975546457,-1.3079043184384695,-1.4770425494839512
CDMS-12-7C-DLOLO,0.5283025107261066,0.24857565804271478,-0.43402330483905277,-0.5914348784986664
CDMS-12-7C-JSZAOR,-0.22489135917608336,-1.1899005029742677,2.1573418528143447,2.0770865672333576
CDMS-12-7C-MAROBE,0.5283025107261066,0.6531280929101292,-0.5243166126368523,-0.3950521534365738
CDMS-12-7C-VMAPA,0.5283025107261066,1.7159450515159589,-2.235448746502357,-2.1618709808453347
CDMS-12-7C-VQURA,0.5283025107261066,0.43249597763280073,-0.9782255864195062,-0.8046570626464943
CDMS-13-6B-ASUMO,-2.261037466806406,0.9383686062796546,0.15386251860151295,0.26453078152760984
CDMS-13-6B-JDTAHE,-0.4359137778036439,-0.43132837870268936,0.7119924785011952,0.6638935598997295
CDMS-13-7C-MVEAR,0.5283025107261066,-1.27559318643064,1.8154323443224423,1.7561703184497977
CDMS-13-7C-RAIZAC,0.5283025107261066,-0.030464468540028607,0.718219927516265,0.5705257005521777
CDMS-13-7C-SSOSLO,0.5283025107261066,-0.233353504218842,1.9257372106069677,1.7860415979870334
CDMS-14-10A-IMORTO,0.5283025107261066,1.1537636650472747,-1.3616444557380907,-1.4539575279456394
CDMS-14-10A-JCVANI,0.5283025107261066,0.17644170556049069,-0.1364275528543595,-0.03146713177795811
CDMS-14-6B-KDCAHE,-1.1154156903198433,0.9434653949610616,-0.7979582980696857,-0.7306846003071343
CDMS-15-10A-AMALOS,0.5283025107261066,-0.22222440511893388,0.5171751299308832,0.5149031255576427
CDMS-15-10A-JJMACH,0.5283025107261066,0.05670409141207687,-0.3605976699776551,-0.34681778928613916
CDMS-15-10A-MAALCA,0.5283025107261066,-0.9114201649220705,-0.15739982844655873,-0.2013027554124478
CDMS-15-10A-MAALRI,0.14727502359912292,-0.3597763516899002,0.5106970140402051,0.467013149691187
CDMS-15-10A-SGOMO,0.5283025107261066,-0.22233596810630196,-0.7518706761967079,-0.609533190142578
