feature,mean_coef,std_coef,frac_nonzero
edges_T2W10,1.005712887531542,1.1056412740167838,1.0
nodes_T2W10,0.5445409409883368,0.672834588175202,1.0
l2_T2W10,-0.5319310918763923,0.9875966150137108,1.0
l3_T2W10,-0.49871468778608585,0.4865993626360426,1.0
l1_T2W10,0.4851393954881758,0.502128064915736,1.0
pe_T2W10,0.42195627634629285,0.6855978440240756,1.0
asp_T2W10,-0.3596762660747636,1.3240105301660285,1.0
re_T2W10,0.3386813637685798,0.5817439890594366,1.0
atd_T2W10,0.19421520333006867,0.6045508751735245,1.0
lsc_T2W10,0.12998986327005274,0.24770665944325462,1.0
diameter_T2W10,0.1132128819092306,0.3865802979808736,1.0
density_T2W10,-0.0204762614842286,0.09596096632802431,1.0
lcc_T2W10,0.01928417369910815,0.4163653862690536,1.0
