subject,edges_T2W30,pe_T2W30,z_l2_T2W30
CDMS-10-4A-JURAN,29.0,1.3949579831932772,0.2269557134614643
CDMS-10-5A-HEPIHO,28.85185185185185,0.2592592592592592,-0.6612648589922074
CDMS-10-5A-KSRAGU,29.0,0.4606741573033708,-0.516312158692631
CDMS-10-5A-SROPU,29.0,1.0486111111111112,-0.0563096450599923
CDMS-10-5A-SZURO,28.384615384615383,0.2307692307692307,-0.750911319064686
CDMS-10-5B-SRAJA,29.0,0.5903614457831325,-0.2672290013531013
CDMS-10-5C-DAAUSA,29.0,0.832,-0.4032484901213188
CDMS-10-5C-ICAPA,28.17391304347826,0.391304347826087,-0.6397473653742057
CDMS-10-5C-JFALGI,29.0,0.0,-0.7007051168003711
CDMS-10-5C-NBEMO,28.272727272727277,1.0454545454545454,0.5084250572756734
CDMS-10-6B-ASCACO,28.88659793814433,2.7216494845360826,0.2049574267047672
CDMS-10-6B-JJMOBE,28.181818181818183,0.0,-0.9284125288566204
CDMS-11-5A-EAARCA,29.0,0.9876543209876544,0.3886137887546688
CDMS-11-5A-MGTHAR,28.853932584269664,0.3707865168539326,-0.6005315159478587
CDMS-11-6A-DFVEBE,29.0,0.8484848484848485,-0.1566719072892395
CDMS-11-6A-NMREPR,29.0,0.1348314606741573,-0.6899081133857798
CDMS-11-6B-ARAHE,29.0,0.7944444444444444,-0.5135534162950807
CDMS-11-6B-AVROTO,29.0,0.4552845528455284,-0.2765022437286943
CDMS-11-6B-EAFESA,29.0,0.303030303030303,-0.331770660870542
CDMS-11-6B-EFRGR,29.0,0.4329896907216495,-0.3874447442733441
CDMS-11-6B-EROCO,29.0,0.6825396825396826,-0.2626005622997918
CDMS-11-6B-JACUPE,28.83888888888889,1.5444444444444445,-0.1776361932384937
CDMS-11-6B-JDCHBA,28.820987654320987,0.2654320987654321,-0.6987285135672061
CDMS-11-6B-JFSAHE,29.0,0.5,-0.0811454114862662
CDMS-11-6B-JLPENA,27.488636363636363,0.3181818181818182,-0.5705895086157924
CDMS-11-6B-JMARME,28.893382352941178,0.8529411764705882,0.2675304400259879
CDMS-11-6B-JPSAMA,29.0,0.59375,0.0490835256734111
CDMS-11-6B-LESTA,28.306306306306308,0.3693693693693693,-0.2212899742857717
CDMS-11-6B-MEBRTA,29.0,0.8018018018018018,0.192842804725736
CDMS-11-6B-MMAMO,29.0,0.7461928934010152,-0.4578117790221427
CDMS-11-6B-RSECA,29.0,0.6065573770491803,0.275559386213801
CDMS-11-6B-SCAPA,29.0,0.0,-0.713534949520416
CDMS-11-6B-VZAPE,29.0,1.147540983606557,0.463681536293911
CDMS-11-6B-YLNIME,29.0,0.4375,-0.1023107650719029
CDMS-11-7C-ICARE,29.0,1.7391304347826086,0.3572908000643486
CDMS-11-7C-SALMA,29.0,0.3289473684210526,-0.4479939688202954
CDMS-11-7C-SPGAVE,28.23076923076923,0.4615384615384615,0.0414204415440912
CDMS-12-5A-SRIGO,29.0,1.3602150537634408,0.2374317562561943
CDMS-12-6A-FAROPA,29.0,0.3435582822085889,-0.5871008631511165
CDMS-12-6A-JGIGA,29.0,0.2695652173913043,-0.4302341023152805
CDMS-12-6A-SROAL,29.0,0.0816326530612244,-0.8959256133490113
CDMS-12-6B-IJDAGA,29.0,1.5902439024390245,0.328405313581668
CDMS-12-6B-SCLAG,28.81967213114754,3.065573770491804,0.3898082011076533
CDMS-12-7C-ARAHE,28.0,2.0,0.3574403341267112
CDMS-12-7C-CATRAR,29.0,0.0,-0.8664040066193524
CDMS-12-7C-DLOLO,29.0,1.0212765957446808,0.5363071089501364
CDMS-12-7C-JSZAOR,28.61842105263158,0.7368421052631579,-0.574907155743629
CDMS-12-7C-MAROBE,29.0,0.0,-0.7910129830130344
CDMS-12-7C-VMAPA,29.0,0.0,-0.7174239840168632
CDMS-12-7C-VQURA,29.0,0.6929824561403509,-0.2911285950028947
CDMS-13-6B-ASUMO,28.0,0.0,-1.0952188534949556
CDMS-13-6B-JDTAHE,28.685393258426966,1.2359550561797752,0.3253503786153571
CDMS-13-7C-MVEAR,29.0,1.9540229885057472,0.8046085352846654
CDMS-13-7C-RAIZAC,29.0,0.4939759036144578,-0.4529547675435363
CDMS-13-7C-SSOSLO,29.0,1.6203703703703705,0.8163968434387366
CDMS-14-10A-IMORTO,29.0,0.56,-0.0929276699545797
CDMS-14-10A-JCVANI,29.0,0.6746411483253588,-0.467599729297635
CDMS-14-6B-KDCAHE,28.195652173913043,0.3043478260869565,-0.8795127367822381
CDMS-15-10A-AMALOS,29.0,0.6993464052287581,-0.0293049256135209
CDMS-15-10A-JJMACH,29.0,0.5585106382978723,-0.1278973158443689
CDMS-15-10A-MAALCA,29.0,1.878787878787879,1.2527500748773344
CDMS-15-10A-MAALRI,28.85,0.5,-0.2614291299606101
CDMS-15-10A-SGOMO,29.0,1.56390977443609,0.455804427873752
CDMS-15-10A-SHEGA,28.835227272727277,1.4204545454545454,-0.3705481760446907
CDMS-15-11B-JEMOLO,28.6375,0.1625,-0.8645657508052288
CDMS-15-11B-VSAHO,29.0,0.7142857142857143,0.3936329556949666
CDMS-16-10A-SGALO,29.0,0.0,-0.696155806344336
CDMS-16-11B-NGABE,29.0,0.9710144927536232,0.6516317428262068
CDMS-17-10A-ASSAMO,29.0,0.0,-0.7529048566612005
CDMS-18-7C-VVECA,29.0,0.1772151898734177,-0.4753987570265391
CDMS-8-4A-DJAVDA,29.0,0.0,-1.3736572919123862
CDMS-8-4A-DOSTR,29.0,0.6428571428571429,-0.4350659589641615
CDMS-8-4A-LGOPA,28.33333333333333,0.803030303030303,-0.1851680886254293
CDMS-8-4C-JDBUTU,27.05263157894737,2.1052631578947367,-0.6893759552538441
CDMS-9-4A-ACDUTR,28.63157894736842,1.736842105263158,0.0516243579315553
CDMS-9-4A-CARGA,29.0,0.6601941747572816,-0.3354630960849563
CDMS-9-4A-CRAAG,29.0,2.92,-0.2207671987778942
CDMS-9-4A-EROHI,29.0,0.375,-0.557982945413702
CDMS-9-4A-ILOSE,28.807947019867548,0.1854304635761589,-0.47348321237174
CDMS-9-4A-TGAFR,28.3125,0.96875,-0.1726778967431714
CDMS-9-4C-SCAMO,28.824242424242424,0.3393939393939394,-0.2773025299922624
CDMS-9-5A-ABERO,29.0,2.0994475138121547,0.4174303184251047
CDMS-9-5A-VVAAR,29.0,0.125,-0.5992091592329486
CDMS-9-5C-JDMADE,28.86124401913876,0.971291866028708,-0.1970880052630407
CDMS-9-5C-LVIZAC,28.647398843930635,1.5260115606936415,-0.0024408521600842
CDMS-9-5C-MLOGO,29.0,0.8282828282828283,-0.4391557660766398
CDMS-9-5C-SCAAG,28.0,13.0,1.3446988567883538
CDMS-XX-10A-VGILO,28.87735849056604,0.1698113207547169,-0.5916832399467848
CDMS-XX-5C-MPCAQU,29.0,0.8588957055214724,0.1636766565662857
CDMS-XX-6B-SPUCA,28.982035928143716,1.2994011976047903,0.0507518992332049
CSO-10-4A-KCOMO,28.666666666666668,0.3218390804597701,-0.2518009646170597
CSO-10-4A-LRAVI,29.0,1.0,0.9043337256253762
CSO-10-4A-LSCAVA,29.0,0.5523255813953488,0.2625827403814174
CSO-10-5A-ACAVA,28.194444444444443,0.5833333333333334,-0.1409832486119241
CSO-10-5A-ARACA,29.0,1.391304347826087,-0.2010821857886026
CSO-10-5A-DABRZA,28.82634730538922,2.0119760479041915,0.3715232626151717
CSO-10-5A-GZAMA,28.97058823529412,0.0,-1.0332713285222364
CSO-10-5A-IPECA,29.0,0.2434782608695652,-0.3656784309830648
CSO-10-5A-JANORO,28.926666666666662,0.4133333333333333,-0.1811538258147844
CSO-10-5A-JBUVE,29.0,1.37,0.91322666931894
CSO-10-5A-JJSEMO,28.15625,1.5625,0.411559783197252
CSO-10-5A-JLCARI,28.93478260869565,2.315217391304348,1.3409516135133324
CSO-10-5A-MAARAN,29.0,0.3684210526315789,-0.5289010027104758
CSO-10-5A-RVMOIB,28.84153005464481,0.7049180327868853,0.1350476926580096
CSO-10-5A-SVHEES,28.828402366863905,1.1124260355029585,0.1809465792516651
CSO-11-5A-MDVOSPE,29.0,1.0,-0.1443142170153235
CSO-11-5A-MTAGA,28.01136363636364,0.0,-0.8532853361327923
CSO-11-6A-CAPAMU,28.850515463917525,1.041237113402062,0.1249331566790431
CSO-11-6A-DSCACH,29.0,0.2676056338028169,-0.3255996064820381
CSO-11-6A-EROMO,28.81168831168831,0.538961038961039,0.0239925370950546
CSO-11-6A-FSOVRE,28.34090909090909,1.5378787878787878,0.3244261346464088
CSO-11-6B-ANREVA,29.0,0.5,-0.225465978895094
CSO-11-6B-DISEMO,26.384615384615383,0.0,-0.6040191308611159
CSO-11-6B-LHFDLACH,29.0,1.3194444444444444,0.6581075660540942
CSO-11-6B-RJGIHE,29.0,0.0408163265306122,-0.9444241858134698
CSO-11-6B-SFLVA,29.0,1.0444444444444445,0.4885696742598918
CSO-11-6B-VCOMA,29.0,0.7267441860465116,-0.2631790305856769
CSO-12-6A-DGISE,27.5,1.0,0.3841521479003807
CSO-12-6A-FJOVRE,28.74100719424461,1.5107913669064748,0.0486206209682878
CSO-12-6B-GQULO,29.0,0.7583892617449665,0.2733296060718403
CSO-12-6B-LJHEFE,28.90954773869347,1.3165829145728642,0.0829564477707168
CSO-12-7A-DALRE,29.0,0.2647058823529412,-1.4378741155286028
CSO-12-7A-ESALA,29.0,0.0476190476190476,-0.6260322802821349
CSO-12-7A-IMERO,29.0,0.6370370370370371,-0.1033692610313605
CSO-12-7A-JHEZA,29.0,0.9267015706806284,-0.0372219971095339
CSO-12-7A-LSARAR,28.58,0.0,-0.6886596839951283
CSO-12-7A-SCAHO,28.851190476190474,0.4226190476190476,-0.3550367800747514
CSO-12-7B-DVAGRO,29.0,2.3448275862068964,0.0504286685520062
CSO-12-7B-SMUGU,28.876543209876544,0.382716049382716,-0.8106752399002811
CSO-12-7B-SSARA,29.0,1.150259067357513,0.1525253391925503
CSO-12-7B-VHOMA,29.0,1.1523809523809525,0.5767120638418594
CSO-12-8A-YTOME,29.0,2.019230769230769,1.1533058900769944
CSO-13-6A-ANASA,28.83333333333333,0.3735632183908046,-0.3859436398564467
CSO-13-6B-JETAVE,28.649350649350648,1.4090909090909092,0.0730033808220165
CSO-13-6B-LFMIES,28.08695652173913,0.8260869565217391,0.4924505677255442
CSO-13-6B-LJMAHU,28.24390243902439,1.6585365853658536,0.6778953243680087
CSO-13-7A-CAPAMU,28.77692307692308,1.0384615384615383,0.2041368872026149
CSO-13-7A-CDDITR,29.0,0.875,0.0936376210706628
CSO-13-7A-JJATFL,28.65625,0.28125,-0.4630991956003175
CSO-13-7A-KRAMA,28.0,1.0,0.3447119147104558
CSO-13-7A-RXCHLU,29.0,1.7047619047619047,0.206188019287638
CSO-13-7A-YAMEZA,29.0,0.5364431486880467,-0.1020783033391118
CSO-13-8A-KIGAGU,29.0,0.8351648351648352,0.0617142983979414
CSO-13-8A-MBUAN,27.363636363636363,0.0,-0.6227403404018982
CSO-13-8A-MGAAN,28.74590163934426,0.2295081967213114,-0.4101867957873378
CSO-13-8A-MGAHE,29.0,1.49468085106383,0.1137802815402684
CSO-13-8A-MJAGA,29.0,1.3766233766233766,0.127863820943468
CSO-13-8A-VHODU,28.78832116788321,0.6423357664233577,-0.4598556345288177
CSO-13-8B-FCJISA,28.83333333333333,0.3888888888888889,-0.0969233673753876
CSO-13-8B-JEMABE,28.682926829268293,2.1219512195121952,0.4693435567884094
CSO-13-9B-DMLLLU,27.56410256410257,0.6153846153846154,-0.3532791958242797
CSO-14-7B-EVEGO,29.0,0.4076433121019108,-0.0871924514846671
CSO-14-8A-AQUMA,28.718446601941743,0.3300970873786408,-0.5880835730799906
CSO-14-8A-SZARA,28.71014492753623,1.7246376811594204,1.0823417633756705
CSO-14-8B-JLLORA,29.0,0.0,-0.9734210306193406
CSO-14-9A-AEDCAGO,28.613333333333333,0.4333333333333333,-0.3167105403931891
CSO-14-9A-HASACA,28.86725663716814,0.0884955752212389,-0.7501289698119922
CSO-14-9A-JSMAAL,29.0,0.345679012345679,-0.1523240211413421
CSO-14-9A-MARJA,29.0,0.0,-0.7119569550069894
CSO-14-9A-SORZU,28.688172043010752,0.6559139784946236,-0.8114342659898142
CSO-14-9B-ERAGA,29.0,0.2247191011235955,-0.6570839291670778
CSO-14-9B-MFEGA,29.0,1.3983050847457628,0.1917851680151283
CSO-15-10A-LJRAGU,28.53216374269006,1.1578947368421053,0.6615804820619264
CSO-15-10A-MAARLO,28.439393939393938,0.8484848484848485,0.3646542839089978
CSO-15-10A-SFEGA,28.428571428571427,0.0,-0.591809899341032
CSO-15-10B-MEBUAR,29.0,0.5,-0.3834375504426939
CSO-15-10B-YVBUAN,29.0,0.4615384615384615,-0.2650190311595174
CSO-15-10C-ALBAHO,29.0,0.0,-0.4264014327112214
CSO-15-10C-SSCAMO,29.0,0.0,-0.9030068029674928
CSO-15-11C-JETALO,29.0,1.78125,-0.1403004303116541
CSO-15-7B-JCRAGA,29.0,0.0,-0.8475532321611329
CSO-15-8A-VBMABR,29.0,0.6292134831460674,-0.5932325984904199
CSO-15-8B-KEPOGO,29.0,0.6807228915662651,-0.1501671932805522
CSO-15-9B-ALRIHE,29.0,0.1866666666666666,-0.458625063715527
CSO-15-9B-AMSAGO,29.0,0.3658536585365853,-0.1557103221150433
CSO-15-9B-JCAPA,28.806451612903224,0.6774193548387096,-0.0609797908196515
CSO-15-9B-KSBEJA,28.484848484848484,0.0505050505050505,-0.8472249583960278
CSO-15-9B-RMCHLU,29.0,0.6145833333333334,-0.1767256581276604
CSO-16-10A-JEGAHE,28.0,0.0,-1.6533152397719717
CSO-16-10A-MSACO,29.0,0.0,-0.8602124809047569
CSO-16-10A-YKMUJO,29.0,1.55,0.92171909078441
CSO-16-10B-JESUGU,28.863636363636363,0.0,-0.8144090844074289
CSO-16-10B-LTVIFA,29.0,0.5416666666666666,0.0068469317223048
CSO-16-10B-VVILI,29.0,0.5042016806722689,0.033814207046633
CSO-16-10C-ACALGU,28.65680473372781,0.650887573964497,-0.3626954440880534
CSO-16-10C-MAVAVE,29.0,0.4396551724137931,-0.2236199181892618
CSO-16-11A-JAVABO,29.0,0.7692307692307693,0.2204892531108603
