subject,z_density_T6W50,z_diameter_T6W50,z_asp_T6W50
CDMS-10-4A-JURAN,-0.5818270696248181,-0.1295681614168583,0.0605542274862037
CDMS-10-5A-HEPIHO,-0.4180076165317765,-0.1327312841033001,-0.0539798097229489
CDMS-10-5A-KSRAGU,-0.9554242680218802,-0.0522107777793431,0.4481300802433113
CDMS-10-5A-SROPU,-2.3822053933319585,1.0775334657717643,1.6727092824527392
CDMS-10-5A-SZURO,-1.124875588124761,0.4830089412588438,0.8475034702733139
CDMS-10-5B-SRAJA,-0.1858845581819879,0.0622678074686571,0.0648777289150663
CDMS-10-5C-DAAUSA,-1.4023078519014045,0.4592259658946798,0.9868203721452168
CDMS-10-5C-ICAPA,-1.2392831273603375,0.2078680153966081,0.4946168716184135
CDMS-10-5C-JFALGI,-0.1302500830877642,0.1270782207794581,0.169516593604722
CDMS-10-5C-MAORTO,-1.9663765853585689,0.725671565194001,1.1421030154392784
CDMS-10-5C-NBEMO,-2.226134348021962,0.6555062426085159,1.57739610667875
CDMS-10-6B-ASCACO,-0.397766277174811,-0.1522122493955324,-0.1098906802024595
CDMS-10-6B-JJMOBE,-0.951731820041262,0.3290164569150527,0.5117164749317513
CDMS-11-4A-GACHSA,-2.131579463985999,0.9205572081526774,2.0597903254393284
CDMS-11-5A-EAARCA,-1.005576391419008,0.1882438554793344,0.5280773603262072
CDMS-11-5A-MGTHAR,-1.8771559367247408,1.3796117956124276,1.935005712511649
CDMS-11-6A-DFVEBE,-0.752666468198221,0.4447681881158764,0.5623542335198572
CDMS-11-6A-NMREPR,-1.1302621321830757,0.4636658199368041,0.7468676795909712
CDMS-11-6B-ARAHE,-1.7921326336539531,0.6029901246555043,1.174294672110533
CDMS-11-6B-AVROTO,-0.7416567603911738,0.9369441185723004,1.056637795077897
CDMS-11-6B-EAFESA,-2.1319205149405005,0.8407703036931314,1.5421347108764347
CDMS-11-6B-EFRGR,-1.9467010299254408,1.1063303635087332,1.9778738279599155
CDMS-11-6B-EROCO,-0.9520420217755944,0.4736336075272599,0.8330125949899868
CDMS-11-6B-JACUPE,-2.0118457841700623,0.7070818570807795,1.5243890703418628
CDMS-11-6B-JDCHBA,-2.477424843531874,1.0857555697507009,2.025233351928915
CDMS-11-6B-JFSAHE,-0.8568176924055141,-0.0514927926731518,0.0789050789219462
CDMS-11-6B-JLPENA,-1.2287742375554027,0.8732439525473007,1.1371477894243882
CDMS-11-6B-JMARME,-1.333111297330454,0.501029399357091,0.9851332879153952
CDMS-11-6B-JPSAMA,-1.4441913927507743,0.4953981193646395,0.8420017352475916
CDMS-11-6B-LESTA,-1.3801001627587732,0.6345616475839719,1.1162454670216364
CDMS-11-6B-MAGIMU,-1.2067734794720182,0.3749360250992619,0.6934263037124431
CDMS-11-6B-MEBRTA,-2.05026303698835,1.193162833523595,1.804270696470976
CDMS-11-6B-MMAMO,-0.8978692815430469,0.1551326392672398,0.3387437023218045
CDMS-11-6B-RSECA,-1.00865575823832,-0.0262052039860064,0.0882655697289149
CDMS-11-6B-SCAPA,-0.3430933368241473,0.1766163301432449,0.2830243104619999
CDMS-11-6B-VZAPE,-2.4934827256402228,0.7990464555819209,1.7290430922726203
CDMS-11-6B-YLNIME,-0.8148157427398097,0.3797808985743318,0.5128171806184936
CDMS-11-7C-ICARE,-1.7555924063470278,1.2204219807024133,2.011845933960988
CDMS-11-7C-IMOIB,-1.0501732599662208,0.2534832237339522,0.4303441215033748
CDMS-11-7C-SALMA,-1.7635141009897612,0.6638606867300569,1.373980662496775
CDMS-11-7C-SPGAVE,-2.692297795084341,1.8032411422739676,2.881837731877569
CDMS-12-5A-SRIGO,-1.3198377341202456,0.2544582122215522,0.3934653527076427
CDMS-12-6A-FAROPA,-0.7616890562168703,-0.1988955686081912,0.0372556997817046
CDMS-12-6A-JGIGA,-0.9556179486896668,0.1659746552492765,0.1361388482987073
CDMS-12-6A-JSOTGU,-1.1278250427426737,0.6964545182772114,1.152800742098305
CDMS-12-6A-SROAL,-0.7936598564431403,-0.0075086274729685,0.286100921294158
CDMS-12-6B-IJDAGA,-2.3507745988110087,1.4792720070767955,2.247108988372182
CDMS-12-6B-SCLAG,-1.9256843994891752,0.8014881915654817,1.3541443552569528
CDMS-12-7C-ARAHE,-0.6381390381383123,0.1772950183872349,0.2978578762683077
CDMS-12-7C-CATRAR,-1.290530965940806,0.349983817851357,0.776721809910588
CDMS-12-7C-DLOLO,-0.701676509544571,0.5293702584389431,0.8961274925295369
CDMS-12-7C-JSZAOR,-0.2923223117896606,-0.3546378677386479,-0.3518349839333792
CDMS-12-7C-MAROBE,-1.039193997929268,0.3324879483133966,0.5479029754229843
CDMS-12-7C-VMAPA,-0.8408335779297452,-0.0619816607080308,0.0455812825339002
CDMS-12-7C-VQURA,-1.4541763798242726,0.8180901006279927,1.2754299373143498
CDMS-13-6B-ASUMO,-0.8843712107808487,0.7334804556623756,0.8511783967949719
CDMS-13-6B-JDTAHE,-1.4713893497945632,0.7332344252908277,1.1671659901914506
CDMS-13-7C-MVEAR,-1.228660006496577,0.3440462681167658,0.6300941086174834
CDMS-13-7C-RAIZAC,-1.91615807793948,-0.0066111264076938,0.5116513042327356
CDMS-13-7C-SSOSLO,-1.3402391479141564,0.7462383951066315,1.1932408142310829
CDMS-14-10A-IMORTO,-1.8522856389218487,0.6567395272522022,1.358225988713225
CDMS-14-10A-JCVANI,-0.8482947990305183,0.5204435692393159,0.7958530468363477
CDMS-14-5A-LSDUCO,-1.8569940550438453,0.8481987283660524,1.744685047677756
CDMS-14-6B-KDCAHE,-2.09949171835829,0.9040252833496104,1.8185813096777597
CDMS-15-10A-AMALOS,-1.8950422670026013,0.3829543743561207,0.9393525877354728
CDMS-15-10A-JJMACH,-0.6996596044093312,0.1246878823990901,0.3814895678221189
CDMS-15-10A-MAALCA,-0.9944674025048488,0.1568299828922364,0.5796527353872906
CDMS-15-10A-MAALRI,-1.5379849118504698,0.71835320361226,1.1314222126764857
CDMS-15-10A-SGOMO,-0.8675583764372651,-0.0122666849933897,0.3532641353800642
CDMS-15-10A-SHEGA,-0.043652655347061,0.1253926196370458,0.2745318290161537
CDMS-15-11B-JEMOLO,-1.7960843867354876,0.6879967008382443,1.3753014106076629
CDMS-15-11B-VSAHO,-1.6040007882214404,0.4230835261882641,1.1241685422579792
CDMS-16-10A-SGALO,-1.2490429448392624,0.8045879777501812,1.399950053493738
CDMS-16-11B-NGABE,-0.8792582075917948,0.2498606301154437,0.4704291632308892
CDMS-17-10A-ASSAMO,-0.2811358720624196,-0.1030496073134571,0.0353186199233349
CDMS-18-7C-VVECA,-1.3461922981872525,0.4489541119108525,0.7652363942624084
CDMS-8-4A-DBEVA,-0.8728490399141541,0.2284287619297621,0.5381804730657296
CDMS-8-4A-DJAVDA,-2.2182086701707124,0.8419246856696416,1.227926334463921
CDMS-8-4A-DOSTR,-1.82792515156371,0.7708068665175681,1.29514947552724
CDMS-8-4A-LGOPA,-1.859390011260044,1.308868062976241,2.0901917245169006
CDMS-8-4C-JDBUTU,-2.5445559660581845,0.6360008344167034,1.402992438802456
CDMS-9-4A-ACDUTR,-0.8580571717809331,0.3112554629204541,0.4777345201380515
CDMS-9-4A-CARGA,-0.7932824967563206,0.300144235639701,0.5354013391480379
CDMS-9-4A-CRAAG,-1.549663548335301,0.6145917388370392,1.1301975109610716
CDMS-9-4A-EROHI,-1.751725194427424,0.9134126175271934,1.5235128491119156
CDMS-9-4A-ILOSE,-1.0156227069232913,0.429466224623982,0.8336864094753204
CDMS-9-4A-TGAFR,-1.5452380122579872,0.1897031866376758,0.595027831382185
CDMS-9-4C-SCAMO,-0.5676794319798093,0.1557330570654828,0.3601864165661876
CDMS-9-5A-ABERO,-2.297279037054552,0.9231933064496952,1.6060479211218428
CDMS-9-5A-PAGACO,-1.378850577199732,0.6330537059690833,1.3301212253338692
CDMS-9-5A-VVAAR,-1.498767387041088,0.3910600934772854,0.7736917397560481
CDMS-9-5C-JDMADE,-3.24037213867501,1.9220959158403168,3.261499855116188
CDMS-9-5C-LVIZAC,-1.4799800523306654,1.1305351625069462,1.4578208640638384
CDMS-9-5C-MLOGO,-1.2153609093966853,0.9618609265674288,1.3201217042986455
CDMS-9-5C-SCAAG,-1.1568223258020651,0.6864155940636842,0.880478436772284
CDMS-XX-10A-VGILO,-1.4818235915214422,0.3820434860019251,0.9633436011342928
CDMS-XX-5C-MJSARU,-0.8942322641377329,0.2023847797708388,0.5361109954101354
CDMS-XX-5C-MPCAQU,-0.7595290801855467,0.4324853487063564,0.7330302359521143
CDMS-XX-6A-MAGICA,-0.6922407101746051,0.4194489664630373,0.6740954460762879
CDMS-XX-6B-SPUCA,-1.082309923236232,0.3887181161034301,0.6738126137167136
CSO-10-4A-ICAPA,-1.1370463259384629,0.6791352972794749,0.978877077967068
CSO-10-4A-KCOMO,-1.6792568354587074,0.7824296476904192,1.220117027067929
CSO-10-4A-LRAVI,-0.6857384169402839,0.3065070346713485,0.3267250961248779
CSO-10-4A-LSCAVA,-2.511993244613165,1.2985839447594638,2.153899092939698
CSO-10-5A-ACAVA,-1.2874396842434517,0.5108369118604441,1.0292499808875435
CSO-10-5A-ARACA,-2.396138199116815,0.8400619914739363,1.6009862246117994
CSO-10-5A-DABRZA,-2.090237239664854,1.360889752770185,1.9999115519289197
CSO-10-5A-GZAMA,-1.0402019028657234,0.2095117409446834,0.6137542635144901
CSO-10-5A-IPECA,-0.754657057455597,0.1553797237684426,0.5594737947883827
CSO-10-5A-JANORO,-1.2601145043763782,0.1936170647614833,0.5751576187509037
CSO-10-5A-JBUVE,-1.9301852275998723,0.5899883097594333,1.227063591291211
CSO-10-5A-JJSEMO,-0.8747625185174337,0.1503334638282295,0.4202612379945036
CSO-10-5A-JLCARI,-1.06470085984375,0.56090239059558,1.0879334001504308
CSO-10-5A-MAARAN,-1.097151370471794,0.4029557022652986,0.7377022601337774
CSO-10-5A-MAOSMO,-1.1617562142140605,0.5072984550472577,0.7787248382226732
CSO-10-5A-RVMOIB,-0.7029635069838539,0.171725565258524,0.22349693231272
CSO-10-5A-SVHEES,-1.2029674710279432,0.3786534955438277,0.5934956415107253
CSO-11-5A-MDVOSPE,-1.319456800463507,0.2018454129188722,0.5100463359814594
CSO-11-5A-MTAGA,-1.816272595689635,0.7967710286111197,1.3368904935150208
CSO-11-6A-CAPAMU,-0.9773976491589328,0.5743860912257095,0.8663504584451762
CSO-11-6A-DSCACH,-0.3919742655236903,-0.2768354159284796,-0.1511977974650238
CSO-11-6A-EROMO,-2.2776901940061256,0.4496599946647094,1.2248095668439147
CSO-11-6A-FSOVRE,-1.5557229756979558,0.3849150747600011,0.9243521327603124
CSO-11-6B-ANREVA,-0.844128254487241,0.1631443815162931,0.3847805813228031
CSO-11-6B-DISEMO,-1.722517764873985,0.7811106927255882,1.082890740612066
CSO-11-6B-LHFDLACH,-3.234374391576171,1.6963465532987845,2.684821670498782
CSO-11-6B-RJGIHE,-0.5893791838788284,0.2559711148507059,0.4179007080840737
CSO-11-6B-SFLVA,-2.058911419520179,0.8237072897575987,1.6197630589624412
CSO-11-6B-VCOMA,-1.33099827239711,0.8518578490004834,1.2683287322189745
CSO-12-6A-DGISE,-2.696277359757137,1.4364037566259615,2.560085096753501
CSO-12-6A-FJOVRE,-1.2357730113580907,0.1780879951244948,0.3303963800493612
CSO-12-6B-GQULO,-1.4340607699701169,0.6814312567885886,0.911002986899094
CSO-12-6B-LJHEFE,-1.384305987398731,0.6429283462200113,1.137020700458291
CSO-12-6B-VPAMA,-1.815662719813259,-0.0106181111169782,0.1956564601261878
CSO-12-7A-DALRE,-2.2175893780266978,1.2189102475451763,2.1877436308589044
CSO-12-7A-ESALA,-0.1109457298158269,-0.2753902418414284,-0.3253069289151692
CSO-12-7A-IMERO,-1.5816068382103114,1.1052811963160951,1.6367177922444611
CSO-12-7A-JHEZA,-2.2818392827721503,1.2168970390953524,2.285788752601594
CSO-12-7A-LSARAR,-1.6305090769122874,0.3405867931470285,0.7821065937987086
CSO-12-7A-SCAHO,-1.3283679148859475,0.5799801029358268,0.9568637814522596
CSO-12-7B-DVAGRO,-1.9183957261217348,1.478122982381228,2.3357474634255864
CSO-12-7B-SMUGU,-0.4838708025594762,0.7071540010331553,0.7916613085930662
CSO-12-7B-SSARA,-1.5402758867261526,0.5023236201425678,0.8568896669585625
CSO-12-7B-VHOMA,-0.9927186491190458,0.3337678844105124,0.6165160913158576
CSO-12-8A-YTOME,-0.9089873006751982,-0.0077503855003566,0.3015433792318669
CSO-13-6A-ANASA,-1.1142509476207283,0.2825878280134621,0.531498021398372
CSO-13-6B-JETAVE,-1.1612225690471727,0.3978852812900242,0.7282389299809167
CSO-13-6B-LFMIES,-1.2466948754772598,1.0952155838517497,1.236652287646238
CSO-13-6B-LJMAHU,-1.7382088848312889,0.5270675775870081,0.8780631862161768
CSO-13-7A-CAPAMU,-2.1805296368157525,0.8709999611292906,1.7179396260151902
CSO-13-7A-CDDITR,-1.1131016520571018,0.4337702107030616,0.7083027407747301
CSO-13-7A-JJATFL,-0.6997443391341158,-0.1331888149567302,-0.1512215824915512
CSO-13-7A-KRAMA,-0.8817470136145665,0.2046972260750282,0.0792759359567841
CSO-13-7A-RXCHLU,-0.109633497060113,0.0338401449205361,0.0479487702151371
CSO-13-7A-YAMEZA,-1.2161925956998607,0.3921638867088765,0.6050665873750117
CSO-13-7A-YBOSO,-1.8130659069892576,0.267223612098953,0.4556090760273845
CSO-13-8A-KIGAGU,-2.057447235497831,0.3869380239996042,0.89231777919206
CSO-13-8A-MBUAN,-2.213106534268589,1.00340206331933,1.7508249000454112
CSO-13-8A-MGAAN,-1.6927360653610424,0.0790281408556185,0.4699296195249167
CSO-13-8A-MGAHE,-1.0325755278331936,0.4703543162626533,0.6918520384328076
CSO-13-8A-MJAGA,-2.568834028527556,1.2572025101808169,2.2468723614165924
CSO-13-8A-VHODU,-0.4040614893973241,-0.0174620211023858,-0.0366470081598873
CSO-13-8B-FCJISA,-0.8188556590592546,0.4321313387571578,0.8144638603572966
CSO-13-8B-JEMABE,-1.773370245563605,0.5696769431662073,0.9654041020735066
CSO-13-9B-DMLLLU,-1.2693372106883454,0.6900829561346917,1.1506816832924656
CSO-14-7A-MVEBE,0.5386982929844626,-0.345450288338139,-0.64966505207967
CSO-14-7B-EALHU,-1.5120579794311844,0.4343873123204141,1.0422210057600525
CSO-14-7B-EVEGO,-1.1909985176593545,0.2265068098443581,0.5962313687521662
CSO-14-8A-AQUMA,-0.5387044834952429,0.0936992065594036,0.0892191938856073
CSO-14-8A-MCIDOS,-1.6580556288794468,0.8347235357075443,1.629156246617538
CSO-14-8A-SZARA,-1.9450796987615608,0.8507561545782565,1.3895389776090248
CSO-14-8B-JLLORA,-0.3369062635538253,0.2474017004698581,0.4031478982658563
CSO-14-9A-AEDCAGO,-1.4289461212380392,0.425731772345792,0.7995380221950092
CSO-14-9A-HASACA,-1.3083607010014386,0.5525657726439122,0.8495180998799426
CSO-14-9A-JSMAAL,-1.695816337335872,0.2641950527372762,0.7622661713622186
CSO-14-9A-MARJA,-0.7380308641973191,0.4628762109934091,0.7078137391387466
CSO-14-9A-SORZU,-1.9718755034036404,0.6138412842659485,1.1912263976751247
CSO-14-9B-ERAGA,-1.4110286805752634,0.315417981334382,0.7432460534741802
CSO-14-9B-MFEGA,-1.906815221248202,0.8541952742878108,1.405019268063366
CSO-15-10A-LJRAGU,-0.7904065142987128,0.0670942911125386,0.4043130828671686
CSO-15-10A-MAARLO,-1.1499996309559255,0.4657642849258755,0.6566165761128926
CSO-15-10A-SFEGA,-1.7349596025269571,0.383887832916968,0.7919467103354915
CSO-15-10B-MEBUAR,-0.8074306190267508,0.9446713324901166,1.1280634315285507
CSO-15-10B-YVBUAN,-0.5583757558687559,0.1284660318496706,0.3195935076334575
CSO-15-10C-ALBAHO,-2.3637697099390604,0.8659918252048233,1.7683871975566705
CSO-15-10C-SSCAMO,-2.325172877490455,0.8415707625893816,1.5245726428157371
CSO-15-11C-JETALO,-2.6807250392051043,1.344004267799822,2.479239989990632
CSO-15-7B-JCRAGA,-1.0513665819378553,1.0551583467285237,1.5340078711129288
CSO-15-8A-VBMABR,-1.6996883944695569,0.7521620620890653,1.4074919624401636
CSO-15-8B-KEPOGO,-0.4591129221839285,0.3627557546371491,0.4569595087885009
CSO-15-9B-ALRIHE,-1.2342695642411667,0.3999705734024046,0.5604894608689044
CSO-15-9B-AMSAGO,-0.4109325231086098,0.1732442348904858,0.3548225444176225
CSO-15-9B-JCAPA,-0.6109697778719245,0.1531848216896516,0.4759529518040114
CSO-15-9B-KSBEJA,-1.861034332828616,0.5264357526046312,1.130105536417242
CSO-15-9B-RMCHLU,-1.3408935277686826,0.3867302214606187,0.7884177919816506
CSO-15-9B-SJAGRO,-0.3857610409021683,0.0960669538339308,0.1284491379694936
CSO-16-10A-JEGAHE,-1.4640557297488117,0.4811084261043741,1.031040627260641
CSO-16-10A-MSACO,-0.5190752646733026,0.6136300938095754,0.7955648922978635
CSO-16-10A-SARI,-2.445824512690694,0.6959822165579377,1.382838959554761
CSO-16-10A-SMOUT,-1.6629440033369638,0.7866395837107544,1.315224350080016
CSO-16-10A-YKMUJO,-0.5802179784468142,0.1427943823390422,0.1294209367507391
CSO-16-10B-JESUGU,-0.2017573035066991,-0.0354148842295722,-0.1368675444519718
CSO-16-10B-LTVIFA,-0.5939415920140864,-0.2774396014798995,-0.2092973802952603
CSO-16-10B-VVILI,-1.5665681185176086,0.5862758797158457,1.1155240762749974
CSO-16-10C-ACALGU,-0.8769711553966546,0.2251639292577224,0.4743436531506094
CSO-16-10C-MAVAVE,-1.062550781654432,0.6932105136054079,1.0508594983635942
CSO-16-11A-JAVABO,-0.8370123440605048,0.1981272982739217,0.5143215141332155
CSO-16-11A-JDMUVA,-0.9673371785075596,0.3337842676964504,0.5431398426957148
CSO-16-11A-VZAOR,-1.0782321876769652,0.4428204752341875,0.9393275137659416
CSO-16-11B-KRORE,-1.3982520856086555,0.6565107278430629,0.999711616877209
CSO-16-11B-LLOZA,-0.7350141805889532,-0.0392929353460549,0.1729095270133369
CSO-16-11B-YAROMO,-2.8714149212284985,1.0545123299311825,2.10068077783542
CSO-16-9A-JALEMO,-0.9220435183687896,0.1092966978302334,0.2042907494249967
CSO-16-9A-JPROSO,-1.8933434534209732,1.1372590506944642,1.6661405103655562
CSO-16-9A-JSMAGU,-0.7622203617959763,0.1727031846013746,0.4964709798492918
CSO-16-9B-SJPAJI,-0.7011403980850652,0.4739533444909357,0.5635186037689736
CSO-17-10A-YVGOCA,-0.9885126823410276,0.2244257206312465,0.5789605650483283
CSO-17-10B-EHECO,-1.4215907909055534,0.6818858370629235,0.8920267101577872
CSO-17-10B-YCQUVE,-1.6372032723785293,0.6868886359324635,1.1286960502660448
CSO-17-11A-DJAPA,-1.2040901455726596,0.1820929042797663,0.5342863842463295
CSO-17-11A-JDAMO,-1.4295808322222598,0.4471018917339158,1.0423320780903915
CSO-17-11A-NPAHE,-0.4250222655431681,-0.0497326385991435,0.0285750379681428
CSO-17-11A-RLPAIG,-1.6456981378668256,0.6602472654160971,1.4782304022354062
CSO-17-11A-SPUVA,-1.4012360430936932,0.6543628307788074,1.183823481021306
CSO-17-11B-CDBEBU,-0.660852252960181,0.9336199576787932,0.8265742446608522
CSO-17-11C-JDAAG,-0.0279767259481988,-0.0532200204412006,-0.021371624623945
CSO-17-11C-MAPAMA,-1.009046113388094,0.2871067434290697,0.5534181250483946
CSO-17-11C-MCAAG,-1.1917227281256124,0.4583393506103665,0.779615508772806
CSO-17-11C-SARJA,-0.8562678989960661,0.0169773111962096,0.317711013629805
CSO-18-11A-ADBAHO,-0.672729999602491,-0.0179850156050199,0.0663722591482478
CSO-18-11B-YLLRE,-0.914357649104365,0.6632059860400734,1.0088318307464614
CSO-18-9B-MAMOLO,-2.8898323543474382,1.45567249633396,2.4393638299768003
CSO-8-3A-AIPRBR,-1.012516073934817,0.3287235827693857,0.664248181886357
CSO-8-3A-DAPAVA,-1.8899847375700527,0.9146078475979398,1.6556772811273328
CSO-8-3A-KVPECO,-0.6524075962495887,-0.1048820060093154,0.0130091973673472
CSO-8-4A-ARAGR,-1.3609954429584163,0.7408492699267045,1.4395796348982095
CSO-8-4A-JRAAR,-0.8887540002060009,0.0670940423337861,0.0626691852612025
CSO-9-2A-EXMOCO,-1.3084196192361626,0.6303087735206098,1.213909987706406
CSO-9-4A-AGAPE,-0.6872814530855396,0.3877183921476578,0.6467853395642862
CSO-9-4A-DKVIMO,-1.1433094477008734,0.0160587627619952,0.412227425878715
CSO-9-4A-DSMOMU,-1.1262930345369084,0.3056955891010186,0.533883198429358
CSO-9-4A-DVGATO,-1.8093236037170992,0.8938652061768472,1.1583190129314744
CSO-9-4A-EGCAMO,-1.6088887811538983,0.4152748236715419,0.8151123813795361
CSO-9-4A-FAGIGA,-2.2649470099611664,0.2044681051739457,0.9608115178695796
CSO-9-4A-GSBRCO,-1.9187786327282448,0.6481495986023678,1.191396570362962
CSO-9-4A-KEMOCO,-1.1163259435654591,0.402794674129604,0.6691124211455441
