subject,z_l3_T2W10,z_diameter_T2W10,z_asp_T2W10,y_true,y_pred
CDMS-10-4A-JURAN,0.04719496885935409,-0.020618570645649786,-0.21493425687154236,7,8.008315
CDMS-10-5A-HEPIHO,0.2706220308939603,0.30922549406687394,0.3047640530268355,11,9.0812845
CDMS-10-5A-KSRAGU,0.0524350547790539,-0.028840532302857824,-0.18251054763794036,9,8.037757
CDMS-10-5A-SROPU,0.09411990483601831,-0.02861453215281201,0.027868374188740802,10,8.290047
CDMS-10-5A-SZURO,0.029117081960042923,0.1778189833958933,0.25093391259511244,10,8.654543
CDMS-10-5B-SRAJA,-0.728726596832275,-0.06067815780639796,-0.01634945869445803,4,7.3909187
CDMS-10-5C-DAAUSA,-0.5611097240448009,-0.6148275995254513,-0.19441878795623824,3,6.826317
CDMS-10-5C-ICAPA,0.18428237756093263,-0.044505583445232255,-0.27723228613535483,7,8.059217
CDMS-10-5C-JFALGI,0.10984559535980232,0.3586164951324448,0.36352669239044216,12,9.028662
CDMS-10-5C-MAORTO,-0.22262520631154428,-0.172390111287435,-0.03771920045216931,4,7.7639384
CDMS-10-5C-NBEMO,0.08194971084594727,-0.009008116722108106,-0.041220984458923304,9,8.228394
CDMS-10-6B-ASCACO,-0.11025328000386705,0.09245316664377896,0.027120820681253946,9,8.205994
CDMS-10-6B-JJMOBE,-0.16538872400919458,0.22642876466115186,0.25850424607594685,9,8.516217
CDMS-11-5A-EAARCA,0.041190066337586075,-0.013169660568238171,-0.021943144798279704,6,8.20275
CDMS-11-5A-MGTHAR,-0.048146526018778474,-0.11514655749003183,-0.004682847658793371,9,8.028697
CDMS-11-6A-DFVEBE,0.16793461481730207,0.03869238535563142,0.025200230280556568,11,8.4285
CDMS-11-6A-NMREPR,0.015066374142964911,0.022845028241474122,-0.1627621809641521,9,8.071822
CDMS-11-6B-ARAHE,0.008224231402078758,-0.028506263097126727,-0.18186405022939164,7,7.994527
CDMS-11-6B-AVROTO,0.009231986999509167,0.1106945228576667,0.05209961891174389,10,8.368699
CDMS-11-6B-EAFESA,0.13132593790690078,-0.047676180203758356,-0.3615190108617129,7,7.9188037
CDMS-11-6B-EFRGR,-0.22872886975606255,-0.1085475762685153,-0.24991182645161955,7,7.6094847
CDMS-11-6B-EROCO,0.10332412083943657,-0.036818858782451,-0.21737609068552674,8,8.045802
CDMS-11-6B-JACUPE,0.14800030867258673,-0.01684777100881263,-0.2006654103596981,8,8.12716
CDMS-11-6B-JDCHBA,-0.2074195369084683,-0.03903044064839789,-0.2325873359044387,6,7.7176356
CDMS-11-6B-JFSAHE,0.05139996528625476,-0.04371174335479881,0.035568032264709906,8,8.239929
CDMS-11-6B-JLPENA,0.021990130742390535,-0.02886043707529748,-0.20676802794138618,6,7.9830346
CDMS-11-6B-JMARME,0.03622616291046166,-0.11549374103546217,-0.42961163520813056,4,7.6877937
CDMS-11-6B-JPSAMA,0.13856303691864014,-0.012415981292724254,0.02138108730316013,10,8.344201
