subject,z_l3_T2W10,z_diameter_T2W10,z_asp_T2W10,y_true,y_pred
CDMS-11-6B-LESTA,0.06917555650075316,-0.04725048224131208,0.010995257695513835,8,8.229593
CDMS-11-6B-MAGIMU,0.26514472802479927,0.08021417935689296,-0.13997134367624903,9,8.4020605
CDMS-11-6B-MEBRTA,0.19144641558329134,0.18252806345621853,0.03149967829386302,9,8.602147
CDMS-11-6B-MMAMO,0.07993073940277078,-0.027094540596009103,0.027026844024658082,9,8.276536
CDMS-11-6B-RSECA,0.14332033475240044,-0.02104210058847994,0.01587719758351487,10,8.334828
CDMS-11-6B-SCAPA,-1.153576671282451,-0.12749952952066979,-0.16745640913645554,3,6.7481403
CDMS-11-6B-VZAPE,0.8963987223307277,0.23636435190836624,0.16640596071879066,12,9.495842
CDMS-11-6B-YLNIME,-0.004908358256021955,0.16625842412312836,0.06569639523823914,9,8.423719
CDMS-11-7C-ICARE,0.32109458287556925,-0.004748584429424385,0.0991446002324429,11,8.612164
CDMS-11-7C-SALMA,0.20353873888651317,0.040862585703531074,0.23842631022135602,10,8.679501
CDMS-11-7C-SPGAVE,-0.0017373164494826412,-0.03366543610890786,-0.028513005574545204,8,8.132757
CDMS-12-5A-SRIGO,0.08853623072306356,0.026053964296975096,0.042104665438334216,10,8.353368
CDMS-12-6A-FAROPA,0.12212754726409938,0.06908625602722088,0.06279303073882997,14,8.45068
CDMS-12-6A-JGIGA,0.17783669153849205,-0.055735882123311015,-0.06642294724782377,7,8.252351
CDMS-12-6A-JSOTGU,0.09217499256134183,-0.014481139183045194,-0.095139923095705,8,8.179227
CDMS-12-6A-SROAL,0.2506082248687731,0.2447116804122924,0.29256620883941675,10,8.984559
CDMS-12-6B-IJDAGA,0.026068050066630433,0.25090795675913474,0.16626746813456084,11,8.639916
CDMS-12-6B-SCLAG,-0.13870561122894257,0.01586772441863922,-0.002232236862183143,9,8.071603
CDMS-12-7C-ARAHE,0.8298975276947,0.29785471916198747,0.1480899143219001,13,9.472515
CDMS-12-7C-CATRAR,-0.10848280588785936,0.10515820821126423,0.20645290692647192,8,8.399801
CDMS-12-7C-DLOLO,0.07431862195332989,-0.038933464686076974,0.01532501538594419,9,8.247383
CDMS-12-7C-JSZAOR,-0.05322951952616278,-0.03700736681620262,-0.10971765200297265,5,7.9967184
CDMS-12-7C-MAROBE,-0.0521145073572787,-0.05962908903757776,0.03073227246602231,8,8.115662
CDMS-12-7C-VMAPA,-0.039750612576803235,-0.08082411607106542,-0.06760956128438345,7,8.008489
CDMS-12-7C-VQURA,0.08311102390289271,0.010908236503601287,0.017462854385374975,9,8.308155
CDMS-13-6B-ASUMO,-0.044854701360067445,-0.11708690961201966,-0.034573024113973616,7,8.000158
CDMS-13-6B-JDTAHE,0.08834381739298476,-0.002521532376607162,-0.043089598019918775,8,8.239406
CDMS-13-7C-MVEAR,0.317596209843952,0.14633919556935648,0.0660008796056113,11,8.726609
CDMS-13-7C-RAIZAC,-0.003206777572630326,0.0016121768951409265,-0.19376799583435256,8,8.00131
CDMS-13-7C-SSOSLO,-0.08455165545145811,0.01308597882588694,-0.03693040529886844,10,8.088277
CDMS-14-10A-IMORTO,0.14642100652058804,-0.022207876841225827,0.19101005872090523,10,8.511896
CDMS-14-10A-JCVANI,-0.05632878303527958,0.02787277221679692,0.024719963073730544,9,8.192937
CDMS-14-6B-KDCAHE,-0.05829833189646443,-0.05167338053385398,-0.037979919115703226,7,8.048721
CDMS-15-10A-AMALOS,0.07135690212249853,-0.03431076526641844,-0.002807826995851727,8,8.230911
CDMS-15-10A-JJMACH,0.05404745896657263,-0.10696955839792939,0.008957207997639806,8,8.152708
CDMS-15-10A-MAALCA,0.1089243332544978,-0.0002787621816002783,-0.0717274363835676,10,8.233591
CDMS-15-10A-MAALRI,0.08736020247141388,0.02682586828867589,0.029620834986369055,10,8.34048
CDMS-15-10A-SGOMO,0.23339248657226538,-0.07114824295043842,0.05469613075256152,9,8.413613
CDMS-15-10A-SHEGA,0.04531612237294495,-0.014772626558939031,-0.09225054423014475,9,8.134966
CDMS-15-11B-JEMOLO,0.04105554421742615,0.03774321873982729,-0.011435529390970395,9,8.264036
CDMS-15-11B-VSAHO,0.0759768025080376,0.010696942011512611,-0.18045286019643123,9,8.102894
CDMS-16-10A-SGALO,0.11490192731221488,-0.36931963125864603,0.2147109683354681,8,8.156966
CDMS-16-11B-NGABE,0.1491181389490753,0.0024522701899212795,0.0036071554819739476,10,8.3518505
CDMS-17-10A-ASSAMO,-0.1267891645431517,-0.13521620273590138,-0.0756521129608162,7,7.8590155
CDMS-18-7C-VVECA,0.10595447381337425,-0.0764436785380053,0.005641134579976587,8,8.231825
CDMS-8-4A-DBEVA,0.32333826224009127,0.09402208487192854,-0.12218625386556098,9,8.491847
CDMS-8-4A-DJAVDA,0.14356113115946587,-0.01368130524953387,-0.12428989251454739,8,8.202263
CDMS-8-4A-DOSTR,-0.1177018245061244,-0.00022154649098765633,-0.0331915982564291,9,8.045558
CDMS-8-4A-LGOPA,0.05850968519846559,-0.12403900464375923,0.009518567721049337,8,8.140662
CDMS-8-4C-JDBUTU,-0.00467576662699512,-0.010819784800210841,-0.21444918314615943,6,7.966728
CDMS-9-4A-ACDUTR,0.16846123218536402,-0.04092491149902289,-0.2199049520492573,7,8.104304
CDMS-9-4A-CARGA,-0.11209681510925434,0.0021059846878041244,0.10756417751312389,8,8.194246
CDMS-9-4A-CRAAG,-0.8432231760025021,-0.035588703155516876,-0.16542862415313941,4,7.1524324
CDMS-9-4A-EROHI,-0.30058500289917117,-0.07081258773803578,-0.04005616188049438,5,7.785219
CDMS-9-4A-ILOSE,0.0505137729644769,0.06356608867645264,-0.004177985191345712,7,8.306575
CDMS-9-4A-TGAFR,0.026885313987731273,-0.12735955238342248,0.007314057350157832,6,8.103513
CDMS-9-4C-SCAMO,-0.2652183357874559,-0.8662292353312188,-0.18795276800791338,2,6.8772726
CDMS-9-5A-ABERO,0.07102911949157686,0.04155655384063639,-0.14819542407989506,8,8.161063
CDMS-9-5A-VVAAR,0.18312084674835322,-0.037425374984743215,0.035698599815368354,11,8.378067
CDMS-9-5C-JDMADE,0.26090571244557553,0.24294645627339762,0.17811601479848171,12,8.878641
CDMS-9-5C-LVIZAC,0.01640861352284724,0.013528693517048496,-0.19518859068552677,8,8.031422
CDMS-9-5C-MLOGO,-0.5842052761713664,-0.06365401903788404,-0.3290661064783727,5,7.2197475
CDMS-9-5C-SCAAG,0.03566194375356169,0.04745807011922043,-0.0787946526209522,9,8.200998
CDMS-XX-10A-VGILO,-0.16540682633717937,-0.006971982320150907,0.004587890307109432,8,8.028882
CDMS-XX-5C-MPCAQU,-0.038135433197022436,-0.1351702499389648,-0.03090891838073756,5,7.9924583
CDMS-XX-6B-SPUCA,0.2530460039774578,-0.025486467679342262,0.039579393068948754,10,8.463812
CSO-10-4A-KCOMO,0.0651778888702405,-0.0481176614761359,-0.007841563224794207,7,8.205892
CSO-10-4A-LRAVI,-0.5595303757985451,-0.1951877339680983,-0.10205100377400711,3,7.339904
CSO-10-4A-LSCAVA,0.0006664450963341506,-0.12947462240855118,-0.0148833910624179,8,8.052981
CSO-10-5A-ACAVA,-0.28889553705851273,-0.14681953112284402,-0.02303234736124693,6,7.7379255
CSO-10-5A-ARACA,-0.053297440210978785,-0.0007563034693397058,0.005416801770527314,7,8.148036
CSO-10-5A-DABRZA,-0.03384928067525328,-0.08141703923543361,-0.2867713292439773,6,7.7946353
CSO-10-5A-GZAMA,-0.14354019641876278,-0.23303661823272837,0.06843221664428789,6,7.8885283
CSO-10-5A-IPECA,0.054808691342672695,-0.1198316971461001,0.011534722646077633,7,8.143185
CSO-10-5A-JANORO,-0.021918341318765883,-0.07247709910074936,-0.011360870997111874,7,8.090917
CSO-10-5A-JBUVE,-0.008090372085573172,0.030224723815918786,-0.18062408447265632,9,8.038183
CSO-10-5A-JJSEMO,0.12508357524871894,0.20441523551940843,0.08468811511993302,10,8.61086
CSO-10-5A-JLCARI,0.11888794898986829,0.10508232593536287,0.05273496150970422,9,8.473378
CSO-10-5A-MAARAN,0.1609312168757112,0.16994562307993485,0.27012725512186747,9,8.797677
CSO-10-5A-RVMOIB,0.042738726933797544,-0.0516013447443644,-0.01388588110606026,4,8.173924
CSO-10-5A-SVHEES,0.10628623644510635,-0.05692103703816648,-0.22407311757405526,6,8.021965
CSO-11-5A-MDVOSPE,-0.1682261832555138,-0.05094907601674428,-0.0012074597676600407,7,7.97629
CSO-11-5A-MTAGA,-0.04163544654846191,-0.12829917430877855,-0.059749760627746035,6,7.9669886
CSO-11-6A-CAPAMU,0.07890145937601734,0.01135683695475187,0.033906733194986494,9,8.320838
CSO-11-6A-DSCACH,-0.13478144486745303,-0.10190093835194841,0.06602090517679776,7,8.026011
CSO-11-6A-EROMO,-0.21924781958262093,-0.12741922537485922,-0.008571898142496592,7,7.841434
CSO-11-6A-FSOVRE,0.05728297074636002,-0.06881189982096547,-0.2262030331293752,7,7.958941
CSO-11-6B-ANREVA,0.2659830013910929,0.13317685286204028,0.05927660624186082,11,8.655109
CSO-11-6B-DISEMO,-0.22374950885772846,-0.03519348144531281,-0.01835262775421087,8,7.9193773
CSO-11-6B-LHFDLACH,0.0772916793823232,0.01950834751129242,-0.05816432476043805,6,8.235309
CSO-11-6B-RJGIHE,0.03017644723256327,-0.024886576334636118,-0.04567466894785504,8,8.156288
CSO-11-6B-SFLVA,0.07902930418650318,-0.016079243024191545,-0.19154877980550125,8,8.068074
CSO-11-6B-VCOMA,0.06609874884287385,-0.015045774777730031,0.015270754496256408,9,8.262997
CSO-12-6A-DGISE,-0.09105086644490534,-0.10412923653920475,-0.34054599603017327,5,7.660947
CSO-12-6A-FJOVRE,-0.15226431210835886,0.025616361300150103,-0.17634013017018593,7,7.893685
CSO-12-6B-GQULO,0.07910287062326897,-0.039987161954244094,-0.08831913312276136,7,8.1474695
CSO-12-6B-LJHEFE,-0.012992250124613913,-0.03746153036753369,-0.22716131846110063,6,7.919058
CSO-12-6B-VPAMA,0.21844266573588023,0.12060168425242157,0.008993817965188278,9,8.544711
CSO-12-7A-DALRE,0.26035757541656473,0.23437286376953081,0.24640179157257036,11,8.937805
CSO-12-7A-ESALA,0.0426698398590086,-0.29299004554748587,0.013469915390014187,7,7.9598227
CSO-12-7A-IMERO,0.07641799290974867,-0.10144693533579532,-0.017890721956889052,10,8.153753
CSO-12-7A-JHEZA,0.061545564333597966,0.004748469988503132,0.03204644838968976,10,8.295013
CSO-12-7A-LSARAR,0.17721943855285613,-0.033042898178100494,-0.24097689628601165,8,8.099873
CSO-12-7A-SCAHO,0.140237250328064,-0.010526571273802965,0.006408658027647007,8,8.332792
CSO-12-7B-DVAGRO,0.09888819853464703,0.20186275641123338,0.08055709520975807,12,8.577981
CSO-12-7B-SMUGU,-0.17015926361083947,-0.14310546398163,-0.012380747795104896,7,7.8710275
CSO-12-7B-SSARA,0.08361593723296856,0.016192817687988643,0.010353474617005531,8,8.306835
CSO-12-7B-VHOMA,-0.040222013791402667,-0.04568931897481309,0.020017654101053495,9,8.130779
CSO-12-8A-YTOME,0.12510870297749727,0.04413966496785596,0.0011021550496407573,10,8.367023
CSO-13-6A-ANASA,0.18171894868214797,-0.1505690399805717,0.26143209775289034,10,8.489255
CSO-13-6B-JETAVE,-0.006005298296610576,-0.0665438286463429,-0.038938767115275205,5,8.085185
CSO-13-6B-LFMIES,0.3821210781733182,0.8411109129587819,0.5166251770655305,14,9.93653
CSO-13-6B-LJMAHU,0.25057987213134625,0.020529036521912625,0.033171820640563204,10,8.500954
CSO-13-7A-CAPAMU,-0.12576352755228648,-0.16539482275645073,-0.09687983671824146,3,7.8086348
CSO-13-7A-CDDITR,0.25146827538808103,0.5226664479573563,0.436363581021627,13,9.407171
CSO-13-7A-JJATFL,-0.5240887467066441,-0.047747198740642816,-0.014078694979349993,6,7.6107583
CSO-13-7A-KRAMA,0.07441922187805142,-0.026228580474854407,-0.18831451416015615,9,8.056549
CSO-13-7A-RXCHLU,0.2309017896652229,-0.27007771968841815,0.09813538551330642,8,8.255632
CSO-13-7A-YAMEZA,-0.06149477481842097,-0.11942337989807181,-0.045260519981384334,7,7.9704943
CSO-13-8A-KIGAGU,-0.06577376842498814,-0.012836380004882741,-0.24349290370941248,7,7.87457
CSO-13-8A-MBUAN,-0.22561772187550946,-0.04406468709309777,-0.019659546216330426,7,7.907331
CSO-13-8A-MGAAN,-0.0011503140131645107,0.07317478974660248,0.09111150105794272,10,8.359809
CSO-13-8A-MGAHE,-0.054224858283996036,0.10678218364715542,0.2745639038085924,9,8.523794
CSO-13-8A-MJAGA,-0.026067190170288995,-0.06151862621307319,-0.04901041507721024,6,8.060077
CSO-13-8A-VHODU,0.09397250175475916,-0.012145504951476774,0.011704106330871752,8,8.290204
CSO-13-8B-FCJISA,-0.16754755338033067,-0.9632852872212732,-0.12054906209309957,3,6.945291
CSO-13-8B-JEMABE,-0.21451356887817347,-0.14225307941436846,-0.011113247871399667,5,7.828793
CSO-13-9B-DMLLLU,-0.3781887928644828,0.04481007417043048,-0.16116295496622718,7,7.7021313
CSO-14-7A-MVEBE,0.10425691445668375,0.015884288152060833,0.07782486756642518,10,8.394639
CSO-14-7B-EALHU,-0.4285474522908539,-0.10478716691335188,-0.23361220200856392,5,7.429726
CSO-14-7B-EVEGO,-0.049638619422913394,-0.07978812694549535,-0.043971776962280884,8,8.023274
CSO-14-8A-AQUMA,-0.03464914639790706,0.010130092302956584,0.12717682043711243,8,8.299331
CSO-14-8A-MCIDOS,-0.20389252503712965,-0.03216359456380202,-0.2632858737309786,6,7.697331
CSO-14-8A-SZARA,0.1646304416656476,-0.01344689846038824,0.024697337150574455,11,8.372554
CSO-14-8B-JLLORA,0.09530075709025086,-0.021772893269857527,0.019233624140420957,11,8.289434
CSO-14-9A-AEDCAGO,0.09316582202911294,-0.8629341173171992,-0.2109403324127206,4,7.2159643
CSO-14-9A-HASACA,0.08722474892934051,0.4019941838582351,0.18079971154530905,11,8.866692
CSO-14-9A-JSMAAL,0.05837116718292251,0.0268695020675655,0.18604102134704503,9,8.467955
CSO-14-9A-MARJA,0.07519458452860484,-0.03320306619008484,0.017689868609110704,8,8.256354
CSO-14-9A-SORZU,0.1078845485051468,-0.002813269297282567,0.016142128308614126,10,8.317886
CSO-14-9B-ERAGA,0.09254102865854834,-0.04843708833058563,-0.24699293454488278,6,7.993784
CSO-14-9B-MFEGA,0.1795644156138095,-0.013872311909994078,-0.2046854909261066,9,8.15768
CSO-15-10A-LJRAGU,-0.027299210230510816,0.048028944333395586,0.017712372144062336,7,8.235115
CSO-15-10A-MAARLO,-0.018720614115397133,0.10839485009511278,0.11351415475209474,10,8.399861
CSO-15-10A-SFEGA,0.20805168628692472,0.08023587226867629,0.045549445152283596,9,8.53051
CSO-15-10B-MEBUAR,-0.037679305076599626,0.008013501167297633,0.004987068176268629,8,8.171994
CSO-15-10B-YVBUAN,0.0754638274510695,-0.04003569761912029,0.018331893285115086,9,8.250433
CSO-15-10C-ALBAHO,0.08097541173299305,-0.10629114786783944,0.00693792661030912,7,8.178295
CSO-15-10C-SSCAMO,-0.12083991527557429,0.014918575286864438,0.03670887470245384,9,8.1274605
CSO-15-11C-JETALO,-0.045814428329468804,0.0050242328643808065,0.045329179763792915,8,8.201212
CSO-15-7B-JCRAGA,0.22516518433888844,0.45277586301167866,0.36439205010731757,12,9.239006
CSO-15-8A-VBMABR,-0.0318551731109622,0.17791268825531015,0.17383390903472803,11,8.516564
CSO-15-8B-KEPOGO,-0.13826439698537352,-0.10811071236928271,-0.1791200669606525,5,7.771178
CSO-15-9B-ALRIHE,0.06190428574879933,-0.024382115999858442,-0.03380334536234535,7,8.200392
CSO-15-9B-AMSAGO,-0.05709788958231532,0.5300638230641673,0.24396967252095447,11,8.913609
CSO-15-9B-JCAPA,0.12657703240712515,-0.103332878748577,0.015390594800313018,9,8.235308
CSO-15-9B-KSBEJA,0.1696398003896083,-0.013194762865703119,0.025954206784565365,11,8.379072
CSO-15-9B-RMCHLU,-0.06037587165832589,-0.07475955486297567,-0.04238869190216149,7,8.019149
CSO-16-10A-JEGAHE,-0.5756004619598394,-0.34636752605438254,0.01503083705902064,5,7.289736
CSO-16-10A-MSACO,0.052252451578774256,0.12354668776194325,-0.008598602612813366,9,8.3638735
CSO-16-10A-SMOUT,0.03415838559468387,0.06288070519765386,0.12707005341847655,8,8.420782
CSO-16-10A-YKMUJO,0.0913885831832889,-0.04333542346954261,0.07810409545898206,7,8.32283
CSO-16-10B-JESUGU,0.06674540360768688,-0.05017997900645009,-0.10978187243143811,6,8.1034565
CSO-16-10B-LTVIFA,-0.3917172002792359,-0.044647121429443826,-0.029262423515320435,7,7.731046
CSO-16-10B-VVILI,0.4971807702382384,-0.0075396553675333156,0.048019932111105335,11,8.734334
CSO-16-10C-ACALGU,0.16273586591084876,0.636577390034992,0.21950032552083287,12,9.215487
CSO-16-10C-MAVAVE,0.05176176548004047,-0.11883326053619361,0.2112636852264401,9,8.340865
CSO-16-11A-JAVABO,-0.013329876263937251,-0.07020250638325957,0.004936715761819713,7,8.118077
CSO-16-11A-JDMUVA,1.1175095399220791,0.25352901299794417,0.20646033128102537,15,9.774172
CSO-16-11A-VZAOR,-0.12334580262502085,-0.05186417420705218,0.061275908152262304,9,8.082739
CSO-16-11B-KRORE,0.1245211156209291,-0.010407478014627103,0.23491253693898495,10,8.545699
CSO-16-11B-LLOZA,0.08398910522460903,-0.11336582660675039,0.010801501274107991,9,8.178098
CSO-16-11B-YAROMO,-0.005795067151389922,-0.02617063840230275,0.06825822989146009,11,8.232965
CSO-16-9A-JALEMO,0.206082571347553,0.09055812676747652,0.04968467076619493,13,8.542998
CSO-16-9A-JPROSO,0.004493497212727071,-0.0354940144220981,-0.007292873064677963,8,8.15838
CSO-16-9A-JSMAGU,0.1469520076115905,0.008777445157368446,0.2914279015858983,12,8.64383
CSO-16-9B-SJPAJI,0.1988601048787428,-0.02781877676645994,0.18432296593984,10,8.552037
CSO-17-10A-YVGOCA,0.16528207143147652,0.07641909440358524,0.06550829728444393,12,8.503882
CSO-17-10B-EHECO,0.0014008935292567637,0.14088403065999225,0.17281428654988557,8,8.511772
CSO-17-10B-YCQUVE,0.09649320284525498,-0.01697519620259591,-0.08830566724141509,8,8.187885
CSO-17-11A-DJAPA,0.24098933219909688,-0.02862615108489988,0.003373656272886827,9,8.41241
CSO-17-11A-JDAMO,-0.10246736526489403,0.0661308717727668,0.1485815477371212,8,8.308918
CSO-17-11A-NPAHE,0.09413992563883479,0.046076137224830546,-0.029825905164081512,11,8.307063
CSO-17-11A-RLPAIG,-0.25468057632446295,-0.05466034889221283,-0.3553648567199709,6,7.531967
CSO-17-11A-SPUVA,0.08030581156412678,0.17961183706919362,-0.02533429940541626,9,8.431256
CSO-17-11B-CDBEBU,-0.10623148282369024,-0.085025242169699,-0.028629129727681224,7,7.976787
CSO-17-11C-JDAAG,0.05009541829427012,-0.06014247099558556,0.027059143384297706,7,8.213685
CSO-17-11C-MAPAMA,0.015155073801674728,0.014449183146158326,0.016182095209758586,8,8.242459
CSO-17-11C-MCAAG,0.006767244338987816,-0.07718760967254508,-0.008300232887269075,7,8.117952
CSO-17-11C-SARJA,0.06328570842742887,0.18259226799011213,0.2694928407669061,10,8.712044
CSO-18-11A-ADBAHO,0.12194787025451513,-0.05357100963592565,0.0022374486923224662,8,8.267287
CSO-18-11B-YLLRE,-0.05607514858245938,-0.10724809169769266,0.007535266876220248,7,8.040885
CSO-18-9B-MAMOLO,0.014735212326049407,0.000478963851927694,-0.25597119331359836,8,7.955916
CSO-8-3A-AIPRBR,-0.3015710083643604,-0.014820348421733048,-0.014264246622721188,8,7.8660173
CSO-8-3A-DAPAVA,-0.6868655061721806,-0.02111564159393331,-0.05309390068054254,5,7.435598
CSO-8-3A-KVPECO,0.25241346200306936,0.03710514386495234,-0.219308654467266,8,8.266883
CSO-8-4A-ARAGR,0.1900971396764124,0.09538520654042332,0.30404046376546295,9,8.786196
CSO-8-4A-JRAAR,-0.7262197971344001,-0.06524699687957825,-0.1784314584732054,4,7.2267747
CSO-9-2A-EXMOCO,-0.4794513225555419,-0.21497236728668212,-0.5416793966293347,2,6.96057
CSO-9-4A-AGAPE,0.021766463915506393,-0.0005649216969812465,-0.21722503503163665,9,8.000649
CSO-9-4A-DKVIMO,0.08876245498657138,-0.10968497276306148,0.009001083374023139,7,8.1847515
CSO-9-4A-DSMOMU,0.28190397739410444,-0.019530210494996814,0.038606295585632416,12,8.497653
CSO-9-4A-DVGATO,0.053841230074564386,-0.01154101212819486,-0.20282127698262556,7,8.036152
CSO-9-4A-FAGIGA,0.05973534584045304,-0.028479161262512598,0.023930535316467598,9,8.25186
CSO-9-4A-GSBRCO,0.004958659807841201,-0.014542873700460326,-0.04754901250203533,9,8.13954
CSO-9-4A-KEMOCO,-0.16142695744832497,-0.21233575185140047,0.06437308947245379,6,7.8872833
CSO-9-4A-LCOMO,0.32541107495625854,0.05272759278615319,-0.01222578207651931,10,8.562586
CSO-9-4A-MLORO,-0.20908531665802044,-0.029524221420287655,-0.22869948863983272,5,7.729364
CSO-9-4A-MPAME,0.34692256450653003,0.10684485912323027,-0.10317913055419992,11,8.547261
CSO-9-4A-NSARPA,-0.16030432542165082,-0.03656650861104391,0.008141042391458242,8,8.007943
CSO-9-4A-SLOCA,-0.20005722522735658,-0.005106616020202681,-0.232370519638062,6,7.7591386
CSO-9-4A-YVDITR,-0.09761821587880526,0.10950395743052077,0.14684330622355193,9,8.355402
