subject,pe_T2W20,l2_T2W20,atd_T2W20,y_true,y_pred
CDMS-10-4A-JURAN,0.07118650565781115,0.18749619839327591,0.0,2,5.496672972070769
CDMS-10-5A-HEPIHO,-0.12799259736545077,-0.2883232998273182,0.0,7,4.821674370826913
CDMS-10-5A-KSRAGU,-0.08470758603243089,-0.11747000981094269,0.0,5,5.035812672176308
CDMS-10-5A-SROPU,-0.008594438148946448,0.033467941127006906,0.0,6,5.262863770997742
CDMS-10-5A-SZURO,-0.13359882839153148,-0.3539719125495848,0.0,5,4.750419527078566
CDMS-10-5B-SRAJA,-0.06869820997520648,-0.054278283939792615,0.0,13,5.115013774104683
CDMS-10-5C-DAAUSA,-0.04269898325827892,-0.16667530035594513,0.0,8,5.028615984405458
CDMS-10-5C-ICAPA,-0.09751508687820909,-0.16802339050786408,0.0,7,4.972451790633609
CDMS-10-5C-JFALGI,-0.16667559144541277,-0.44101164627123923,0.0,10,4.63030303030303
CDMS-10-5C-MAORTO,-0.16667559144541277,-0.44101164627123923,0.0,12,4.63030303030303
CDMS-10-5C-NBEMO,-0.003177731964173258,0.1648307108176552,0.0,5,5.399643246873164
CDMS-10-6B-ASCACO,0.1983022737783946,0.37285053679901115,0.0,6,5.809143078597088
CDMS-10-6B-JJMOBE,-0.16667559144541277,-0.44101164627123923,0.0,1,4.63030303030303
CDMS-11-5A-EAARCA,-0.01924040729052079,0.0885644080294159,0.0,8,5.307314268758577
CDMS-11-5A-MGTHAR,-0.11800708823145362,-0.29946218031986055,0.0,9,4.820520999468368
CDMS-11-6A-DFVEBE,-0.060522258853890065,-0.02200641649489654,0.0,1,5.155461592670895
CDMS-11-6A-NMREPR,-0.13593758941554412,-0.3196835325986278,0.0,8,4.78236914600551
CDMS-11-6B-ARAHE,-0.02920392184077869,-0.06696984319896515,0.0,5,5.141816502979938
CDMS-11-6B-AVROTO,-0.09803509067194582,-0.17007593378428165,0.0,8,4.9698792435634545
CDMS-11-6B-EAFESA,-0.12014558837267497,-0.25734982282187513,0.0,0,4.860494856825132
CDMS-11-6B-EFRGR,-0.09954921936547789,-0.17605245685384707,0.0,3,4.962388591800357
CDMS-11-6B-EROCO,-0.0416182407211525,0.05261095319130016,0.0,6,5.24898298048983
CDMS-11-6B-JACUPE,0.08424357249314163,0.37029029278693315,0.0,9,5.692524133299757
CDMS-11-6B-JDCHBA,-0.10917586962500447,-0.21405048014238748,0.0,3,4.91476391825229
CDMS-11-6B-JFSAHE,-0.08993169821952349,-0.15126095375046458,0.0,3,4.996797616049694
CDMS-11-6B-JLPENA,-0.12009810877770288,-0.25716241279794705,0.0,4,4.860729746444032
CDMS-11-6B-JMARME,-0.02549333212205608,0.06301631531551345,0.0,5,5.275513251213139
CDMS-11-6B-JPSAMA,-0.05701569231182768,-0.008165402898681062,0.0,0,5.172809172809173
CDMS-11-6B-LESTA,-0.10170663260955592,-0.18456813328140065,0.0,8,4.951715502128725
CDMS-11-6B-MAGIMU,-0.16667559144541277,-0.44101164627123923,0.0,9,4.63030303030303
CDMS-11-6B-MEBRTA,-0.04302499237071444,0.030513522774589852,0.0,8,5.225478798423557
CDMS-11-6B-MMAMO,-0.042943996317934996,-0.19923460815553007,0.0,2,4.995811663546217
CDMS-11-6B-RSECA,-0.05595384469697784,-0.00397411004912307,0.0,1,5.178062313273581
CDMS-11-6B-SCAPA,-0.16667559144541277,-0.44101164627123923,0.0,5,4.63030303030303
CDMS-11-6B-VZAPE,0.006225669972594439,0.24145899313720065,0.0,8,5.485674931129477
CDMS-11-6B-YLNIME,-0.10499189818277088,-0.19753563437417565,0.0,0,4.935462735462735
CDMS-11-7C-ICARE,0.014459063373454512,0.20246067088528716,0.0,7,5.454910002278424
CDMS-11-7C-SALMA,-0.1135989251496512,-0.2315090313830681,0.0,7,4.892882311486963
CDMS-11-7C-SPGAVE,-0.08896298147473836,-0.13426677823604827,0.0,5,5.014760508308895
CDMS-12-5A-SRIGO,0.044216899522267816,0.05946682262828151,0.0,7,5.341673990170231
CDMS-12-6A-FAROPA,-0.11390572668893206,-0.2327200291569893,0.0,5,4.891364512173761
CDMS-12-6A-JGIGA,-0.130158845033927,-0.29687384722817894,0.0,1,4.810957575757576
CDMS-12-6A-JSOTGU,-0.16667559144541277,-0.44101164627123923,0.0,10,4.63030303030303
CDMS-12-6A-SROAL,-0.14948314963209564,-0.3731501589628299,0.0,10,4.715356959424756
CDMS-12-6B-IJDAGA,0.06568225878269507,0.2061186530500021,0.0,10,5.50979117985238
