subject,re_T6W40,pe_T6W40,l2_T6W40,l3_T6W40,lcc_T6W40,y_true,y_pred
CDMS-10-4A-JURAN,0.17346682471353364,0.13374922342890327,-0.02458019164007368,-0.15274510621803722,0.009192650344331275,7,8.243079021865656
CDMS-10-5A-HEPIHO,0.2215823792646084,0.1005075090646785,-0.005725976769563047,0.5090614993876801,0.024660273647582973,11,8.954081305831984
CDMS-10-5A-KSRAGU,0.12070563501265881,0.08699063060110454,-0.01576642712993254,0.8166503966446544,0.12611154741628644,9,9.238687403781773
CDMS-10-5A-SROPU,-0.07001753859507197,0.09440348769519712,0.1537439255433589,0.8775927745730351,0.0991003678811064,10,9.25881863833463
CDMS-10-5A-SZURO,0.13121779593426294,0.09492399860083128,-0.057483315297873205,0.4979545289434995,0.09430782560811761,10,8.864916455025837
CDMS-10-5B-SRAJA,0.14864160811096017,0.0448080539155508,-0.09728495437288341,-0.09030210139710455,0.07277038563490902,4,8.18262861312843
CDMS-10-5C-DAAUSA,-0.40470081333873203,-0.8865113541114363,0.13316497557688892,-0.6492350730009524,0.007807132256323551,3,6.304520488619092
CDMS-10-5C-ICAPA,-0.41347926331525564,-0.6401096905538394,0.11005520962432573,-0.5028743960580463,-0.010647031142485532,7,6.646940449791699
CDMS-10-5C-JFALGI,0.20093703350077613,0.15828919835704602,-0.011459259728961016,-0.16661642342436034,-0.04177894105199667,12,8.24336722888951
CDMS-10-5C-MAORTO,-1.205480250082252,-0.8638553034258114,0.1081203810351824,-0.3763045608476632,-0.07069960846840967,4,5.695776279448044
CDMS-10-5C-NBEMO,-0.06471481184215966,0.1928186422112817,0.20249479267903664,-0.1421152835141552,-0.044982754243176534,9,8.24749620652783
CDMS-10-6B-ASCACO,0.05689381387306653,0.17109558929881333,-0.04239561364290384,-0.16131179587041136,0.03200273453764693,9,8.16028034943321
CDMS-10-6B-JJMOBE,0.15850568067678308,0.1564462151321943,-0.02401261817689882,-0.14117904028179892,0.06646244959046078,9,8.320218308177738
CDMS-11-4A-GACHSA,-1.2203787044059722,0.1562652106709318,-0.003470116013139883,-0.5149422302692072,-0.06420153504384694,2,6.457268246175769
CDMS-11-5A-EAARCA,0.024396764214535467,0.1458622602773365,-0.0458967159713438,-0.15058762600961106,0.04373746763398957,6,8.121507771381905
CDMS-11-5A-MGTHAR,-0.2581307028365096,0.16007435009952736,0.059005553972608975,-0.21641042843468364,0.021648998592732036,9,7.870183392630676
CDMS-11-6A-DFVEBE,0.16169623374315079,0.06579325014708963,-0.013425881183260326,0.4677856175942014,0.09183489422025597,11,8.877679735758436
CDMS-11-6A-NMREPR,-0.060538670077930026,0.008247318434172911,-0.06761473442541516,0.7656884731695771,0.10890520005066599,9,8.858683208388076
CDMS-11-6B-ARAHE,-0.3449434665797642,0.12406903552500835,-0.059795252118648196,-0.13472685049664904,0.04915903595527972,7,7.7377581235222275
CDMS-11-6B-AVROTO,0.13336403261745466,0.09216778560097841,-0.0814389952170789,-0.1434579551310138,0.04626053153803401,10,8.150891020645373
CDMS-11-6B-EAFESA,0.10913977817320042,0.14458675900542275,-0.01549020868251784,-0.17399924641752332,0.058765936457305004,7,8.226998639772885
CDMS-11-6B-EFRGR,-0.6747877252987188,0.16227083583139218,-0.05764551747132881,-0.4044390786906746,-0.05414840215508488,7,7.075245733452584
CDMS-11-6B-EROCO,0.14181805897110727,0.14940002991958143,-0.004795772510409683,-0.1587429301133147,-0.02989456699849718,8,8.201780440505472
CDMS-11-6B-JACUPE,-0.09526512341355658,-0.6517459697946886,0.08513652884099249,-0.30486474636116967,-0.05603590014455905,8,7.081220410364018
CDMS-11-6B-JDCHBA,-0.4060630485177464,-0.6368650197516328,0.08852668987125134,-0.25716684258628103,-0.06263684994831986,6,6.8297905503042715
CDMS-11-6B-JFSAHE,0.1605492542839102,0.14845869496178477,-0.022694876355985865,-0.14946485609157936,-0.009336347215503407,8,8.231507490819624
CDMS-11-6B-JLPENA,0.11342719697375488,0.13568316523849563,-0.023983405761012058,-0.14341253207968208,0.0411661593943341,6,8.22687620500289
CDMS-11-6B-JMARME,0.018866363018582494,-0.8051955260800093,0.10062726484299224,-0.3081745207841658,0.034671681816721825,4,7.14479088405112
CDMS-11-6B-JPSAMA,0.08142420798613068,0.08739030970049053,0.0683956519655978,0.7274934315633039,0.12196730608696696,10,9.190666528539492
CDMS-11-6B-LESTA,0.031594744436636055,0.16815366370663895,-0.008704708120404667,-0.14427690479891297,-0.01595879440301145,8,8.134803622057948
CDMS-11-6B-MAGIMU,-0.13492457799755656,0.176652288930868,0.27220162656504193,-0.33411786223168954,-0.01722799879258318,9,8.066579097711083
CDMS-11-6B-MEBRTA,0.08112680587422694,-0.29193228968643226,0.12219273898488822,0.7547898492586462,0.06485311900699606,9,8.835025844675327
CDMS-11-6B-MMAMO,0.1655101912885684,0.0973932856924239,-0.017014453803902752,0.20171152346939852,0.0844612383351672,9,8.636057406218653
CDMS-11-6B-RSECA,0.11367409789233315,0.12259298576392463,0.20117277938834638,-0.13520987982614938,0.042090495140980566,10,8.448316099596434
CDMS-11-6B-SCAPA,0.07299309700323935,-0.5968631978159877,-0.9979775573782065,-0.16605311195372943,-0.036080698406821786,3,6.380014152685498
CDMS-11-6B-VZAPE,-0.010305145151911502,0.058996242646987565,0.17057063147385146,0.8366734705995292,0.09312564977700291,12,9.253056470582464
CDMS-11-6B-YLNIME,0.12686130760156938,0.14706482556501405,-0.0358699372214974,-0.15673626246124892,0.07405528077796909,9,8.259370835498805
CDMS-11-7C-ICARE,0.02714806499857248,0.1656902171228002,-0.023672306674496955,-0.1785180169388843,0.06280658881068847,11,8.15745016855568
CDMS-11-7C-IMOIB,0.16572060664547023,0.13383125726356287,-0.01690723773814908,-0.19109855371533477,0.05862066167560759,5,8.254162355368155
CDMS-11-7C-SALMA,-0.06731871664635476,0.1489215594649486,-0.025563895705259153,-0.12299204988249174,0.045966737680508324,10,8.08300925614835
CDMS-11-7C-SPGAVE,0.025390786718981852,0.14934653090394404,-0.031463632487842876,-0.14813172670933739,0.05661571936961586,8,8.155753299032359
CDMS-12-5A-SRIGO,0.08627234559985557,0.10625993636873296,-0.007540895623184017,0.7175994816754897,0.1202341627439185,10,9.126820652001816
CDMS-12-6A-FAROPA,0.23873168019023522,0.12079757895686175,0.019209836731654606,0.9890129392660343,0.20775718919849429,14,9.679504845580283
CDMS-12-6A-JGIGA,0.037540077546414426,-0.5929170544766119,0.12914852184458886,-0.1406811752782336,-0.04771607408617297,7,7.489369916786982
CDMS-12-6A-JSOTGU,0.02478064983938693,0.1678690706181337,-0.007757512624520103,-0.13493906847654477,0.022823028538295854,8,8.176771789131749
CDMS-12-6A-SROAL,0.16806339286416205,0.11147815436622235,-0.017942525461731813,0.17268074684189683,0.10707080757335338,10,8.645346197420903
CDMS-12-6B-IJDAGA,-0.05854889437478759,0.18267498402456706,0.26470590360618296,-0.1329894113627525,-0.03469335522312928,11,8.325144847907083
CDMS-12-6B-SCLAG,0.039528200423213665,0.1541025515569456,0.16362342520691073,-0.12514144159283383,0.04788983763685138,9,8.383998194468086
CDMS-12-7C-ARAHE,0.15152645527147282,0.1806633672864627,0.2816939657351258,-0.13508314909030847,0.051886797711292856,13,8.634683058151047
CDMS-12-7C-CATRAR,0.12293959040716373,0.1524058270536272,-0.027992275999862704,-0.14702232725220232,0.06960799431374416,8,8.27393442975947
CDMS-12-7C-DLOLO,0.1219754550212502,0.14466992173687548,-0.04448524246047595,-0.15720424463892194,0.06973160423499232,9,8.238683115130721
CDMS-12-7C-JSZAOR,-0.15200410867616893,0.07918959215713596,-0.043432236008951186,0.3938977414001952,-1.01063760200899,5,7.371009008100219
CDMS-12-7C-MAROBE,0.14877745108258497,0.08681943656712447,0.04429228668317574,0.44425429529989197,-0.16056711256224476,8,8.667571978307526
CDMS-12-7C-VMAPA,0.07604737063933256,-0.3184231856357344,-3.8184591187709923e-05,0.8478865683622705,0.08517744654794807,7,8.794645636559633
CDMS-12-7C-VQURA,0.057171487047802165,0.1606205639781586,-0.008472999250620318,-0.13602707269871822,0.06678620413116172,9,8.244073804444783
CDMS-13-6B-ASUMO,0.18176471205823314,0.1747876054195702,0.07003118327743202,-0.21905367713661855,0.046130355051998626,7,8.357655799907615
CDMS-13-6B-JDTAHE,0.12359354553644794,0.16442087869329777,-0.014220921028251725,-0.15165755901114475,0.06744291537250278,8,8.293574480799851
CDMS-13-7C-MVEAR,0.16828907224992937,0.1450768681163438,-0.057847098909193775,-0.14889614221345981,-0.05918884606888063,11,8.151429474411739
CDMS-13-7C-RAIZAC,0.12029955687025329,-0.33244342798078635,0.12135971755232368,0.9943508956326678,0.020328099003219052,8,9.027890462314677
CDMS-13-7C-SSOSLO,0.05046398014271981,0.1736819444099092,-0.011527706687583923,-0.4365977579129284,0.02004921260638732,10,7.900065293795504
CDMS-14-10A-IMORTO,0.11267431263043076,0.15570045197171833,0.27153666765892487,-0.13670712712265334,0.058677005752116485,10,8.565876932127535
CDMS-14-10A-JCVANI,0.2252113513943355,0.08780444017278878,-0.03885381802262726,0.8465242618677083,-0.004871624672577115,9,9.21981023197663
CDMS-14-5A-LSDUCO,-0.3681726820274993,-0.6551392950749947,0.12088295619275718,-0.4060905926451188,-0.06830248956493722,5,6.7271735181172065
CDMS-14-6B-KDCAHE,0.03243553299860458,-0.5996446323482799,0.1485733825963166,-0.14739169003559885,0.03192641134503325,7,7.569894625793071
CDMS-15-10A-AMALOS,0.07965266205854124,-0.4341434600726323,0.1347854083236328,0.9238841127971491,0.09702270169426855,8,8.90519704603796
CDMS-15-10A-JJMACH,0.17566309107187583,0.08100405866078293,0.0057980767134863925,0.48716784751920356,-0.18624175471834442,8,8.667386940484
CDMS-15-10A-MAALCA,0.18917273369646478,0.07883439405009497,-0.01032174202274693,0.46982004689770007,0.03259796314624842,10,8.86409901700476
CDMS-15-10A-MAALRI,0.1740725027590803,0.10032834507260828,-0.0006015344273185303,0.06461047314922841,-0.11886622086394319,10,8.32353918692665
CDMS-15-10A-SGOMO,0.15079529804701772,-0.31952013493781667,-0.10198997213153428,-0.1394530893690931,-0.074148913351241,9,7.6196788094943315
CDMS-15-10A-SHEGA,0.08008931481869748,0.17192789999488886,-0.020181160892596774,-0.15500269021975208,0.06721596780640499,9,8.248044952744644
CDMS-15-11B-JEMOLO,0.10320920190362806,0.09600131709894219,-0.022756850269234602,-0.040732484859040144,0.0647990551590587,9,8.304515860270351
CDMS-15-11B-VSAHO,0.10466103908476568,0.0830756828172122,-0.008299484804397562,0.4097322227158649,0.08895785938030303,9,8.78212294043075
CDMS-16-10A-SGALO,0.14793724002265593,0.1265600357415437,-0.026047233313910893,-0.15292345398659554,-0.016508653236997392,8,8.183013556463694
CDMS-16-11B-NGABE,0.20619337487431344,0.10680065390360512,-4.8502090625342914e-05,0.7386073925125523,-0.06679028901562054,10,9.088758251421224
CDMS-17-10A-ASSAMO,-0.007997493213428417,-0.02310625393873493,-0.07622624852173028,0.3132636151083422,-0.3954511081487134,7,7.914478132522734
CDMS-18-7C-VVECA,0.05564357087681905,0.18523539877267822,0.19359431570932342,-0.14404401149634843,0.046622837312343055,8,8.441047732411814
CDMS-8-4A-DBEVA,-0.10678257783501041,-0.6408502248263713,0.1299013349792747,-0.4228330282645554,-0.002503945665471079,9,7.060927179624866
CDMS-8-4A-DJAVDA,-0.11170317784183309,-0.6617656885461776,0.11260744983711996,-0.4575922648181525,-0.025155985040044227,8,6.960385954827911
