subject,nodes_T2W20,edges_T2W20,l2_T2W20,lcc_T2W20,y_true,y_pred
CDMS-10-4A-JURAN,0.0362281134695602,0.16832886290360466,0.0,-0.08399972623437804,2,2.9999999999999964
CDMS-10-5A-HEPIHO,-0.03561905889002537,0.02052003712867645,0.0,-0.010472908127347136,3,2.8538708199725136
CDMS-10-5A-KSRAGU,-0.06792254882063535,0.16832886290360427,0.0,0.0201509360558179,2,3.0
CDMS-10-5A-SROPU,0.08365760275951317,0.1683288629036048,0.0,-0.13142921552433115,3,2.9999999999999964
CDMS-10-5A-SZURO,0.018859885787884778,-0.2108329075625117,0.0,-0.06663149855270192,2,2.620838229533881
CDMS-10-5B-SRAJA,-0.06692154781963416,0.16832886290360471,0.0,0.01914993505481627,1,2.9999999999999964
CDMS-10-5C-DAAUSA,-0.026013973578726365,0.16832886290360524,0.0,-0.0217576391860885,1,3.0
CDMS-10-5C-ICAPA,-0.08193656283465062,-0.45929876472402087,0.0,0.03416495006983333,3,2.3723723723723715
CDMS-10-5C-JFALGI,0.24496176406367598,0.16832886290360455,0.0,-0.2927333768284937,6,2.9999999999999964
CDMS-10-5C-MAORTO,0.23237775147966389,-0.8006401060653641,0.0,-0.1480172321123474,2,2.163163163163162
CDMS-10-5C-NBEMO,0.07793383387785197,-0.37671618214143904,0.0,-0.06833228400634883,1,2.5123281175912737
CDMS-10-6B-ASCACO,-0.10556767057790693,0.0562635265392024,0.0,0.05964837742241946,2,2.8897869832449246
CDMS-10-6B-JJMOBE,0.09129917290108645,-0.44484681277206944,0.0,-0.046165380260496824,4,2.47972972972973
CDMS-11-5A-EAARCA,0.12802921689856914,0.16832886290360463,0.0,-0.17580082966338695,3,2.9999999999999964
CDMS-11-5A-MGTHAR,0.15429967340158587,0.02518571976046287,0.0,-0.055925140020256434,3,3.003003003003002
CDMS-11-6A-DFVEBE,-0.18194354656256362,0.1683288629036053,0.0,0.13417193379774872,4,2.9999999999999964
CDMS-11-6A-NMREPR,0.05219757129948517,0.16832886290360424,0.0,-0.0999691840643026,2,3.0
CDMS-11-6B-ARAHE,-0.15103724246164635,0.16832886290360471,0.0,0.10326562969682844,4,2.9999999999999964
CDMS-11-6B-AVROTO,0.0894829770059411,0.1683288629036046,0.0,-0.13725458977075888,2,2.9999999999999964
CDMS-11-6B-EAFESA,0.14590595858585098,0.16832886290360444,0.0,-0.1936775713506686,6,2.9999999999999964
CDMS-11-6B-EFRGR,-0.04872688256614541,0.16832886290360477,0.0,0.0009552698013310101,4,3.0
CDMS-11-6B-EROCO,0.021811020364986694,0.16832886290360466,0.0,-0.06958263312980453,2,2.9999999999999964
CDMS-11-6B-JACUPE,-0.48275843734073326,0.05931985389459493,0.0,0.43811626981062696,1,2.8941204362256983
CDMS-11-6B-JDCHBA,-0.10243380426212549,0.047911934347142214,0.0,0.05811913681471766,0,2.883040016760944
CDMS-11-6B-JFSAHE,0.20571951429510926,0.16832886290360444,0.0,-0.2534911270599269,2,2.9999999999999964
CDMS-11-6B-JLPENA,0.0009218057380034894,-1.0329949098487383,0.0,0.485228258276,0,2.332597904026475
CDMS-11-6B-JMARME,0.08923460833651936,0.09488307669186219,0.0,-0.12716659424043486,4,2.9363938406491563
CDMS-11-6B-JPSAMA,0.2106533243498299,0.16832886290360374,0.0,-0.25842493711465037,6,2.999999999999993
CDMS-11-6B-LESTA,0.06821358731549815,-0.3451846506099111,0.0,0.1559230718279539,3,2.7583947583947506
CDMS-11-6B-MAGIMU,0.03417955328146614,0.16832886290360463,0.0,-0.08195116604628395,3,2.9999999999999964
CDMS-11-6B-MEBRTA,-0.012048492946581724,0.16832886290360455,0.0,-0.03572311981823601,4,2.9999999999999964
CDMS-11-6B-MMAMO,0.03800947015486221,0.16832886290360488,0.0,-0.08578108291967672,3,3.0
CDMS-11-6B-RSECA,0.26184383728377675,0.16832886290360372,0.0,-0.3096154500485972,5,2.999999999999993
CDMS-11-6B-SCAPA,0.22461589125878717,0.16832886290360455,0.0,-0.2723875040236049,3,2.9999999999999964
CDMS-11-6B-VZAPE,-0.011365992264080443,0.16832886290360444,0.0,-0.03640562050073717,5,2.9999999999999964
CDMS-11-6B-YLNIME,0.21868838643894625,0.16832886290360446,0.0,-0.2664599992037639,2,2.9999999999999964
CDMS-11-7C-ICARE,-0.040538021436108095,0.16832886290360424,0.0,-0.007233591328709321,3,2.9999999999999964
CDMS-11-7C-SALMA,0.002426870365992345,0.16832886290360455,0.0,-0.05019848313081007,4,2.9999999999999964
CDMS-11-7C-SPGAVE,0.07111971925389049,-0.3591340839141794,0.0,-0.08372713556418902,2,2.5077012496367317
CDMS-12-5A-SRIGO,0.09900968954017277,0.16832886290360458,0.0,-0.14678130230499054,4,2.9999999999999964
CDMS-12-6A-FAROPA,0.04550880160493305,0.1683288629036047,0.0,-0.09328041436975092,6,2.9999999999999964
CDMS-12-6A-JGIGA,0.13970908281099587,0.1683288629036052,0.0,-0.1874806955758107,2,3.0
CDMS-12-6A-JSOTGU,-0.009864490762579226,-0.7400795455048015,0.0,-0.03790712200223787,3,2.091591591591591
CDMS-12-6A-SROAL,-0.11960134626214577,0.16832886290360455,0.0,0.07182973349732805,3,2.9999999999999964
CDMS-12-6B-IJDAGA,-0.03352536093507542,0.16832886290360485,0.0,-0.01424625182973907,2,3.0
CDMS-12-6B-SCLAG,-0.5141998119993068,-0.0005583341526099739,0.0,0.49434343841733497,3,2.859028042126628
CDMS-12-7C-ARAHE,-0.031886512784600564,-0.6795189849442452,0.0,-0.015885099980216033,6,2.152152152152148
CDMS-12-7C-CATRAR,0.11400938311129585,0.16832886290360527,0.0,-0.16178099587611072,3,2.9999999999999964
CDMS-12-7C-DLOLO,0.09792751176626606,0.16832886290360455,0.0,-0.1456991245310838,3,2.9999999999999964
CDMS-12-7C-JSZAOR,-0.154287984023279,-0.07250499420932038,0.0,0.12034415252810496,2,2.772993924156715
CDMS-12-7C-MAROBE,0.22697612343652704,0.16832886290360474,0.0,-0.27474773620134496,3,2.9999999999999964
CDMS-12-7C-VMAPA,0.32351504261695185,0.16832886290360516,0.0,-0.3712866553817702,2,2.9999999999999964
CDMS-12-7C-VQURA,0.034357150233256764,0.1683288629036047,0.0,-0.08212876299807463,2,2.9999999999999964
CDMS-13-6B-ASUMO,-0.3462008270989137,-0.7235630289882837,0.0,0.2984292143340965,1,2.108108108108109
CDMS-13-6B-JDTAHE,0.00014551924742978173,-0.1399794454047001,0.0,0.01414493004981309,3,2.7537537537537524
CDMS-13-7C-MVEAR,-0.08614695879762269,0.1683288629036046,0.0,0.0383753460328049,4,2.9999999999999964
CDMS-13-7C-RAIZAC,0.03275877766714223,0.16832886290360474,0.0,-0.08053039043196016,3,2.9999999999999964
CDMS-13-7C-SSOSLO,0.001333147553702979,0.16832886290360452,0.0,-0.049104760318520686,3,2.9999999999999964
CDMS-14-10A-IMORTO,0.18172710082901286,0.16832886290360452,0.0,-0.22949871359383056,4,2.9999999999999964
CDMS-14-10A-JCVANI,-0.017104607591735238,0.16832886290360477,0.0,-0.0306670051730827,4,2.9999999999999964
CDMS-14-6B-KDCAHE,-0.2741287550268425,-0.35725028767554584,0.0,0.4068590727639566,0,2.654922779922778
CDMS-15-10A-AMALOS,0.16725741642067635,0.16832886290360463,0.0,-0.21502902918549416,3,2.9999999999999964
CDMS-15-10A-JJMACH,0.26140678050869126,0.16832886290360455,0.0,-0.309178393273509,3,2.9999999999999964
