subject,edges_T2W20,diameter_T2W20,asp_T2W20
CDMS-10-4A-JURAN,0.5283025107261066,0.31673629556523053,0.3215612137534653
CDMS-10-5A-HEPIHO,0.06603901162467352,-1.1515996220042333,-1.1633793902317275
CDMS-10-5A-KSRAGU,0.5283025107261066,-0.3717996586703954,-0.3268489575302399
CDMS-10-5A-SROPU,0.5283025107261066,0.7096721366209507,0.7577438819610189
CDMS-10-5A-SZURO,-0.6575038565340876,-0.8126932985350769,-0.9528444067737647
CDMS-10-5B-SRAJA,0.5283025107261066,0.10134425176956847,-0.052641622308882
CDMS-10-5C-DAAUSA,0.5283025107261066,-0.6452107099475151,-0.6507593479330832
CDMS-10-5C-ICAPA,-1.4345663623523275,-0.2594389526661002,-0.3145093573201355
CDMS-10-5C-JFALGI,0.5283025107261066,-0.24940674677285884,-0.2179787472425932
CDMS-10-5C-MAORTO,-2.5020915389388527,-0.39286729104620016,-0.267010208362479
CDMS-10-5C-NBEMO,-1.1762941422104323,0.07265346294199174,0.03178200705240744
CDMS-10-6B-ASCACO,0.17782469423448208,-0.5242610605675789,-0.4292296057540276
CDMS-10-6B-JJMOBE,-1.3893687238274997,-0.9770551804669726,-1.1171750343085336
CDMS-11-5A-EAARCA,0.5283025107261066,0.5740798747603897,0.5725309800706588
CDMS-11-5A-MGTHAR,0.08063066248014623,-0.21028114378922064,-0.07289198333759464
CDMS-11-6A-DFVEBE,0.5283025107261066,-0.4808940650815433,-0.49117129885898386
CDMS-11-6A-NMREPR,0.5283025107261066,1.0116415340074953,0.9364760140340294
CDMS-11-6B-ARAHE,0.5283025107261066,-0.3957132694548622,-0.37610816120288915
CDMS-11-6B-AVROTO,0.5283025107261066,0.10140365298867512,0.15393378928373114
CDMS-11-6B-EAFESA,0.5283025107261066,1.4327364734823105,1.3771218129347547
CDMS-11-6B-EFRGR,0.5283025107261066,-0.03389135899571134,0.003452497247478397
CDMS-11-6B-EROCO,0.5283025107261066,0.8759044139971697,0.8664557818894923
CDMS-11-6B-JACUPE,0.18738318013879393,-1.873995768582432,-1.9671749619494123
