subject,l1_T2W40,l2_T2W40,l3_T2W40,z_l1_T2W40,z_l3_T2W40
CDMS-10-4A-JURAN,-0.20045889360857602,0.7543910915006813,-0.19712001769320173,-0.29899533642427717,-0.2081123221757142
CDMS-10-5A-HEPIHO,-0.9783341390203323,-0.5904660137063529,-0.2997535451527121,-1.2499901281259087,-0.5653324384232018
CDMS-10-5A-KSRAGU,0.35637455454320216,-0.5112953540783,-0.19047591904256575,0.443050202020397,-0.16341441048139854
CDMS-10-5A-SROPU,-0.4510430833618657,0.12546409418250953,-0.7732191513823028,-0.3455440883858797,-0.6875927699052777
CDMS-10-5A-SZURO,-0.9783341390203323,-0.2755702129982466,-1.1681550354836363,-0.9320420733512327,-1.2933656454227729
CDMS-10-5B-SRAJA,-0.5532772268948584,-0.08116173126134539,2.0683760091735492,-0.5911054462426324,1.861027415215089
CDMS-10-5C-DAAUSA,-0.8270950723538771,-0.4375031360010659,1.7733051532485276,-0.8967842440164239,1.7196368584055703
CDMS-10-5C-ICAPA,1.613816210335017,-0.23464211157995157,-0.728060162555747,1.5099600963021855,-1.3289024262596572
CDMS-10-5C-JFALGI,-0.9783341390203323,-1.3397008498739162,-0.5860528053028525,-0.9075332634725576,-0.12395564477448884
CDMS-10-5C-NBEMO,0.011640331960426029,0.9975860846922866,-0.8616603918374277,0.11642688431269212,-0.7351941502651597
CDMS-10-6B-ASCACO,0.6959431722800082,1.7059144211840342,-0.132414515575759,0.39433960425601655,-0.7539411320134883
CDMS-10-6B-JJMOBE,-0.9783341390203323,-1.3397008498739162,-1.1681550354836363,-1.126728457595417,-1.479854911113693
CDMS-11-5A-EAARCA,0.1373027261096866,0.5925363591897997,-0.2600974399441017,0.18566770911124064,0.1230092901552499
CDMS-11-5A-MGTHAR,0.03989723545081751,-0.996215644300124,-0.45300086697581626,0.23710247816795108,-0.21148663908092408
CDMS-11-6A-DFVEBE,0.15595886097808145,0.25649510543958826,2.718552402058864,-0.18501071332888172,2.3532527915476456
CDMS-11-6A-NMREPR,0.5352530392475932,-1.097240704763004,3.222348404089689,0.9281861237822113,4.503023199174557
CDMS-11-6B-ARAHE,0.9463497921044272,-0.17541674129230123,-0.011287998191574469,0.628512170014653,-0.3031669576854721
CDMS-11-6B-AVROTO,-0.2279943005258064,-0.3367812673318028,0.5279628154906629,-0.3775235381403362,0.6259617802966387
CDMS-11-6B-EAFESA,1.0858029822314628,-0.7478529113868864,-1.1681550354836363,1.8500714839365415,-1.239936517234867
CDMS-11-6B-EFRGR,1.0125863870185503,-0.3507533558209841,-0.7872577066044713,1.1126028883511272,-1.0506794132588557
CDMS-11-6B-EROCO,1.5033776683661346,-0.044673942732770984,0.46455542469459443,1.6658119396996982,0.2975581452908082
CDMS-11-6B-JACUPE,2.110112169063584,1.4395579899660678,0.699659381089729,1.0914409829705156,-0.7571017785675481
CDMS-11-6B-JDCHBA,0.587848383181425,-0.8881454151470696,2.5111249630237005,0.6805873557348868,2.550865463318308
CDMS-11-6B-JFSAHE,-0.7559869316342797,-0.4327713298094249,-0.6317894091027713,-0.6557441129523969,-0.6320161568768764
CDMS-11-6B-JLPENA,1.1678548599082905,-0.5620669229263116,-0.6455423738817678,1.40943553151209,-0.5805911601903786
CDMS-11-6B-JMARME,0.16678226746661595,0.39052682687812684,-0.564914305559101,0.2485898129367363,-0.4307678919970224
CDMS-11-6B-JPSAMA,-0.1932563450399487,-0.21645184428293154,-0.2808341227054152,0.026345952437615176,0.2587341573633758
CDMS-11-6B-LESTA,-0.2895225482622196,-0.5337009120423446,-0.339709117509231,-0.18769058975254346,0.02347965401407134
CDMS-11-6B-MEBRTA,2.089029976074388,0.5093578310338067,-0.6937458345923101,2.452727183184645,-0.885229626993911
CDMS-11-6B-MMAMO,-0.2168312849661387,-0.5714781975839943,0.21243670158226238,-0.14082251374806481,0.2906681059560795
CDMS-11-6B-RSECA,-0.4881045663085996,-0.1816763332739228,-0.6352950667915351,0.03198157084250148,0.0738481988861006
CDMS-11-6B-SCAPA,-0.9783341390203323,-1.3397008498739162,-0.0463445750792129,-0.8855052926943153,0.9689856367030557
CDMS-11-6B-VZAPE,1.3995457177471757,1.040341333495327,-0.5934775786469952,1.7888437846041327,-0.7007639421889078
CDMS-11-6B-YLNIME,-0.9783341390203323,-0.24601102864058896,-0.12191097414812177,-1.0334108388080971,0.2592928707500608
CDMS-11-7C-ICARE,-0.9783341390203323,1.187609412705799,0.8779805021915155,-1.2773422641859034,0.6644051130840439
CDMS-11-7C-SALMA,-0.7971623404094745,-0.7350811698309221,-0.7455639359108335,-0.8743432589022138,-0.9550473555526279
CDMS-11-7C-SPGAVE,-0.020711774934369886,-0.42758887540905655,-0.07839630251933934,0.160112286697585,0.5876683803570321
CDMS-12-5A-SRIGO,-0.737457997685442,0.4560195998537763,-0.006029511658428751,-0.8010092274381829,-0.010667230920115164
CDMS-12-6A-FAROPA,1.1246796801488401,-0.5050885856577046,-0.3034261389218932,1.1364348259374177,-0.4018791821928515
CDMS-12-6A-JGIGA,-0.802338677512642,-0.5948094040609474,-0.8616603918374277,-0.8090850554598983,-0.7080237929679993
CDMS-12-6A-SROAL,-0.39300986658525344,-1.1759884442007362,0.5738871698559255,-0.5723115567924453,0.4306843478892413
CDMS-12-6B-IJDAGA,1.1790038936689589,1.1077996149401241,0.7315878326550855,1.3824569113883098,0.51097691625428
CDMS-12-6B-SCLAG,0.9825841518265988,3.1985033368017337,3.5855167904801086,0.00790564379331157,0.6741994163404708
CDMS-12-7C-CATRAR,-0.9783341390203323,-1.3397008498739162,0.696354046697466,-1.1714810564089055,1.1705063498098933
CDMS-12-7C-DLOLO,-0.9783341390203323,1.4212867485061997,-0.9362131429946136,-1.0537841948738966,-1.1175483687804622
CDMS-12-7C-JSZAOR,2.3980493805456535,-0.5657876594188838,0.5872233781264674,2.5119555238611455,0.5034623281910616
CDMS-12-7C-MAROBE,0.007577509234102765,-1.3397008498739162,0.5532044166223955,0.19792186943336854,1.119836989451358
CDMS-12-7C-VMAPA,-0.9783341390203323,-1.3397008498739162,-1.1681550354836363,-0.9615281175429824,-1.2679273088530254
CDMS-12-7C-VQURA,-0.43481874318775904,-0.24999014961181215,-0.624912926713273,-0.6051915736785949,-0.8750793368479991
