feature,selected,ranking
l1_T2W40,True,1
l2_T2W40,True,1
l3_T2W40,True,1
z_l1_T2W40,True,1
z_l3_T2W40,True,1
pe_T2W40,False,2
z_l2_T2W40,False,2
z_asp_T2W40,False,3
z_diameter_T2W40,False,3
z_pe_T2W40,False,3
atd_T2W40,False,4
density_T2W40,False,4
z_re_T2W40,False,4
lsc_T2W40,False,5
nodes_T2W40,False,5
re_T2W40,False,5
diameter_T2W40,False,6
z_density_T2W40,False,6
z_lsc_T2W40,False,6
asp_T2W40,False,7
edges_T2W40,False,7
lcc_T2W40,False,7
