target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
COG_V1,T6W150,VALIDATION,R2,-0.012425,0.027471,-0.015125,-0.009725,1.9659,399,True
COG_V1,T6W150,VALIDATION,RMSE,1.389756,0.077026,1.382185,1.397328,1.9659,399,True
COG_V1,T6W150,VALIDATION,MAE,1.086291,0.056787,1.080709,1.091873,1.9659,399,True
COG_V1,T6W150,VALIDATION,rho,0.03216,0.13453,0.018936,0.045384,1.9659,399,True
COG_V1,T6W150,TEST,R2,-0.013913,0.035875,-0.017439,-0.010386,1.9659,399,True
COG_V1,T6W150,TEST,RMSE,1.343897,0.108669,1.333215,1.354579,1.9659,399,True
COG_V1,T6W150,TEST,MAE,1.043438,0.076224,1.035945,1.05093,1.9659,399,True
COG_V1,T6W150,TEST,rho,0.030312,0.188378,0.011796,0.048829,1.9659,399,True
