subject,pe_T6W30,z_l2_T6W30
CDMS-10-4A-JURAN,-0.07706560029426603,0.9878978013599571
CDMS-10-5A-HEPIHO,-0.39614021704113533,0.213546280955695
CDMS-10-5A-KSRAGU,-0.2746930891636877,-0.44805922750579
CDMS-10-5A-SROPU,0.8386399879797699,0.7452282813342544
CDMS-10-5A-SZURO,-1.0150812566492946,-0.9912759920840662
CDMS-10-5B-SRAJA,-1.2272671892640996,-1.463659615679837
CDMS-10-5C-DAAUSA,1.431550245669908,0.7639552949623345
CDMS-10-5C-ICAPA,1.2317818777376042,-0.5971101329802558
CDMS-10-5C-JFALGI,-0.17531386293465967,-1.1950356642644293
CDMS-10-5C-MAORTO,1.032322983993099,-0.23807638564858719
CDMS-10-5C-NBEMO,0.1116261564590133,-0.3633520418579358
CDMS-10-6B-ASCACO,-1.2047843814940002,-1.5807058086828736
CDMS-10-6B-JJMOBE,-0.35126586162556545,0.5381371204186028
CDMS-11-4A-GACHSA,-0.11275671900067148,-0.4600996732210695
CDMS-11-5A-EAARCA,-0.9881153872579616,-1.3038435858278108
CDMS-11-5A-MGTHAR,0.9475708061146486,-0.642332702678543
CDMS-11-6A-DFVEBE,-1.0293353422589642,-0.9959202956972818
CDMS-11-6A-NMREPR,-1.3563843276187744,-1.1885864401209834
CDMS-11-6B-ARAHE,-1.2529330468797866,-1.5809041726497128
CDMS-11-6B-AVROTO,-1.4333489283547627,-0.9282388321240871
CDMS-11-6B-EAFESA,-0.1605964574648981,0.3966173741498513
CDMS-11-6B-EFRGR,-0.48568076610348704,-1.62536835625679
CDMS-11-6B-EROCO,-0.28090779007153116,-0.4845872300626501
CDMS-11-6B-JACUPE,2.0737004500732796,0.6388125173376761
CDMS-11-6B-JDCHBA,3.7989319224311107,1.7589391753424828
CDMS-11-6B-JFSAHE,-0.5782946394825781,0.779118639983682
CDMS-11-6B-JLPENA,0.27645623788707196,0.3862840716209035
CDMS-11-6B-JMARME,0.8690995148079206,0.45865720133507504
CDMS-11-6B-JPSAMA,-0.14531101178402303,0.17818742626750794
CDMS-11-6B-LESTA,-0.20134113606925308,-0.838191997075723
CDMS-11-6B-MAGIMU,0.39856617585268606,-0.14688313020433746
CDMS-11-6B-MEBRTA,2.4950443934986097,1.9358880389556867
