subject,pe_T6W30,z_l2_T6W30,y_true,y_pred
CDMS-10-4A-JURAN,0.10513644188216041,0.488281789270645,7,8.702987467278579
CDMS-10-5A-HEPIHO,0.2799660785022672,0.06366632412407958,11,8.45320163875212
CDMS-10-5A-KSRAGU,0.21342190318726809,-0.2991248931931417,9,8.0238662461199
CDMS-10-5A-SROPU,-0.3966034861671979,0.355214017841962,10,8.068179767800537
CDMS-10-5A-SZURO,0.6191006613381401,-0.5969976720137972,10,8.131672225450115
CDMS-10-5B-SRAJA,0.73536308883288,-0.8560291154543959,4,7.988903209504257
CDMS-10-5C-DAAUSA,-0.7214750975700432,0.36548297114412887,3,7.753577109699859
CDMS-10-5C-ICAPA,-0.6120165905603685,-0.38085692043254826,7,7.116695725132857
CDMS-10-5C-JFALGI,0.15896932972232222,-0.7087292379772858,12,7.55980932787081
CDMS-10-5C-MAORTO,-0.5027276528519053,-0.18398085367289194,4,7.422860729600976
CDMS-10-5C-NBEMO,0.0017471105629711645,-0.25267572884418754,9,7.858640617844557
CDMS-10-6B-ASCACO,0.7230441486654631,-0.9202113665070865,9,7.9124020182841495
CDMS-10-6B-JJMOBE,0.255378202064921,0.24165563085250497,9,8.6066030690432
CDMS-11-4A-GACHSA,0.12469257385412551,-0.30572726863019933,2,7.928534541349699
CDMS-11-5A-EAARCA,0.6043253301165654,-0.7683940349187911,6,7.945500531323548
CDMS-11-5A-MGTHAR,-0.45628963590050675,-0.40565470536817594,9,7.247624894857091
CDMS-11-6A-DFVEBE,0.6269108614502582,-0.5995443747541468,11,8.136935722821885
CDMS-11-6A-NMREPR,0.806109870918288,-0.7051928075095389,9,8.210486299534523
CDMS-11-6B-ARAHE,0.7494261083429958,-0.9203201393393575,7,7.938675205129411
CDMS-11-6B-AVROTO,0.8482808631346924,-0.5624312609038259,10,8.39541883835664
CDMS-11-6B-EAFESA,0.1509052640924622,0.16405331290527841,7,8.424527813123515
CDMS-11-6B-EFRGR,0.3290277738979708,-0.9447020634489979,7,7.493894946574746
CDMS-11-6B-EROCO,0.21682710637296332,-0.3191550143821059,8,8.007241328116631
CDMS-11-6B-JACUPE,-1.0733266112880182,0.296860959911961,8,7.333103584749716
CDMS-11-6B-JDCHBA,-2.0186277276008084,0.9110821364436121,6,7.002023644968577
CDMS-11-6B-JFSAHE,0.37977342704308564,0.3737977876451102,8,8.863140450813969
CDMS-11-6B-JLPENA,-0.08856776165700103,0.1583870490132172,6,8.17938852348199
CDMS-11-6B-JMARME,-0.41329308705516393,0.19807283683429902,4,7.894348985904909
CDMS-11-6B-JPSAMA,0.14252995382425676,0.0442773048804212,10,8.29637649483045
CDMS-11-6B-LESTA,0.17323037859774293,-0.5130541011236323,8,7.769745513599884
CDMS-11-6B-MAGIMU,-0.15547510859637975,-0.13397505455148745,9,7.820119072977906
CDMS-11-6B-MEBRTA,-1.3041923857960935,1.0081120021447232,9,7.813488852474403
CDMS-11-6B-MMAMO,0.5445360198278727,-0.20346150922891737,9,8.450643746724728
CDMS-11-6B-RSECA,-0.3986387337270801,0.12826456139412465,10,7.839195063792818
CDMS-11-6B-SCAPA,1.0079693131828174,-1.1123991074775639,3,8.005139441831027
CDMS-11-6B-VZAPE,-0.5202839527135857,0.28798494454250845,12,7.877270227954696
CDMS-11-6B-YLNIME,0.5349624007217668,-0.2425772081832311,9,8.40195442866431
CDMS-11-7C-ICARE,0.24556065800175267,-0.3770131479712548,11,7.978116746156271
CDMS-11-7C-IMOIB,0.13175929977304804,0.47594643316193114,5,8.717274969060753
CDMS-11-7C-SALMA,0.24332595382651784,-0.36770529420255327,10,7.985189895749738
