r2,rmse,mae,rho
0.028766601764334432,2.1984492758394545,1.7725979243783057,0.019717724772466545
-0.10136082611293906,2.0696016295666437,1.5925673045917874,0.12657312405217788
0.07549741996926096,1.4980800009005821,1.2070729689252542,0.29283774569344284
-0.09933989139332455,2.1174395894680074,1.7113972649702531,0.007611682139746018
-0.06400729452319953,1.8322907216880187,1.5103765668022222,0.024274297763431377
0.04948026691027685,1.974613743915369,1.5201782688132457,0.1339570108772872
-0.127166783970718,2.162269128577488,1.7735976084260325,-0.12607123825444783
0.03636322350203047,2.2694327398669096,1.7247729463448198,0.17333876145512522
-0.0793734825407566,2.6120348715064012,2.080195504097569,-0.003105724856922486
0.0006002793130257533,2.5933087913485293,1.9327751534478328,0.05595179017292184
-0.03817892901747966,2.436337815991051,1.8697111555468557,0.0006905219478789714
0.04290082806248341,2.0290947321266763,1.6430331205037993,0.26909907771854835
-0.004563397541335279,2.141129382283804,1.537281603006074,0.1712169389905116
-0.0077180297170795775,2.0360885464534233,1.6165766178292116,0.18918786618114086
0.01698163940935815,2.1561490774969503,1.7379758455517655,0.21950945529723492
0.010199712199330913,2.3035335099888297,1.8066233635773297,0.08185539673445973
0.017733511127364432,2.2580471184484283,1.7831954936314458,0.23835476717047283
-0.04059311510484065,2.046216480058276,1.6045977765261166,-0.2513239842550087
-0.09189635205388447,2.035452838781258,1.667604503966036,-0.08598524827485864
-0.05901558433439358,1.9916346723108425,1.6530908362372436,-0.15364448590157423
0.016110792356322734,1.8391527983359839,1.48728711606105,0.08806553653957296
-0.020420984765271433,1.9414473338051628,1.6176674556202537,-0.07030895979574975
-0.15423818920807464,1.776817517612895,1.5225429411821656,-0.10834656003911894
-0.005296150552622558,2.2072199270857102,1.6907604148506352,0.07331044370458431
-0.04849027682829554,1.9421852030098865,1.5391346568858697,0.05219104319894306
-0.006130136183732038,1.7274716119780131,1.3800442972121767,0.1304299455759981
-0.005903116313976886,2.3590683821538367,1.7881761565529977,0.14592927944969136
-0.032593289787004265,2.1090505378938107,1.6648763668214634,0.0010379566554199115
-0.018666681838746424,2.0628851476548853,1.5662475869937746,-0.14007274315743098
0.014041034845535538,2.123958526274805,1.7061152479743704,0.15880736827924646
0.13151917314900086,2.0075391755009373,1.4977751928081717,0.4318703684699693
-0.04739605293529858,2.215515052149349,1.7846240962316873,-0.005526102733128083
0.07557506740491682,2.4916693134179178,1.9616456466235557,0.4217398092912127
-0.10789126129290838,1.9799572260234812,1.6546618200099075,-0.30204538672719433
-0.0006520904521603033,2.0665271445789863,1.608399044861906,0.024959071539807757
0.02680028359636022,2.1453539636164445,1.7369597538123462,0.32960932359883544
0.037664546329290616,1.9605222574756878,1.5424774667336967,0.18999966151057474
-0.012100668894205358,2.38428851351249,1.8323777738745004,0.20173794786602336
-0.08188550018057072,1.701047790710703,1.381309408350103,0.07168401834605792
-0.11198703818651068,2.820749749179687,2.1243208510440224,-0.11418189477578432
0.07099564629697386,1.813455387219905,1.5052491020759033,0.2414056402839289
-0.09246530094395,1.7093448622633025,1.373912631249468,0.026225860370509002
-0.015521400962097864,2.146836002062351,1.6860053207457533,-0.1591812241322616
-0.07298227055620443,2.430260118525934,1.8519967641402546,-0.058461324325383264
-0.07082852638522463,2.089422295910392,1.578067054761837,-0.03219356914773599
-0.07434267399321781,1.7011908504565254,1.405600039106185,-0.15965727072418362
0.015367755568657548,2.313936465903737,1.7756420087269857,0.2005966258588412
0.04746480609281645,2.2236111932591625,1.758356281034091,0.238908771775436
