target,window,feature_type,covariates,n_subjects,n_candidate_predictors,n_selected_per_split,predictors,n_iter,alpha_mean,alpha_std,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,rmse_mean,rmse_std,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_std,mae_ci_lower,mae_ci_upper,rho_mean,rho_std,rho_ci_lower,rho_ci_upper,frac_r2_below_zero
MOT,T6W30,z,,252,13,13,"z_nodes_T6W30, z_edges_T6W30, z_re_T6W30, z_pe_T6W30, z_l1_T6W30, z_l2_T6W30, z_l3_T6W30, z_lcc_T6W30, z_lsc_T6W30, z_atd_T6W30, z_density_T6W30, z_diameter_T6W30, z_asp_T6W30",400,931.5118095502969,224.95658554440845,-0.011279849550752688,0.02979765953462638,-0.014208851162436644,-0.008350847939068732,7.823756940513776,0.4880497764685736,7.775783421647393,7.871730459380158,6.707710237823369,0.3700848080767133,6.671332246523186,6.744088229123551,-0.005315588823910779,0.18352449738820698,-0.023355379768192613,0.012724202120371054,0.665
COG,T6W30,z,,252,13,13,"z_nodes_T6W30, z_edges_T6W30, z_re_T6W30, z_pe_T6W30, z_l1_T6W30, z_l2_T6W30, z_l3_T6W30, z_lcc_T6W30, z_lsc_T6W30, z_atd_T6W30, z_density_T6W30, z_diameter_T6W30, z_asp_T6W30",400,224.65098453456227,297.788409304927,-0.012520091209703703,0.07673336476773411,-0.02006270202494081,-0.004977480394466594,2.1750520862376805,0.2650713902958493,2.148996532160165,2.201107640315196,1.7017741952395944,0.1933253715871754,1.6827710139897307,1.720777376489458,0.10021985751087317,0.1780379158271647,0.0827193775891988,0.11772033743254755,0.4975
MOT_V4,T6W30,z,,252,13,13,"z_nodes_T6W30, z_edges_T6W30, z_re_T6W30, z_pe_T6W30, z_l1_T6W30, z_l2_T6W30, z_l3_T6W30, z_lcc_T6W30, z_lsc_T6W30, z_atd_T6W30, z_density_T6W30, z_diameter_T6W30, z_asp_T6W30",400,862.2329733276792,295.0733227067972,-0.013607383892070581,0.022976464517725056,-0.015865886830028247,-0.011348880954112916,3.481633378493194,0.25998354754294933,3.4560779408629427,3.5071888161234455,2.9060458326995002,0.16790672165439466,2.889541212336052,2.9225504530629483,0.00554000629136751,0.17706435250977443,-0.011864775895308623,0.022944788478043644,0.72
COG_V1,T6W30,z,,252,13,13,"z_nodes_T6W30, z_edges_T6W30, z_re_T6W30, z_pe_T6W30, z_l1_T6W30, z_l2_T6W30, z_l3_T6W30, z_lcc_T6W30, z_lsc_T6W30, z_atd_T6W30, z_density_T6W30, z_diameter_T6W30, z_asp_T6W30",400,806.722249823494,284.67060409950636,-0.006719267225968798,0.03787377656755749,-0.010442121783657296,-0.0029964126682802995,1.3389184529227414,0.1065042092574203,1.3284494763172598,1.3493874295282229,1.0371925466303948,0.07603663076226615,1.029718422235125,1.0446666710256647,0.0929034195268152,0.20048370688506822,0.07319659993917736,0.11261023911445305,0.4625
