"target","window","set","metric","mean","std","ci_lower","ci_upper","t_critical","df","significant","run_name"
"MOT_V4","T7W20","TEST","rho","0.04461","0.188827","0.026049","0.063171","1.9659","399","True","W20_raw_all"
"COG_V1","T7W20","VALIDATION","R2","-0.017242","0.035161","-0.020698","-0.013786","1.9659","399","True","W20_raw_all"
"COG_V1","T7W20","VALIDATION","RMSE","1.346914","0.078006","1.339246","1.354581","1.9659","399","True","W20_raw_all"
"COG_V1","T7W20","VALIDATION","MAE","1.036991","0.056356","1.031451","1.04253","1.9659","399","True","W20_raw_all"
"COG_V1","T7W20","VALIDATION","rho","-0.093347","0.122623","-0.1054","-0.081293","1.9659","399","True","W20_raw_all"
"COG_V1","T7W20","TEST","R2","-0.018217","0.032783","-0.021439","-0.014994","1.9659","399","True","W20_raw_all"
"COG_V1","T7W20","TEST","RMSE","1.355097","0.113048","1.343985","1.36621","1.9659","399","True","W20_raw_all"
"COG_V1","T7W20","TEST","MAE","1.04083","0.081558","1.032814","1.048847","1.9659","399","True","W20_raw_all"
"COG_V1","T7W20","TEST","rho","-0.098977","0.196117","-0.118254","-0.079699","1.9659","399","True","W20_raw_all"
"MOT","T7W20","VALIDATION","R2","-0.01364","0.024241","-0.016023","-0.011257","1.9659","399","True","W20_raw_top5"
"MOT","T7W20","VALIDATION","RMSE","7.646199","0.318954","7.614847","7.677551","1.9659","399","True","W20_raw_top5"
"MOT","T7W20","VALIDATION","MAE","6.513438","0.236804","6.490161","6.536715","1.9659","399","True","W20_raw_top5"
"MOT","T7W20","VALIDATION","rho","-0.020783","0.117569","-0.03234","-0.009226","1.9659","399","True","W20_raw_top5"
"MOT","T7W20","TEST","R2","-0.014652","0.027398","-0.017345","-0.011958","1.9659","399","True","W20_raw_top5"
"MOT","T7W20","TEST","RMSE","7.76969","0.491137","7.721413","7.817967","1.9659","399","True","W20_raw_top5"
"MOT","T7W20","TEST","MAE","6.594009","0.376445","6.557005","6.631012","1.9659","399","True","W20_raw_top5"
"MOT","T7W20","TEST","rho","0.003624","0.188145","-0.01487","0.022118","1.9659","399","False","W20_raw_top5"
"COG","T7W20","VALIDATION","R2","-0.015074","0.040058","-0.019012","-0.011136","1.9659","399","True","W20_raw_top5"
"COG","T7W20","VALIDATION","RMSE","2.255023","0.150157","2.240263","2.269783","1.9659","399","True","W20_raw_top5"
"COG","T7W20","VALIDATION","MAE","1.753763","0.096706","1.744257","1.763268","1.9659","399","True","W20_raw_top5"
"COG","T7W20","VALIDATION","rho","0.068992","0.120033","0.057193","0.080791","1.9659","399","True","W20_raw_top5"
"COG","T7W20","TEST","R2","-0.021035","0.070253","-0.02794","-0.014129","1.9659","399","True","W20_raw_top5"
"COG","T7W20","TEST","RMSE","2.220493","0.230471","2.197839","2.243148","1.9659","399","True","W20_raw_top5"
"COG","T7W20","TEST","MAE","1.722541","0.148444","1.70795","1.737133","1.9659","399","True","W20_raw_top5"
"COG","T7W20","TEST","rho","0.065333","0.200179","0.045656","0.08501","1.9659","399","True","W20_raw_top5"
"MOT_V4","T7W20","VALIDATION","R2","-0.012273","0.02908","-0.015131","-0.009414","1.9659","399","True","W20_raw_top5"
"MOT_V4","T7W20","VALIDATION","RMSE","3.454655","0.178294","3.43713","3.472181","1.9659","399","True","W20_raw_top5"
"MOT_V4","T7W20","VALIDATION","MAE","2.866176","0.118359","2.854542","2.87781","1.9659","399","True","W20_raw_top5"
"MOT_V4","T7W20","VALIDATION","rho","0.027024","0.121668","0.015064","0.038983","1.9659","399","True","W20_raw_top5"
"MOT_V4","T7W20","TEST","R2","-0.013075","0.041724","-0.017176","-0.008973","1.9659","399","True","W20_raw_top5"
"MOT_V4","T7W20","TEST","RMSE","3.492401","0.275744","3.465296","3.519506","1.9659","399","True","W20_raw_top5"
"MOT_V4","T7W20","TEST","MAE","2.899067","0.186412","2.880744","2.917391","1.9659","399","True","W20_raw_top5"
"MOT_V4","T7W20","TEST","rho","0.039008","0.193802","0.019958","0.058058","1.9659","399","True","W20_raw_top5"
"COG_V1","T7W20","VALIDATION","R2","-0.01722","0.035149","-0.020676","-0.013765","1.9659","399","True","W20_raw_top5"
"COG_V1","T7W20","VALIDATION","RMSE","1.346881","0.077395","1.339274","1.354489","1.9659","399","True","W20_raw_top5"
"COG_V1","T7W20","VALIDATION","MAE","1.035749","0.05324","1.030516","1.040982","1.9659","399","True","W20_raw_top5"
"COG_V1","T7W20","VALIDATION","rho","-0.108213","0.116479","-0.119663","-0.096764","1.9659","399","True","W20_raw_top5"
"COG_V1","T7W20","TEST","R2","-0.020904","0.039419","-0.024778","-0.017029","1.9659","399","True","W20_raw_top5"
"COG_V1","T7W20","TEST","RMSE","1.35679","0.113704","1.345614","1.367967","1.9659","399","True","W20_raw_top5"
"COG_V1","T7W20","TEST","MAE","1.041008","0.08146","1.033","1.049015","1.9659","399","True","W20_raw_top5"
"COG_V1","T7W20","TEST","rho","-0.123146","0.183727","-0.141205","-0.105086","1.9659","399","True","W20_raw_top5"
"MOT","T7W20","VALIDATION","R2","-0.007716","0.014722","-0.009163","-0.006269","1.9659","399","True","W20_z_all"
"MOT","T7W20","VALIDATION","RMSE","7.624129","0.309878","7.593669","7.654589","1.9659","399","True","W20_z_all"
"MOT","T7W20","VALIDATION","MAE","6.495463","0.222819","6.473561","6.517366","1.9659","399","True","W20_z_all"
"MOT","T7W20","VALIDATION","rho","-0.013532","0.124269","-0.025748","-0.001317","1.9659","399","True","W20_z_all"
"MOT","T7W20","TEST","R2","-0.010608","0.020834","-0.012656","-0.00856","1.9659","399","True","W20_z_all"
"MOT","T7W20","TEST","RMSE","7.755229","0.498027","7.706275","7.804184","1.9659","399","True","W20_z_all"
"MOT","T7W20","TEST","MAE","6.585539","0.377377","6.548444","6.622633","1.9659","399","True","W20_z_all"
"MOT","T7W20","TEST","rho","-0.012995","0.189666","-0.031638","0.005649","1.9659","399","False","W20_z_all"
"COG","T7W20","VALIDATION","R2","-0.013574","0.028164","-0.016343","-0.010806","1.9659","399","True","W20_z_all"
"COG","T7W20","VALIDATION","RMSE","2.253583","0.147419","2.239092","2.268074","1.9659","399","True","W20_z_all"
"COG","T7W20","VALIDATION","MAE","1.742233","0.091328","1.733255","1.75121","1.9659","399","True","W20_z_all"
"COG","T7W20","VALIDATION","rho","-0.028111","0.123051","-0.040206","-0.016015","1.9659","399","True","W20_z_all"
"COG","T7W20","TEST","R2","-0.014042","0.031192","-0.017108","-0.010976","1.9659","399","True","W20_z_all"
"COG","T7W20","TEST","RMSE","2.21436","0.227421","2.192006","2.236715","1.9659","399","True","W20_z_all"
"COG","T7W20","TEST","MAE","1.709172","0.143886","1.695029","1.723316","1.9659","399","True","W20_z_all"
"COG","T7W20","TEST","rho","-0.017525","0.203045","-0.037484","0.002434","1.9659","399","False","W20_z_all"
