"target","window","feature_type","covariates","n_subjects","n_candidate_predictors","n_selected_per_split","predictors","n_iter","alpha_mean","alpha_std","r2_mean","r2_std","r2_ci_lower","r2_ci_upper","rmse_mean","rmse_std","rmse_ci_lower","rmse_ci_upper","mae_mean","mae_std","mae_ci_lower","mae_ci_upper","rho_mean","rho_std","rho_ci_lower","rho_ci_upper","frac_r2_below_zero","run_name"
"MOT","T7W20","raw","","250","13","13","nodes_T7W20, edges_T7W20, re_T7W20, pe_T7W20, l1_T7W20, l2_T7W20, l3_T7W20, lcc_T7W20, lsc_T7W20, atd_T7W20, density_T7W20, diameter_T7W20, asp_T7W20","400","940.4960224351363","177.7438121940233","-0.012175915309295406","0.023270457732654428","-0.01446331671155533","-0.009888513907035481","7.76074502834464","0.4936840643117146","7.712217679465063","7.809272377224218","6.5846579852097635","0.3774757810149882","6.547553488137442","6.621762482282085","-0.005089145372218544","0.19678738048060002","-0.02443262951119753","0.014254338766760442","0.7325","W20_raw_all"
"COG","T7W20","raw","","250","13","13","nodes_T7W20, edges_T7W20, re_T7W20, pe_T7W20, l1_T7W20, l2_T7W20, l3_T7W20, lcc_T7W20, lsc_T7W20, atd_T7W20, density_T7W20, diameter_T7W20, asp_T7W20","400","815.3303228251779","292.44305062794024","-0.009443653542343822","0.058558106278441845","-0.015199702518855062","-0.0036876045658325836","2.2089505097907196","0.23336199139969843","2.1860118743545636","2.2318891452268756","1.7117615985709609","0.1497775822707856","1.6970390067058023","1.7264841904361194","0.07880588863046427","0.19818074409874287","0.05932544191298278","0.09828633534794576","0.5","W20_raw_all"
"MOT_V4","T7W20","raw","","250","13","13","nodes_T7W20, edges_T7W20, re_T7W20, pe_T7W20, l1_T7W20, l2_T7W20, l3_T7W20, lcc_T7W20, lsc_T7W20, atd_T7W20, density_T7W20, diameter_T7W20, asp_T7W20","400","863.9406361801832","283.0872473118695","-0.009995629002450308","0.03426972450726532","-0.013364218344076393","-0.006627039660824224","3.487416133920763","0.2741428328465855","3.460468890017054","3.514363377824472","2.8955492117339996","0.1827412487820369","2.877586411280436","2.9135120121875633","0.044609660606501754","0.1888268005289647","0.026048672538436787","0.06317064867456672","0.5375","W20_raw_all"
"COG_V1","T7W20","raw","","250","13","13","nodes_T7W20, edges_T7W20, re_T7W20, pe_T7W20, l1_T7W20, l2_T7W20, l3_T7W20, lcc_T7W20, lsc_T7W20, atd_T7W20, density_T7W20, diameter_T7W20, asp_T7W20","400","932.667671147628","243.10658759259647","-0.018216587804436517","0.03278255584141694","-0.021438993872371123","-0.01499418173650191","1.3550973708828218","0.11304765758705172","1.3439851970933068","1.3662095446723368","1.0408304548847591","0.08155807352857823","1.0328135927371314","1.0488473170323869","-0.09897671766165289","0.19611726283416567","-0.1182543316720017","-0.07969910365130409","0.8025","W20_raw_all"
"MOT","T7W20","raw","","250","13","5","nodes_T7W20, edges_T7W20, re_T7W20, pe_T7W20, l1_T7W20, l2_T7W20, l3_T7W20, lcc_T7W20, lsc_T7W20, atd_T7W20, density_T7W20, diameter_T7W20, asp_T7W20","400","748.9823634687596","325.9948532582768","-0.014651613241901052","0.027398486931655912","-0.017344784908194747","-0.011958441575607355","7.769689664530559","0.4911373446277133","7.721412648938073","7.817966680123045","6.594008614362547","0.3764450552018666","6.557005433890757","6.631011794834337","0.00362404628928217","0.18814494247691044","-0.014869917610958946","0.022118010189523286","0.73","W20_raw_top5"
"COG","T7W20","raw","","250","13","5","nodes_T7W20, edges_T7W20, re_T7W20, pe_T7W20, l1_T7W20, l2_T7W20, l3_T7W20, lcc_T7W20, lsc_T7W20, atd_T7W20, density_T7W20, diameter_T7W20, asp_T7W20","400","457.66281297252294","333.16238583044736","-0.021034699084624006","0.07025301504389608","-0.02794031507940079","-0.014129083089847224","2.2204934398423375","0.23047149095475702","2.1978389300923604","2.2431479495923146","1.7225413749388314","0.1484442984299195","1.7079498400284712","1.7371329098491917","0.06533264819275825","0.20017918731642786","0.04565576177172701","0.08500953461378949","0.565","W20_raw_top5"
"MOT_V4","T7W20","raw","","250","13","5","nodes_T7W20, edges_T7W20, re_T7W20, pe_T7W20, l1_T7W20, l2_T7W20, l3_T7W20, lcc_T7W20, lsc_T7W20, atd_T7W20, density_T7W20, diameter_T7W20, asp_T7W20","400","599.1976813142221","362.66954142139514","-0.013074711995277287","0.041723562882826","-0.017175986552998235","-0.00897343743755634","3.4924010467521667","0.2757439338754028","3.465296420437654","3.5195056730666794","2.8990672262767343","0.1864119264181392","2.8807436115552036","2.917390840998265","0.03900848154419909","0.19380164251652615","0.019958484593322112","0.058058478495076074","0.595","W20_raw_top5"
"COG_V1","T7W20","raw","","250","13","5","nodes_T7W20, edges_T7W20, re_T7W20, pe_T7W20, l1_T7W20, l2_T7W20, l3_T7W20, lcc_T7W20, lsc_T7W20, atd_T7W20, density_T7W20, diameter_T7W20, asp_T7W20","400","859.3981376120286","306.8569518357578","-0.020903569186917867","0.03941900253716627","-0.02477831384020735","-0.017028824533628382","1.3567903317005499","0.11370445470957241","1.3456135971414824","1.3679670662596173","1.0410076231644871","0.08145975077234963","1.0330004257863734","1.0490148205426009","-0.1231456084921929","0.18372714128678394","-0.14120531859505295","-0.10508589838933285","0.85","W20_raw_top5"
"MOT","T7W20","z","","250","13","13","z_nodes_T7W20, z_edges_T7W20, z_re_T7W20, z_pe_T7W20, z_l1_T7W20, z_l2_T7W20, z_l3_T7W20, z_lcc_T7W20, z_lsc_T7W20, z_atd_T7W20, z_density_T7W20, z_diameter_T7W20, z_asp_T7W20","400","991.4274800321605","65.24987124224295","-0.010608003430667763","0.020833809851964473","-0.01265589120396788","-0.008560115657367647","7.755229289213671","0.4980273391387563","7.706275012207285","7.804183566220057","6.585538553611332","0.37737695582332903","6.548443770696101","6.622633336526562","-0.01299488212507845","0.1896664389762578","-0.03163840360025532","0.0056486393500984194","0.7025","W20_z_all"
"COG","T7W20","z","","250","13","13","z_nodes_T7W20, z_edges_T7W20, z_re_T7W20, z_pe_T7W20, z_l1_T7W20, z_l2_T7W20, z_l3_T7W20, z_lcc_T7W20, z_lsc_T7W20, z_atd_T7W20, z_density_T7W20, z_diameter_T7W20, z_asp_T7W20","400","880.5353629261838","274.4014102487395","-0.014041963134390078","0.031192307616907937","-0.017108053582732086","-0.01097587268604807","2.2143601565029916","0.2274208933689133","2.1920055094061586","2.2367148035998246","1.7091723580701688","0.1438860428327701","1.6950288831148195","1.723315833025518","-0.01752508531745028","0.20304513641396205","-0.03748368411645962","0.002433513481559065","0.695","W20_z_all"
