feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
l3_T7W20,0.0313296913844251,0.04848250509891228,1.0,400,1.0
lsc_T7W20,0.028510933460255003,0.07484590294621485,1.0,400,1.0
re_T7W20,0.021534045203805613,0.04985953038315855,1.0,400,1.0
lcc_T7W20,0.019619958708246777,0.07680044323093632,1.0,400,1.0
l2_T7W20,0.009772136945021397,0.05567170951433151,1.0,400,1.0
asp_T7W20,0.00783546062488456,0.029420459353496232,1.0,400,1.0
pe_T7W20,-0.0065335370020483,0.03755520876788718,1.0,400,1.0
l1_T7W20,0.005889734076658601,0.027930633521118027,1.0,400,1.0
nodes_T7W20,-0.0031387079241607403,0.01792819203965278,1.0,400,1.0
atd_T7W20,0.002241603206007739,0.010433793701446712,1.0,400,1.0
edges_T7W20,0.0021485756748560246,0.020242669130866624,1.0,400,1.0
density_T7W20,-0.0021303465546924603,0.01996543589909808,1.0,400,1.0
diameter_T7W20,-0.0017902448633929252,0.032106125769238485,1.0,400,1.0
