subject,edges_T6W50,re_T6W50,pe_T6W50,l1_T6W50,l2_T6W50,l3_T6W50,lcc_T6W50,lsc_T6W50
CDMS-10-4A-JURAN,49.0,2.130434782608696,3.1739130434782608,0.2130434782608695,1.0434782608695652,1.482608695652174,34.8,32.80434782608695
CDMS-10-5A-HEPIHO,48.75050709939149,2.3529411764705883,3.1156186612576064,0.0,0.7626774847870182,1.2920892494929006,35.57403651115619,32.935091277890464
CDMS-10-5A-KSRAGU,49.0,2.881081081081081,3.535135135135135,0.7513513513513513,0.654054054054054,0.5567567567567567,33.03243243243243,31.41081081081081
CDMS-10-5A-SROPU,49.0,4.988439306358382,5.855491329479769,0.8497109826589595,1.4219653179190752,0.5722543352601156,33.08670520231214,30.745664739884397
CDMS-10-5A-SZURO,49.0,3.778735632183908,4.195402298850575,0.2816091954022988,0.4166666666666667,1.1954022988505748,33.67528735632184,31.67528735632184
CDMS-10-5B-SRAJA,49.0,3.1187214611872145,3.625570776255708,0.2237442922374429,0.5068493150684932,2.0,32.63013698630137,30.82648401826484
CDMS-10-5C-DAAUSA,49.0,4.560723514211887,6.0051679586563305,0.3798449612403101,1.5684754521963824,1.9638242894056848,31.7312661498708,29.532299741602067
CDMS-10-5C-ICAPA,48.289855072463766,5.268115942028985,6.398550724637682,1.0507246376811594,1.1304347826086956,1.5507246376811594,28.86231884057971,25.456521739130437
CDMS-10-5C-JFALGI,49.0,3.981818181818182,4.903030303030303,0.0,0.9212121212121211,1.824242424242424,30.60606060606061,28.78181818181818
CDMS-10-5C-MAORTO,49.0,5.456989247311828,6.956989247311828,1.118279569892473,1.5,1.7446236559139785,29.54032258064516,27.5752688172043
CDMS-10-5C-NBEMO,49.0,4.591428571428572,5.668571428571428,1.74,1.237142857142857,1.94,31.025714285714287,29.114285714285717
CDMS-10-6B-ASCACO,49.0,4.431111111111111,4.795555555555556,0.0,0.3644444444444444,2.24,30.817777777777778,29.511111111111116
CDMS-10-6B-JJMOBE,49.0,3.257950530035336,4.332155477031802,0.0,1.0742049469964663,1.5441696113074206,33.84805653710247,31.636042402826856
CDMS-11-4A-GACHSA,49.0,6.125954198473282,6.887404580152672,0.7061068702290076,0.9408396946564884,1.6793893129770991,30.49618320610687,28.95419847328244
CDMS-11-5A-EAARCA,49.0,4.676136363636363,5.301136363636363,0.2784090909090909,0.625,1.8238636363636365,31.431818181818183,29.619318181818183
CDMS-11-5A-MGTHAR,49.0,6.25925925925926,7.345679012345679,1.008230452674897,1.2592592592592593,1.8106995884773665,29.88477366255144,27.51851851851852
CDMS-11-6A-DFVEBE,48.81647940074907,2.352059925093633,2.4232209737827715,2.097378277153558,0.50187265917603,1.3707865168539326,33.49438202247191,30.921348314606742
CDMS-11-6A-NMREPR,49.0,4.154882154882155,4.474747474747475,0.0,0.3198653198653198,0.6801346801346801,33.99326599326599,31.7979797979798
CDMS-11-6B-ARAHE,48.67763157894737,4.7993421052631575,4.726973684210527,1.5394736842105263,0.3684210526315789,1.3157894736842106,32.00986842105263,29.56907894736842
CDMS-11-6B-AVROTO,49.0,2.989130434782609,3.25,0.0,0.2608695652173913,1.5326086956521738,35.641304347826086,31.77717391304348
CDMS-11-6B-EAFESA,49.0,4.299465240641712,5.295900178253119,0.5240641711229946,0.9964349376114082,1.1853832442067735,33.15329768270945,30.925133689839573
CDMS-11-6B-EFRGR,49.0,6.147826086956521,6.707246376811594,0.982608695652174,0.5884057971014492,2.52463768115942,30.83768115942029,28.860869565217392
CDMS-11-6B-EROCO,48.53888888888889,4.088888888888889,4.838888888888889,0.2722222222222222,0.75,1.7555555555555555,31.17222222222222,29.072222222222223
CDMS-11-6B-JACUPE,48.35064935064935,4.387755102040816,6.142857142857143,1.9758812615955472,2.01113172541744,1.99443413729128,28.992578849721703,26.727272727272727
CDMS-11-6B-JDCHBA,49.0,5.001828153564899,6.73308957952468,1.4680073126142597,2.069469835466179,1.8592321755027423,30.93601462522852,28.654478976234003
CDMS-11-6B-JFSAHE,48.85714285714285,2.513119533527697,3.501457725947522,0.0,0.9883381924198252,1.1253644314868805,35.79300291545189,32.886297376093296
CDMS-11-6B-JLPENA,47.829351535836174,3.2286689419795223,4.235494880546075,0.5017064846416383,1.0204778156996588,2.2354948805460757,31.774744027303758,27.79522184300341
CDMS-11-6B-JMARME,48.71717171717172,3.757575757575758,4.97979797979798,0.2121212121212121,1.2222222222222223,1.6825396825396826,32.910533910533914,30.554112554112557
CDMS-11-6B-JPSAMA,48.81509433962264,2.875471698113208,3.7849056603773583,0.3698113207547169,0.909433962264151,0.8415094339622642,35.660377358490564,32.716981132075475
CDMS-11-6B-LESTA,49.0,4.27710843373494,5.056224899598393,0.393574297188755,0.7791164658634538,2.1004016064257027,31.46987951807229,29.73895582329317
CDMS-11-6B-MAGIMU,49.0,4.874100719424461,6.18705035971223,0.1762589928057553,1.3129496402877698,2.83453237410072,29.97482014388489,28.514388489208635
CDMS-11-6B-MEBRTA,49.0,4.065217391304348,6.413043478260869,1.2681159420289856,2.6594202898550723,1.420289855072464,30.91304347826087,29.07971014492753
CDMS-11-6B-MMAMO,49.0,2.5368731563421827,3.112094395280236,0.6843657817109144,0.7168141592920354,1.0058997050147491,34.71976401179941,32.525073746312685
CDMS-11-6B-RSECA,49.0,3.63573883161512,4.941580756013746,0.2268041237113402,1.3058419243986257,1.5189003436426116,31.90721649484536,30.27147766323024
CDMS-11-6B-SCAPA,49.0,3.263888888888889,3.3402777777777777,0.0,0.0763888888888889,1.3402777777777777,34.701388888888886,32.31944444444444
CDMS-11-6B-VZAPE,49.0,5.277777777777778,6.63425925925926,0.9074074074074074,1.3564814814814814,1.1712962962962965,31.194444444444443,29.425925925925927
CDMS-11-6B-YLNIME,49.0,3.3859649122807016,4.112280701754386,0.0,0.7263157894736842,0.968421052631579,33.487719298245615,31.67719298245614
CDMS-11-7C-ICARE,49.0,4.864754098360656,5.762295081967213,0.2827868852459016,0.8975409836065574,2.1598360655737703,32.26229508196721,29.84426229508197
CDMS-11-7C-IMOIB,49.0,1.986876640419948,3.136482939632546,0.6430446194225722,1.1496062992125984,0.984251968503937,35.333333333333336,32.93963254593176
CDMS-11-7C-SALMA,49.0,5.102102102102102,5.831831831831832,0.0,0.7297297297297297,1.3453453453453454,32.951951951951955,31.12912912912913
CDMS-11-7C-SPGAVE,48.54205607476636,3.7803738317757007,4.640186915887851,1.911214953271028,1.2850467289719627,1.6121495327102804,33.191588785046726,28.60280373831776
CDMS-12-5A-SRIGO,49.0,3.0831460674157305,3.6337078651685393,0.550561797752809,0.6584269662921348,0.7370786516853932,34.53258426966292,32.21123595505618
CDMS-12-6A-FAROPA,49.0,2.364217252396166,2.891373801916933,0.6261980830670927,0.5527156549520766,0.7859424920127795,34.90415335463259,33.0702875399361
CDMS-12-6A-JGIGA,49.0,3.5657894736842106,5.328947368421052,0.4605263157894737,1.763157894736842,1.3903508771929824,30.69736842105263,29.18421052631579
CDMS-12-6A-JSOTGU,49.0,4.582857142857143,5.110476190476191,0.56,0.5371428571428571,1.9714285714285715,31.03238095238095,29.34095238095238
CDMS-12-6A-SROAL,49.0,2.885026737967914,3.5106951871657754,0.393048128342246,0.6256684491978609,1.299465240641711,34.475935828877006,32.1524064171123
CDMS-12-6B-IJDAGA,49.0,3.757142857142857,4.864285714285714,2.5642857142857145,1.3642857142857143,1.9392857142857145,31.39642857142857,29.185714285714287
CDMS-12-6B-SCLAG,49.0,3.9583333333333335,4.99537037037037,1.125,1.2592592592592593,1.7939814814814814,32.00231481481482,29.71064814814815
