target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T6W40,VALIDATION,R2,-0.005983,0.024825,-0.008423,-0.003543,1.9659,399,True
MOT,T6W40,VALIDATION,RMSE,7.620023,0.316,7.588961,7.651085,1.9659,399,True
MOT,T6W40,VALIDATION,MAE,6.46192,0.24649,6.437691,6.486149,1.9659,399,True
MOT,T6W40,VALIDATION,rho,0.052964,0.112354,0.04192,0.064008,1.9659,399,True
MOT,T6W40,TEST,R2,-0.004008,0.033759,-0.007327,-0.00069,1.9659,399,True
MOT,T6W40,TEST,RMSE,7.795888,0.500565,7.746684,7.845091,1.9659,399,True
MOT,T6W40,TEST,MAE,6.652203,0.398453,6.613037,6.69137,1.9659,399,True
MOT,T6W40,TEST,rho,0.079821,0.189343,0.061209,0.098433,1.9659,399,True
COG,T6W40,VALIDATION,R2,0.009292,0.053427,0.00404,0.014544,1.9659,399,True
COG,T6W40,VALIDATION,RMSE,2.230567,0.18945,2.211944,2.249189,1.9659,399,True
COG,T6W40,VALIDATION,MAE,1.747771,0.127194,1.735268,1.760274,1.9659,399,True
COG,T6W40,VALIDATION,rho,0.152524,0.125588,0.140179,0.164869,1.9659,399,True
COG,T6W40,TEST,R2,0.001279,0.081896,-0.006772,0.009329,1.9659,399,False
COG,T6W40,TEST,RMSE,2.160442,0.270214,2.133881,2.187003,1.9659,399,True
COG,T6W40,TEST,MAE,1.689388,0.187374,1.670969,1.707806,1.9659,399,True
COG,T6W40,TEST,rho,0.141449,0.19473,0.122308,0.160591,1.9659,399,True
MOT_V4,T6W40,VALIDATION,R2,-0.000388,0.031627,-0.003497,0.002721,1.9659,399,False
MOT_V4,T6W40,VALIDATION,RMSE,3.44901,0.175252,3.431783,3.466236,1.9659,399,True
MOT_V4,T6W40,VALIDATION,MAE,2.846406,0.119069,2.834702,2.85811,1.9659,399,True
MOT_V4,T6W40,VALIDATION,rho,0.110769,0.120125,0.098961,0.122577,1.9659,399,True
MOT_V4,T6W40,TEST,R2,-0.005056,0.048242,-0.009798,-0.000314,1.9659,399,True
MOT_V4,T6W40,TEST,RMSE,3.466299,0.270398,3.43972,3.492878,1.9659,399,True
MOT_V4,T6W40,TEST,MAE,2.874171,0.181898,2.856291,2.892051,1.9659,399,True
MOT_V4,T6W40,TEST,rho,0.116947,0.193304,0.097946,0.135948,1.9659,399,True
COG_V1,T6W40,VALIDATION,R2,-0.012707,0.050252,-0.017646,-0.007767,1.9659,399,True
COG_V1,T6W40,VALIDATION,RMSE,1.389563,0.079733,1.381726,1.397401,1.9659,399,True
COG_V1,T6W40,VALIDATION,MAE,1.08024,0.059232,1.074418,1.086063,1.9659,399,True
COG_V1,T6W40,VALIDATION,rho,0.121468,0.133161,0.108379,0.134557,1.9659,399,True
COG_V1,T6W40,TEST,R2,-0.020694,0.072915,-0.027861,-0.013527,1.9659,399,True
COG_V1,T6W40,TEST,RMSE,1.347974,0.118403,1.336335,1.359612,1.9659,399,True
COG_V1,T6W40,TEST,MAE,1.040626,0.083308,1.032437,1.048815,1.9659,399,True
COG_V1,T6W40,TEST,rho,0.112122,0.194094,0.093043,0.131201,1.9659,399,True
