subject,density_T6W30,z_l1_T6W30,z_diameter_T6W30,z_asp_T6W30
CDMS-10-4A-JURAN,-0.8116421284543687,-0.5878379183390879,-1.3199316080712815,-1.115762425936874
CDMS-10-5A-HEPIHO,-1.113140788859453,-0.8989210578700427,-1.4254170023248869,-1.3642481566682758
CDMS-10-5A-KSRAGU,-0.2285287822804001,0.6234458457488952,-0.6406088799887968,-0.37379990990955386
CDMS-10-5A-SROPU,-0.27621872809832104,0.04616613621829535,1.2675282575725617,1.220891027490091
CDMS-10-5A-SZURO,-0.017345444105914123,-0.3352648642895329,-0.3978492222242008,-0.5464105984796387
CDMS-10-5B-SRAJA,0.5054789803611618,-0.957251494979664,-1.0172478514287604,-1.1870526104622532
CDMS-10-5C-DAAUSA,0.5077002237596699,-0.9684741428060415,0.16970913276944094,0.132970125738848
CDMS-10-5C-ICAPA,2.73173514985969,0.013108564127116059,-0.4429924117223931,-0.6291193266939604
CDMS-10-5C-JFALGI,1.8059397399596073,-1.5969905719952187,-1.027144674538913,-1.3887014113631435
CDMS-10-5C-MAORTO,1.9239573153528848,0.1594947378879181,1.2152931203518496,0.8827633136030026
CDMS-10-5C-NBEMO,0.7367313305925048,1.7155807521318716,1.0889134980658475,1.5153612984335332
CDMS-10-6B-ASCACO,0.8056929943096507,-1.4248854189518405,-1.9659232605809254,-1.9024286024129047
CDMS-10-6B-JJMOBE,-0.15370893440901331,-1.0413111031120057,-1.3589640499359052,-1.1879560842753614
CDMS-11-4A-GACHSA,0.8908908844431916,-0.15618854317860173,1.2051777460301085,1.5172301360265763
CDMS-11-5A-EAARCA,0.8089841575651661,-0.8379942149917742,-0.0395635942261356,-0.05723429141636429
CDMS-11-5A-MGTHAR,2.46175494475616,-0.4851753149135806,1.2011652679898837,1.177672803513782
CDMS-11-6A-DFVEBE,-0.027780857887776674,2.7200403743166914,-0.17334372785349647,-0.3689104242874068
CDMS-11-6A-NMREPR,-0.4133477278558961,-0.9750081344327716,-0.7057658997301658,-0.7620553761519705
CDMS-11-6B-ARAHE,0.395950868291579,1.488071042626866,-0.14181659395962476,0.02340634487573169
CDMS-11-6B-AVROTO,-0.44360407853488926,-0.8177094869362967,-0.23819214667795532,-0.4019171607783054
CDMS-11-6B-EAFESA,-0.48955910555772497,0.29019009226273174,0.12747601707876566,0.27533029706598133
CDMS-11-6B-EFRGR,1.097970017187559,0.08145100522969438,1.0376059950935426,1.2885351290441998
CDMS-11-6B-EROCO,0.574336653614189,-0.6451887467928685,-0.13045863185482298,-0.21353942910175372
CDMS-11-6B-JACUPE,2.265460849141411,1.6710487432200902,1.627410162349685,1.8075469351142768
CDMS-11-6B-JDCHBA,0.9714562243738438,1.1225487633085098,1.8711082880765728,1.941495192628787
CDMS-11-6B-JFSAHE,-1.0207359804473166,-0.9068682722035066,-1.028968185221574,-0.9603335557026546
CDMS-11-6B-JLPENA,0.4256839240423731,-0.12719231166020442,1.310667800538509,1.0224201927841003
CDMS-11-6B-JMARME,0.14131504282356927,-0.9098212729834815,0.1087685187776888,0.23723867494182438
CDMS-11-6B-JPSAMA,-0.9990048675188011,-0.00801721068092049,-0.3851056065091466,-0.45132633964912316
CDMS-11-6B-LESTA,0.6712628536286948,-0.3476690542831539,0.28357979379894155,-0.10090041194504594
CDMS-11-6B-MAGIMU,1.3838328279165755,-1.226281084977794,-0.27026726651658767,-0.2550812376842695
CDMS-11-6B-MEBRTA,0.6468773309649642,0.48470301570691116,0.7084093268410828,0.8121466358844845
CDMS-11-6B-MMAMO,-0.6371006578157901,0.41954997144292405,-0.7047599913194971,-0.7842204361065926
CDMS-11-6B-RSECA,0.5711891374163005,-0.8233121890540596,-1.1403885955344923,-1.0107213789844465
CDMS-11-6B-SCAPA,-0.5290317278398963,-1.0070010529803817,-1.4266948156345638,-1.4097165292662248
CDMS-11-6B-VZAPE,0.35089801713089896,0.24221738641907375,0.35961093500265284,0.3668280009505738
CDMS-11-6B-YLNIME,-0.43803568175182606,-0.9766631727353012,-0.9774511026164622,-1.0709714192656987
CDMS-11-7C-ICARE,0.6949821250888093,-0.6411736769649765,1.470389211114764,1.1735563749279783
CDMS-11-7C-IMOIB,-1.089175814683123,0.4354618365259302,-0.15248920940323432,-0.23048593430691694
CDMS-11-7C-SALMA,-0.197227398502099,-1.192384175772446,0.7349874190858013,0.751304746131775
CDMS-11-7C-SPGAVE,-0.15288255066322615,2.618982046286905,2.2937148896113055,2.050071928656847
CDMS-12-5A-SRIGO,-0.7712152459334553,0.0859846365386303,-0.6932217722555003,-0.8126645791490047
