subject,density_T6W30,z_l1_T6W30,z_diameter_T6W30,z_asp_T6W30,y_true,y_pred
CDMS-8-4C-JDBUTU,0.905070680466059,-0.3787121827390366,0.0,0.0,3,5.787157666453407
CDMS-9-4A-ACDUTR,0.3796904777766179,-0.10881142335649896,0.0,0.0,3,5.531678223146503
CDMS-9-4A-CARGA,0.3325265432352929,-0.048647390598093365,0.0,0.0,3,5.544678321363584
CDMS-9-4A-CRAAG,0.9568758543057334,-0.013460380276887118,0.0,0.0,14,6.204214642755231
CDMS-9-4A-EROHI,-0.279492731622593,-0.25812636482089335,0.0,0.0,2,4.723180072282898
CDMS-9-4A-ILOSE,0.7879482427753216,0.25030761657333145,0.0,0.0,1,6.2990550280750375
CDMS-9-4A-TGAFR,0.6865852128285984,0.2071678899273176,0.0,0.0,2,6.1545522714823
CDMS-9-4C-SCAMO,-1.005065531520293,-0.05600549826370549,0.0,0.0,1,4.199728138942386
CDMS-9-5A-ABERO,0.036131872627399836,-0.20978662500694426,0.0,0.0,6,5.08714441634684
CDMS-9-5A-PAGACO,0.07936344488493453,-0.05303043247771867,0.0,0.0,6,5.2871321811336
CDMS-9-5A-VVAAR,0.7334169228734361,0.10822020277050226,0.0,0.0,2,6.102436294370323
CDMS-9-5C-JDMADE,0.1497121951338244,-0.6428625052963094,0.0,0.0,6,4.767648858563899
CDMS-9-5C-LVIZAC,-0.027246654329031735,-0.008355780090726121,0.0,0.0,2,5.225196734306627
CDMS-9-5C-MLOGO,0.6407668117519069,-0.10813245490354106,0.0,0.0,5,5.79343352557475
CDMS-9-5C-SCAAG,-0.0894326316518317,-0.01503081937647098,0.0,0.0,10,5.156335717698082
CDMS-XX-10A-VGILO,-0.34649458064544714,-0.4694395108259579,0.0,0.0,7,4.444865077254979
CDMS-XX-5C-MJSARU,-0.46698202767418096,0.07337040886978041,0.0,0.0,2,4.867187549921984
CDMS-XX-5C-MPCAQU,0.5971467243172927,0.22686281594836377,0.0,0.0,9,6.084808708992041
CDMS-XX-6A-MAGICA,-0.5266252996231398,0.0919906565352191,0.0,0.0,2,4.826164525638464
CDMS-XX-6B-SPUCA,-0.40335996821880776,0.18056151862010456,0.0,0.0,0,5.038000719127681
CSO-10-4A-ICAPA,0.5518239099992956,0.1954308409278398,0.0,0.0,6,6.00805391965352
CSO-10-4A-KCOMO,0.835860982379601,0.0625901362532355,0.0,0.0,4,6.159250287359221
CSO-10-4A-LRAVI,1.349270250976377,0.3822979945906939,0.0,0.0,12,6.992367414293455
CSO-10-4A-LSCAVA,-0.41681611935993834,0.09009847518438063,0.0,0.0,11,4.934081524550827
CSO-10-5A-ACAVA,-0.6919332892090111,-0.4294276642675552,0.0,0.0,4,4.139438215249817
CSO-10-5A-ARACA,-0.23109328604779256,-0.3189974281034984,0.0,0.0,0,4.7107084545750935
CSO-10-5A-DABRZA,0.9843382831860207,0.060439019362885094,0.0,0.0,3,6.30557647127529
CSO-10-5A-GZAMA,-0.11228545660370903,0.11446340939967614,0.0,0.0,6,5.2629771215223515
CSO-10-5A-IPECA,-0.2078169877416909,0.11022899906844555,0.0,0.0,11,5.163211180053139
CSO-10-5A-JANORO,-0.3333107433207396,0.0725115745943552,0.0,0.0,5,5.0
CSO-10-5A-JBUVE,-0.5914354749900292,-0.19831474128874405,0.0,0.0,2,4.471048952447611
CSO-10-5A-JJSEMO,0.781888820513096,0.1862348607227906,0.0,0.0,13,6.228922849962271
CSO-10-5A-JLCARI,-0.23714356107101733,-0.06228929202077313,0.0,0.0,9,4.961366315634594
CSO-10-5A-MAARAN,0.688899300516965,0.17451775394919733,0.0,0.0,4,6.124216223192547
CSO-10-5A-MAOSMO,-0.7853317957713015,0.058143113982385586,0.0,0.0,2,4.5336104869374685
CSO-10-5A-RVMOIB,-0.387419152092066,-0.012604592274575221,0.0,0.0,4,4.860775424359743
CSO-10-5A-SVHEES,0.29626116423255594,-0.24599726194449373,0.0,0.0,7,5.311063071014447
CSO-11-5A-MDVOSPE,-0.170053694287319,0.0646762722254555,0.0,0.0,3,5.155421746664521
CSO-11-5A-MTAGA,-1.0110820124788082,-0.3008544693427537,0.0,0.0,5,3.9488626869048224
CSO-11-6A-CAPAMU,-0.5747918803854694,-0.13782451000580165,0.0,0.0,1,4.548182778335113
CSO-11-6A-DSCACH,-0.6923214724876652,0.06314712267628986,0.0,0.0,0,4.631624818915009
CSO-11-6A-EROMO,0.021520323640336958,0.22914291751921168,0.0,0.0,7,5.511462409885933
CSO-11-6A-FSOVRE,0.45533125008235237,0.01420536901550834,0.0,0.0,5,5.730335787824245
CSO-11-6B-ANREVA,0.02955690427669698,0.1008821931133821,0.0,0.0,5,5.3912382661164635
CSO-11-6B-DISEMO,-0.904603269906299,-0.008231327087602547,0.0,0.0,0,4.347964571732483
CSO-11-6B-LHFDLACH,-0.3591185335712797,-0.13354900397435582,0.0,0.0,7,4.768131631180749
CSO-11-6B-RJGIHE,0.2594528606560318,-0.0883832488454499,0.0,0.0,3,5.431868780536966
CSO-11-6B-SFLVA,0.6162768720942227,-0.34369343750736636,0.0,0.0,8,5.533382603313241
CSO-11-6B-VCOMA,-0.3792761028421876,0.028546359340885008,0.0,0.0,14,4.910069425225082
CSO-12-6A-DGISE,-0.2072803008154691,-0.6111472883340652,0.0,0.0,2,4.44237157957685
CSO-12-6A-FJOVRE,0.1651030395901567,-0.17294439161623787,0.0,0.0,1,5.252957816700303
CSO-12-6B-GQULO,0.26560215251011643,-0.2379796524985589,0.0,0.0,4,5.288421668737942
CSO-12-6B-LJHEFE,-0.5402947838011789,-0.058458820658382926,0.0,0.0,2,4.662045564266823
CSO-12-6B-VPAMA,0.20855127040309676,-0.049291742010469736,0.0,0.0,9,5.4200586971190114
CSO-12-7A-DALRE,0.9003063838386747,-0.08584021086499538,0.0,0.0,8,6.075265341700064
CSO-12-7A-ESALA,0.5121513346138215,0.2571523590558139,0.0,0.0,7,6.03010286239602
CSO-12-7A-IMERO,-0.11406445273716857,-0.018165845003306216,0.0,0.0,9,5.12856887098591
CSO-12-7A-JHEZA,-0.8703906521509487,-0.23141513123807667,0.0,0.0,9,4.158993385337359
CSO-12-7A-LSARAR,0.41522655925755186,0.23636344896858935,0.0,0.0,6,5.912389176952526
CSO-12-7A-SCAHO,0.01000870771451634,0.14203862863878847,0.0,0.0,1,5.412846505079689
CSO-12-7B-DVAGRO,-0.6447650277435409,-0.24224819502645933,0.0,0.0,8,4.373785945956384
CSO-12-7B-SMUGU,-0.13305074855902668,-0.03778624533026817,0.0,0.0,4,5.08996217483709
CSO-12-7B-SSARA,-0.7786898398653337,-0.28124445685572486,0.0,0.0,2,4.200864872005326
CSO-12-7B-VHOMA,-0.9338876699673397,-0.2214468281902242,0.0,0.0,8,4.1054646705688205
CSO-12-8A-YTOME,-0.5003574545482731,0.08893822237621418,0.0,0.0,13,4.8493799365543255
CSO-13-6A-ANASA,-0.8176407684285141,0.04925431712480366,0.0,0.0,3,4.492412717422674
CSO-13-6B-JETAVE,0.4660139339753525,0.18882413561090405,0.0,0.0,9,5.915637238312641
CSO-13-6B-LFMIES,-0.24807279266538096,-0.1286110789386541,0.0,0.0,8,4.884115297122349
CSO-13-6B-LJMAHU,-0.2598897465340451,0.10832547492088956,0.0,0.0,8,5.109234897113229
CSO-13-7A-CAPAMU,-0.49403684969904166,-0.20504954110067924,0.0,0.0,7,4.5617127779266635
CSO-13-7A-CDDITR,-0.9006829291698534,0.028422036400152728,0.0,0.0,2,4.388538275956684
CSO-13-7A-JJATFL,0.18231633854536972,0.13921308823066875,0.0,0.0,7,5.582328595502423
CSO-13-7A-KRAMA,0.5599010379865823,0.044768384896010094,0.0,0.0,6,5.865468591608977
CSO-13-7A-RXCHLU,-0.010694060654430793,0.18068013926679072,0.0,0.0,1,5.430785247338744
CSO-13-7A-YAMEZA,-0.6473431778441152,-0.12860723745729752,0.0,0.0,3,4.484848753424972
CSO-13-7A-YBOSO,0.1856208070556256,-0.06014571656941439,0.0,0.0,4,5.386274259212596
CSO-13-8A-KIGAGU,-0.2428557692658963,-0.473116705561663,0.0,0.0,2,4.544826693898825
CSO-13-8A-MBUAN,-0.6827168342319849,-0.1441621736588985,0.0,0.0,3,4.433920160835501
CSO-13-8A-MGAAN,-0.8826265143712698,-0.041497040269264374,0.0,0.0,9,4.33667561408585
CSO-13-8A-MGAHE,-0.17062487218671188,-0.01648522991143994,0.0,0.0,12,5.073689066628233
CSO-13-8A-MJAGA,0.6901718807690821,-0.5347762287957761,0.0,0.0,2,5.41619482069969
CSO-13-8A-VHODU,0.025999825568753916,-0.05832038524190209,0.0,0.0,8,5.228478609053236
CSO-13-8B-FCJISA,-0.48670949255312435,0.07960285330594319,0.0,0.0,5,4.853692529479203
CSO-13-8B-JEMABE,0.6543166275224861,0.08488420375113126,0.0,0.0,6,6.000000000000002
CSO-13-9B-DMLLLU,0.5688374466429559,0.058305586852646196,0.0,0.0,10,5.8879422022219865
CSO-14-7A-MVEBE,0.37901633732904033,0.015556009306657737,0.0,0.0,10,5.6553715153620825
CSO-14-7B-EALHU,-0.016361283025880385,0.1771543785115726,0.0,0.0,5,5.421592264212077
CSO-14-7B-EVEGO,-0.7112248663972891,0.08223124788987901,0.0,0.0,1,4.631805550218974
CSO-14-8A-AQUMA,0.4542226267602883,0.1516617927442349,0.0,0.0,3,5.866683588230908
CSO-14-8A-MCIDOS,0.2800676092567604,-0.02301447760146752,0.0,0.0,7,5.517852300381677
CSO-14-8A-SZARA,-0.2980855218875984,-0.30449883449366055,0.0,0.0,12,4.6582148123451255
CSO-14-8B-JLLORA,0.3458853020090116,0.026569450344106293,0.0,0.0,13,5.633253921079502
CSO-14-9A-AEDCAGO,-0.7503161288210589,-0.017415784242591048,0.0,0.0,2,4.4930672556627345
CSO-14-9A-HASACA,-0.44284061794083934,0.06820681107348131,0.0,0.0,11,4.886165361859026
CSO-14-9A-JSMAAL,-0.44201548818109826,-0.21086662311347615,0.0,0.0,2,4.60791705743181
CSO-14-9A-MARJA,-0.20126716824332158,0.17599383929828116,0.0,0.0,3,5.235525839781344
CSO-14-9A-SORZU,-0.21494967034064058,-0.16607390122032764,0.0,0.0,5,4.879775597165416
