feature,selected,ranking
density_T6W30,True,1
z_asp_T6W30,True,1
z_diameter_T6W30,True,1
z_l1_T6W30,True,1
z_density_T6W30,False,2
z_l3_T6W30,False,2
z_lsc_T6W30,False,2
z_l2_T6W30,False,3
z_pe_T6W30,False,3
z_re_T6W30,False,3
asp_T6W30,False,4
atd_T6W30,False,4
diameter_T6W30,False,4
l3_T6W30,False,5
lcc_T6W30,False,5
lsc_T6W30,False,5
l1_T6W30,False,6
l2_T6W30,False,6
pe_T6W30,False,6
edges_T6W30,False,7
nodes_T6W30,False,7
re_T6W30,False,7
