feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_density_T7W30,0.09092923938941463,0.0437825821139245,1.0,400,1.0
z_diameter_T7W30,-0.08959643618304933,0.04105730294248024,1.0,400,1.0
z_re_T7W30,-0.07680773164562836,0.05126351095953591,1.0,400,1.0
z_asp_T7W30,-0.0718505693791303,0.04209103378584647,1.0,400,1.0
z_lsc_T7W30,0.052473215698695216,0.047278278487719184,1.0,400,1.0
z_l2_T7W30,-0.03999814018117503,0.04597456930365807,1.0,400,1.0
z_l1_T7W30,-0.03914121982345651,0.04981723591714642,1.0,400,1.0
z_pe_T7W30,-0.031291421979161696,0.04378727547595705,1.0,400,1.0
z_l3_T7W30,-0.03019681350448543,0.0499515108982897,1.0,400,1.0
z_lcc_T7W30,9.045344793331828e-19,1.171682755634624e-17,0.0,400,1.0
z_atd_T7W30,2.608818523577633e-19,3.808941635365087e-18,0.0,400,1.0
z_edges_T7W30,0.0,0.0,0.0,400,1.0
z_nodes_T7W30,0.0,0.0,0.0,400,1.0
