feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
density_T2W40,0.1796393236602148,0.36495556760520725,1.0,42,0.105
edges_T2W40,0.10760164273012102,0.10116727872374354,1.0,400,1.0
re_T2W40,-0.07600975533468836,0.09687399358388095,1.0,196,0.49
diameter_T2W40,-0.06910837511734898,0.16096613418723746,1.0,70,0.175
nodes_T2W40,0.06426554408909292,0.48911770295882295,1.0,177,0.4425
pe_T2W40,0.03443148515425677,0.048563472425832296,1.0,69,0.1725
lsc_T2W40,0.03253340644508632,0.060657747765903096,1.0,378,0.945
l1_T2W40,-0.03166762255136244,0.046810293792576785,1.0,146,0.365
l3_T2W40,-0.022585574989763116,0.03330949941219137,1.0,86,0.215
atd_T2W40,0.022574632176550268,0.234869879389963,1.0,45,0.1125
asp_T2W40,-0.020897789142637395,0.1272215631109459,1.0,64,0.16
l2_T2W40,-0.004431696217549646,0.03968867726039572,1.0,76,0.19
lcc_T2W40,-0.0027266909746275453,0.4130570747527924,1.0,251,0.6275
