target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T2W10,VALIDATION,R2,0.011317,0.039534,0.007431,0.015203,1.9659,399,True
MOT,T2W10,VALIDATION,RMSE,7.686391,0.344362,7.652541,7.72024,1.9659,399,True
MOT,T2W10,VALIDATION,MAE,6.544997,0.283932,6.517088,6.572907,1.9659,399,True
MOT,T2W10,VALIDATION,rho,0.105049,0.118699,0.093381,0.116716,1.9659,399,True
MOT,T2W10,TEST,R2,0.009386,0.058215,0.003663,0.015108,1.9659,399,True
MOT,T2W10,TEST,RMSE,7.617977,0.521348,7.56673,7.669224,1.9659,399,True
MOT,T2W10,TEST,MAE,6.509256,0.435719,6.466426,6.552085,1.9659,399,True
MOT,T2W10,TEST,rho,0.104413,0.200933,0.084663,0.124164,1.9659,399,True
COG,T2W10,VALIDATION,R2,-0.004767,0.038849,-0.008585,-0.000948,1.9659,399,True
COG,T2W10,VALIDATION,RMSE,2.261286,0.181438,2.243452,2.279121,1.9659,399,True
COG,T2W10,VALIDATION,MAE,1.770842,0.12181,1.758869,1.782816,1.9659,399,True
COG,T2W10,VALIDATION,rho,0.104813,0.117836,0.09323,0.116396,1.9659,399,True
COG,T2W10,TEST,R2,-0.012557,0.058576,-0.018314,-0.006799,1.9659,399,True
COG,T2W10,TEST,RMSE,2.216035,0.29501,2.187037,2.245034,1.9659,399,True
COG,T2W10,TEST,MAE,1.744977,0.195653,1.725745,1.764209,1.9659,399,True
COG,T2W10,TEST,rho,0.100012,0.182791,0.082044,0.117979,1.9659,399,True
MOT_V4,T2W10,VALIDATION,R2,-0.002802,0.045286,-0.007254,0.001649,1.9659,399,False
MOT_V4,T2W10,VALIDATION,RMSE,3.482962,0.168571,3.466392,3.499532,1.9659,399,True
MOT_V4,T2W10,VALIDATION,MAE,2.87605,0.12484,2.863778,2.888321,1.9659,399,True
MOT_V4,T2W10,VALIDATION,rho,0.079035,0.134111,0.065852,0.092217,1.9659,399,True
MOT_V4,T2W10,TEST,R2,-0.006474,0.06902,-0.013259,0.00031,1.9659,399,False
MOT_V4,T2W10,TEST,RMSE,3.450473,0.264728,3.424451,3.476495,1.9659,399,True
MOT_V4,T2W10,TEST,MAE,2.851943,0.194831,2.832792,2.871095,1.9659,399,True
MOT_V4,T2W10,TEST,rho,0.069743,0.205034,0.049589,0.089897,1.9659,399,True
COG_V1,T2W10,VALIDATION,R2,0.003717,0.060656,-0.002245,0.009679,1.9659,399,False
COG_V1,T2W10,VALIDATION,RMSE,1.341467,0.078666,1.333734,1.349199,1.9659,399,True
COG_V1,T2W10,VALIDATION,MAE,1.047468,0.059171,1.041652,1.053285,1.9659,399,True
COG_V1,T2W10,VALIDATION,rho,0.127543,0.129029,0.11486,0.140226,1.9659,399,True
COG_V1,T2W10,TEST,R2,0.012359,0.088528,0.003657,0.021061,1.9659,399,True
COG_V1,T2W10,TEST,RMSE,1.344203,0.121305,1.332279,1.356127,1.9659,399,True
COG_V1,T2W10,TEST,MAE,1.058818,0.09485,1.049495,1.068142,1.9659,399,True
COG_V1,T2W10,TEST,rho,0.150379,0.204147,0.130313,0.170446,1.9659,399,True
