subject,nodes_T2W10,edges_T2W10,lcc_T2W10
CDMS-10-4A-JURAN,9.0,9.0,9.0
CDMS-10-5A-HEPIHO,9.3203125,8.9296875,9.125
CDMS-10-5A-KSRAGU,8.963302752293577,9.0,8.963302752293577
CDMS-10-5A-SROPU,9.146341463414634,9.0,9.146341463414634
CDMS-10-5A-SZURO,9.242424242424242,8.757575757575758,9.090909090909092
CDMS-10-5B-SRAJA,8.758064516129032,9.0,8.758064516129032
CDMS-10-5C-DAAUSA,9.006896551724138,9.0,9.006896551724138
CDMS-10-5C-ICAPA,8.767441860465116,8.790697674418604,8.767441860465116
CDMS-10-5C-JFALGI,9.465753424657532,9.0,9.465753424657532
CDMS-10-5C-MAORTO,9.36842105263158,8.578947368421053,9.052631578947368
CDMS-10-5C-NBEMO,9.127906976744184,8.790697674418604,8.790697674418604
CDMS-10-6B-ASCACO,8.743589743589743,8.923076923076923,8.572649572649572
CDMS-10-6B-JJMOBE,9.38095238095238,8.785714285714286,9.023809523809524
CDMS-11-5A-EAARCA,9.153846153846152,9.0,9.153846153846152
CDMS-11-5A-MGTHAR,9.293577981651376,8.917431192660551,9.064220183486238
CDMS-11-6A-DFVEBE,8.49056603773585,9.0,8.49056603773585
CDMS-11-6A-NMREPR,8.825688073394495,9.0,8.825688073394495
CDMS-11-6B-ARAHE,8.655,9.0,8.655
CDMS-11-6B-AVROTO,9.335664335664337,9.0,9.335664335664337
CDMS-11-6B-EAFESA,9.201680672268909,9.0,9.201680672268909
CDMS-11-6B-EFRGR,8.892523364485982,9.0,8.892523364485982
CDMS-11-6B-EROCO,8.771084337349398,9.0,8.771084337349398
CDMS-11-6B-JACUPE,7.98,8.955,7.945
CDMS-11-6B-JDCHBA,8.802197802197803,8.95054945054945,8.719780219780219
CDMS-11-6B-JFSAHE,9.574074074074074,9.0,9.574074074074074
CDMS-11-6B-JLPENA,9.083333333333334,8.5,8.046296296296296
CDMS-11-6B-JMARME,9.099315068493151,8.969178082191782,9.027397260273972
CDMS-11-6B-JPSAMA,9.297619047619047,9.0,9.297619047619047
CDMS-11-6B-LESTA,9.16030534351145,8.793893129770993,8.610687022900763
CDMS-11-6B-MAGIMU,8.736842105263158,9.0,8.736842105263158
CDMS-11-6B-MEBRTA,8.702290076335878,9.0,8.702290076335878
CDMS-11-6B-MMAMO,9.1889400921659,9.0,9.1889400921659
CDMS-11-6B-RSECA,9.34567901234568,9.0,9.34567901234568
CDMS-11-6B-SCAPA,9.416666666666666,9.0,9.416666666666666
CDMS-11-6B-VZAPE,8.845070422535212,9.0,8.845070422535212
CDMS-11-6B-YLNIME,9.464285714285714,9.0,9.464285714285714
CDMS-11-7C-ICARE,9.166666666666666,9.0,9.166666666666666
CDMS-11-7C-SALMA,9.177083333333334,9.0,9.177083333333334
CDMS-11-7C-SPGAVE,9.069444444444445,8.75,8.708333333333334
CDMS-12-5A-SRIGO,9.1747572815534,9.0,9.1747572815534
CDMS-12-6A-FAROPA,9.01639344262295,9.0,9.01639344262295
CDMS-12-6A-JGIGA,9.4,9.0,9.4
CDMS-12-6A-JSOTGU,9.625,8.6875,9.625
CDMS-12-6A-SROAL,8.942028985507246,9.0,8.942028985507246
CDMS-12-6B-IJDAGA,8.866666666666667,9.0,8.866666666666667
CDMS-12-6B-SCLAG,7.839506172839506,8.88888888888889,7.716049382716049
CDMS-12-7C-ARAHE,9.392857142857142,8.678571428571429,8.607142857142858
CDMS-12-7C-CATRAR,9.086206896551724,9.0,9.086206896551724
CDMS-12-7C-DLOLO,9.298507462686567,9.0,9.298507462686567
CDMS-12-7C-JSZAOR,8.625,8.90625,8.5625
CDMS-12-7C-MAROBE,9.39655172413793,9.0,9.39655172413793
CDMS-12-7C-VMAPA,9.8,9.0,9.8
CDMS-12-7C-VQURA,9.126865671641792,9.0,9.126865671641792
CDMS-13-6B-ASUMO,8.380952380952381,8.571428571428571,8.333333333333334
CDMS-13-6B-JDTAHE,8.825688073394495,8.8348623853211,8.559633027522937
CDMS-13-7C-MVEAR,8.626168224299066,9.0,8.626168224299066
CDMS-13-7C-RAIZAC,8.883495145631068,9.0,8.883495145631068
CDMS-13-7C-SSOSLO,8.828125,9.0,8.828125
CDMS-14-10A-IMORTO,9.428571428571429,9.0,9.428571428571429
CDMS-14-10A-JCVANI,8.921397379912664,9.0,8.921397379912664
CDMS-14-6B-KDCAHE,8.348484848484848,8.742424242424242,7.878787878787879
CDMS-15-10A-AMALOS,9.213872832369942,9.0,9.213872832369942
CDMS-15-10A-JJMACH,9.471153846153848,9.0,9.471153846153848
CDMS-15-10A-MAALCA,8.941176470588236,9.0,8.941176470588236
CDMS-15-10A-MAALRI,9.072222222222225,8.95,8.944444444444445
CDMS-15-10A-SGOMO,9.032679738562091,9.0,9.032679738562091
