feature,selected,ranking
edges_T2W10,True,1
lcc_T2W10,True,1
nodes_T2W10,True,1
z_density_T2W10,True,1
z_asp_T2W10,False,2
z_diameter_T2W10,False,2
z_l1_T2W10,False,2
z_l2_T2W10,False,2
atd_T2W10,False,3
lsc_T2W10,False,3
re_T2W10,False,3
z_atd_T2W10,False,3
z_re_T2W10,False,3
l1_T2W10,False,4
l3_T2W10,False,4
pe_T2W10,False,4
z_l3_T2W10,False,4
z_lsc_T2W10,False,4
asp_T2W10,False,5
density_T2W10,False,5
diameter_T2W10,False,5
l2_T2W10,False,5
z_pe_T2W10,False,5
