subject,lcc_T6W50,z_density_T6W50,z_diameter_T6W50,z_asp_T6W50,y_true,y_pred
CDMS-10-4A-JURAN,-0.5503666993349935,1.5348520872819649,1.13067108695069,-2.4888758940562394,2,5.196277657478384
CDMS-10-5A-HEPIHO,-0.7874518772739292,1.8781737760132349,1.1359751530312674,-2.8124390100645287,7,4.9842551183430075
CDMS-10-5A-KSRAGU,-0.21667468231893408,0.7518924409321323,1.0009547542922446,-1.3939590146428746,5,5.712210574899531
CDMS-10-5A-SROPU,-0.25778635124696625,-2.238258582909645,-0.8934510958607603,2.0655249267314026,6,4.246025973350993
CDMS-10-5A-SZURO,-0.2431552877802696,0.3967678676470369,0.10347430891627218,-0.2657136329409618,5,5.561370332479041
CDMS-10-5B-SRAJA,-0.3529968523233154,2.364641523777323,0.808991924785479,-2.4766618341271855,13,5.913971838749264
CDMS-10-5C-DAAUSA,0.15763439514681557,-0.18465583698613577,0.14335466937936042,0.12786204098710027,8,5.814192345164103
CDMS-10-5C-ICAPA,1.2493042210915162,0.15700031359691527,0.5648429616403293,-1.2626320184322377,7,6.278512554533486
CDMS-10-5C-JFALGI,0.6752936299745741,2.481236479873157,0.700314915074952,-2.181052965885447,10,7.245789135674199
CDMS-10-5C-MAORTO,0.9141333503194512,-1.3667927961483337,-0.303433269520479,0.5665415562693502,12,5.380445917556951
CDMS-10-5C-NBEMO,0.5543807416410927,-1.9111754812010202,-0.18577690761151683,1.7962614928950442,5,5.8236869223605625
CDMS-10-6B-ASCACO,0.44102813923224526,1.9205942009323032,1.1686417099328807,-2.9703893967958597,6,6.129871729938532
CDMS-10-6B-JJMOBE,-0.29298589316037915,0.7596308227440787,0.36169581779822985,-1.2143249730736103,1,5.184012850945282
CDMS-11-4A-GACHSA,0.738193543818698,-1.7130137741992333,-0.63022626203998,3.159043949271113,2,7.12399453348756
CDMS-11-5A-EAARCA,0.3355543791109755,0.6467870253476853,0.5977496337157419,-1.1681048346075436,8,5.981983280203822
CDMS-11-5A-MGTHAR,0.9700784081767343,-1.1798102175819896,-1.3999895965180673,2.8065225576167054,9,6.766798228330345
CDMS-11-6A-DFVEBE,-0.03779900587936488,1.1768184733695604,0.16759812001937982,-1.0712713328136145,1,5.8053433313329235
CDMS-11-6A-NMREPR,-0.09848810746769522,0.38547911428100234,0.13590972286227262,-0.550013661199589,8,5.442884145112954
CDMS-11-6B-ARAHE,0.2818807140487257,-1.0016241509053128,-0.09771552412104208,0.657484240172121,5,5.410022355831455
CDMS-11-6B-AVROTO,-0.5400738037141962,1.1998918715856228,-0.6577045688709923,0.32509898003355986,8,5.897209555670957
CDMS-11-6B-EAFESA,-0.1808671686084243,-1.713728525637064,-0.4964359998310227,1.6966466763862704,0,4.8756120589467224
CDMS-11-6B-EFRGR,0.6687644535566935,-1.3255581027679892,-0.9417390263818276,2.927626653393186,3,6.899091054437025
CDMS-11-6B-EROCO,0.5062485937448056,0.7589807230076459,0.11919528927942273,-0.30665092000959676,6,6.64777076265924
CDMS-11-6B-JACUPE,1.1960048763845097,-1.462084056291619,-0.2722612126559729,1.646514550715682,9,6.678171234789563
CDMS-11-6B-JDCHBA,0.677921355861908,-2.4378130425630498,-0.907238288818083,3.0614191531729293,3,5.964286254290667
CDMS-11-6B-JFSAHE,-0.6676731879849419,0.9585454080946535,0.9997508046432371,-2.43703402401798,3,4.423586077371931
CDMS-11-6B-JLPENA,0.07947979017836161,0.17902413144272333,-0.550889271636846,0.5525428497802448,4,5.830154576401447
CDMS-11-6B-JMARME,0.0374072915972786,-0.03963839539944226,0.07325679602463667,0.12309596232899209,5,5.764118731188428
CDMS-11-6B-JPSAMA,-0.603052594879869,-0.2724325185886798,0.08269957904605517,-0.2812562486711998,0,4.495955293543269
CDMS-11-6B-LESTA,0.4712808815125736,-0.13811446967405605,-0.1506560706875209,0.4934929748850308,8,6.246000392672991
CDMS-11-6B-MAGIMU,0.9632286659310886,0.22513182668857298,0.284695825011163,-0.7009876295008215,9,6.342065764766966
CDMS-11-6B-MEBRTA,0.16846876879944633,-1.5425963267513407,-1.087343609116706,2.437191045410712,8,5.545716954979074
CDMS-11-6B-MMAMO,-0.3872550149167231,0.8725122744118339,0.6532720070811571,-1.7029797926715975,2,5.0055465505416326
CDMS-11-6B-RSECA,0.24491037706628552,0.6403334974139251,0.9573474410336009,-2.410590272914202,1,5.001998119236572
CDMS-11-6B-SCAPA,-0.5276767275329423,2.035174037787412,0.6172471900389787,-1.8603892448445152,5,5.834352332085896
CDMS-11-6B-VZAPE,0.36200988584207994,-2.4714660617789956,-0.4264715787649578,2.2246701335719985,8,5.258739455507087
CDMS-11-6B-YLNIME,-0.16821121172980957,1.0465702428561605,0.27657172373176725,-1.2112154366380787,0,5.513712394857002
CDMS-11-7C-ICARE,-0.10257621325907959,-0.9250456230883931,-1.1330529704881045,3.0235991759979557,7,6.432921445799341
CDMS-11-7C-IMOIB,-0.4524888009037447,0.5533239357531935,0.48835333310406,-1.4442050408139386,3,4.714980503776533
CDMS-11-7C-SALMA,0.06148297190943649,-0.941647372947807,-0.1997860144593428,1.2216049404193885,7,5.711651601558638
CDMS-11-7C-SPGAVE,0.05687428893601545,-2.888129187543507,-2.110350297352045,5.481359889710472,5,6.109751770387898
CDMS-12-5A-SRIGO,-0.39781965787217505,-0.011820562713712481,0.4867184286508755,-1.5483889990228508,7,4.098686285679101
CDMS-12-6A-FAROPA,-0.39503948867337235,1.1579095459082418,1.246922394721358,-2.5546951422567274,5,5.0250943863364625
CDMS-12-6A-JGIGA,0.5681589495198557,0.7514865381368072,0.6350916280962089,-2.2753463963774108,1,5.249387796012424
CDMS-12-6A-JSOTGU,0.3579278339268588,0.3905866008857388,-0.2544408139985251,0.5967630507380968,10,6.660833748189132
CDMS-12-6A-SROAL,-0.47279604466174996,1.0909073131664497,0.9259961824400624,-1.8516976994152725,10,5.262406828166452
CDMS-12-6B-IJDAGA,0.37119174054186305,-2.1723880574661907,-1.567104311820481,3.6882264677776475,10,5.889922915669802
CDMS-12-6B-SCLAG,0.2838207463524221,-1.2815128754363998,-0.4305659912465359,1.1655665998788023,14,5.307305556185252
CDMS-12-7C-ARAHE,0.3896290192276938,1.416837286470399,0.6161091351321412,-1.818483843701287,11,6.17408867376591
CDMS-12-7C-CATRAR,-0.24714237430186087,0.04959857251503567,0.32653680597166723,-0.4656745802825946,6,5.23331550053921
CDMS-12-7C-DLOLO,-0.0636994852103467,1.2836797672072724,0.02573357158734056,-0.12834887624990277,10,6.687362053971326
CDMS-12-7C-JSZAOR,-1.266361365088599,2.1415765054086267,1.5080780715687343,-3.653891478126286,5,4.299398810399439
CDMS-12-7C-MAROBE,-0.8627826517655066,0.5763335277911362,0.35587466522204414,-1.1120966997874995,2,4.527325918097137
CDMS-12-7C-VMAPA,0.03031439801316617,0.9920438301140346,1.0173390093012225,-2.53117504671547,4,5.0785192673499155
CDMS-12-7C-VQURA,-0.3642048848321008,-0.2933583766556479,-0.45840481745101425,0.9431953034075372,4,5.397224301105737
CDMS-13-6B-ASUMO,0.0006183050191669987,0.9008006147840856,-0.316527567518399,-0.2553318223855739,1,5.899556606536242
CDMS-13-6B-JDTAHE,-0.20180270141493264,-0.32943215059826036,-0.3161150127496218,0.6373454361015185,8,5.359992647975666
CDMS-13-7C-MVEAR,0.6990683994751731,0.1792635291411112,0.33649315584199535,-0.879903547317892,9,5.90491861377735
CDMS-13-7C-RAIZAC,-0.4699348293506986,-1.2615482574372119,0.924491212374244,-1.2145090828366096,4,3.5484961193866864
CDMS-13-7C-SSOSLO,0.35353521866618615,-0.05457646077090361,-0.3379206529508389,0.7110078295804505,10,6.242043011161857
CDMS-14-10A-IMORTO,-0.11939352971369105,-1.12768873579381,-0.18784493465147717,1.177097373364971,6,5.312167249842956
CDMS-14-10A-JCVANI,-0.781358455726915,0.9764071094441156,0.04070224466428064,-0.41162809084044144,10,5.394119884178003
CDMS-14-5A-LSDUCO,0.7178435222638263,-1.1375563146663588,-0.5088923157079407,2.2688592668172203,3,6.9102512353437096
CDMS-14-6B-KDCAHE,0.011972770600671938,-1.6457664552240712,-0.602504788582609,2.4776190850922317,8,5.811317688523186
CDMS-15-10A-AMALOS,-0.12313894103041785,-1.2172951743454128,0.27125029711626814,-0.006236298754294116,5,4.494576959623107
CDMS-15-10A-JJMACH,-0.8994400750636106,1.287906660069917,0.7043231417487882,-1.5822210577594953,1,5.080565745632562
CDMS-15-10A-MAALCA,-0.4962552993777389,0.6700684901682273,0.6504258251145144,-1.0224023912929305,6,5.371833701249035
CDMS-15-10A-MAALRI,-0.8814841339120177,-0.46899860864312093,-0.2911615123744484,0.5363678724666195,5,4.464720694173995
CDMS-15-10A-SGOMO,-0.7751798310499962,0.9360358116438864,0.9339747068304303,-1.6619590037375565,4,5.002868760323727
CDMS-15-10A-SHEGA,-0.40306504003886895,2.6627214901718834,0.7031414067197984,-1.8843808356957366,7,6.6484140977940385
CDMS-15-11B-JEMOLO,-0.4462927255501328,-1.0099059667445518,-0.24025836613267715,1.2253361052733835,6,5.0988761234829845
CDMS-15-11B-VSAHO,-0.24881932562086337,-0.6073502007820835,0.20395993434041063,0.5158759710170692,4,5.433663455591496
CDMS-16-10A-SGALO,-0.5424685941247652,0.13654635068037216,-0.43576385183846966,1.2949694814463544,7,6.023280462800455
CDMS-16-11B-NGABE,-0.8402603276368932,0.9115160997659415,0.49442786066443783,-1.3309632366942423,12,4.804717472736207
CDMS-17-10A-ASSAMO,-1.1215322252976345,2.165020286385394,1.086203585285735,-2.56016746830236,6,5.1395212547080975
CDMS-18-7C-VVECA,0.21335617608260388,-0.06705266897719983,0.1605789751370198,-0.49812132682475174,4,5.3787582320546345
CDMS-8-4A-DBEVA,1.1994537413450095,0.9249479982914468,0.5303657790936956,-1.1395631476205275,8,7.085201447746588
CDMS-8-4A-DJAVDA,1.3941567181607761,-1.8945653836036027,-0.4983717193375352,0.808995775176145,2,5.380212467032746
