subject,lcc_T6W50,z_density_T6W50,z_diameter_T6W50,z_asp_T6W50
CDMS-10-4A-JURAN,0.9126700608393674,1.150654877313844,-1.5629690048358313,-1.3343461541911803
CDMS-10-5A-HEPIHO,1.3170781034244674,1.4089928432736252,-1.5707298980410151,-1.5147050869274987
CDMS-10-5A-KSRAGU,0.3434749023697984,0.5615042086972521,-1.3731684651297504,-0.7240230671774064
CDMS-10-5A-SROPU,0.4136011316985436,-1.6884833649584292,1.3987203588331423,1.2043451571807517
CDMS-10-5A-SZURO,0.3886441951707395,0.29428497106669127,-0.0599778327940381,-0.09512217322253354
CDMS-10-5B-SRAJA,0.5760064440363316,1.775043380094732,-1.0922890423370464,-1.327537854035222
CDMS-10-5C-DAAUSA,-0.29500280701592535,-0.1432167136384196,-0.11833065378765865,0.12426280914617394
CDMS-10-5C-ICAPA,-2.1571186140750322,0.11386799116262318,-0.7350510290203597,-0.6508194302232789
CDMS-10-5C-JFALGI,-1.1780000475128158,1.8627771434648184,-0.9332731753759166,-1.1627610381817577
CDMS-10-5C-MAORTO,-1.5854009008091872,-1.0327348173282889,0.5354080867350521,0.36878934902399246
CDMS-10-5C-NBEMO,-0.971752888076943,-1.442364386843528,0.36325365920451785,1.0542536815182482
CDMS-10-6B-ASCACO,-0.7784016863670834,1.4409127791484586,-1.618527503810453,-1.602749000979253
CDMS-10-6B-JJMOBE,0.4736427503642279,0.5673270794413233,-0.43780675182895534,-0.62389235876961
CDMS-11-4A-GACHSA,-1.285291575636203,-1.2932544005005737,1.0135705901083565,1.8138890578120948
CDMS-11-5A-EAARCA,-0.5984898198997529,0.48241593619753,-0.7831999705749272,-0.5981285605113095
CDMS-11-5A-MGTHAR,-1.680829183323758,-0.8920367472609647,2.1398859378802655,1.6173883479973152
CDMS-11-6A-DFVEBE,0.038357717044768744,0.88124668494136,-0.15380359633475765,-0.5441521145797343
CDMS-11-6A-NMREPR,0.14187815215989164,0.285790565736285,-0.10743723090045086,-0.2535952720918051
CDMS-11-6B-ARAHE,-0.5069359656483353,-0.7579577550547437,0.23440251323690878,0.41948216472941396
CDMS-11-6B-AVROTO,0.8951129541204839,0.8986086371819693,1.053776764302843,0.23420563656562068
CDMS-11-6B-EAFESA,0.28239623581040635,-1.293792226797824,0.8178090891912636,0.9987268890584231
CDMS-11-6B-EFRGR,-1.1668629048293202,-1.001707104356763,1.4693751105236696,1.6848935869556498
CDMS-11-6B-EROCO,-0.8896514767387467,0.5668379013640463,-0.08298072299670377,-0.11794123089482442
CDMS-11-6B-JACUPE,-2.0662032567700694,-1.1044382695923536,0.48979722883167226,0.9707824904715375
CDMS-11-6B-JDCHBA,-1.1824822909486354,-1.838641350594506,1.4188937372404862,1.7594715325697616
CDMS-11-6B-JFSAHE,1.112765604010251,0.7170035812932739,-1.3714068496995464,-1.3054487184559038
