subject,z_re_T2W20,z_pe_T2W20,z_l1_T2W20,z_l2_T2W20,z_density_T2W20,z_diameter_T2W20
CDMS-10-4A-JURAN,1.6524808787828793,0.7228796118715594,-0.1274203828445296,0.2949975234142615,-0.668060010855303,0.6827143127091911
CDMS-10-5A-HEPIHO,1.4351443713418144,-0.4240996542190636,-0.7076042949815213,-0.4236953585745583,0.3819791237320022,-0.1867278389405371
CDMS-10-5A-KSRAGU,1.4217542316783245,-0.3818030651455536,0.2119013834885754,-0.3647571011795284,-0.3841098400256854,0.2299522166454614
CDMS-10-5A-SROPU,1.8433603601254624,0.087405876831522,-0.1369244863371215,-0.042233596260103,-0.624882093576935,0.4548646010363633
CDMS-10-5A-SZURO,1.7742348204739122,-0.4680698494091387,-0.6274359824198357,-0.5266320677871347,0.2940519209020831,-0.1401493414656281
CDMS-10-5B-SRAJA,1.8211111871855223,-0.1682642003026154,-0.2219009522966563,-0.1531550980803301,-0.4077471044470926,0.7907336710844045
CDMS-10-5C-DAAUSA,1.925332587699905,-0.209076895167936,-0.514450053066178,-0.3729565712455044,-0.0770404919282406,0.2177096002816519
CDMS-10-5C-ICAPA,-0.1040464719319728,-0.4456500331955995,1.519059626704984,-0.4318411645717444,-0.8060558904883798,0.4043895398129088
CDMS-10-5C-JFALGI,-0.1211692468267933,-0.5399853605385565,-0.5422451032050425,-0.5425950644355331,0.8620035092694311,-0.6380692567543508
CDMS-10-5C-MAORTO,1.6173934395124796,-0.4445272815258158,-0.422359641752648,-0.4476734645880442,-0.2036286827452362,-0.6236371420814285
CDMS-10-5C-NBEMO,-0.1057440797443186,0.5036093700344523,0.236448726884155,0.4716438719930758,-0.5230632192801973,0.2448039844515845
CDMS-10-6B-ASCACO,1.1823105885390883,0.8648719473058557,0.2792246278866774,0.2258747110461531,-0.8996499423088158,0.5498185662463201
CDMS-10-6B-JJMOBE,0.357522444429533,-0.6762197278142856,-0.6345606421176848,-0.6796140335254295,0.870480578290831,-0.5363028669622395
CDMS-11-5A-EAARCA,1.3243522152325735,0.2608060239074197,0.0083695255037287,0.2109290867757259,-0.5035382586585394,0.2825022828913812
CDMS-11-5A-MGTHAR,0.5380614338291297,-0.325578901256546,0.3329602002230249,-0.3897124389002764,-0.1099235733802776,-0.1138980919574288
CDMS-11-6A-DFVEBE,1.3243243375109277,-0.2440738916230158,0.030092839874083,-0.2349291777190823,-0.3522946509290682,1.0982520206328328
CDMS-11-6A-NMREPR,1.4426694273618166,-0.4455486134460408,0.4658141210086246,-0.4491395468395345,-0.6219587592719209,1.03089963386774
CDMS-11-6B-ARAHE,2.4342489130507405,-0.2381775020943946,0.3229397249476282,-0.4030103338769662,-0.6913198813263892,0.6520693711491171
CDMS-11-6B-AVROTO,0.537115174088068,-0.1591214324241624,-0.2607343694182681,-0.1566522927143057,0.0908852483653966,-0.1182836681038844
CDMS-11-6B-EAFESA,1.402298164939484,-0.2632570051632688,1.1043639253845074,-0.2642687131375719,-1.0474109390785342,0.8140472481307407
CDMS-11-6B-EFRGR,1.774553255906006,-0.3191220636075481,0.8352058551849957,-0.3144322103869323,-0.9051275618523102,0.6424797823176635
CDMS-11-6B-EROCO,0.6179108248300496,-0.198693886545265,0.8325589791847314,-0.1679237561681857,-0.6669189945124175,0.7866768714598129
CDMS-11-6B-JACUPE,0.9260641229829808,-0.0563166138729732,0.5780095249267047,-0.1725407409663463,-0.7902954786030111,0.6996703932677334
CDMS-11-6B-JDCHBA,1.3478472286704657,-0.4301258318198712,0.330968748889004,-0.4268618697637233,-0.4986731137535043,0.6060579081508446
CDMS-11-6B-JFSAHE,1.4403576545481358,0.0995573712059476,-0.2567204191831078,0.0794037926626423,-0.2977839964395533,-0.1537746080643713
CDMS-11-6B-JLPENA,0.9872506792878428,-0.4444057639022132,0.5245235383107428,-0.4359346864269648,-0.4775983400994038,0.3101284200541147
CDMS-11-6B-JMARME,0.8918693345195376,0.2707506357953441,0.2206039433485694,0.1917941521639232,-0.6264515563310884,0.5236881823483757
CDMS-11-6B-JPSAMA,-0.1928420965842871,0.2055541027623879,-0.1903088705752571,0.2250530150008274,0.0365773409815035,-0.0489131221085772
CDMS-11-6B-LESTA,1.6745693804163169,-0.1467932214568275,-0.1007701966959882,-0.1471140495927724,-0.2950368922733993,0.0840792452370486
CDMS-11-6B-MAGIMU,1.368056594795033,-0.7315441434850968,2.5240976673901807,-0.7371498898876558,-1.7118453765615982,1.5308390745723013
CDMS-11-6B-MEBRTA,1.9761212675444335,0.057454527722709,0.9849461473979731,0.0517923048720061,-1.1635559133045663,1.144796440217353
CDMS-11-6B-MMAMO,1.3104925966461958,-0.0120304490465475,0.0545182357993336,-0.3115190388718746,-0.2841148866252357,0.3672262725485934
CDMS-11-6B-RSECA,0.9762561357985664,0.1090424787587666,-0.0890906258457785,0.1322965365201307,-0.315422261803017,0.2469026498234146
CDMS-11-6B-SCAPA,1.3104404511777972,-0.5267070030610864,-0.5204609081972784,-0.5295209635096437,0.3690040004019627,-0.076862881720313
CDMS-11-6B-VZAPE,-0.2764185585461133,0.4102703954853016,1.101938266899665,0.4401545767472711,-1.058750574638294,0.211965093576406
CDMS-11-6B-YLNIME,0.4040627735117955,-0.1193420114170549,-0.5395608914175631,-0.1136113815693097,0.3643143030346804,-0.2712265108708008
CDMS-11-7C-ICARE,0.922474889526704,0.4458460105380417,-0.7108029151005121,0.3761252142646345,-0.0614582791330654,-0.0691790691586189
CDMS-11-7C-SALMA,1.8588567963709772,-0.2604153478681717,-0.4322229188381739,-0.2583395295135722,-0.0743321241497399,-0.026438580802189
CDMS-11-7C-SPGAVE,-0.0571232411791593,-0.0293033239398332,0.2244489776313914,-0.0257640197277172,-0.1503974343235749,0.2320230824075723
CDMS-12-5A-SRIGO,2.135030563548287,0.7291515842825681,-0.5210614404587727,0.3006392202808254,-0.521857401588324,0.6040753957000051
CDMS-12-6A-FAROPA,0.8079201731518897,-0.4458686551350131,0.6707980932064858,-0.4376060963682396,-0.3302891281277095,0.2861826831498138
CDMS-12-6A-JGIGA,0.631019369449271,-0.3453679302817084,-0.3994757010635454,-0.3463583416191175,0.2617278958798837,-0.1190620237726553
CDMS-12-6A-JSOTGU,0.9881576483924648,-0.5366671326871258,-0.632049515814399,-0.5462896135666678,0.2983301725227522,-0.6414543556239961
CDMS-12-6A-SROAL,3.2729689612247417,-0.7107446645385213,-0.3094511576638175,-0.7177737570494579,-0.2852402803384486,0.3232582898126075
CDMS-12-6B-IJDAGA,1.2963641340907848,0.4953264832606704,0.8404054606236282,0.180561153341322,-1.1129891641835896,0.9868028347367628
CDMS-12-6B-SCLAG,1.3659305190112263,0.8135362788776319,-0.146863580584622,0.4361451176583044,-0.9100905719099676,1.0346285262303534
CDMS-12-7C-ARAHE,3.3281047438563096,1.2821213526243334,-0.6668111571076994,0.4078012102780797,-1.1620298588661235,0.0663116651473091
CDMS-12-7C-CATRAR,0.476844771181813,-0.6578088085223947,-0.6449883176501052,-0.6664062717272071,0.8794358793105997,-0.3286773028059351
CDMS-12-7C-DLOLO,1.0877175848074834,0.4025350987302024,-0.5960995898618271,0.4215012592992246,-0.2286219275476841,0.1124962017154372
CDMS-12-7C-JSZAOR,1.222356972082756,-0.3138159098914831,1.476323482028447,-0.525319274531576,-1.0387959428264948,1.4207311104790976
CDMS-12-7C-MAROBE,0.9630563129262668,-0.5288938596011872,0.118220069370971,-0.5310330966827717,-0.0007711786582257,0.0669121754966889
CDMS-12-7C-VMAPA,0.5562375634380694,-0.4630817831024502,-0.4706933634944284,-0.4643192306317961,0.5978252431631386,-0.7969424551093773
CDMS-12-7C-VQURA,1.2402534963463112,-0.0203654550997324,-0.2668760048026111,-0.0369938371250701,-0.1250349041045456,-0.1622410039190938
CDMS-13-6B-ASUMO,2.0607263050353515,-0.7307854035477356,-0.680937484697163,-0.7399941125797657,0.1598810853830478,0.4092867772623691
CDMS-13-6B-JDTAHE,0.1859104588874789,0.35946402785598,0.4947607492332371,0.1737477863337295,-0.6115553388771144,0.691055286424862
CDMS-13-7C-MVEAR,1.3480664945106553,0.9494505905263624,0.3795479566519152,0.4911802032174865,-1.0870595062537691,1.2481201786209333
CDMS-13-7C-RAIZAC,0.7659480908226978,-0.1594733368138043,0.3795048173720415,-0.339063398738205,-0.3857820292608885,0.6941991761117318
CDMS-13-7C-SSOSLO,1.7069554104129523,0.9747951916803648,-0.5617715418932088,0.5321908115772894,-0.5000525532685571,1.3038069181966858
CDMS-14-10A-IMORTO,0.7657859951776893,-0.1126701259933757,-0.5837614399534202,-0.0995691749384302,0.2811952123475182,-0.3558076836438024
CDMS-14-10A-JCVANI,1.678688706989351,-0.1342431078510698,-0.0527338911400035,-0.3413493631388029,-0.2692489851967573,0.2627356036369712
CDMS-14-6B-KDCAHE,-0.0818732558506811,-0.6301182577664718,0.4997092928949213,-0.627170113573393,0.1627516826601856,-0.0712341618957347
CDMS-15-10A-AMALOS,1.071451321973716,0.0659252354033281,0.4156199975718834,-0.0846506216667262,-0.4937844571064116,0.5927029351633153
CDMS-15-10A-JJMACH,1.987829698219596,-0.0433270432732074,-0.2797568811470699,-0.0368753123471448,-0.3366872273195477,0.149564686039275
CDMS-15-10A-MAALCA,0.4695250853618596,1.5117149721463747,-0.2945551108553104,1.3423651024727714,-0.8819511234473256,0.2521478781036186
CDMS-15-10A-MAALRI,1.0367278509196756,-0.2284324369785102,0.6210285248416594,-0.2185559615578372,-0.5712560314591134,0.5894324978317907
CDMS-15-10A-SGOMO,1.317463066001454,0.8746360951541841,-0.2546807756479882,0.3729247016673957,-0.4938472912609718,-0.0479671068386513
CDMS-15-10A-SHEGA,2.255111886393469,0.1373767282167123,0.1291856092714018,-0.2829591812120806,-0.5521337187869471,0.541661293146896
CDMS-15-11B-JEMOLO,3.372467738281473,-0.6207054325590045,0.6474541361499924,-0.7071641144674179,-1.0116261338896348,1.25694266912871
CDMS-15-11B-VSAHO,0.710555794656586,0.1626592638951815,0.5375098115049701,0.1728305545489562,-0.7127899895247785,0.707440765530785
