feature,mean_coef,std_coef,frac_nonzero
l3_T2W10,-0.16577026748985632,0.4911382384002624,1.0
edges_T2W40,0.1118803981098165,0.2645251077896595,1.0
lsc_T2W30,0.03973505145180825,0.035679448476997284,1.0
edges_T2W30,0.03466731303642519,0.08073606017383377,1.0
cc_T2W10,-0.03067443825319257,0.09780207694181801,1.0
lsc_T2W20,0.024109144486724014,0.036608148203950516,1.0
cc_T2W20,-0.020778545917004832,0.07530715254206853,1.0
edges_T2W20,0.005954686535020044,0.10945812050710692,1.0
lcc_T2W10,0.0015587169043302176,0.12063790994378237,1.0
edges_T2W10,0.0008859369092170117,0.08394100568841793,1.0
