r2,rmse,rho,p_rho
-0.023076090271655803,1.7532185476034128,-0.0870367748017019,0.5696879322506126
-0.036294475482879784,2.256980962735707,0.21070086739899388,0.1647404145316422
0.014503051548481416,1.788124743808575,0.19297881613045642,0.20405230630963597
0.007246044974296262,2.1565019706275272,0.09635164775551869,0.5289394565047133
-0.11055664889630679,2.329633956037915,-0.15751178287677498,0.3014374507828308
-0.015752173085111787,2.254612010863102,0.0719568611553157,0.6385495599722434
-0.08257279203529011,2.6267084461809325,0.13132949856796192,0.38982916844133947
-0.0066033045565006,2.202178701134398,0.09605698061434632,0.5302062257761264
-0.04420378795924895,2.5398541211506664,-0.05876657524198526,0.7013813162310696
-0.030185357046411676,2.4014585287739814,0.026865452331467296,0.860938939699999
0.007821145301207588,2.2212487942226273,0.2051455752600888,0.17641953739638297
-0.0357890679960855,2.085618034254892,0.14810919795840283,0.3315696828145239
-0.0038397841159498736,1.7497392407773513,0.46882341817563383,0.0011607783457630353
-0.030284001303572783,1.9682143798126854,0.08788803524569758,0.565904861348939
0.019363499162317277,1.9695081007370994,0.23772859023403828,0.11583611228539513
-0.0009927639528304333,2.5081234846698544,0.10629079718144699,0.48710021516178104
-0.05022900009598685,2.3096849761131124,-0.17424583953578662,0.2523053466097164
-0.08671849916468499,2.400309630956031,0.3713678110718529,0.012016951976690757
-0.033239882878321136,2.2808828533118555,0.01990035064698078,0.8967628188106325
0.02548214109061253,1.8845626009539223,0.2632521250717553,0.0805990701142903
0.021809109292437845,2.0365483978044967,0.3330706108720437,0.02537178218413996
0.024543920304152533,2.009634052083568,0.22186984456140144,0.14297749464758228
0.012774247725627741,1.7669383044229579,0.1414183092370796,0.3541156105038625
-0.061487136609251314,2.302763114703531,0.18663850317187014,0.2195976815187912
-0.03696963779445128,2.017180619163354,0.19479762805804152,0.19973913376175
0.010485649013304954,2.2679329859768678,0.18878729431056981,0.21424000642670887
-0.08749208414397525,1.961728675186694,-0.07322934308050359,0.6326099311980826
0.005494331149184739,2.1931642984200113,0.1860431533813076,0.22109836081234432
-0.08620161475821542,1.8464376731135408,0.18514634397186255,0.22337227991855713
-0.07792919691793454,2.4486624692750842,0.03589235330335742,0.8149281724037645
-0.011270287978356164,2.651311399119855,0.008233717581435675,0.9571900858054068
0.010786768446060746,2.3159736541351297,0.23383187231301528,0.122111404516154
-0.07748383360711353,2.513784025601036,-0.07455427642250054,0.626449674924658
-0.020410377594622497,2.2958354728378554,0.25542851211649786,0.09036609419234154
-0.0999983311674113,2.486743222137008,-0.07025039855798952,0.6465500962236633
0.013119044344169772,2.4263493834420453,0.3865680729322515,0.008714730995613151
-0.02243378951767383,2.210080662155025,-0.01832167712583622,0.9049133852599208
0.025243008656499755,1.792374542018853,0.2604891658327694,0.08394915148913518
-0.0005535596489762984,2.1424737714388025,0.15169281714644478,0.31987106669845505
0.0021474629013230606,2.442221929940574,0.20075351086970059,0.1860658087130453
0.013814344257414568,1.782476459846934,0.2879955381554029,0.05505616375893863
-0.005235031428016734,2.0408085923132973,0.12063136260978463,0.42991506755768316
-0.11124197369566646,2.577248302865555,-0.23616782655737867,0.11831954636856873
-0.11329874492149705,2.020283549625523,-0.005223156486336244,0.9728355053955379
0.007234213061485084,2.0382390461239295,0.07929972010313152,0.6045936641967399
0.002812848293671455,2.3817822964084883,0.1619079113809798,0.2879732083481665
-0.08335511305245569,2.0747363645842873,0.17751290143575593,0.2433814027841938
0.013255096616358597,2.4165224398494787,0.2154782549091183,0.15515462887130324
-0.0142716805619294,2.3828382050678303,-0.03282774600837477,0.8304878457182172
-0.026546171161327514,2.1602907956644826,0.049883549364890256,0.7448668634136886
-0.009113963658228696,1.9311876859920938,-0.02345746052914177,0.8784374627191927
-0.04272559987285285,2.3301034497311632,-0.08142390799006194,0.5949185187482638
-0.03844017519054854,2.2180844856698863,0.0003328747702214667,0.9982684696841613
-0.060737864858795954,2.1693338543889995,0.05400206651861893,0.7245981682158132
-0.0043495480229516215,2.2421426060923593,0.1266946340032834,0.40691951575604196
-0.005600621241943049,2.353085384781632,0.03454742143526907,0.821748386564444
0.003796430372407622,2.160245420612598,0.22140755695322564,0.1438337520004795
0.01353226103745353,1.9304548434882898,0.17212624744625954,0.25821121308767747
-0.13223976746818078,2.408638755694183,-0.07242136953867259,0.6363787312967171
-0.0839447017715913,2.624703939734813,0.097370883967468,0.5245692659928509
-0.016150740104224903,2.3755577614803305,0.0464362530032897,0.7619649164109561
-0.02136409210649126,2.4897384157296303,-0.13388671609058858,0.3805829588492315
0.01496270945450906,2.081865528414398,0.3174983755107501,0.03356657814429756
-0.03833035764806314,2.4614470807520865,0.07572578614760606,0.6210236042385513
-0.05400481493921072,2.1515792447534894,0.43150017541654134,0.003081280231795191
-0.10251104848137449,2.3685463420827597,-0.2639477786987711,0.07977232198099632
-0.1843832583588938,1.965635109842706,0.1221441629524069,0.42411052257715953
0.01720294284905244,2.2698641454658333,0.41767301492765746,0.004307033369020042
0.005723112836202082,2.1156475357438103,0.06235535748924611,0.6840681951778319
-0.012877101835949256,2.316678262981873,0.2966649867077969,0.04782868140348878
-0.024287170552926618,1.843120359732637,-0.045048071104310715,0.7688823797584851
0.005747362498184416,2.214718871175818,0.10931571364012473,0.4747183441109549
0.02122508687477287,2.1570083665128967,0.2643114592972575,0.07934276087863551
-0.004833640575773845,2.1069247085976275,0.053403040165412995,0.7275350205130673
-0.1825855417210045,2.4969396817955287,-0.03458498485788001,0.8215577216441485
-0.008018574675217272,1.8950026545089742,0.24006963745670565,0.11218548014668131
0.008600888028031939,2.555581077525317,0.22687685578447037,0.13394382655319145
-0.02293342578508062,2.29867204108162,0.22910763644989804,0.13005905723571545
-0.023317172785247475,2.340924310607183,-0.06517200299723659,0.6705908312586225
-0.011592493549050342,2.317796492480798,0.1766602157680488,0.24568959019198944
0.008444632071295866,2.1526991385868857,0.24904679224512696,0.09899335088171177
-0.004159953827282958,2.3771969003679256,0.3842091427721442,0.009169115209353226
-0.01291732579032523,2.7785213232628094,0.18386422566931762,0.22665112027234804
-0.007485639557892387,2.0143991385766515,0.3838432267554532,0.009241394864104935
-0.058903716752152,2.3665215194317595,0.08375999229286143,0.5843577496818809
-0.07049346577573745,2.457041820610025,-0.1316983939941311,0.388487270867991
0.004824847419826694,1.9435129480213202,0.07985852565408891,0.6020418484036086
-0.2295717555989245,2.2441218845155713,-0.09938116672694552,0.5160023798692722
-0.002641127710381719,1.8582374796275223,0.11983903003387228,0.43297287895236364
-0.02035719778561873,2.3670966786575582,0.045518896886460845,0.7665341835825942
-0.12571025323777762,1.9754650620105372,0.09149088701176714,0.5500237133701347
-0.03925338568391612,1.878521388589691,0.06268513311684559,0.682485126255971
-0.008201967909466923,2.0950628086981196,0.24185586114548105,0.10945941303555223
-0.09180923786874118,2.6202533884651755,-0.1147752207723617,0.4527996948369258
0.004210584911353621,2.37969921371037,0.04827510492017175,0.752829970213507
0.007013780033413908,2.4150329701793147,0.06987578645105692,0.6483117481293955
-0.1364498653703492,2.3637692080555794,-0.21484589923345151,0.15639943605828563
-0.005638269838516452,2.469893835544837,0.05368179463673253,0.7261678850660864
-0.007934308734206752,2.4224816884452385,0.07599553296216596,0.6197770181169696
-0.052150694237925954,2.2139835780046715,0.37814064790803664,0.010432834935857777
0.007374772273940344,2.4084959647674995,0.37186288983157095,0.011894571543106473
0.01161433220788377,2.3553450115680743,0.378503875717201,0.010353199008031146
-3.654539717157235e-05,2.034796849945491,0.06153112143656247,0.6880307417626179
-0.0035413733572251527,1.9335524934027912,0.03408792491888002,0.8240815239504998
-0.002369592798517006,2.320043310801674,-0.04882857722814287,0.7500869216188151
-0.018557117913582166,2.584515956390237,0.21758756947436603,0.15105486548689803
-0.002337981325644556,2.546809857065317,0.04237262470280583,0.7822641791909204
-0.034399518904199455,2.2612505208708704,-0.03732227349202183,0.8076917986958562
-0.026848651167514337,1.75587054826683,0.016371454078608752,0.9149955011960419
-0.021473241706781998,2.577080049280723,0.21481882093411603,0.156452902980887
-0.17151651970002213,2.9306666541524726,0.10986416046920618,0.47249138817656816
-0.029392692985103386,2.4872722004884826,0.04244056908889716,0.7819235528676299
0.011730858247266718,1.8965262038358117,0.05724729884505981,0.7087565765487357
-0.05231227000519123,2.1474324702616054,-0.07057212052595313,0.6450386892053879
0.006994436118565095,2.103132312541127,0.15333086256297887,0.31461155331526125
0.011878164921949041,1.9275212320214457,0.22079253385875772,0.14497878037924294
-0.0003950132445644794,2.311353798499995,0.0596632026691823,0.6970413279490439
-0.07716009964969617,2.5290190396295675,0.14373521596368835,0.3462049932176666
0.012544374870794961,2.4663184406714196,0.29087006409578814,0.05256838203211653
-0.0507091393971153,2.132698553239576,-0.05122786457585254,0.7382314920700986
