feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
edges_T2W40,0.1816592690861118,0.06896180567517439,1.0,400,1.0
l3_T2W40,-0.17549981543392365,0.05816290666763329,1.0,104,0.26
l1_T2W40,0.1340452620750186,0.04953546111493475,1.0,63,0.1575
atd_T2W40,0.10982909047411288,0.1941151198346632,1.0,9,0.0225
lsc_T2W40,0.08995228733075207,0.05241411178680758,1.0,397,0.9925
asp_T2W40,0.06989955810868625,0.05910839515125721,1.0,139,0.3475
l2_T2W40,-0.056265032580374005,0.024685501545203516,1.0,85,0.2125
pe_T2W40,-0.048914950768207996,0.031627165213300515,1.0,44,0.11
lcc_T2W40,0.0405530553432525,0.24389251920286667,1.0,353,0.8825
diameter_T2W40,0.03635076513702963,0.03720100212966154,1.0,45,0.1125
re_T2W40,-0.027838722865105806,0.03456714084565249,1.0,77,0.1925
density_T2W40,-0.0057956805512757,0.03962024930131933,1.0,31,0.0775
nodes_T2W40,-0.0006810781966790065,0.2815923947375257,1.0,253,0.6325
