subject,l1_T6W30,density_T6W30
CDMS-10-4A-JURAN,0.116,0.1031431763253273
CDMS-10-5A-HEPIHO,0.0,0.0999540680518157
CDMS-10-5A-KSRAGU,0.4829268292682926,0.1088698393897925
CDMS-10-5A-SROPU,0.4507772020725388,0.1084014840467811
CDMS-10-5A-SZURO,0.1576086956521739,0.1109438372334184
CDMS-10-5B-SRAJA,0.1213389121338912,0.1160784124244013
CDMS-10-5C-DAAUSA,0.2137592137592137,0.1161002269011422
CDMS-10-5C-ICAPA,0.5506329113924051,0.137303451823763
CDMS-10-5C-JFALGI,0.0,0.1288500298940466
CDMS-10-5C-MAORTO,0.6530612244897959,0.1300090616575912
CDMS-10-5C-NBEMO,0.9972972972972972,0.1183495048309289
CDMS-10-6B-ASCACO,0.0,0.1190267663188785
CDMS-10-6B-JJMOBE,0.0,0.1096046331689185
CDMS-11-4A-GACHSA,0.4227941176470588,0.1198634811939528
CDMS-11-5A-EAARCA,0.1479591836734693,0.1190590883076962
CDMS-11-5A-MGTHAR,0.5513307984790875,0.1352906863034141
CDMS-11-6A-DFVEBE,1.2822299651567943,0.1108413527009358
CDMS-11-6A-NMREPR,0.0,0.1070547620361611
CDMS-11-6B-ARAHE,0.8950617283950617,0.1145913450079306
CDMS-11-6B-AVROTO,0.0,0.1067576192473092
CDMS-11-6B-EAFESA,0.2994836488812392,0.1063063022647621
CDMS-11-6B-EFRGR,0.5561643835616439,0.1218971722913863
CDMS-11-6B-EROCO,0.145,0.1167546526386074
CDMS-11-6B-JACUPE,1.148479427549195,0.1327897176932396
CDMS-11-6B-JDCHBA,0.8518518518518519,0.1206547005331845
CDMS-11-6B-JFSAHE,0.0,0.1010896989918527
CDMS-11-6B-JLPENA,0.2779552715654952,0.1141487472378824
CDMS-11-6B-JMARME,0.1220196353436185,0.1120795970996211
CDMS-11-6B-JPSAMA,0.2035087719298245,0.1013031167820199
CDMS-11-6B-LESTA,0.2156133828996282,0.1177065493723111
CDMS-11-6B-MAGIMU,0.0973154362416107,0.1247045853105657
CDMS-11-6B-MEBRTA,0.7278481012658228,0.1174670630479758
CDMS-11-6B-MMAMO,0.403899721448468,0.1048573202386535
CDMS-11-6B-RSECA,0.1479099678456591,0.1167237413846059
CDMS-11-6B-SCAPA,0.0,0.1059186479440986
CDMS-11-6B-VZAPE,0.4915254237288136,0.1145602974671489
CDMS-11-6B-YLNIME,0.0,0.1068123055829849
CDMS-11-7C-ICARE,0.1856060606060606,0.117939492549959
CDMS-11-7C-IMOIB,0.3615960099750623,0.1004175623079165
CDMS-11-7C-SALMA,0.0,0.1091772452818476
CDMS-11-7C-SPGAVE,1.1495726495726497,0.1091158545417956
CDMS-12-5A-SRIGO,0.3118279569892473,0.1035402022834245
CDMS-12-6A-FAROPA,0.3483483483483483,0.1003575798694029
CDMS-12-6A-JGIGA,0.3225806451612903,0.121094752366086
CDMS-12-6A-JSOTGU,0.3192660550458716,0.122226732490183
CDMS-12-6A-SROAL,0.2208121827411167,0.1033217866741296
CDMS-12-6B-IJDAGA,1.5166666666666666,0.1165936027986909
CDMS-12-6B-SCLAG,0.6415929203539823,0.1143750153399822
CDMS-12-7C-ARAHE,0.0,0.1177958120551582
CDMS-12-7C-CATRAR,0.0,0.1063884152737591
CDMS-12-7C-DLOLO,0.1933085501858736,0.1182248502831008
CDMS-12-7C-JSZAOR,0.1858974358974359,0.0986316559281999
CDMS-12-7C-MAROBE,0.0,0.1013299612436441
CDMS-12-7C-VMAPA,0.0,0.111789758939699
CDMS-12-7C-VQURA,0.0535055350553505,0.1074310208044895
CDMS-13-6B-ASUMO,0.3135135135135135,0.1056840404529191
CDMS-13-6B-JDTAHE,0.4218181818181818,0.1073120179868671
CDMS-13-7C-MVEAR,1.2080152671755726,0.1198603946810955
CDMS-13-7C-RAIZAC,0.2357723577235772,0.101447962448885
CDMS-13-7C-SSOSLO,0.6948590381426202,0.1180495305343146
CDMS-14-10A-IMORTO,0.1003460207612456,0.1096225993485866
CDMS-14-10A-JCVANI,0.2,0.102747527484648
CDMS-14-5A-LSDUCO,0.2543859649122807,0.120995470124116
CDMS-14-6B-KDCAHE,0.644880174291939,0.1088663371810556
CDMS-15-10A-AMALOS,0.7073170731707317,0.1074233702711422
CDMS-15-10A-JJMACH,0.2442839951865222,0.0999253905227357
CDMS-15-10A-MAALCA,0.2423398328690807,0.1032356230056239
CDMS-15-10A-MAALRI,0.2032710280373831,0.1014675206094819
CDMS-15-10A-SGOMO,0.1632047477744807,0.1003108029418152
CDMS-15-10A-SHEGA,0.0737913486005089,0.1080303931309224
CDMS-15-11B-JEMOLO,0.358042994810971,0.1020356648978948
CDMS-15-11B-VSAHO,0.3320610687022901,0.1090386440219799
CDMS-16-10A-SGALO,0.1491002570694087,0.1020917234271313
CDMS-16-11B-NGABE,0.1255411255411255,0.0992332241641722
CDMS-17-10A-ASSAMO,0.0,0.0971798162132132
CDMS-18-7C-VVECA,0.0847953216374269,0.1147211894200422
CDMS-8-4A-DBEVA,0.6539792387543253,0.1323021693747936
CDMS-8-4A-DJAVDA,1.646090534979424,0.1397226568381069
CDMS-8-4A-DOSTR,0.7022375215146299,0.1253063455855498
CDMS-8-4A-LGOPA,0.4899135446685879,0.1247327917605527
CDMS-8-4C-JDBUTU,1.329073482428115,0.1272528223779816
CDMS-9-4A-ACDUTR,0.5958904109589042,0.1184614736882598
CDMS-9-4A-CARGA,0.4664879356568364,0.1176722650503829
CDMS-9-4A-CRAAG,0.6126760563380281,0.1276934057400738
CDMS-9-4A-EROHI,0.7142857142857143,0.107431158090959
CDMS-9-4A-ILOSE,0.0,0.1252929765675407
CDMS-9-4A-TGAFR,0.1739130434782608,0.1235968377790087
CDMS-9-4C-SCAMO,0.1414634146341463,0.0948014472509644
CDMS-9-5A-ABERO,0.6220302375809935,0.1127126017708179
CDMS-9-5A-PAGACO,0.4128113879003559,0.113436008979874
CDMS-9-5A-VVAAR,0.3493975903614458,0.124380487202098
CDMS-9-5C-JDMADE,1.5425531914893618,0.1146131762773059
CDMS-9-5C-LVIZAC,0.3462686567164179,0.111652069365785
CDMS-9-5C-MLOGO,0.6189024390243902,0.1228301443668688
CDMS-9-5C-SCAAG,0.33984375,0.110144138563201
CDMS-XX-10A-VGILO,0.932748538011696,0.1059654692966792
CDMS-XX-5C-MJSARU,0.2006920415224913,0.1042938419744735
CDMS-XX-5C-MPCAQU,0.0,0.1221002360137356
CDMS-XX-6A-MAGICA,0.0777479892761394,0.1032958127415198
CDMS-XX-6B-SPUCA,0.0590631364562118,0.1053584494837919
CSO-10-4A-ICAPA,0.1300448430493273,0.121341835407414
CSO-10-4A-KCOMO,0.422037422037422,0.1260947151910839
CSO-10-4A-LRAVI,0.0,0.1342714976044445
CSO-10-4A-LSCAVA,0.1039426523297491,0.1051332835637635
CSO-10-5A-ACAVA,0.9127272727272728,0.1005296632554773
CSO-10-5A-ARACA,0.777027027027027,0.106900432123376
CSO-10-5A-DABRZA,0.4142857142857143,0.1285792315798172
CSO-10-5A-GZAMA,0.0978077571669477,0.110211736704122
CSO-10-5A-IPECA,0.1106870229007633,0.1086305303814004
CSO-10-5A-JANORO,0.173469387755102,0.1061485934664222
CSO-10-5A-JBUVE,0.4328358208955223,0.1022113241228477
CSO-10-5A-JJSEMO,0.1223628691983122,0.1251915823892051
CSO-10-5A-JLCARI,0.3135135135135135,0.1076431894778913
CSO-10-5A-MAARAN,0.1418092909535452,0.1236355601207774
CSO-10-5A-MAOSMO,0.0669745958429561,0.0989667972889161
CSO-10-5A-RVMOIB,0.2358276643990929,0.1056251920680224
CSO-10-5A-SVHEES,0.8,0.1170654252978648
CSO-11-5A-MDVOSPE,0.1955307262569832,0.1092624351976272
CSO-11-5A-MTAGA,0.4801223241590214,0.095189249407027
CSO-11-6A-CAPAMU,0.4143222506393862,0.1017447233154549
CSO-11-6A-DSCACH,0.11328125,0.1005231676651587
CSO-11-6A-EROMO,0.0,0.1124681022229007
CSO-11-6A-FSOVRE,0.3333333333333333,0.119379171355501
CSO-11-6B-ANREVA,0.1606648199445983,0.1126025808010535
CSO-11-6B-DISEMO,0.0,0.0969709909899914
CSO-11-6B-LHFDLACH,0.3527918781725888,0.106098755031144
CSO-11-6B-RJGIHE,0.5994152046783626,0.1164495006212937
CSO-11-6B-SFLVA,1.0688524590163937,0.1224203466664248
CSO-11-6B-VCOMA,0.2105263157894736,0.1057614522182656
CSO-12-6A-DGISE,1.359375,0.1086395109289762
CSO-12-6A-FJOVRE,0.5867507886435331,0.1144294677185921
CSO-12-6B-GQULO,0.78,0.1165523986151796
CSO-12-6B-LJHEFE,0.2857142857142857,0.1030670770541022
CSO-12-6B-VPAMA,0.3258426966292135,0.1148847850490139
CSO-12-7A-DALRE,0.6111111111111112,0.1271730999356471
CSO-12-7A-ESALA,0.0,0.1206779819887896
CSO-12-7A-IMERO,0.3524305555555556,0.1101993204148865
CSO-12-7A-JHEZA,0.6245210727969349,0.0967228736893027
CSO-12-7A-LSARAR,0.0,0.1190561098808038
CSO-12-7A-SCAHO,0.0783783783783783,0.1122754748093286
CSO-12-7B-DVAGRO,0.6403785488958991,0.1013189442971081
CSO-12-7B-SMUGU,0.3580246913580246,0.1098816168812518
CSO-12-7B-SSARA,0.4785478547854785,0.0990779391820674
CSO-12-7B-VHOMA,0.4842105263157895,0.0964809661074625
CSO-12-8A-YTOME,0.1115384615384615,0.1037353606807048
CSO-13-6A-ANASA,0.0819209039548022,0.0984261613019066
CSO-13-6B-JETAVE,0.1186094069529652,0.1199059506587664
CSO-13-6B-LFMIES,0.4406130268199233,0.107209605253584
CSO-13-6B-LJMAHU,0.166189111747851,0.1077591808759643
CSO-13-7A-CAPAMU,0.5403949730700179,0.1038411253076837
CSO-13-7A-CDDITR,0.1271929824561403,0.0970365912585592
CSO-13-7A-JJATFL,0.1969111969111969,0.1151587514474271
CSO-13-7A-KRAMA,0.3097345132743362,0.1214769924768739
CSO-13-7A-RXCHLU,0.0,0.1119290490120826
CSO-13-7A-YAMEZA,0.3552188552188552,0.1012758033176944
