subject,l1_T6W30,density_T6W30,y_true,y_pred
CDMS-10-4A-JURAN,0.05823093117780909,-0.0004269531036835694,2,5.144943546196403
CDMS-10-5A-HEPIHO,0.09126274558849712,-0.0005797266402494117,7,5.1778225870705255
CDMS-10-5A-KSRAGU,-0.04625405956953843,-0.0001526185580860151,5,5.040732889994653
CDMS-10-5A-SROPU,-0.037099227510030364,-0.00017505501868475548,6,5.049865285593563
CDMS-10-5A-SZURO,0.046382562965280094,-5.3264143552667065e-05,5,5.133468866944005
CDMS-10-5B-SRAJA,0.05671063846434787,0.00019270656154990462,13,5.1440429131481755
CDMS-10-5C-DAAUSA,0.030393308713765332,0.00019375157930356934,8,5.117726628415347
CDMS-10-5C-ICAPA,-0.06553384180400856,0.0012094874465753414,7,5.0228152137648445
CDMS-10-5C-JFALGI,0.09126274558849623,0.0008045281120150349,10,5.179206841822789
CDMS-10-5C-MAORTO,-0.09470102308532447,0.0008600512759588952,12,4.993298596312912
CDMS-10-5C-NBEMO,-0.1927246616236129,0.00030150274815099465,5,4.894716409246816
CDMS-10-6B-ASCACO,0.09126274558849712,0.00033394681207621346,6,5.178736260522851
CDMS-10-6B-JJMOBE,0.09126274558849712,-0.00011741842229451294,1,5.17828489528848
CDMS-11-4A-GACHSA,-0.029130847756745126,0.0003740294557497137,2,5.058382749821282
CDMS-11-5A-EAARCA,0.04913032924833427,0.0003354951899039449,8,5.136605392560516
CDMS-11-5A-MGTHAR,-0.06573257005165312,0.0011130663531377927,9,5.022520064423762
CDMS-11-6A-DFVEBE,-0.27386123924669015,-5.817364273852377e-05,1,4.813220155232849
CDMS-11-6A-NMREPR,0.09126274558849712,-0.00023956944299641236,8,5.1781627442677785
CDMS-11-6B-ARAHE,-0.16361236560508097,0.00012146892116948749,5,4.923648671438366
CDMS-11-6B-AVROTO,0.09126274558849712,-0.00025380400351426857,8,5.178148509707261
CDMS-11-6B-EAFESA,0.0059826739602151235,-0.00027542424516813213,0,5.092846817837325
CDMS-11-6B-EFRGR,-0.06710896733945715,0.0004714529843945492,3,5.020502053767215
CDMS-11-6B-EROCO,0.04997297757513808,0.0002251017015804102,6,5.137337647398996
CDMS-11-6B-JACUPE,-0.23577483462958782,0.0009932579971190236,9,4.852357991489809
CDMS-11-6B-JDCHBA,-0.15130804989228652,0.0004119326456959449,3,4.936243450875687
CDMS-11-6B-JFSAHE,0.09126274558849756,-0.0005253244876537444,3,5.177876989223122
CDMS-11-6B-JLPENA,0.012113030546912817,0.00010026637148907724,4,5.09935286504068
CDMS-11-6B-JMARME,0.056516797751168024,1.1441852234561622e-06,5,5.143657510058669
CDMS-11-6B-JPSAMA,0.03331219399079899,-0.0005151007549430986,0,5.119936661358134
CDMS-11-6B-LESTA,0.029865321033316405,0.000270702107079579,8,5.117275591262674
CDMS-11-6B-MAGIMU,0.0635514918882567,0.0006059414930161822,9,5.151297001503551
CDMS-11-6B-MEBRTA,-0.11599711130964163,0.00025922956692436827,8,4.9714016863795605
CDMS-11-6B-MMAMO,-0.023750535785763915,-0.0003448374132268839,2,5.063044194923287
CDMS-11-6B-RSECA,0.049144343800836765,0.00022362090469751905,1,5.136507532827812
CDMS-11-6B-SCAPA,0.09126274558849623,-0.000293994740884429,5,5.1781083189698895
