subject,pe_T2W10,l2_T2W10,diameter_T2W10,asp_T2W10,z_pe_T2W10,z_l3_T2W10,y_true,y_pred
CDMS-10-4A-JURAN,-2.087420390763478,-1.8533570601659235,0.2872575147755807,-1.5805033560416601,-1.1074280813502795,-2.2185486264542384,6,6.0
CDMS-10-5A-HEPIHO,1.3988460442754516,1.4035188117469297,3.4031599856067665,1.5437574445212812,1.0293636409157365,1.6613540729338356,25,25.0
CDMS-10-5A-KSRAGU,0.34896888935076475,0.13058337183991653,2.740473593194356,0.6615443373753528,-0.04955680839967869,0.6079866166392899,19,19.0
CDMS-10-5A-SROPU,0.966800167265377,0.7347695762582187,0.9566127881714422,0.9306721922633792,0.3904518535946302,0.46069342244695416,19,19.0
CDMS-10-5A-SZURO,-0.8051729473235449,-0.48729613819706136,1.0915972453096932,-0.4197343701882606,-1.132246537648916,-0.807147251951909,12,12.0
CDMS-10-5B-SRAJA,2.2738657959541957,1.8282401124281016,2.991162143455241,2.779557317626672,2.474051762421833,3.0931228681139573,30,30.0
CDMS-10-5C-DAAUSA,0.24942639993009558,0.2694455605753144,1.9815652872873044,0.530099406933894,0.022171671370912804,0.3872916739024803,18,18.0
CDMS-10-5C-ICAPA,-0.20796918543201093,-0.3704679977833365,1.7952381500447003,0.26530990136854826,-0.39681748898186875,0.35470662078396886,16,16.0
CDMS-10-5C-JFALGI,0.6053327561604699,0.5634157689037192,1.3203972666621462,0.6166205465571448,0.9104196938397248,0.4238139678767965,19,19.0
CDMS-10-5C-MAORTO,1.728766759332065,1.7043213407161453,3.331036405230578,2.153717752831456,2.0207710959034797,2.5013866459862792,28,28.0
CDMS-10-5C-NBEMO,0.4665604284147351,0.5814823940789282,3.110669809496341,0.8569927359496665,1.5735858933211124,0.8507087387392185,22,22.0
CDMS-10-6B-ASCACO,-0.2908007625155298,-0.38057445277618385,0.036656116228592106,-0.5302246686046249,0.7324738322296673,-0.1275300645619196,14,14.0
CDMS-10-6B-JJMOBE,-0.02946331984793904,-0.051621739918014685,-0.7028899476427481,-0.5222871561641033,-0.46490663431717394,0.21116879788998058,13,13.0
CDMS-11-5A-EAARCA,1.2397226369250163,1.3185125130745845,3.2067435584961665,1.4947576372590778,1.8228824930247804,2.3573811612203763,26,26.0
CDMS-11-5A-MGTHAR,-0.03226983966121444,-0.07558452091068456,1.9084238302992425,0.15355774363414712,-0.2331513307990859,-0.28097588256240336,16,16.0
CDMS-11-6A-DFVEBE,-0.7273532160903384,-0.8974726602917374,-2.052543142268878,-1.2708723866391198,-1.1452342447599222,-1.4665243499500031,7,7.0
CDMS-11-6A-NMREPR,1.098800329697496,1.0622876823206584,3.022445483633333,1.234928045758437,0.8069107611092354,1.2146276974808414,23,23.0
CDMS-11-6B-ARAHE,-0.6777783034399217,-0.64776466761077,1.0027080283364174,-0.2515085402762156,-0.6509266814470457,-0.3347298355624631,13,13.0
CDMS-11-6B-AVROTO,0.19783862025880208,0.13621347070445833,-0.7897704174560929,0.7792838243300544,-0.002544905385226892,0.11897940754800629,15,15.0
CDMS-11-6B-EAFESA,-1.8175706348418588,-1.6688510420794955,-3.700517026078928,-1.304367574450513,-2.2710487692242345,-1.7976449533249685,2,2.0
CDMS-11-6B-EFRGR,-1.031861676051792,-1.031059829920988,0.5595925678649021,-0.843115650679448,-1.2844044239727888,-0.9291509872398839,10,10.0
CDMS-11-6B-EROCO,-0.6937912955052629,-0.875547319244908,1.567961623120298,-0.1692330124130148,-1.0814268681469423,-0.30796312781016866,13,13.0
CDMS-11-6B-JACUPE,1.220386226728185,1.194350369203547,1.3210638839747835,1.3156649017653272,0.7620190423700395,1.6265155759581191,22,22.0
CDMS-11-6B-JDCHBA,-0.11242839015594619,-0.3353919663054465,0.5618412994050326,-0.3063323977904624,-0.49764547790713043,-0.8700430672460457,13,13.0
CDMS-11-6B-JFSAHE,-0.34732917665418367,-0.6039930801844646,-0.24692215708736737,-0.09043602862820954,-0.6576912261316424,-0.6136283313141314,12,12.0
CDMS-11-6B-JLPENA,-0.8597949356590124,-0.882166839901356,-1.8882338073541098,-1.2592459386774746,-1.2513260102238253,-1.4192324681842203,7,7.0
CDMS-11-6B-JMARME,-1.1868796359896585,-1.1256312461812148,-0.4125240915721431,-1.160917949397649,-1.0765921119708801,-1.5974549648884533,8,8.0
CDMS-11-6B-JPSAMA,-2.002945561217134,-2.022457920603744,-4.053052839382735,-2.477640482171951,-1.7937708551645333,-2.2101323414599015,0,0.0
CDMS-11-6B-LESTA,1.0094985069242828,0.7538410847288173,2.4844530156072113,0.8386015389019207,0.5117342518843282,0.841871601953441,21,21.0
CDMS-11-6B-MAGIMU,1.4204746554932548,1.3292543320558399,0.951697076349939,1.398614323217666,2.9215679992162205,3.418391613667081,26,26.0
CDMS-11-6B-MEBRTA,0.009423179284084426,-0.07799839256437507,1.8301128202066874,0.30882241594550075,-0.20620633110362704,0.575846308231731,17,17.0
CDMS-11-6B-MMAMO,-0.4099424068861266,-0.5381274236115109,-2.5520376855247227,-0.5460304975193447,-0.7795977886226718,-0.7342641978356219,9,9.0
CDMS-11-6B-RSECA,-1.9129933894404443,-2.0882060015891497,-3.231763124298936,-1.7309546812522587,-1.9223937581657784,-2.673689045253432,1,1.0
CDMS-11-6B-SCAPA,-0.4395012663488709,-0.49356113601327734,-1.6150277344302044,-0.44304692980018345,-0.88382487882686,-0.6850380545806026,10,10.0
CDMS-11-6B-VZAPE,0.2908702697042109,0.42012163602931646,3.159461881110234,1.0531818190309463,1.0673754056480889,0.44898898847720536,21,21.0
CDMS-11-6B-YLNIME,-0.7767402450510839,-0.7583994017087444,-2.493057134544142,-0.32067566008086246,-1.1825680666315412,-1.028559491983625,8,8.0
CDMS-11-7C-ICARE,-0.275161623420558,-0.09843889565372654,2.161755579669017,0.34104676273911955,0.8565680628369782,-0.5457698861708286,17,17.0
CDMS-11-7C-SALMA,0.16481627724951733,0.26852607216767754,2.091283091735518,0.5538638490296212,-0.03526735923689328,0.3967780690545606,18,18.0
CDMS-11-7C-SPGAVE,-1.2085723923187452,-1.3665707588651408,0.39255243920616145,-1.1902333067456143,-1.5663257122062288,-1.620850269070431,8,8.0
CDMS-12-5A-SRIGO,0.22439194760190148,0.04146932204999154,-0.8394174386771708,-0.30487995781856897,1.584048383377393,-0.26561225653354503,15,15.0
CDMS-12-6A-FAROPA,0.9479387153380315,0.9780217364931755,3.5683853577324363,1.2704397324759829,0.752328034195549,0.9228864237648261,23,23.0
CDMS-12-6A-JGIGA,-1.5801333249508127,-1.563132779938405,-4.196224479575222,-1.8798864709387102,-2.2477112328730313,-2.092911711723816,1,1.0
CDMS-12-6A-JSOTGU,0.6469799409689866,0.6054401607778898,3.0834887597237537,1.3166767502354257,0.3425810673274068,0.44483332096653927,21,21.0
CDMS-12-6A-SROAL,1.6082128319223854,1.4060307761992608,1.8109917281234238,1.483720337979769,1.5641583616477936,1.5668859641273685,24,24.0
CDMS-12-6B-IJDAGA,0.8748159145086943,0.8038184588010555,4.659728485837438,1.3837036631594817,1.7526023767560963,0.9653311009372352,25,25.0
CDMS-12-6B-SCLAG,3.708088380657316,2.7875231426541487,2.9167684638802034,2.033128426877891,3.234356598780824,1.7601349871496197,31,31.0
CDMS-12-7C-ARAHE,1.321557386966125,0.6786133824716029,0.08150268233214941,0.6587426913465277,3.2312844939061427,1.468299362977453,22,22.0
CDMS-12-7C-CATRAR,-0.2335656971612009,-0.2325638270613961,-0.5914013785819972,-0.40051663676976357,-0.33170213226612777,-0.7702503281595131,12,12.0
CDMS-12-7C-DLOLO,0.4587720968311915,0.6602741205099611,-0.13230406781764437,0.7537181425647833,1.6541227292746854,1.0454169786370242,19,19.0
CDMS-12-7C-JSZAOR,-0.5441412567434307,-0.7175391131729562,-0.7663407868741746,-0.9476781681971176,-0.8810553181305301,-0.703245356881789,10,10.0
CDMS-12-7C-MAROBE,-0.5805430322828424,-0.5965246955903463,-1.7873719448146141,-0.44110612872516963,-1.077205029125109,-1.0772491694619168,9,9.0
CDMS-12-7C-VMAPA,-0.5861587293287753,-0.5737287667709334,0.6492672716301939,-0.44462606582461467,-0.8663585149656879,-0.7383951947401812,12,12.0
CDMS-12-7C-VQURA,-0.19667109547895426,-0.07118713308534685,-0.4817466387546025,-0.2629290740517045,-0.28825485088941105,-0.25921120773997947,13,13.0
CDMS-13-6B-ASUMO,-0.9650137059245569,-0.9656677815427611,-2.156750104664635,-1.6592531719916062,-1.3442662908303742,-2.469048945046065,5,5.0
CDMS-13-6B-JDTAHE,1.0209837914046265,0.9534705687054361,0.33769057090773646,0.8846580719146571,1.4090912149176962,1.8341057821498492,21,21.0
CDMS-13-7C-MVEAR,2.2607951887067927,1.946035101742258,1.1423996391361366,1.1346502665190528,2.9461780884421644,3.0099417154535963,27,27.0
CDMS-13-7C-RAIZAC,-1.8430589156626325,-1.672588331972617,-0.4027968997872815,-1.3369730482830768,-2.0029229421993353,-2.3016598620950552,5,5.0
CDMS-13-7C-SSOSLO,1.3392338385828109,1.3369694240827983,0.8810923983472838,1.1967933627409364,2.38369216799566,1.3022188082505113,23,23.0
CDMS-14-10A-IMORTO,-0.4696407569296919,-0.488829822425882,-1.4176622826165401,-0.06406552353820061,-0.6101724077454452,-0.5096292067442388,11,11.0
CDMS-14-10A-JCVANI,1.0899137625578634,0.9660132147621563,2.442552743523911,1.1810983038838638,1.016604636041078,0.7438173392311285,22,22.0
CDMS-14-6B-KDCAHE,1.0480586479621383,0.8155804645808207,1.4624196960409008,1.5116598911477255,1.0802829001664278,1.521998400101988,22,22.0
CDMS-15-10A-AMALOS,0.5789423138937184,0.48144283392296755,-1.159954288399578,0.9354855824304172,0.39615122603190817,0.20793233212056794,16,16.0
CDMS-15-10A-JJMACH,-1.2439110020334139,-1.2793216469527902,-1.6452943076551143,-0.9312074405330257,-1.7779323760061545,-1.6823332268194993,6,6.0
CDMS-15-10A-MAALCA,-0.7043629386180403,-0.7655275098628299,0.4041318145253112,-0.3959058901991608,0.41351292304231224,-0.5118483988875914,13,13.0
CDMS-15-10A-MAALRI,-0.8847820351530463,-0.7876448134996817,0.35302270828576354,-0.293354065455294,-0.4324389706418687,-0.5148028235358717,12,12.0
CDMS-15-10A-SGOMO,-0.8747420496268082,-0.8011375776378857,0.3042265710733152,-0.48677109842906163,0.0444436475337997,-0.7460194929133577,12,12.0
CDMS-15-10A-SHEGA,-0.1792557096665558,-0.13396340472003693,-0.7242666604840191,-0.2416641249317198,-0.18762030518963535,-0.09322979500803208,13,13.0
CDMS-15-11B-JEMOLO,0.5035422781999918,0.6345427903747614,2.4890936136456676,0.506230229929262,-0.049446652451144324,0.3560377403014632,19,19.0
CDMS-15-11B-VSAHO,-0.25265413801109077,-0.19050200324840622,-1.8882231462011092,-0.24242674793659297,-0.13009956402290437,0.14390559942010528,12,12.0
CDMS-16-10A-SGALO,0.8328519654393677,0.762059903306291,1.6661441558316912,1.1057083880382907,0.7146085445898518,0.35862704279450863,20,20.0
CDMS-16-11B-NGABE,2.03775073239365,2.069552218481723,1.7360320430507379,2.3430787378375144,3.2500318402681456,2.0035544279682296,28,28.0
CDMS-17-10A-ASSAMO,-0.25335052448823525,-0.301053300033086,-1.6368587446151557,-0.412140267656688,-0.5854669501089713,-0.371130213097863,11,11.0
CDMS-18-7C-VVECA,-1.071760039278462,-1.0385410045469836,-3.140222059032653,-1.7244369150345826,-1.462275978565959,-1.1227640035413577,5,5.0
CDMS-8-4A-DBEVA,0.6514052076941192,0.6734950660462198,1.1195544350915747,1.3082660572100866,0.8241147894888954,1.8631644444691053,21,21.0
CDMS-8-4A-DJAVDA,-1.2477109001431967,-1.161703907954553,-3.0028840490878306,-1.5809641100700598,-1.4906159994039352,-1.0761210333404225,5,5.0
