subject,pe_T2W10,diameter_T2W10,asp_T2W10,z_l3_T2W10
CDMS-10-4A-JURAN,0.4388489208633093,7.043165467625899,3.050959232613909,-0.0024995320777672
CDMS-10-5A-HEPIHO,0.0625,7.0390625,3.0536644345238093,0.154419697393952
CDMS-10-5A-KSRAGU,0.146788990825688,6.954128440366972,3.038117081695064,0.2049287497603422
CDMS-10-5A-SROPU,0.2439024390243902,7.2073170731707314,3.118403987611305,-0.0485420298945921
CDMS-10-5A-SZURO,0.0909090909090909,6.878787878787879,2.9884559884559887,-0.2170312957732948
CDMS-10-5B-SRAJA,0.1720430107526881,6.333333333333333,2.82584058713091,0.4562917223745178
CDMS-10-5C-DAAUSA,0.1793103448275862,6.8068965517241375,2.979496442255063,0.2677735694195852
CDMS-10-5C-ICAPA,0.1860465116279069,6.953488372093023,3.0335917312661502,-0.2764426142003424
CDMS-10-5C-JFALGI,0.0,7.191780821917808,3.095509893455099,0.0597201991346437
CDMS-10-5C-MAORTO,0.0,7.157894736842105,3.08187134502924,-0.143582994858795
CDMS-10-5C-NBEMO,0.3372093023255814,7.011627906976744,3.057401255075674,-0.1004437459375054
CDMS-10-6B-ASCACO,0.6153846153846154,6.786324786324786,2.969563152896486,-0.1880875532778443
CDMS-10-6B-JJMOBE,0.0,6.595238095238095,2.9169501133786846,-0.2155085058106536
CDMS-11-5A-EAARCA,0.2197802197802197,7.1923076923076925,3.108930751787895,0.2195518522112556
CDMS-11-5A-MGTHAR,0.036697247706422,7.055045871559633,3.065523518275812,0.0596750815403713
CDMS-11-6A-DFVEBE,0.1509433962264151,6.169811320754717,2.758760107816712,0.2646302099072116
CDMS-11-6A-NMREPR,0.073394495412844,6.834862385321101,2.996060870831513,0.645198909541188
CDMS-11-6B-ARAHE,0.24,6.765,2.947003968253968,0.1147950201942389
CDMS-11-6B-AVROTO,0.1118881118881118,7.545454545454546,3.2165334665334666,0.0813507415275096
CDMS-11-6B-EAFESA,0.0840336134453781,7.521008403361344,3.188375350140056,-0.2903262328971485
CDMS-11-6B-EFRGR,0.1121495327102803,6.813084112149533,2.9822912030855955,-0.1880477902406089
CDMS-11-6B-EROCO,0.1927710843373494,6.9156626506024095,3.009456875119526,0.1361227012036932
CDMS-11-6B-JACUPE,0.405,5.395,2.524777777777778,-0.280643839761923
CDMS-11-6B-JDCHBA,0.1208791208791208,6.703296703296704,2.9460273853131,0.6674366526808906
CDMS-11-6B-JFSAHE,0.1419753086419753,8.0,3.3667450519302373,-0.0084163451319957
CDMS-11-6B-JLPENA,0.074074074074074,6.37962962962963,2.822126690182245,0.0194604583879664
CDMS-11-6B-JMARME,0.2465753424657534,7.184931506849315,3.0999266144814093,-0.0692413506534759
CDMS-11-6B-JPSAMA,0.1904761904761904,7.309523809523809,3.1527777777777777,0.1284832397767016
CDMS-11-6B-LESTA,0.1221374045801526,6.7251908396946565,2.939216042651157,-0.0580288450573884
CDMS-11-6B-MAGIMU,0.0,7.315789473684211,3.1152882205513786,-0.4478071009330538
CDMS-11-6B-MEBRTA,0.2213740458015267,6.885496183206107,2.988234581364352,-0.2699995892510215
CDMS-11-6B-MMAMO,0.2073732718894009,7.32258064516129,3.143588618242996,-0.0225028240590753
CDMS-11-6B-RSECA,0.1975308641975308,7.802469135802469,3.2804232804232805,0.126452477592856
CDMS-11-6B-SCAPA,0.0,7.4393939393939394,3.190897065897066,0.4430317891865565
CDMS-11-6B-VZAPE,0.2816901408450704,6.950704225352113,3.01645987033311,-0.2238503284808992
CDMS-11-6B-YLNIME,0.0952380952380952,7.440476190476191,3.186933106575964,0.0154666414878839
CDMS-11-7C-ICARE,0.2424242424242424,7.03030303030303,3.063311688311688,0.6918763681770234
CDMS-11-7C-SALMA,0.0833333333333333,6.854166666666667,3.003414351851852,-0.3003858847479405
CDMS-11-7C-SPGAVE,0.125,6.819444444444445,2.981426366843033,0.0243448261131201
CDMS-12-5A-SRIGO,0.3543689320388349,7.325242718446602,3.136037910309755,-0.0461549114754883
CDMS-12-6A-FAROPA,0.087431693989071,6.939890710382514,3.024807008413566,-0.0286837418200629
CDMS-12-6A-JGIGA,0.0592592592592592,7.437037037037037,3.1642857142857146,-0.2303962490697087
CDMS-12-6A-JSOTGU,0.0,8.5625,3.519345238095238,-0.0302701315523658
CDMS-12-6A-SROAL,0.0579710144927536,6.27536231884058,2.8544398435702787,0.1346827989698284
CDMS-12-6B-IJDAGA,0.3511111111111111,6.986666666666666,3.0352380952380957,0.0406954919643403
CDMS-12-6B-SCLAG,0.8518518518518519,5.45679012345679,2.54700176366843,0.477281279164659
CDMS-12-7C-ARAHE,0.5714285714285714,7.5,3.1706349206349205,-0.2230497267751053
CDMS-12-7C-CATRAR,0.0,6.189655172413793,2.8039135194307607,0.4054936882641332
CDMS-12-7C-DLOLO,0.2388059701492537,7.477611940298507,3.1818881781568344,-0.1274644139703808
CDMS-12-7C-JSZAOR,0.1666666666666666,6.635416666666667,2.917303240740741,0.1936003457760514
CDMS-12-7C-MAROBE,0.0,7.603448275862069,3.2412082649151617,0.3070762759206865
CDMS-12-7C-VMAPA,0.0,8.253333333333334,3.447407407407407,-0.08581340837554
CDMS-12-7C-VQURA,0.2388059701492537,7.231343283582089,3.1115849324804548,-0.1340135998792378
CDMS-13-6B-ASUMO,0.0,5.809523809523809,2.655404383975813,1.2605997844445471
CDMS-13-6B-JDTAHE,0.3302752293577982,6.513761467889908,2.8832386777340906,-0.1271898966868214
CDMS-13-7C-MVEAR,0.514018691588785,6.598130841121495,2.902425456163774,-0.3648240978067575
CDMS-13-7C-RAIZAC,0.233009708737864,6.864077669902913,2.989751887810141,0.3577081053775146
CDMS-13-7C-SSOSLO,0.421875,6.625,2.9269593253968256,0.4255876435532169
CDMS-14-10A-IMORTO,0.1142857142857142,7.557142857142857,3.206802721088436,0.1185790229887439
CDMS-14-10A-JCVANI,0.1746724890829694,6.751091703056769,2.960220420045748,0.4196973326065839
CDMS-14-6B-KDCAHE,0.1212121212121212,5.333333333333333,2.4874338624338623,0.3727415895392353
CDMS-15-10A-AMALOS,0.1560693641618497,7.427745664739884,3.176277640150472,-0.0022985114336284
CDMS-15-10A-JJMACH,0.1153846153846153,7.788461538461538,3.291418650793651,-0.0044673697109293
CDMS-15-10A-MAALCA,0.5966386554621849,6.907563025210084,3.0217420301453912,-0.1213573116099888
CDMS-15-10A-MAALRI,0.1111111111111111,7.15,3.082178130511464,-0.0634830362136248
CDMS-15-10A-SGOMO,0.3790849673202614,6.869281045751634,3.0046166614794068,-0.2435566414237123
CDMS-15-10A-SHEGA,0.3571428571428571,6.510204081632653,2.875672173631357,0.0215884338449829
CDMS-15-11B-JEMOLO,0.13,6.81,2.9658253968253967,0.2352564479249067
CDMS-15-11B-VSAHO,0.2054794520547945,7.335616438356165,3.146091541639487,-0.1323877830637529
CDMS-16-10A-SGALO,0.0,8.019607843137255,3.365157173980704,0.1973198420499826
CDMS-16-11B-NGABE,0.2531645569620253,7.455696202531645,3.17804902551738,0.1201571834425299
CDMS-17-10A-ASSAMO,0.0,7.396341463414634,3.162345141308556,0.3079220333053977
CDMS-18-7C-VVECA,0.0449438202247191,7.314606741573034,3.1354556803995006,0.2536546257770631
CDMS-8-4A-DBEVA,0.25,5.5,2.519345238095238,-0.5254183741649933
CDMS-8-4A-DJAVDA,0.0,5.543478260869565,2.592046238785369,-0.5213450739822759
CDMS-8-4A-DOSTR,0.2033898305084746,6.279661016949152,2.808454398708636,-0.1501783688790072
CDMS-8-4A-LGOPA,0.2790697674418604,6.023255813953488,2.7397563676633445,-0.003319938277804
CDMS-8-4C-JDBUTU,0.5897435897435898,4.615384615384615,2.240984940984941,0.1787745990066969
CDMS-9-4A-ACDUTR,0.4102564102564102,5.333333333333333,2.4874033374033373,-0.5228769819813609
CDMS-9-4A-CARGA,0.1951219512195122,6.138211382113822,2.7927474512840367,-0.0509579524369367
CDMS-9-4A-CRAAG,0.9777777777777776,5.644444444444445,2.598148148148148,-0.5850110734232333
CDMS-9-4A-EROHI,0.1666666666666666,6.805555555555555,2.97255291005291,-0.1527302440964767
CDMS-9-4A-ILOSE,0.0467836257309941,7.350877192982456,3.15932887774993,0.1151292779950597
CDMS-9-4A-TGAFR,0.1904761904761904,5.821428571428571,2.66343537414966,0.2091585199427246
CDMS-9-4C-SCAMO,0.0864864864864864,7.394594594594595,3.170832260832261,0.0222899684988517
CDMS-9-5A-ABERO,0.5970149253731343,6.114427860696518,2.763796098870726,-0.0245927874289778
CDMS-9-5A-VVAAR,0.0833333333333333,7.233333333333333,3.11521164021164,0.005026701993655
