r2,rmse,mae,rho
-0.03423753452305611,2.570530819264027,1.9439913741708779,0.04084529854058939
-0.0007502506334045034,2.1894118397388884,1.7269446553325212,0.17078761795628752
-0.033097456981786566,1.5749635043202252,1.3238005546201073,0.10410295692148797
0.002147724881429447,1.9326190783510122,1.596983575550779,-0.04879415503128824
0.00453706299758283,2.0702707501098514,1.68571373047837,0.20646828199396194
-0.01622691514758512,1.8966741175829072,1.4634180756218893,-0.09538425323887462
0.017137948175000584,2.359628205730612,1.8010323393652972,0.2939054696727602
-0.009848179539253765,2.0267629006159846,1.5669674614346498,0.07280767721852899
-0.030424557352207504,2.368185027647158,1.9034907291516603,-0.07414206386316448
-0.055012256597172016,2.4356954499399253,1.969415033470957,-0.1792320405394393
-0.011756074452866194,1.9256208744275833,1.5581806307800434,-0.07615014924339623
-0.03102764468069119,2.9928335508617088,2.2578984193408154,-0.03375829522419765
-0.0025681640272756656,2.218632730809056,1.6723570528195688,0.15943668268743333
-0.007850755541082943,2.2723303855850308,1.7896330733075434,0.043012667626995196
-0.008142909113750152,2.1942954540995196,1.7214640048770977,-0.0900553144867281
0.007822298960655338,2.13248238674172,1.7507684238270667,0.37427867289118205
-0.0018664443217437654,2.534104499003118,1.9180859916502555,0.12857061862756608
-0.001948174814432102,2.1751831961064125,1.698363244841582,0.005298645890651445
-0.11542682776801261,1.784268497430026,1.5620181629889274,-0.37773468293807905
-0.01983084087309006,2.0801920380324166,1.6039023273476356,-0.03885673653144393
-0.005429349714050735,2.3276913565240624,1.7713970009119786,-0.027242287906246488
-0.015269984923717006,2.107141087478401,1.7026608267907928,0.06630400408917257
-0.0030619585268332195,1.9105054346299097,1.5301711521509394,-0.015464789673520905
0.01860789032846155,1.8236855036187303,1.4928522641333908,0.3739580133843931
-0.007204848901853911,2.5308483431421225,1.9052399396458959,-0.07951225327852578
-0.008613978553401402,1.685817312903865,1.3789362597739847,0.11801028540251465
0.0040971547080435045,2.5645873691718184,1.9286111502112788,0.03250056012907113
0.01576927718308374,1.6760544505991688,1.4328115485733992,0.18776543165883505
-0.006843320819935439,2.1660125106565453,1.6771006139417002,0.14371301052340188
0.0032490605175580223,1.8108675744189557,1.4696188486832844,0.004858181466930102
-0.01923834566930549,2.3036413651747485,1.842940387931515,-0.01888546061554133
-0.011051659619130128,1.8005653121333507,1.4694289296190686,-0.09451371217482199
-0.007270305351643858,2.4225500026229665,1.935620764500517,-0.09813699880041585
-0.001371318610942085,1.725195086322533,1.4183044726673535,0.23142609897012484
0.003890116407207045,2.1265628834374515,1.7138760370195014,0.2574264111669398
-0.09712228963539005,2.546308696044843,1.9823564960499411,-0.13818393553063038
-0.021073557025035106,1.9993579138981363,1.5823779167578405,-0.2070887435596273
-0.005487101178487164,2.2092537134299235,1.695691090949989,-0.07287272200395152
-0.03254427585572284,2.173781072535124,1.6827503103817414,-0.1843919394501087
-0.04718141921567498,2.1091948720707077,1.597927313439439,-0.1514869311960932
0.0011668160930686788,1.9970969916538397,1.578432945181568,0.0748796964373932
-0.02495680770475084,2.143896145934078,1.6491657361841285,-0.15985451342310716
-0.030905720517848012,2.0617216907866647,1.6740465589719324,-0.22946440474173385
-0.0003276034329784405,2.4749282598006594,1.967956498831759,0.06283301888053626
-0.00497426569364201,2.403509367726573,1.828989138442024,0.01669318024632033
-0.03751507564134693,2.056529826284827,1.627079719920111,-0.07752250925283062
-0.002073419770934226,1.8156959995038942,1.4658680073000887,0.0061831400488201295
-0.3157735887069377,2.3859061663181884,1.8987869324339197,-0.03474281628344148
-0.0042830293938938,2.2346181768152187,1.7611768002120545,0.01318760946791574
-0.03866131030838016,2.449357263833882,1.9067303661177408,-0.15594944703799254
-0.00681837886299963,2.2339187943957644,1.739160174201482,-0.06953204399311974
-0.046494430580485746,2.2473960692405246,1.792277165705059,-0.2833447699704371
0.0019597507326557517,1.9016212017192158,1.5499540920989883,0.11579163697150605
-0.026944800749311826,2.533105231608849,1.9772376045601279,0.1907968144230864
0.007217245073181999,2.306663191102228,1.7891375622825756,0.31702974140650725
-0.08562706122054409,2.125066354635756,1.6806020211539276,-0.3839686350368476
0.011228633865899784,2.0562168077312117,1.6301127149609211,0.10564182553997167
-0.006448675369782109,2.1375703716859684,1.7292163505915046,0.13834697892780276
-0.21412518726597218,1.9602606723208231,1.6828582126944565,-0.1987845297608794
-0.4521366684220205,2.5080014272770774,1.964653501130704,-0.15321478960488252
-0.003839580482174698,1.6818225683033454,1.386447729320557,0.07453281183316715
0.011236453195533791,2.2541397481992638,1.7709973454388184,0.14236292389715907
0.006575208252326936,2.3137536217574666,1.7814734809802613,0.09021562669993385
