subject,edges_T2W40,atd_T2W40
CDMS-10-4A-JURAN,0.5113117808036988,0.31103683273094174
CDMS-10-5A-HEPIHO,0.17892745052113732,0.28639135463600385
CDMS-10-5A-KSRAGU,0.5113117808036988,0.2829690398209678
CDMS-10-5A-SROPU,0.5113117808036988,-0.3897838539169166
CDMS-10-5A-SZURO,-1.5245422421770098,-0.7808094709602016
CDMS-10-5B-SRAJA,0.5113117808036988,0.5844542119516596
CDMS-10-5C-DAAUSA,0.5113117808036988,0.008659104474355514
CDMS-10-5C-ICAPA,-1.5245422421770098,1.3520060106934813
CDMS-10-5C-JFALGI,0.5113117808036988,-0.6030608298508252
CDMS-10-5C-NBEMO,-1.5972513144263043,-0.890539652316326
CDMS-10-6B-ASCACO,0.25390495031188914,0.7256436057095814
CDMS-10-6B-JJMOBE,-1.5245422421770098,0.44910535491503345
CDMS-11-5A-EAARCA,0.5113117808036988,-0.5450304713960904
CDMS-11-5A-MGTHAR,0.17629782765499083,-0.6715621433849319
CDMS-11-6A-DFVEBE,0.5113117808036988,1.0369758789808785
CDMS-11-6A-NMREPR,0.5113117808036988,-0.49203559198555535
CDMS-11-6B-ARAHE,0.5113117808036988,0.6968562958836426
CDMS-11-6B-AVROTO,0.5113117808036988,-0.08654515741413314
CDMS-11-6B-EAFESA,0.5113117808036988,-0.4480426002251838
CDMS-11-6B-EFRGR,0.5113117808036988,0.38853565187502903
CDMS-11-6B-EROCO,0.5113117808036988,-0.3028950095602161
CDMS-11-6B-JACUPE,0.044262916708129686,2.26146291260295
CDMS-11-6B-JDCHBA,-0.011045501408449907,0.44360734605902463
CDMS-11-6B-JFSAHE,0.5113117808036988,-0.4028263948421016
CDMS-11-6B-JLPENA,-3.22108726132762,-0.10726384794021587
CDMS-11-6B-JMARME,0.20826480791726446,-0.25908357014378436
CDMS-11-6B-JPSAMA,0.5113117808036988,-0.9555594614136723
CDMS-11-6B-LESTA,-1.2423446548331454,-0.41946354476904973
CDMS-11-6B-MEBRTA,0.5113117808036988,-0.045774948821200825
CDMS-11-6B-MMAMO,0.5113117808036988,0.07897292795611234
CDMS-11-6B-RSECA,0.5113117808036988,-1.463071102794036
CDMS-11-6B-SCAPA,0.5113117808036988,-1.1352727762630834
CDMS-11-6B-VZAPE,0.5113117808036988,-0.03747345962615977
CDMS-11-6B-YLNIME,0.5113117808036988,-0.3708472036158375
CDMS-11-7C-ICARE,0.5113117808036988,0.8699214528308539
CDMS-11-7C-SALMA,0.5113117808036988,0.46016774614823736
CDMS-11-7C-SPGAVE,-1.7669058163413827,-0.7337560061348436
CDMS-12-5A-SRIGO,0.5113117808036988,-0.2379167948793997
CDMS-12-6A-FAROPA,0.5113117808036988,-0.12549458987896944
CDMS-12-6A-JGIGA,0.5113117808036988,-0.7297956102842066
CDMS-12-6A-SROAL,0.5113117808036988,0.6500864161473975
CDMS-12-6B-IJDAGA,0.5113117808036988,0.2525486142439924
CDMS-12-6B-SCLAG,0.07220601114118728,2.5429436461860195
CDMS-12-7C-CATRAR,0.5113117808036988,-0.3989037952681219
CDMS-12-7C-DLOLO,0.5113117808036988,-0.009418314178433326
CDMS-12-7C-JSZAOR,-0.6916928691394525,0.5561866961466737
CDMS-12-7C-MAROBE,0.5113117808036988,-0.32243388403571394
CDMS-12-7C-VMAPA,0.5113117808036988,-0.26037048625615894
CDMS-12-7C-VQURA,0.5113117808036988,0.5267371817104822
CDMS-13-6B-JDTAHE,-0.2102567336704803,-0.3126586170441567
CDMS-13-7C-MVEAR,0.5113117808036988,-0.1090177847957081
CDMS-13-7C-RAIZAC,0.5113117808036988,-0.5607773192913109
CDMS-13-7C-SSOSLO,0.5113117808036988,-0.050062770843073826
CDMS-14-10A-IMORTO,0.5113117808036988,-0.520362267760359
CDMS-14-10A-JCVANI,0.5113117808036988,0.45929931247758043
CDMS-14-6B-KDCAHE,-1.863851246007123,0.41633608753553447
CDMS-15-10A-AMALOS,0.5113117808036988,-0.5312470707732178
CDMS-15-10A-JJMACH,0.5113117808036988,-0.4384725860135789
CDMS-15-10A-MAALCA,0.5113117808036988,-0.44142098276888775
CDMS-15-10A-MAALRI,0.1855751371267923,-0.3922907087231167
CDMS-15-10A-SGOMO,0.5113117808036988,-0.3140567373603498
CDMS-15-10A-SHEGA,0.03300872721184499,0.6901831630160357
CDMS-15-11B-JEMOLO,-0.36119708618803764,0.24528122592901516
CDMS-15-11B-VSAHO,0.5113117808036988,-0.5662005933835467
CDMS-16-10A-SGALO,0.5113117808036988,-0.7640948119142251
CDMS-16-11B-NGABE,0.5113117808036988,-0.338681307802067
CDMS-17-10A-ASSAMO,0.5113117808036988,-0.49981066436158855
CDMS-18-7C-VVECA,0.5113117808036988,0.06126811076412302
CDMS-8-4A-DJAVDA,0.5113117808036988,1.6076881159615963
CDMS-8-4A-DOSTR,0.5113117808036988,0.9913339603268062
CDMS-8-4A-LGOPA,-1.1973514170551123,1.5462568567033057
CDMS-8-4C-JDBUTU,-3.5603962651577183,2.928398782204088
CDMS-9-4A-ACDUTR,-1.0721302370701873,1.2250898962623291
CDMS-9-4A-CARGA,0.5113117808036988,0.6242025639497847
CDMS-9-4A-CRAAG,0.5113117808036988,1.8211892323096082
CDMS-9-4A-EROHI,0.5113117808036988,0.2677454395286282
CDMS-9-4A-ILOSE,-0.051796778744163295,-0.6472074311809665
CDMS-9-4A-TGAFR,-1.3360372400491467,-0.06612167177548
CDMS-9-4C-SCAMO,-0.0009353604623975872,-0.5952007032596658
CDMS-9-5A-ABERO,0.5113117808036988,1.1470465548432498
CDMS-9-5A-VVAAR,0.5113117808036988,-0.8658049807608985
CDMS-9-5C-JDMADE,0.1225557362144246,-0.057728184090086995
CDMS-9-5C-LVIZAC,-0.3754712598811528,0.7506696578334978
CDMS-9-5C-MLOGO,0.5113117808036988,0.2468381215412485
CDMS-XX-10A-VGILO,0.2356232151917326,-0.3007578944151932
CDMS-XX-5C-MPCAQU,0.5113117808036988,0.1697038015525405
CDMS-XX-6B-SPUCA,0.4724101115747685,0.06071477037765277
CSO-10-4A-KCOMO,-0.5198350620047104,-0.8349111033795821
CSO-10-4A-LRAVI,0.5113117808036988,-1.2750116144201566
CSO-10-4A-LSCAVA,0.5113117808036988,-0.8648255840475964
CSO-10-5A-ACAVA,-1.5245422421770098,-0.20173189426595237
CSO-10-5A-ARACA,0.5113117808036988,0.850197715897692
CSO-10-5A-DABRZA,0.005590080827605138,1.331099032804469
CSO-10-5A-GZAMA,0.4411099179422935,1.251381632069749
CSO-10-5A-IPECA,0.5113117808036988,-0.8878225096316382
CSO-10-5A-JANORO,0.35135182185521324,-0.6247602283132034
CSO-10-5A-JBUVE,0.5113117808036988,-0.8140150713788853
CSO-10-5A-JJSEMO,-1.5245422421770098,1.3731962875275467
CSO-10-5A-JLCARI,0.36234685229292046,0.15977650396487905
CSO-10-5A-MAARAN,0.5113117808036988,0.2874610026012608
CSO-10-5A-RVMOIB,0.05236202995834471,-0.7048465574280202
CSO-10-5A-SVHEES,0.011951360072584809,-0.06400178397293378
CSO-11-5A-MDVOSPE,0.5113117808036988,0.26344370922729293
CSO-11-5A-MTAGA,-2.4380664832580976,-0.4933336047845237
CSO-11-6A-CAPAMU,0.09086366736202563,0.21113560895247596
CSO-11-6A-DSCACH,0.5113117808036988,-0.7441226223264944
CSO-11-6A-EROMO,0.0023482750585215872,-0.47252999401051293
CSO-11-6A-FSOVRE,-1.3076069774331684,-0.2881585915752673
CSO-11-6B-ANREVA,0.5113117808036988,-0.13698723146241853
CSO-11-6B-DISEMO,-5.596250288138427,-1.0943188561881159
CSO-11-6B-LHFDLACH,0.5113117808036988,-0.4467234693934616
CSO-11-6B-RJGIHE,0.5113117808036988,-0.07074284907612954
CSO-11-6B-SFLVA,0.5113117808036988,-0.7325946728745522
CSO-11-6B-VCOMA,0.5113117808036988,-0.4149122238446419
CSO-12-6A-DGISE,-3.5603962651577183,-0.08783918891747208
CSO-12-6A-FJOVRE,-0.05683352793510467,0.7534400499992644
CSO-12-6B-GQULO,0.5113117808036988,-0.32829064208229036
CSO-12-6B-LJHEFE,0.31742092147221784,-0.46508931417717
CSO-12-7A-DALRE,0.5113117808036988,5.886634008939491
CSO-12-7A-ESALA,0.5113117808036988,-0.8619604545898059
CSO-12-7A-IMERO,0.5113117808036988,0.2336044234402425
CSO-12-7A-JHEZA,0.5113117808036988,0.6695743178367026
CSO-12-7A-LSARAR,-0.5575115812611704,-1.528132103566233
CSO-12-7A-SCAHO,0.1891829796991491,-0.3096511382891028
CSO-12-7B-DVAGRO,0.5113117808036988,0.4833583008555341
CSO-12-7B-SMUGU,0.2245717775669633,-0.0436942938097808
CSO-12-7B-SSARA,0.5113117808036988,-0.416170590966757
CSO-12-7B-VHOMA,0.5113117808036988,-0.4379318209412507
CSO-12-8A-YTOME,0.5113117808036988,-0.20526377463777132
CSO-13-6A-ANASA,0.02717576314365853,-1.020276727301174
CSO-13-6B-JETAVE,-0.3510986039311912,0.5053018606657464
CSO-13-6B-LFMIES,-1.863851246007123,-1.5632326910512049
CSO-13-6B-LJMAHU,-1.6558876630144712,-0.2984699672668495
CSO-13-7A-CAPAMU,-0.15034077666503734,-0.18580710496758845
CSO-13-7A-CDDITR,0.5113117808036988,0.09310773141549103
CSO-13-7A-JJATFL,-0.5066152306866556,-0.1547095656979571
CSO-13-7A-RXCHLU,0.5113117808036988,1.6018121026075511
CSO-13-7A-YAMEZA,0.5113117808036988,-0.21984132397796424
CSO-13-8A-KIGAGU,0.5113117808036988,-0.5021577271893981
CSO-13-8A-MBUAN,-3.5603962651577183,-1.6531568390558709
CSO-13-8A-MGAAN,-0.16730622685655674,-0.8564063510693729
CSO-13-8A-MGAHE,0.5113117808036988,0.659571866711048
CSO-13-8A-MJAGA,0.5113117808036988,0.08650344140794944
CSO-13-8A-VHODU,-0.017689658238528076,0.4287148437931119
CSO-13-8B-FCJISA,0.1172755182912858,-0.9957614628136071
CSO-13-8B-JEMABE,-0.3424334546398289,1.4593254970584089
CSO-13-9B-DMLLLU,-3.419992539434908,0.0644465672158056
CSO-14-7B-EVEGO,0.5113117808036988,-0.7116128318318662
CSO-14-8A-AQUMA,-0.2767607442210982,-0.07095684896285653
CSO-14-8A-SZARA,-0.17880822698637736,0.3075313958033143
CSO-14-8B-JLLORA,0.5113117808036988,-0.0020624570744166514
CSO-14-9A-AEDCAGO,-0.4339061584373466,-0.8898629328581773
CSO-14-9A-HASACA,0.21482818522399036,0.2531777396111528
CSO-14-9A-JSMAAL,0.5113117808036988,-0.6208279219541529
CSO-14-9A-MARJA,0.5113117808036988,-1.0777126232387895
CSO-14-9A-SORZU,-0.32265251776671516,1.0743875868139736
CSO-14-9B-ERAGA,0.5113117808036988,0.2939042856755283
CSO-14-9B-MFEGA,0.5113117808036988,-0.26361630468880853
CSO-15-10A-LJRAGU,-0.6393883191419261,-0.6918807668326953
CSO-15-10A-MAARLO,-1.1246423448058034,-0.26788371128895794
CSO-15-10A-SFEGA,-1.298336239623577,-0.864334516149603
CSO-15-10B-MEBUAR,0.5113117808036988,0.29688116317851143
CSO-15-10B-YVBUAN,0.5113117808036988,0.0047910942399440725
CSO-15-10C-SSCAMO,0.5113117808036988,0.27980538832220864
CSO-15-11C-JETALO,0.5113117808036988,0.2219688113984069
CSO-15-7B-JCRAGA,0.5113117808036988,-0.9525993821548261
CSO-15-8A-VBMABR,0.5113117808036988,0.8135246784138789
CSO-15-8B-KEPOGO,0.5113117808036988,-0.15917052160594056
CSO-15-9B-ALRIHE,0.5113117808036988,-0.6889635564145358
CSO-15-9B-AMSAGO,0.5113117808036988,-0.6765723535495262
CSO-15-9B-JCAPA,0.08271093386039395,0.13103177735143223
CSO-15-9B-KSBEJA,-0.88404884168869,0.023797951212177707
CSO-15-9B-RMCHLU,0.5113117808036988,-0.05011077806014344
CSO-16-10A-MSACO,0.5113117808036988,-0.855555995171428
CSO-16-10A-YKMUJO,0.5113117808036988,0.2550606150321971
CSO-16-10B-JESUGU,0.18412095568181566,-0.4237838647447484
CSO-16-10B-LTVIFA,0.5113117808036988,-0.8150740660392394
CSO-16-10B-VVILI,0.5113117808036988,-1.0846754842520907
CSO-16-10C-ACALGU,-0.43619260725019676,-0.08825819896920495
CSO-16-10C-MAVAVE,0.5113117808036988,-0.44226290498679766
CSO-16-11A-JAVABO,0.5113117808036988,-0.27515875477639495
CSO-16-11A-JDMUVA,0.5113117808036988,-1.044165381316314
CSO-16-11A-VZAOR,0.5113117808036988,-0.5768859017404422
CSO-16-11B-KRORE,0.5113117808036988,-0.36209452920432156
CSO-16-11B-LLOZA,0.1437270266544009,-0.8850660478379999
CSO-16-11B-YAROMO,0.16153950372771841,-0.3537389299145924
CSO-16-9A-JALEMO,0.5113117808036988,-0.8900367917084954
CSO-16-9A-JPROSO,0.5113117808036988,-0.5172771894960637
CSO-16-9A-JSMAGU,0.5113117808036988,0.2560331206621176
CSO-16-9B-SJPAJI,0.07505734730783054,1.9712908393598214
CSO-17-10A-YVGOCA,0.04476190053729117,-1.371291970713923
CSO-17-10B-EHECO,-0.6069742318195086,-0.9654063961809148
CSO-17-10B-YCQUVE,-1.6201863909076433,-0.45138910045030073
CSO-17-11A-DJAPA,-1.2850300041792804,1.6742544034921822
CSO-17-11A-JDAMO,0.5113117808036988,0.09179948398336976
CSO-17-11A-NPAHE,0.5113117808036988,0.3654115945033574
CSO-17-11A-RLPAIG,0.5113117808036988,0.23946373767718696
CSO-17-11A-SPUVA,0.5113117808036988,0.24303071527975767
CSO-17-11B-CDBEBU,-1.8916634594358253,0.1751866928561019
CSO-17-11C-JDAAG,0.5113117808036988,-0.5126256646309367
CSO-17-11C-MAPAMA,0.24382731063104623,-0.43139508978572466
CSO-17-11C-MCAAG,0.5113117808036988,-1.2336365758246373
CSO-17-11C-SARJA,0.5113117808036988,-0.5298479670739125
CSO-18-11A-ADBAHO,0.5113117808036988,-0.6974499493132953
CSO-18-11B-YLLRE,0.5113117808036988,-0.7711749313572233
CSO-18-9B-MAMOLO,0.26997954099747007,0.8069909322288862
CSO-8-3A-DAPAVA,-0.2787211236365758,-0.23376390184086765
CSO-8-3A-KVPECO,-6.066062754980135,-0.4866845766833534
CSO-8-4A-ARAGR,-0.326981052188362,0.5044200930526208
CSO-9-2A-EXMOCO,-1.225701284675249,-0.600805288542788
CSO-9-4A-AGAPE,0.5113117808036988,-0.6059932918076654
CSO-9-4A-DKVIMO,0.5113117808036988,0.8348032663127821
CSO-9-4A-DSMOMU,0.5113117808036988,-0.6113264512373819
CSO-9-4A-DVGATO,0.5113117808036988,-0.017294146272968512
CSO-9-4A-FAGIGA,0.5113117808036988,0.16838878720787212
CSO-9-4A-GSBRCO,0.5113117808036988,0.22625306537705886
CSO-9-4A-KEMOCO,-0.5550879455195186,0.6139053539726174
CSO-9-4A-LCOMO,0.5113117808036988,7.796549215319609
CSO-9-4A-MLORO,-0.06127216315962555,1.0249288091469269
CSO-9-4A-MPAME,0.5113117808036988,-0.022691841409463433
CSO-9-4A-NSARPA,-0.811993334133759,-0.5396264469668705
CSO-9-4A-SLOCA,0.5113117808036988,1.9556313048345315
