subject,z_lsc_T6W30,z_diameter_T6W30,z_asp_T6W30,y_true,y_pred
CDMS-10-4A-JURAN,-4.72632434574561,11.112280459600205,-4.512442994798674,6,14.966597518213828
CDMS-10-5A-HEPIHO,-5.986428120109847,12.0219637496365,-5.528267013867445,25,13.600353014817113
CDMS-10-5A-KSRAGU,-4.483092602068236,5.2539477619681465,-1.4792573756052798,19,12.384682183452536
CDMS-10-5A-SROPU,2.5184118986069466,-11.20141538493429,5.0399312813598796,19,9.450012194190439
CDMS-10-5A-SZURO,-1.8009541052436862,3.1604408293168165,-2.1848998399889843,12,12.267671283242048
CDMS-10-5B-SRAJA,-3.8747164005916943,8.50200102204004,-4.803881386659512,30,12.916487633946739
CDMS-10-5C-DAAUSA,1.9291439627125735,-1.7340600189895525,0.5924477997411506,18,13.880616142622076
CDMS-10-5C-ICAPA,-0.684160431166569,3.549745959529603,-2.5230178979532734,16,13.435652029567665
CDMS-10-5C-JFALGI,-4.896269280566816,8.5873490900968,-5.628233331411463,19,11.155930877276425
CDMS-10-5C-MAORTO,5.7748260204761115,-10.750950827080956,3.6576456576811642,28,11.774605250234224
CDMS-10-5C-NBEMO,7.98991132516855,-9.661080220745855,6.2437427567535275,22,17.665658260334126
CDMS-10-6B-ASCACO,-8.047877789289727,16.68317314999625,-7.7283797598644295,14,13.999999999999998
CDMS-10-6B-JJMOBE,-6.003942265017048,11.448887820124412,-4.807574839789614,13,13.730455114475657
CDMS-11-4A-GACHSA,6.2101661704417666,-10.663718020510343,6.251382672772706,10,14.890915221862034
CDMS-11-5A-EAARCA,-3.0077208047844533,0.07066284482717444,-0.1851188432629649,26,9.97090759593766
CDMS-11-5A-MGTHAR,7.865359805019775,-10.62911527526151,4.86325268558134,16,15.192581614497511
CDMS-11-6A-DFVEBE,-2.2134176025899244,1.2243538649038528,-1.4592688759789678,7,10.644751785492865
CDMS-11-6A-NMREPR,-4.482599579848784,5.81584784782067,-3.066468146150945,23,11.359864520978846
CDMS-11-6B-ARAHE,-0.9019801584524396,0.9524706616516498,0.14454473547607627,13,13.28811963783319
CDMS-11-6B-AVROTO,-0.12576648324118356,1.7835926430048221,-1.5942023211302752,15,13.156708237791268
CDMS-11-6B-EAFESA,-2.479846204601083,-1.3698507376779485,1.1744244024506472,2,10.417811859329518
