subject,z_lsc_T6W30,z_diameter_T6W30
CDMS-10-4A-JURAN,0.121910772505247,-0.1722424378995547
CDMS-10-5A-HEPIHO,0.1845462739093122,-0.2100098736168354
CDMS-10-5A-KSRAGU,0.1098205442775728,0.0709786985021434
CDMS-10-5A-SROPU,-0.2382005900959584,0.7541580826484147
CDMS-10-5A-SZURO,-0.0234994988819772,0.1578950894797511
CDMS-10-5B-SRAJA,0.0795802186813657,-0.0638711377536982
CDMS-10-5C-DAAUSA,-0.2089100718251879,0.3611006976087206
CDMS-10-5C-ICAPA,-0.0790115393692782,0.1417322593599051
CDMS-10-5C-JFALGI,0.1303581610617791,-0.0674145442438835
CDMS-10-5C-MAORTO,-0.4000659344049718,0.7354560888688431
CDMS-10-5C-NBEMO,-0.5101703413076394,0.6902077936481266
CDMS-10-6B-ASCACO,0.2870139724236441,-0.4035298913208521
CDMS-10-6B-JJMOBE,0.1854168428816809,-0.1862174080785213
CDMS-11-4A-GACHSA,-0.4217052224772394,0.7318344334524153
CDMS-11-5A-EAARCA,0.0364847967301844,0.2861737911861725
CDMS-11-5A-MGTHAR,-0.5039793060343002,0.7303978269200753
CDMS-11-6A-DFVEBE,-0.0029973319233942,0.2382758558106511
CDMS-11-6A-NMREPR,0.1097960378087033,0.0476502218725209
CDMS-11-6B-ARAHE,-0.0681844566227556,0.2495636650008434
CDMS-11-6B-AVROTO,-0.1067674160048738,0.2150578690301131
CDMS-11-6B-EAFESA,0.0102459337622217,0.3459797750082579
CDMS-11-6B-EFRGR,-0.1869765054471865,0.6718379251556031
CDMS-11-6B-EROCO,0.0428398494497042,0.2536302100112466
CDMS-11-6B-JACUPE,-0.6822067455081338,0.8830083068965742
CDMS-11-6B-JDCHBA,-0.6326937940621629,0.9702607020071652
CDMS-11-6B-JFSAHE,0.1211668986751876,-0.0680674244172429
CDMS-11-6B-JLPENA,-0.2576262382953568,0.7696035377028105
CDMS-11-6B-JMARME,-0.067136626903681,0.3392818407158721
CDMS-11-6B-JPSAMA,0.0982265255688405,0.1624577466203873
