subject,nodes_T6W30,lcc_T6W30
CSO-10-4A-ICAPA,21.52242152466368,21.52242152466368
CSO-10-4A-KCOMO,21.024948024948024,21.024948024948024
CSO-10-4A-LRAVI,20.166666666666668,20.14814814814815
CSO-10-4A-LSCAVA,23.00358422939068,23.00358422939068
CSO-10-5A-ACAVA,23.778181818181817,23.778181818181817
CSO-10-5A-ARACA,22.364864864864863,22.14527027027027
CSO-10-5A-DABRZA,20.90535714285714,20.90535714285714
CSO-10-5A-GZAMA,22.989881956155145,22.989881956155145
CSO-10-5A-IPECA,23.16030534351145,23.16030534351145
CSO-10-5A-JANORO,23.051020408163264,23.01360544217687
CSO-10-5A-JBUVE,23.529850746268657,23.529850746268657
CSO-10-5A-JJSEMO,21.24894514767933,21.24894514767933
CSO-10-5A-JLCARI,23.027027027027028,23.027027027027028
CSO-10-5A-MAARAN,21.55745721271393,21.55745721271393
CSO-10-5A-MAOSMO,24.33949191685912,24.33949191685912
CSO-10-5A-RVMOIB,23.514739229024944,23.514739229024944
CSO-10-5A-SVHEES,22.094252873563217,22.094252873563217
CSO-11-5A-MDVOSPE,22.96927374301676,22.96648044692737
CSO-11-5A-MTAGA,24.54434250764526,24.54434250764526
CSO-11-6A-CAPAMU,23.726342710997443,23.171355498721223
CSO-11-6A-DSCACH,24.21875,24.21875
CSO-11-6A-EROMO,22.12621359223301,22.12621359223301
CSO-11-6A-FSOVRE,21.58880778588808,21.581508515815084
CSO-11-6B-ANREVA,22.614958448753463,22.614958448753463
CSO-11-6B-DISEMO,24.17142857142857,23.88095238095238
CSO-11-6B-LHFDLACH,22.71065989847716,22.71065989847716
CSO-11-6B-RJGIHE,22.149122807017545,22.149122807017545
CSO-11-6B-SFLVA,21.15081967213115,21.15081967213115
CSO-11-6B-VCOMA,23.44210526315789,23.44210526315789
CSO-12-6A-DGISE,22.359375,22.359375
CSO-12-6A-FJOVRE,22.20820189274448,22.20504731861199
CSO-12-6B-GQULO,21.99,21.99
CSO-12-6B-LJHEFE,23.727272727272727,23.727272727272727
CSO-12-6B-VPAMA,21.44943820224719,20.786516853932586
CSO-12-7A-DALRE,20.773662551440328,20.771604938271604
CSO-12-7A-ESALA,22.019138755980865,22.019138755980865
CSO-12-7A-IMERO,22.71180555555556,22.71180555555556
CSO-12-7A-JHEZA,23.78927203065134,23.620689655172413
CSO-12-7A-LSARAR,21.809954751131222,21.809954751131222
CSO-12-7A-SCAHO,22.545945945945945,22.545945945945945
CSO-12-7B-DVAGRO,23.65930599369085,23.65930599369085
CSO-12-7B-SMUGU,23.17695473251029,23.17695473251029
CSO-12-7B-SSARA,24.1980198019802,24.1980198019802
CSO-12-7B-VHOMA,24.55157894736842,24.55157894736842
CSO-12-8A-YTOME,23.646153846153847,23.646153846153847
CSO-13-6A-ANASA,24.454802259887007,24.454802259887007
CSO-13-6B-JETAVE,21.9120654396728,21.9120654396728
CSO-13-6B-LFMIES,23.260536398467437,23.088122605363985
CSO-13-6B-LJMAHU,22.58166189111748,22.363896848137536
CSO-13-7A-CAPAMU,23.14901256732496,23.143626570915615
CSO-13-7A-CDDITR,24.57017543859649,24.57017543859649
CSO-13-7A-JJATFL,22.22007722007722,22.22007722007722
CSO-13-7A-KRAMA,21.75221238938053,21.75221238938053
CSO-13-7A-RXCHLU,22.985714285714284,22.985714285714284
CSO-13-7A-YAMEZA,23.88888888888889,23.88888888888889
CSO-13-7A-YBOSO,21.292134831460675,20.786516853932586
CSO-13-8A-KIGAGU,22.68421052631579,22.68421052631579
CSO-13-8A-MBUAN,23.782273603082853,23.770712909441237
CSO-13-8A-MGAAN,24.12534059945504,24.12534059945504
CSO-13-8A-MGAHE,23.05656108597285,23.05656108597285
CSO-13-8A-MJAGA,20.781569965870307,20.781569965870307
CSO-13-8A-VHODU,22.752475247524757,22.752475247524757
CSO-13-8B-FCJISA,23.57777777777778,23.57777777777778
CSO-13-8B-JEMABE,21.416901408450705,21.30422535211268
CSO-13-9B-DMLLLU,21.744791666666668,21.744791666666668
CSO-14-7A-MVEBE,22.29530201342282,22.29530201342282
CSO-14-7B-EALHU,22.386138613861387,22.386138613861387
CSO-14-7B-EVEGO,24.081142857142854,24.081142857142854
CSO-14-8A-AQUMA,21.785714285714285,21.785714285714285
CSO-14-8A-MCIDOS,22.07692307692308,21.384615384615383
CSO-14-8A-SZARA,22.831715210355988,22.831715210355988
CSO-14-8B-JLLORA,22.14233576642336,22.14233576642336
CSO-14-9A-AEDCAGO,24.089622641509436,23.88443396226415
CSO-14-9A-HASACA,23.572687224669604,23.572687224669604
CSO-14-9A-JSMAAL,23.32751091703057,23.268558951965066
CSO-14-9A-MARJA,23.25519287833828,23.25519287833828
CSO-14-9A-SORZU,22.71383647798742,22.62264150943396
CSO-14-9B-ERAGA,21.325,21.316666666666663
CSO-14-9B-MFEGA,21.865079365079364,21.865079365079364
CSO-15-10A-LJRAGU,23.36,23.168
CSO-15-10A-MAARLO,22.233727810650887,22.118343195266277
CSO-15-10A-SFEGA,20.97735849056604,20.973584905660378
CSO-15-10B-MEBUAR,23.29090909090909,23.29090909090909
CSO-15-10B-YVBUAN,23.04621848739496,23.03361344537815
CSO-15-10C-ALBAHO,23.165289256198346,23.165289256198346
CSO-15-10C-SSCAMO,23.51977401129944,23.51977401129944
CSO-15-11C-JETALO,22.097690941385437,22.097690941385437
CSO-15-7B-JCRAGA,22.96212121212121,22.96212121212121
CSO-15-8A-VBMABR,22.69306930693069,22.69306930693069
CSO-15-8B-KEPOGO,24.87889273356401,24.87889273356401
CSO-15-9B-ALRIHE,23.496503496503497,23.496503496503497
CSO-15-9B-AMSAGO,24.129692832764505,23.784982935153582
CSO-15-9B-JCAPA,23.14887640449438,23.14887640449438
CSO-15-9B-KSBEJA,21.216374269005847,21.216374269005847
CSO-15-9B-RMCHLU,22.77287066246057,22.77287066246057
CSO-15-9B-SJAGRO,24.897196261682243,24.897196261682243
CSO-16-10A-JEGAHE,22.888288288288287,22.888288288288287
CSO-16-10A-MSACO,23.899053627760253,23.899053627760253
CSO-16-10A-SARI,22.17142857142857,21.47936507936508
CSO-16-10A-SMOUT,23.861538461538466,23.861538461538466
CSO-16-10A-YKMUJO,21.807377049180328,21.807377049180328
CSO-16-10B-JESUGU,24.22818791946309,24.22818791946309
CSO-16-10B-LTVIFA,26.308,26.308
CSO-16-10B-VVILI,23.676020408163264,23.676020408163264
CSO-16-10C-ACALGU,23.27007299270073,23.22384428223844
CSO-16-10C-MAVAVE,24.193227091633467,24.193227091633467
CSO-16-11A-JAVABO,23.498765432098764,23.498765432098764
