subject,nodes_T6W30,lcc_T6W30,y_true,y_pred
CSO-16-10A-SMOUT,-3.5406678810870535,3.5953537215999853,3,3.0
CSO-16-10A-YKMUJO,2.39357619905864,-2.3388903585457084,1,3.0
CSO-16-10B-JESUGU,-4.599877426202621,4.654563266715553,0,3.0
CSO-16-10B-LTVIFA,-10.608223436642541,10.662909277155473,3,3.0
CSO-16-10B-VVILI,-3.0047268380031444,3.0594126785160762,3,3.0
CSO-16-10C-ACALGU,-1.8319898600002718,1.7531260925110337,4,2.86645039199783
CSO-16-10C-MAVAVE,-4.498879479139271,4.553565319652203,2,3.0
CSO-16-11A-JAVABO,-2.4926569071501445,2.5473427476630763,4,3.0
CSO-16-11A-JDMUVA,-4.9571287864368205,5.011814626949753,6,3.0
CSO-16-11A-VZAOR,-4.5323680149558445,4.552247965241189,6,2.965194109772412
CSO-16-11B-KRORE,-3.0046678810870397,3.0593537215999715,4,3.0
CSO-16-11B-LLOZA,-5.70304030550451,5.752719406175354,4,2.994993260157912
CSO-16-11B-YAROMO,-4.319538555039667,4.3742243955525995,3,3.0
CSO-16-9A-JALEMO,-3.2800687153684254,3.334754555881357,6,3.0
CSO-16-9A-JPROSO,-3.6087529874700195,3.6634388279829513,3,3.0
CSO-16-9A-JSMAGU,0.2799782970059259,-0.22529245649299412,5,3.0
CSO-16-9B-SJPAJI,-1.8150163035836313,1.869702144096563,3,3.0
CSO-17-10A-YVGOCA,-1.042779338338688,1.0974651788516199,5,3.0
CSO-17-10B-EHECO,-2.7136147409904208,2.5557401950299394,2,2.787439613526587
CSO-17-10B-YCQUVE,-0.6263924405980326,0.07338320739648307,2,2.3923049262855187
CSO-17-11A-DJAPA,-2.206162584715626,2.243268979657229,4,2.9824205544286713
CSO-17-11A-JDAMO,-1.2841022245213987,1.3387880650343305,3,3.0
CSO-17-11A-NPAHE,-4.05514599556515,4.109831836078081,4,3.0
CSO-17-11A-RLPAIG,-0.18381685966205374,0.23850270017498554,2,3.0
CSO-17-11A-SPUVA,2.730794948649131,-2.6761091081361994,4,3.0
CSO-17-11B-CDBEBU,-3.0517789921981593,3.106464832711091,2,3.0
CSO-17-11C-JDAAG,-6.301302801721944,6.355988642234875,3,3.0
CSO-17-11C-MAPAMA,-1.2247663508142743,1.2794521913272061,3,3.0
CSO-17-11C-MCAAG,-2.7887691469098272,2.843454987422759,2,3.0
CSO-17-11C-SARJA,-2.6668271111832937,2.7215129516962255,4,3.0
CSO-18-11A-ADBAHO,-5.28694619823913,5.341632038752063,2,3.0
CSO-18-11B-YLLRE,-2.7177257164602158,2.7724115569731476,1,3.0
CSO-18-9B-MAMOLO,-1.3417552922121079,1.3964411327250397,3,3.0
CSO-8-3A-AIPRBR,2.446212975673296,-2.391527135160364,3,3.0
CSO-8-3A-DAPAVA,2.467503176568518,-2.412817336055586,1,3.0
CSO-8-3A-KVPECO,1.2429412599688767,-1.1984997062959795,2,2.9897557131599655
CSO-8-4A-ARAGR,-2.481922006499583,2.4364978360114224,3,2.8998899889989076
CSO-8-4A-JRAAR,7.281930988969398,-7.383930647514822,2,2.843314500941645
CSO-9-2A-EXMOCO,2.739887674468475,-3.1165289944493724,1,2.5686728395061706
CSO-9-4A-AGAPE,-0.44604422517307807,0.5007300656860099,3,3.0
CSO-9-4A-DKVIMO,3.540201417964031,-3.620807894561597,1,2.8647076828895024
CSO-9-4A-DSMOMU,-2.900085737230338,2.7437444296884164,4,2.7889728519451467
CSO-9-4A-DVGATO,-0.5646330226992633,0.49470012682875564,2,2.8753812636165605
CSO-9-4A-EGCAMO,3.356010240333309,-3.3013243998203774,2,3.0
CSO-9-4A-FAGIGA,-0.6276167347025814,0.4530256792719711,4,2.770723104056458
CSO-9-4A-GSBRCO,5.377479423392767,-5.322793582879836,3,3.0
CSO-9-4A-KEMOCO,3.88304032559984,-3.828354485086908,1,3.0
CSO-9-4A-LCOMO,-3.02511232553148,3.079798166044412,5,3.0
CSO-9-4A-MLORO,2.2111178331986334,-2.1564319926857016,3,3.0
CSO-9-4A-MPAME,3.3262278806540415,-3.4353450183770735,5,2.836197021764036
CSO-9-4A-NSARPA,-0.9399510352089182,0.9853178793060784,3,2.9906810035842284
CSO-9-4A-SLOCA,3.4348233657867953,-3.3801375252738635,3,3.0
CSO-9-4A-YVDITR,8.677689606835589,-8.632665602071445,5,2.990338164251213
