subject,z_pe_T2W20,z_l2_T2W20,z_density_T2W20,z_diameter_T2W20,z_asp_T2W20,y_true,y_pred
CDMS-10-4A-JURAN,-0.1804836606979363,0.5652656157811459,0.894101023674008,-0.6277913586298599,-0.9890187517801908,6,14.832195
CDMS-10-5A-HEPIHO,-0.40333091576894037,-0.12464281400044808,-1.9869452778498315,2.66236307621002,1.1371416171391793,25,16.454708
CDMS-10-5A-KSRAGU,-0.8939617293675719,-0.5466409025192243,0.6439156284332246,0.22376949691772452,0.1038134263356506,19,14.701018
CDMS-10-5A-SROPU,-0.5250675509770706,-1.6295951182047523,1.0444674739837638,-1.1555438111623129,-0.6272818905512507,19,12.2771015
CDMS-10-5A-SZURO,-0.39359796110789136,-0.2330653451283773,-2.1977820943196598,0.08414687887827732,1.069042189280189,12,13.498866
CDMS-10-5B-SRAJA,-0.6949041074117007,-0.3000585772196444,1.1206257683436047,-0.19437544441223187,-0.6543876148859663,30,14.447022
CDMS-10-5C-DAAUSA,-0.6414538482030255,-0.5099283189773556,0.1980549729665117,0.22002786286671946,-0.021502685864765336,18,14.41532
CDMS-10-5C-ICAPA,-0.44126490434011123,-0.5452346881230653,0.8342409038543703,-1.3212979157765699,-0.8965551280975351,16,12.800011
CDMS-10-5C-JFALGI,-0.18780479049682636,-0.026344557762145282,-2.3001438976923607,3.3421398995717357,1.4215274689992248,19,17.419497
CDMS-10-5C-MAORTO,-0.05298745059967044,0.002647823651631853,0.44028108851115205,3.3873050778706864,1.5456635023752816,28,20.493032
CDMS-10-5C-NBEMO,0.2699239047368355,1.8380197461446115,1.3999564997355132,0.5115146748224922,-0.1403429031372072,22,19.049194
CDMS-10-6B-ASCACO,1.1024085836410502,0.3844484357833854,0.9817525780995686,-1.3191310679117827,-0.5495718752543127,14,15.770029
CDMS-10-6B-JJMOBE,-0.19586588954925577,0.14855692927042735,-2.3792111565271985,2.200133192380266,1.4103141934076933,13,16.35405
CDMS-11-5A-EAARCA,-0.8168374303181949,0.5655696325302129,1.206050994873045,0.39130597718556664,0.03060046958923257,26,16.546812
CDMS-11-5A-MGTHAR,-0.7938471625645934,-0.42792759482065795,0.2990951340993229,0.06058753744760981,0.15257243251800504,16,14.460603
CDMS-11-6A-DFVEBE,-0.7674657208124797,-0.6994536008834845,0.32483361498514673,-0.7731751718521105,-0.5998827829360968,7,12.654979
CDMS-11-6A-NMREPR,-0.473362274487815,-0.5013338235219303,1.1352328615188594,-0.16874957116444916,-0.20532372188568165,23,14.956586
CDMS-11-6B-ARAHE,-0.7685157572428389,-0.7026583674748728,0.8173784681955949,-0.560172691663107,-1.2002651265462225,13,12.755889
CDMS-11-6B-AVROTO,-0.6118972473144537,-0.10096168009440154,-1.6714366703033436,0.06333110046386681,-0.07743893750508665,15,12.771719
