subject,z_pe_T2W20,z_l2_T2W20,z_density_T2W20,z_diameter_T2W20,z_asp_T2W20
CDMS-10-4A-JURAN,0.7228796118715594,0.2949975234142615,-0.668060010855303,0.6827143127091911,0.7664017648124838
CDMS-10-5A-HEPIHO,-0.4240996542190636,-0.4236953585745583,0.3819791237320022,-0.1867278389405371,-0.268896724130895
CDMS-10-5A-KSRAGU,-0.3818030651455536,-0.3647571011795284,-0.3841098400256854,0.2299522166454614,0.3174838167394776
CDMS-10-5A-SROPU,0.087405876831522,-0.042233596260103,-0.624882093576935,0.4548646010363633,0.6286249553307015
CDMS-10-5A-SZURO,-0.4680698494091387,-0.5266320677871347,0.2940519209020831,-0.1401493414656281,-0.3206927372854252
CDMS-10-5B-SRAJA,-0.1682642003026154,-0.1531550980803301,-0.4077471044470926,0.7907336710844045,0.7244764235532711
CDMS-10-5C-DAAUSA,-0.209076895167936,-0.3729565712455044,-0.0770404919282406,0.2177096002816519,0.2489325683519241
CDMS-10-5C-ICAPA,-0.4456500331955995,-0.4318411645717444,-0.8060558904883798,0.4043895398129088,0.4352305178296208
CDMS-10-5C-JFALGI,-0.5399853605385565,-0.5425950644355331,0.8620035092694311,-0.6380692567543508,-0.7333639533837457
CDMS-10-5C-MAORTO,-0.4445272815258158,-0.4476734645880442,-0.2036286827452362,-0.6236371420814285,-0.5406028632384151
CDMS-10-5C-NBEMO,0.5036093700344523,0.4716438719930758,-0.5230632192801973,0.2448039844515845,0.2535453078619058
CDMS-10-6B-ASCACO,0.8648719473058557,0.2258747110461531,-0.8996499423088158,0.5498185662463201,0.7187425429130704
CDMS-10-6B-JJMOBE,-0.6762197278142856,-0.6796140335254295,0.870480578290831,-0.5363028669622395,-0.733587899058699
CDMS-11-5A-EAARCA,0.2608060239074197,0.2109290867757259,-0.5035382586585394,0.2825022828913812,0.324817956416474
CDMS-11-5A-MGTHAR,-0.325578901256546,-0.3897124389002764,-0.1099235733802776,-0.1138980919574288,-0.0351770305125402
CDMS-11-6A-DFVEBE,-0.2440738916230158,-0.2349291777190823,-0.3522946509290682,1.0982520206328328,1.2783257366440772
CDMS-11-6A-NMREPR,-0.4455486134460408,-0.4491395468395345,-0.6219587592719209,1.03089963386774,1.12291504146807
CDMS-11-6B-ARAHE,-0.2381775020943946,-0.4030103338769662,-0.6913198813263892,0.6520693711491171,0.7899845846448126
CDMS-11-6B-AVROTO,-0.1591214324241624,-0.1566522927143057,0.0908852483653966,-0.1182836681038844,-0.0880961511352758
CDMS-11-6B-EAFESA,-0.2632570051632688,-0.2642687131375719,-1.0474109390785342,0.8140472481307407,0.8702775291453928
CDMS-11-6B-EFRGR,-0.3191220636075481,-0.3144322103869323,-0.9051275618523102,0.6424797823176635,0.7452523081056595
CDMS-11-6B-EROCO,-0.198693886545265,-0.1679237561681857,-0.6669189945124175,0.7866768714598129,0.9197682532256533
CDMS-11-6B-JACUPE,-0.0563166138729732,-0.1725407409663463,-0.7902954786030111,0.6996703932677334,0.7372376367139175
CDMS-11-6B-JDCHBA,-0.4301258318198712,-0.4268618697637233,-0.4986731137535043,0.6060579081508446,0.6413110447020828
CDMS-11-6B-JFSAHE,0.0995573712059476,0.0794037926626423,-0.2977839964395533,-0.1537746080643713,-0.0452181279358543
CDMS-11-6B-JLPENA,-0.4444057639022132,-0.4359346864269648,-0.4775983400994038,0.3101284200541147,0.54133859310775
CDMS-11-6B-JMARME,0.2707506357953441,0.1917941521639232,-0.6264515563310884,0.5236881823483757,0.6100537961606458
CDMS-11-6B-JPSAMA,0.2055541027623879,0.2250530150008274,0.0365773409815035,-0.0489131221085772,0.0435854524516776
CDMS-11-6B-LESTA,-0.1467932214568275,-0.1471140495927724,-0.2950368922733993,0.0840792452370486,0.1652049566486357
CDMS-11-6B-MAGIMU,-0.7315441434850968,-0.7371498898876558,-1.7118453765615982,1.5308390745723013,1.4754049148879251
CDMS-11-6B-MEBRTA,0.057454527722709,0.0517923048720061,-1.1635559133045663,1.144796440217353,1.4220966481640909
CDMS-11-6B-MMAMO,-0.0120304490465475,-0.3115190388718746,-0.2841148866252357,0.3672262725485934,0.3755323046376846
CDMS-11-6B-RSECA,0.1090424787587666,0.1322965365201307,-0.315422261803017,0.2469026498234146,0.2393573633644254
CDMS-11-6B-SCAPA,-0.5267070030610864,-0.5295209635096437,0.3690040004019627,-0.076862881720313,-0.0335213832957446
CDMS-11-6B-VZAPE,0.4102703954853016,0.4401545767472711,-1.058750574638294,0.211965093576406,0.3234579569304873
CDMS-11-6B-YLNIME,-0.1193420114170549,-0.1136113815693097,0.3643143030346804,-0.2712265108708008,-0.3260384362409544
CDMS-11-7C-ICARE,0.4458460105380417,0.3761252142646345,-0.0614582791330654,-0.0691790691586189,-0.0007622586079192
CDMS-11-7C-SALMA,-0.2604153478681717,-0.2583395295135722,-0.0743321241497399,-0.026438580802189,0.0334094201788139
CDMS-11-7C-SPGAVE,-0.0293033239398332,-0.0257640197277172,-0.1503974343235749,0.2320230824075723,0.2423146016859659
CDMS-12-5A-SRIGO,0.7291515842825681,0.3006392202808254,-0.521857401588324,0.6040753957000051,0.6333302351255309
CDMS-12-6A-FAROPA,-0.4458686551350131,-0.4376060963682396,-0.3302891281277095,0.2861826831498138,0.3471441814302226
CDMS-12-6A-JGIGA,-0.3453679302817084,-0.3463583416191175,0.2617278958798837,-0.1190620237726553,-0.1828566379109353
CDMS-12-6A-JSOTGU,-0.5366671326871258,-0.5462896135666678,0.2983301725227522,-0.6414543556239961,-0.607859075903101
CDMS-12-6A-SROAL,-0.7107446645385213,-0.7177737570494579,-0.2852402803384486,0.3232582898126075,0.248783507968866
CDMS-12-6B-IJDAGA,0.4953264832606704,0.180561153341322,-1.1129891641835896,0.9868028347367628,1.1612699987670283
CDMS-12-6B-SCLAG,0.8135362788776319,0.4361451176583044,-0.9100905719099676,1.0346285262303534,1.395760025851614
CDMS-12-7C-ARAHE,1.2821213526243334,0.4078012102780797,-1.1620298588661235,0.0663116651473091,0.181230166393084
CDMS-12-7C-CATRAR,-0.6578088085223947,-0.6664062717272071,0.8794358793105997,-0.3286773028059351,-0.4568923675107514
CDMS-12-7C-DLOLO,0.4025350987302024,0.4215012592992246,-0.2286219275476841,0.1124962017154372,0.0517344397257141
CDMS-12-7C-JSZAOR,-0.3138159098914831,-0.525319274531576,-1.0387959428264948,1.4207311104790976,1.5843335662381008
