number,value,datetime_start,datetime_complete,duration,params_regressor,params_rfe_n_features,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_trial_time_seconds,user_attrs_use_scaler_final,state
0,2.926615488484755,2026-06-13 19:07:34.772763,2026-06-13 19:07:41.417746,0 days 00:00:06.644983,LinearRegression,10,False,-0.0419359298106883,-0.03550966427000784,698,-0.03872279704034807,0.0032131327703402283,0.043267863446678705,1.9633684547051278,2.915160476991787,2.9380704999777225,698,2.926615488484755,0.011455011492967562,0.15425253435928651,1.9633684547051278,932684643593380.2,1016039253701323.5,698,974361948647351.9,41677305053971.69,561224223457742.4,1.9633684547051278,8.548209219078768,8.74533424213653,698,8.646771730607648,0.09856251152888083,1.3272371839591763,1.9633684547051278,2.5535123592968114,2.5842752510853675,698,2.5688938051910895,0.015381445894277847,0.2071256770679976,1.9633684547051278,699,0.7882689556509299,-0.07656308398186874,-0.06358080687540733,698,-0.07007194542863804,0.0064911385532306996,0.087409303196929,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",10,"['nodes_T6W30', 'edges_T6W30', 're_T6W30', 'l1_T6W30', 'l2_T6W30', 'lcc_T6W30', 'atd_T6W30', 'density_T6W30', 'diameter_T6W30', 'asp_T6W30']",0.037853844962511096,0.05575471938140959,698,0.046804282171960344,0.00895043720944925,0.1205260792648527,1.9633684547051278,3.547735251569117,3.578918656240999,698,3.563326953905058,0.015591702335940975,0.20995697837326596,1.9633684547051278,completed,6.633427858352661,False,COMPLETE
1,2.8484698144799196,2026-06-13 19:07:41.449540,2026-06-13 19:07:48.199792,0 days 00:00:06.750252,LinearRegression,3,True,-0.012829462190787202,-0.008802315575933424,698,-0.010815888883360313,0.0020135733074268898,0.027114663828970462,1.9633684547051278,2.8387443973496866,2.8581952316101527,698,2.8484698144799196,0.009725417130233177,0.1309619148754821,1.9633684547051278,923201010119745.6,1005481943524144.6,698,964341476821945.1,41140466702199.45,553995188693965.25,1.9633684547051278,8.335679349301182,8.53408050446887,698,8.434879926885026,0.09920057758384425,1.33582934522651,1.9633684547051278,2.539361106169716,2.5710110806291384,698,2.5551860933994273,0.01582498722971108,0.2130983795070725,1.9633684547051278,699,0.5264663805436338,-0.01784733940065686,-0.00982504377296026,698,-0.01383619158680856,0.004011147813848299,0.05401388871199834,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",3,"['nodes_T6W30', 'lcc_T6W30', 'atd_T6W30']",0.10541906634575578,0.12322440125296084,698,0.11432173379935831,0.008902667453602539,0.11988281444494367,1.9633684547051278,3.4566368005325456,3.4851021630364905,698,3.470869481784518,0.01423268125197224,0.19165647762050989,1.9633684547051278,completed,6.739918947219849,True,COMPLETE
2,2.907395067513401,2026-06-13 19:07:48.231751,2026-06-13 19:07:54.784602,0 days 00:00:06.552851,LinearRegression,9,False,-0.03495374090796648,-0.028844544139584195,698,-0.031899142523775334,0.0030545983841911402,0.04113304840423168,1.9633684547051278,2.8963100156520105,2.918480119374791,698,2.907395067513401,0.011085051861390293,0.14927067896643456,1.9633684547051278,920006876198269.9,1002146973094266.4,698,961076924646268.1,41070048447998.305,553046940481176.2,1.9633684547051278,8.47287501301499,8.652155471254508,698,8.562515242134749,0.08964022911975827,1.207090235636919,1.9633684547051278,2.5392369083474744,2.5691762541510856,698,2.55420658124928,0.014969672901805581,0.20158076533145777,1.9633684547051278,699,0.7410586552217453,-0.06501929046224988,-0.05272222096281569,698,-0.05887075571253279,0.0061485347497170955,0.08279581983154359,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",9,"['nodes_T6W30', 'edges_T6W30', 're_T6W30', 'l1_T6W30', 'l2_T6W30', 'lcc_T6W30', 'atd_T6W30', 'density_T6W30', 'asp_T6W30']",0.04729005286975715,0.06513667992747939,698,0.05621336639861827,0.008923313528861122,0.12016083332211058,1.9633684547051278,3.529671378924723,3.5599389737015024,698,3.5448051763131128,0.015133797388389781,0.20379085634896327,1.9633684547051278,completed,6.5437257289886475,False,COMPLETE
3,2.9787746645862523,2026-06-13 19:07:54.799763,2026-06-13 19:08:01.428094,0 days 00:00:06.628331,LinearRegression,13,True,-0.060832230475824804,-0.053543570453868754,698,-0.05718790046484678,0.0036443300109780244,0.04907434100612461,1.9633684547051278,2.9660905935825164,2.991458735589988,698,2.9787746645862523,0.012684071003735805,0.17080297994642332,1.9633684547051278,937891246236409.9,1022241051488413.4,698,980066148862411.6,42174902626001.71,567924844109566.2,1.9633684547051278,9.035268278888829,9.296891316725851,698,9.16607979780734,0.13081151891851178,1.761500486398974,1.9633684547051278,2.629441313710327,2.663442772572198,698,2.6464420431412625,0.01700072943093566,0.22893085723120216,1.9633684547051278,699,0.8969957081545065,-0.1258894477091677,-0.11001408793808462,698,-0.11795176782362617,0.007937679885541551,0.1068883466445408,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",13,"['nodes_T6W30', 'edges_T6W30', 're_T6W30', 'pe_T6W30', 'l1_T6W30', 'l2_T6W30', 'l3_T6W30', 'lcc_T6W30', 'lsc_T6W30', 'atd_T6W30', 'density_T6W30', 'diameter_T6W30', 'asp_T6W30']",-0.017768219652108043,0.00037257215916048324,698,-0.00869782374647378,0.009070395905634264,0.12214143625653567,1.9633684547051278,3.623776167332748,3.659095321716509,698,3.6414357445246286,0.01765957719188069,0.23780286377131812,1.9633684547051278,completed,6.618661165237427,True,COMPLETE
4,2.8481209701080044,2026-06-13 19:08:01.444010,2026-06-13 19:08:08.192288,0 days 00:00:06.748278,LinearRegression,4,True,-0.012794943030204481,-0.008536651261552425,698,-0.010665797145878453,0.002129145884326027,0.028670957587389658,1.9633684547051278,2.8380904258901154,2.8581515143258933,698,2.8481209701080044,0.01003054421788884,0.1350707389130179,1.9633684547051278,917827727715504.9,999775434346567.9,698,958801581031036.4,40973853315531.49,551751582289249.2,1.9633684547051278,8.363619875757617,8.55127871913228,698,8.457449297444949,0.093829421687331,1.263501664893353,1.9633684547051278,2.5399140912088227,2.5696919759531185,698,2.5548030335809706,0.014888942372147829,0.2004936526028917,1.9633684547051278,699,0.5722460658082976,-0.02293369010904825,-0.014494444181627562,698,-0.018714067145337906,0.004219622963710344,0.056821203243013416,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['nodes_T6W30', 'lcc_T6W30', 'atd_T6W30', 'density_T6W30']",0.09023692073687033,0.10855614362337697,698,0.09939653218012365,0.009159611443253318,0.1233428076205377,1.9633684547051278,3.4647143374099842,3.493235297406028,698,3.478974817408006,0.014260479998022066,0.19203081395642962,1.9633684547051278,completed,6.738631963729858,True,COMPLETE
5,2.88635493509459,2026-06-13 19:08:08.223729,2026-06-13 19:08:15.190525,0 days 00:00:06.966796,LinearRegression,8,False,-0.027273897014526167,-0.02155802752115021,698,-0.02441596226783819,0.002857934746687978,0.038484787027994516,1.9633684547051278,2.875651407121732,2.8970584630674483,698,2.88635493509459,0.01070352797285837,0.1441330999460391,1.9633684547051278,917393623123235.4,999275513225709.4,698,958334568174472.4,40940945051237.01,551308441470760.6,1.9633684547051278,8.331153299203319,8.478617694264294,698,8.404885496733806,0.07373219753048812,0.9928735854992065,1.9633684547051278,2.5281861349243133,2.5571307423184226,698,2.542658438621368,0.014472303697054656,0.1948832198604477,1.9633684547051278,699,0.6809728183118741,-0.04751751794056191,-0.03651827901477838,698,-0.042017898477670144,0.005499619462891761,0.07405756342396666,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",8,"['edges_T6W30', 're_T6W30', 'l1_T6W30', 'l2_T6W30', 'lcc_T6W30', 'atd_T6W30', 'density_T6W30', 'asp_T6W30']",0.0642782968686557,0.0823020275668374,698,0.07329016221774655,0.009011865349090844,0.12135326710543316,1.9633684547051278,3.5024825925724055,3.531256565487823,698,3.5168695790301143,0.014386986457708736,0.19373434275964993,1.9633684547051278,completed,6.957253932952881,False,COMPLETE
6,2.907942219366684,2026-06-13 19:08:15.206458,2026-06-13 19:08:22.273606,0 days 00:00:07.067148,LinearRegression,9,True,-0.035164362157586455,-0.029004844681134227,698,-0.03208460341936034,0.0030797587382261123,0.041471856303084864,1.9633684547051278,2.896765874852843,2.9191185638805255,698,2.907942219366684,0.011176344513841257,0.15050002064082643,1.9633684547051278,923598466171982.9,1005995210856325.1,698,964796838514154.0,41198372342171.15,554774942753995.06,1.9633684547051278,8.491827890900751,8.677617293001806,698,8.584722591951278,0.09289470105052636,1.2509147698707197,1.9633684547051278,2.537875197830486,2.5678999097848374,698,2.5528875538076616,0.015012355977175864,0.20215553320088825,1.9633684547051278,699,0.7367668097281831,-0.0643864568023381,-0.05199384744824328,698,-0.05819015212529068,0.0061963046770474066,0.08343908696064103,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",9,"['nodes_T6W30', 'edges_T6W30', 're_T6W30', 'l1_T6W30', 'l2_T6W30', 'lcc_T6W30', 'atd_T6W30', 'density_T6W30', 'diameter_T6W30']",0.052049769019707766,0.07002640644308711,698,0.06103808773139744,0.008988318711689675,0.12103618942314542,1.9633684547051278,3.5284140348830966,3.55897671049777,698,3.543695372690433,0.015281337807336553,0.2057776272532912,1.9633684547051278,completed,7.05685019493103,True,COMPLETE
7,2.85975189399779,2026-06-13 19:08:22.291180,2026-06-13 19:08:29.151707,0 days 00:00:06.860527,LinearRegression,6,False,-0.01748615226467773,-0.012401685284645407,698,-0.014943918774661568,0.0025422334900161614,0.034233571830878766,1.9633684547051278,2.8496056163583017,2.8698981716372787,698,2.85975189399779,0.010146277639488678,0.13662919859704412,1.9633684547051278,919347058220092.9,1001263623751962.6,698,960305340986027.8,40958282765934.89,551541910152462.94,1.9633684547051278,8.207385802338822,8.36419866388359,698,8.285792233111206,0.07840643077238457,1.0558165449359205,1.9633684547051278,2.5533514938335045,2.583176333451816,698,2.56826391364266,0.014912419809155513,0.20080979843660987,1.9633684547051278,699,0.5722460658082976,-0.024909550496091913,-0.015299224182805007,698,-0.02010438733944846,0.004805163156643452,0.06470605423461714,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",6,"['edges_T6W30', 're_T6W30', 'l1_T6W30', 'l2_T6W30', 'atd_T6W30', 'density_T6W30']",0.09699178140207156,0.11522384924727457,698,0.10610781532467306,0.00911603392260151,0.12275599520173201,1.9633684547051278,3.4664560931026696,3.4939022065658962,698,3.480179149834283,0.013723056731613255,0.18479390276536725,1.9633684547051278,completed,6.850492238998413,False,COMPLETE
8,2.830162045231085,2026-06-13 19:08:29.167746,2026-06-13 19:08:36.035923,0 days 00:00:06.868177,LinearRegression,4,False,-0.006740720576336977,-0.00211971773893679,698,-0.004430219157636884,0.0023105014187000937,0.03111308091607043,1.9633684547051278,2.8204634585449435,2.839860631917227,698,2.830162045231085,0.00969858668614173,0.1306006176387546,1.9633684547051278,915450875075169.0,996849448868450.5,698,956150161971809.8,40699286896640.81,548054286482096.06,1.9633684547051278,8.201661855978593,8.361819324797896,698,8.281740590388244,0.0800787344096522,1.0783356907635042,1.9633684547051278,2.556304792477998,2.5839432581166726,698,2.570124025297335,0.01381923281933721,0.18608900450186824,1.9633684547051278,699,0.45064377682403434,-0.008269986072481913,0.0004482751351393144,698,-0.003910855468671299,0.004359130603810614,0.05869980520348817,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",4,"['edges_T6W30', 'l1_T6W30', 'atd_T6W30', 'density_T6W30']",0.12089337502643893,0.13909382040669677,698,0.12999359771656785,0.00910022269012892,0.12254308204300335,1.9633684547051278,3.4393687675936895,3.46638611573688,698,3.4528774416652848,0.01350867407159527,0.18190703803801528,1.9633684547051278,completed,6.858734130859375,False,COMPLETE
9,2.8176537192124638,2026-06-13 19:08:36.066095,2026-06-13 19:08:42.899248,0 days 00:00:06.833153,LinearRegression,2,False,-0.001721652146091141,0.002024251879582539,698,0.0001512998667456989,0.00187295201283684,0.0252210654603686,1.9633684547051278,2.8080785216587136,2.827228916766214,698,2.8176537192124638,0.009575197553749982,0.12893906658788876,1.9633684547051278,912338896605200.8,993628314392545.0,698,952983605498872.9,40644708893672.164,547319342193009.06,1.9633684547051278,8.233982637883294,8.391699392086622,698,8.312841014984958,0.07885837710166457,1.0619024285449081,1.9633684547051278,2.511725833447517,2.539184652981785,698,2.525455243214651,0.01372940976713403,0.18487945238097048,1.9633684547051278,699,0.38197424892703863,0.00168546239819468,0.008688314968672468,698,0.005186888683433573,0.0035014262852388935,0.04715000754926356,1.9633684547051278,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",2,"['atd_T6W30', 'density_T6W30']",0.14193919045459957,0.16042723036755907,698,0.15118321041107932,0.00924401995647975,0.12447944786700713,1.9633684547051278,3.4246575390412994,3.4519928355871947,698,3.438325187314247,0.013667648272947608,0.18404777560701696,1.9633684547051278,completed,6.823537111282349,False,COMPLETE
