type,mean_abs_r_MOT,mean_abs_partial_MOT,mean_abs_r_COG,mean_abs_partial_COG,mean_abs_r_MOT_V4,mean_abs_partial_MOT_V4,mean_abs_r_COG_V1,mean_abs_partial_COG_V1
raw,0.0405,0.043,0.062,0.0511,0.0423,0.0443,0.0756,0.0704
z,0.0785,0.0809,0.0526,0.0396,0.0696,0.072,0.0442,0.0408
