subject,nodes_T2W20,edges_T2W20,re_T2W20,pe_T2W20,l1_T2W20,l2_T2W20,lcc_T2W20,lsc_T2W20,atd_T2W20,density_T2W20,asp_T2W20
CDMS-10-4A-JURAN,16.565891472868216,19.0,0.5426356589147286,0.937984496124031,0.2945736434108527,0.627906976744186,16.565891472868216,9.310077519379846,2.310320759192168,0.1382434508289501,4.093888436438296
CDMS-10-5A-HEPIHO,16.203389830508474,18.864406779661017,0.5254237288135594,0.1525423728813559,0.0,0.1525423728813559,16.194915254237287,11.61864406779661,2.34360941899576,0.150121718317132,3.3778620282424656
CDMS-10-5A-KSRAGU,16.04040404040404,19.0,0.5757575757575758,0.3232323232323232,0.6363636363636364,0.3232323232323232,16.04040404040404,10.767676767676768,2.40936430869586,0.1503344958336045,3.78123027035683
CDMS-10-5A-SROPU,16.805194805194805,19.0,0.7792207792207793,0.6233766233766234,0.2857142857142857,0.474025974025974,16.805194805194805,8.688311688311689,2.2963539611648853,0.1347970720392416,4.304212208578237
CDMS-10-5A-SZURO,16.47826086956522,18.65217391304348,0.5652173913043478,0.1304347826086956,0.0,0.0869565217391304,16.47826086956522,10.565217391304348,2.276953680022734,0.1431930743311817,3.4793803028457755
CDMS-10-5B-SRAJA,16.045454545454547,19.0,0.7727272727272727,0.3863636363636363,0.2329545454545454,0.3863636363636363,16.045454545454547,8.948863636363637,2.394138173917585,0.1497002485915904,3.913450840534906
CDMS-10-5C-DAAUSA,16.251851851851853,19.0,0.837037037037037,0.4888888888888889,0.1185185185185185,0.2740740740740741,16.251851851851853,10.74074074074074,2.371879841291606,0.1472601533059049,3.625043286988592
CDMS-10-5C-ICAPA,15.969696969696969,18.424242424242426,0.0606060606060606,0.2727272727272727,1.303030303030303,0.2727272727272727,15.969696969696969,9.93939393939394,2.3309117353235003,0.1441584559231618,3.7871803262670136
CDMS-10-5C-JFALGI,17.61904761904762,19.0,0.0,0.0,0.0,0.0,17.61904761904762,11.206349206349206,2.1621796866894907,0.1308201058201058,3.833726609552203
CDMS-10-5C-MAORTO,17.555555555555557,18.11111111111111,0.5555555555555556,0.0,0.0,0.0,16.88888888888889,6.888888888888889,2.0756239727859955,0.1224074620101451,3.8100840336134447
CDMS-10-5C-NBEMO,16.776315789473685,18.5,0.0394736842105263,0.6447368421052632,0.5,0.6052631578947368,16.486842105263158,9.013157894736842,2.2147677792261877,0.1322471232260217,3.9541592351576873
CDMS-10-6B-ASCACO,15.850467289719626,18.897196261682243,0.616822429906542,1.439252336448598,0.7102803738317757,0.8130841121495327,15.841121495327103,10.158878504672897,2.4049584799172483,0.1448133199645019,3.731863145759589
CDMS-10-6B-JJMOBE,16.84375,18.4375,0.1875,0.0,0.0,0.0,16.375,11.5625,2.19609375,0.1379252742763772,3.400141396808386
CDMS-11-5A-EAARCA,17.02906976744186,19.0,0.4186046511627907,0.5813953488372093,0.4418604651162791,0.5290697674418605,17.02906976744186,9.511627906976743,2.2479044524786658,0.1316847553131662,4.2149040379105545
CDMS-11-5A-MGTHAR,17.161616161616163,18.86868686868687,0.1818181818181818,0.1919191919191919,0.4444444444444444,0.1414141414141414,16.424242424242426,10.343434343434344,2.208601420366126,0.1320822290120535,3.903686279425092
CDMS-11-6A-DFVEBE,15.465116279069768,19.0,0.5813953488372093,0.4186046511627907,0.5581395348837209,0.4186046511627907,15.465116279069768,8.418604651162791,2.4671986624107007,0.1576230313234417,3.701995359861297
CDMS-11-6A-NMREPR,16.646464646464647,19.0,0.7575757575757576,0.1212121212121212,0.7070707070707071,0.1212121212121212,16.646464646464647,7.575757575757576,2.3112931549206057,0.1364746937502355,4.390395404198293
CDMS-11-6B-ARAHE,15.621052631578948,19.0,1.331578947368421,0.5421052631578948,0.9947368421052633,0.3736842105263158,15.621052631578948,9.821052631578947,2.4977893236794166,0.1537165414564795,3.757477878792039
