feature,selected,ranking
density_T6W30,True,1
nodes_T6W30,True,1
atd_T6W30,False,2
asp_T6W30,False,3
lcc_T6W30,False,3
diameter_T6W30,False,4
l1_T6W30,False,4
l2_T6W30,False,5
l3_T6W30,False,5
lsc_T6W30,False,6
re_T6W30,False,6
edges_T6W30,False,7
pe_T6W30,False,7
