target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
COG,T2W30,VALIDATION,R2,-0.013563,0.039051,-0.017401,-0.009724,1.9659,399,True
COG,T2W30,VALIDATION,RMSE,2.243709,0.187332,2.225295,2.262123,1.9659,399,True
COG,T2W30,VALIDATION,MAE,1.740782,0.121212,1.728867,1.752696,1.9659,399,True
COG,T2W30,VALIDATION,rho,0.061269,0.126865,0.048799,0.07374,1.9659,399,True
COG,T2W30,TEST,R2,-0.018315,0.048035,-0.023036,-0.013593,1.9659,399,True
COG,T2W30,TEST,RMSE,2.234046,0.284814,2.20605,2.262042,1.9659,399,True
COG,T2W30,TEST,MAE,1.767553,0.193324,1.74855,1.786556,1.9659,399,True
COG,T2W30,TEST,rho,0.0311,0.190523,0.012372,0.049828,1.9659,399,True
