target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT,T7W30,VALIDATION,R2,-9.989961253012362e+16,3.608859934628809e+17,-1.3537339379333373e+17,-6.4425831266913496e+16,1.9659,399,True
MOT,T7W30,VALIDATION,RMSE,877083530.519849,2208797168.231539,659966798.310893,1094200262.728806,1.9659,399,True
MOT,T7W30,VALIDATION,MAE,122816265.580645,309293468.722536,92413841.950061,153218689.211229,1.9659,399,True
MOT,T7W30,VALIDATION,rho,0.083574,0.120795,0.0717,0.095448,1.9659,399,True
MOT,T7W30,TEST,R2,-8.713462706489798e+16,3.950800500289297e+17,-1.2596955978618102e+17,-4.829969434361495e+16,1.9659,399,True
MOT,T7W30,TEST,RMSE,632518743.595162,2182628534.721606,417974292.931912,847063194.258412,1.9659,399,True
MOT,T7W30,TEST,MAE,126503753.866164,436525707.259426,83594863.702541,169412644.029788,1.9659,399,True
MOT,T7W30,TEST,rho,0.102376,0.188263,0.08387,0.120881,1.9659,399,True
COG,T7W30,VALIDATION,R2,-2.2045117723018156e+18,2.626344843891113e+19,-4.786113280855118e+18,3.770897362514877e+17,1.9659,399,False
COG,T7W30,VALIDATION,RMSE,490266035.605719,3000538553.214132,195324003.394388,785208067.81705,1.9659,399,True
COG,T7W30,VALIDATION,MAE,68650978.046037,420159437.788395,27350832.676689,109951123.415386,1.9659,399,True
COG,T7W30,VALIDATION,rho,-0.063463,0.126164,-0.075864,-0.051061,1.9659,399,True
COG,T7W30,TEST,R2,-5.994837552384735e+17,6.936987279649897e+18,-1.2813643874644577e+18,8.239687698751027e+16,1.9659,399,False
COG,T7W30,TEST,RMSE,248261095.316066,1681883169.978701,82938093.695513,413584096.93662,1.9659,399,True
COG,T7W30,TEST,MAE,49652220.371292,336376634.065278,16587620.040346,82716820.702238,1.9659,399,True
COG,T7W30,TEST,rho,-0.061157,0.187807,-0.079618,-0.042696,1.9659,399,True
MOT_V4,T7W30,VALIDATION,R2,-1.441817983146449e+17,4.839056345484368e+17,-1.9174796309507923e+17,-9.661563353421056e+16,1.9659,399,True
MOT_V4,T7W30,VALIDATION,RMSE,523623653.802592,1181638280.894367,407472906.286829,639774401.318355,1.9659,399,True
MOT_V4,T7W30,VALIDATION,MAE,73321979.848456,165462455.275571,57057621.984639,89586337.712272,1.9659,399,True
MOT_V4,T7W30,VALIDATION,rho,0.101469,0.120037,0.089669,0.113268,1.9659,399,True
MOT_V4,T7W30,TEST,R2,-1.339553643587375e+17,4.854234296289273e+17,-1.8167072287808934e+17,-8.624000583938563e+16,1.9659,399,True
MOT_V4,T7W30,TEST,RMSE,399707439.223506,1197151150.132757,282031833.054053,517383045.392959,1.9659,399,True
MOT_V4,T7W30,TEST,MAE,79941490.093573,239430230.202766,56406368.842361,103476611.344784,1.9659,399,True
MOT_V4,T7W30,TEST,rho,0.11927,0.182547,0.101326,0.137214,1.9659,399,True
COG_V1,T7W30,VALIDATION,R2,-8.544774704651055e+17,1.2648600209089694e+19,-2.097788890777106e+18,3.888339498468947e+17,1.9659,399,False
COG_V1,T7W30,VALIDATION,RMSE,225917158.71562,1182270417.416268,109704274.477699,342130042.953541,1.9659,399,True
COG_V1,T7W30,VALIDATION,MAE,31634730.688175,165550971.980822,15361671.954008,47907789.422341,1.9659,399,True
COG_V1,T7W30,VALIDATION,rho,-0.010231,0.1266,-0.022675,0.002213,1.9659,399,False
COG_V1,T7W30,TEST,R2,-1.1982419604215488e+17,1.5161937781394294e+18,-2.6886053275964058e+17,2.9212140675330816e+16,1.9659,399,False
COG_V1,T7W30,TEST,RMSE,76637165.953147,440621118.114757,33325711.790098,119948620.116196,1.9659,399,True
COG_V1,T7W30,TEST,MAE,15327433.985571,88124223.666376,6665143.148693,23989724.82245,1.9659,399,True
COG_V1,T7W30,TEST,rho,-0.04263,0.184532,-0.060769,-0.024491,1.9659,399,True
