target,window,set,metric,mean,std,ci_lower,ci_upper,t_critical,df,significant
MOT_V4,T2W10,VALIDATION,R2,-0.005495,0.03111,-0.008553,-0.002437,1.9659,399,True
MOT_V4,T2W10,VALIDATION,RMSE,3.488292,0.163646,3.472206,3.504377,1.9659,399,True
MOT_V4,T2W10,VALIDATION,MAE,2.882946,0.119086,2.87124,2.894651,1.9659,399,True
MOT_V4,T2W10,VALIDATION,rho,0.057481,0.134248,0.044285,0.070677,1.9659,399,True
MOT_V4,T2W10,TEST,R2,-0.008791,0.050797,-0.013784,-0.003798,1.9659,399,True
MOT_V4,T2W10,TEST,RMSE,3.455452,0.253915,3.430493,3.480411,1.9659,399,True
MOT_V4,T2W10,TEST,MAE,2.857739,0.181199,2.839928,2.87555,1.9659,399,True
MOT_V4,T2W10,TEST,rho,0.059677,0.199316,0.040085,0.079269,1.9659,399,True
