target,window,feature_type,covariates,n_subjects,n_candidate_predictors,n_selected_per_split,predictors,n_iter,alpha_mean,alpha_std,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,rmse_mean,rmse_std,rmse_ci_lower,rmse_ci_upper,mae_mean,mae_std,mae_ci_lower,mae_ci_upper,rho_mean,rho_std,rho_ci_lower,rho_ci_upper,frac_r2_below_zero
MOT,T6W30,raw,,252,13,13,"nodes_T6W30, edges_T6W30, re_T6W30, pe_T6W30, l1_T6W30, l2_T6W30, l3_T6W30, lcc_T6W30, lsc_T6W30, atd_T6W30, density_T6W30, diameter_T6W30, asp_T6W30",400,989.6715678925684,73.87589771175254,-0.00016061499763453724,0.027865581316183663,-0.002899700343943957,0.002578470348674882,7.78084981156984,0.48754649075462186,7.732925763859592,7.828773859280087,6.638724138175856,0.3839893676563744,6.600979379214903,6.67646889713681,0.08554842317534385,0.1880592095559506,0.06706288650957642,0.10403395984111127,0.435
COG,T6W30,raw,,252,13,13,"nodes_T6W30, edges_T6W30, re_T6W30, pe_T6W30, l1_T6W30, l2_T6W30, l3_T6W30, lcc_T6W30, lsc_T6W30, atd_T6W30, density_T6W30, diameter_T6W30, asp_T6W30",400,549.328489136962,392.27607949264575,-0.013682920069325602,0.07622449088109826,-0.021175510431366774,-0.006190329707284431,2.1773153670665364,0.27366520366768954,2.1504150723748334,2.2042156617582394,1.6998904555976138,0.1895149257056871,1.6812618273261524,1.7185190838690751,0.11321585224749299,0.2018679123739093,0.09337297029217134,0.13305873420281464,0.4875
MOT_V4,T6W30,raw,,252,13,13,"nodes_T6W30, edges_T6W30, re_T6W30, pe_T6W30, l1_T6W30, l2_T6W30, l3_T6W30, lcc_T6W30, lsc_T6W30, atd_T6W30, density_T6W30, diameter_T6W30, asp_T6W30",400,891.6102945017041,228.96878814989805,-0.0029678231776652376,0.04433118902316614,-0.007325417905728762,0.001389771550398287,3.4627510998699815,0.26675755835533693,3.4365298016017833,3.4889723981381797,2.873579684840405,0.17793371189554255,2.8560894477864065,2.891069921894404,0.11489603393212967,0.19182619793864572,0.09604021600211439,0.13375185186214494,0.4325
COG_V1,T6W30,raw,,252,13,13,"nodes_T6W30, edges_T6W30, re_T6W30, pe_T6W30, l1_T6W30, l2_T6W30, l3_T6W30, lcc_T6W30, lsc_T6W30, atd_T6W30, density_T6W30, diameter_T6W30, asp_T6W30",400,843.9359132038735,307.8606223479253,-0.021140478014836938,0.0794660173284859,-0.028951698643046548,-0.013329257386627328,1.348122996602063,0.11962855434736014,1.3363639445839115,1.3598820486202143,1.039960950062076,0.08564419537774265,1.0315424369905617,1.04837946313359,0.09003759218988763,0.19394795741642698,0.07097321301623491,0.10910197136354036,0.4925
