subject,nodes_T6W40,edges_T6W40,l1_T6W40,l3_T6W40,atd_T6W40,diameter_T6W40,asp_T6W40
CDMS-10-4A-JURAN,29.5625,39.0,0.1625,1.0958333333333334,2.6526281909458764,8.441666666666666,3.772083883776268
CDMS-10-5A-HEPIHO,30.37375745526839,38.79522862823062,0.0,0.9383697813121272,2.589968913204961,8.896620278330019,3.966796837325102
CDMS-10-5A-KSRAGU,28.348717948717947,39.0,0.6102564102564103,0.3282051282051282,2.761391954520987,7.671794871794872,3.601305912665161
CDMS-10-5A-SROPU,28.21311475409836,39.0,0.639344262295082,0.4316939890710382,2.784310128337822,8.879781420765028,3.8783141814633177
CDMS-10-5A-SZURO,28.70949720670391,39.0,0.217877094972067,0.7905027932960894,2.7621871787197207,8.849162011173185,3.8808574750270055
CDMS-10-5B-SRAJA,27.724890829694324,39.0,0.1703056768558952,1.388646288209607,2.8272720153256143,7.401746724890829,3.3603144199184536
CDMS-10-5C-DAAUSA,27.15869017632242,39.0,0.2947103274559194,1.4534005037783375,2.9043572185877577,7.816120906801007,3.522171056477114
CDMS-10-5C-ICAPA,24.74324324324324,38.472972972972975,0.7905405405405406,1.1689189189189189,3.1706294893406177,6.662162162162162,3.105722826306858
CDMS-10-5C-JFALGI,26.097142857142856,39.0,0.0,1.44,3.006361274662208,6.828571428571428,3.113570552156586
CDMS-10-5C-MAORTO,25.12565445026178,39.0,0.8795811518324608,1.345549738219895,3.1339311084053483,7.133507853403142,3.220868100359166
CDMS-10-5C-NBEMO,26.48333333333333,39.0,1.3583333333333334,1.4222222222222225,2.9752077435109623,7.758333333333334,3.53147367636827
CDMS-10-6B-ASCACO,26.685106382978724,39.0,0.0,1.5148936170212766,2.930866410766248,6.680851063829787,3.1142479321102563
CDMS-10-6B-JJMOBE,28.71672354948805,39.0,0.0,1.1092150170648465,2.743156164035172,8.296928327645052,3.698550693193188
