subject,pe_T2W10,density_T2W10,diameter_T2W10,asp_T2W10,z_pe_T2W10,z_l1_T2W10,z_l2_T2W10,z_l3_T2W10,y_true,y_pred
CDMS-10-4A-JURAN,-0.05917720989953951,-0.048361784390040935,0.04749213123321518,0.03862226504371243,0.16012784229006147,0.030729597636631214,0.01906341936474748,-0.08963334623972549,2,5.687209
CDMS-10-5A-HEPIHO,-0.020676378272828456,-0.021861323629107043,0.07091131246657575,0.06345777568362956,-0.025021235261644476,0.026805059364863916,-0.03296893337794709,-0.009698343776521318,7,5.639294
CDMS-10-5A-KSRAGU,-0.01986558594022544,-0.01483926882062675,0.07058475467136933,0.06247824998129001,-0.02456175197873765,-0.06614914816901817,-0.03227339996610391,-0.024977998642694156,5,5.538742
CDMS-10-5A-SROPU,-0.03770847113927274,-0.02812345139185599,0.044464997132619144,-0.009605775992075183,-0.04779783662160217,0.035717415332794045,-0.05249450318018569,-0.009907028834025588,6,5.4828916
CDMS-10-5A-SZURO,-0.07020215531757906,-0.05064598628452892,0.07452799887884158,0.050081259999956135,-0.041779266879672185,0.013235149701437,-0.0343004889942352,0.027066524937039767,5,5.5563293
CDMS-10-5B-SRAJA,-0.026316582974933223,0.01583935982840426,-0.04589591877801087,0.00042226493926217357,-0.04916138487770445,0.03589886544999576,-0.010256925355820552,-0.011490867501213267,13,5.497385
CDMS-10-5C-DAAUSA,-0.028323282786778318,0.008491370655241817,0.081242839904058,0.05129558610916073,-0.03354069653011467,0.02985228899547011,-0.025010786238170706,-0.015166549387432077,8,5.657187
CDMS-10-5C-ICAPA,-0.026871748356591764,-0.020882284709385166,0.0747975619406926,0.06041157881418858,-0.010582009224665123,-0.0694638231141225,-0.015848494279952715,0.06775898211342919,7,5.647666
CDMS-10-5C-JFALGI,-0.0219662927218845,-0.03877692161287638,0.08819531867617685,0.06542986345291116,-0.024872625373658558,0.024121076402210402,-0.042116574945903824,-0.023674522740501167,10,5.6146855
CDMS-10-5C-MAORTO,-0.023127424512591182,0.27441744654519185,0.10658533872876849,0.06894144251233053,-0.006261154333750296,0.038701769056774506,-0.010826649824778376,0.0862255466779074,12,6.1230025
CDMS-10-5C-NBEMO,-0.04999752541950779,-0.20217400909605454,0.03794690824690357,0.040297861939384796,0.15988553558077095,-0.06695923657644383,0.1808512985138664,-0.033539206754594014,5,5.654658
CDMS-10-6B-ASCACO,0.23925213636670797,-0.02474554427464848,0.04216113365264158,0.0230545085725327,0.23686386587506256,-0.0699851839882986,0.09685545478548305,0.0684461329778037,6,6.2002487
CDMS-10-6B-JJMOBE,-0.0517132693926496,-0.12810474777221761,-0.07381101417541513,-0.021628241493588503,-0.05234104124704993,0.0043412484668555185,-0.060468221823374725,0.011571795463562327,1,5.2161927
CDMS-11-5A-EAARCA,-0.040563746633983884,-0.021118001211257724,0.07724133155459462,0.03702642188753398,-0.017646731512887037,0.03934548922947459,0.037818108172643895,-0.015663242885044837,8,5.684786
CDMS-11-5A-MGTHAR,-0.009058867590768092,-0.04290681480226091,0.07207899665832537,0.06446520407994581,-0.023194687979561753,-0.048878348486764076,-0.043434952122825124,-0.026687450227283274,9,5.5307293
CDMS-11-6A-DFVEBE,-0.021479506106604,0.01498731508709128,-0.057435168152763824,-0.009538781256903163,-0.057781060627528406,-0.07267128492537038,-0.0614561927432102,-0.0224725731668018,1,5.300499
CDMS-11-6A-NMREPR,-0.026224313985734143,0.007126097588313,0.07620608786174207,0.05982301298777202,-0.035583747477758755,-0.04991704193751032,-0.04535065258116921,-0.01304574723470804,8,5.56138
CDMS-11-6B-ARAHE,-0.034730600288936674,0.013262083984556902,0.08539984975542354,0.04216555815651267,-0.03918503827140469,-0.06107658068339048,-0.038996556690761144,-0.02879676192147343,5,5.526388
CDMS-11-6B-AVROTO,-0.06346605484826236,-0.0433133326485043,-0.015020993005661438,-0.08707008252825013,-0.04616700133823242,0.036658801305861355,-0.0554787086759299,-0.024131252833775305,8,5.2903576
CDMS-11-6B-EAFESA,-0.06593508852095814,-0.05163127011344541,-0.01629631955283087,-0.11103077656882147,-0.025796587830497868,-0.06792880848475844,-0.03774498151597517,0.05964170658020668,0,5.271624
CDMS-11-6B-EFRGR,-0.05944868457884997,-0.018732815470015055,0.08405761057989904,0.052750966480799404,-0.036075661386762346,-0.06057528806868031,-0.024327223028455636,0.02946724155971072,3,5.5554624
CDMS-11-6B-EROCO,-0.0368144343694055,-0.0025058304468787637,0.07058478369031615,0.06136977602186606,-0.03060552660624127,-0.060822608380090626,-0.029782015323638972,-0.027641071160634745,6,5.5321293
CDMS-11-6B-JACUPE,-0.011997518176124568,0.1277106323242188,-0.06988978047597985,-0.003624041829790557,-0.05642515273321222,-0.05311748484202785,-0.02725964191981727,0.05713815916152193,9,5.5508814
CDMS-11-6B-JDCHBA,-0.05089217038381653,0.0024616988954092867,-0.023035176708585084,0.036387130419413265,-0.03614716668356054,-0.060068062350863705,-0.035211607569739865,-0.020713044666109032,3,5.401128
CDMS-11-6B-JFSAHE,-0.03167598613103246,0.17222903585433924,0.039587581316630184,0.13729076369603443,-0.07691581376393629,-0.0014431567192078332,0.0713619629542032,-0.09634377288818345,3,5.802437
CDMS-11-6B-JLPENA,-0.05047991836638668,-0.15653477466674048,-0.04388942945571219,-0.008650385107312974,-0.03401714583805624,-0.05115717856089286,-0.04276522561482024,-0.04416966538202234,4,5.1566825
