subject,pe_T2W10,density_T2W10,diameter_T2W10,asp_T2W10,z_pe_T2W10,z_l1_T2W10,z_l2_T2W10,z_l3_T2W10
CDMS-10-4A-JURAN,0.4388489208633093,0.2391915039397053,7.043165467625899,3.050959232613909,0.4003625051077743,-0.1158073847608759,0.1815457734533776,-0.0024995320777672
CDMS-10-5A-HEPIHO,0.0625,0.23359375,7.0390625,3.0536644345238093,-0.1069221256747005,-0.2737096618957843,-0.1082126929858219,0.154419697393952
CDMS-10-5A-KSRAGU,0.146788990825688,0.2436726372506189,6.954128440366972,3.038117081695064,-0.1371806834445431,0.2763487395537625,-0.1337351884508965,0.2049287497603422
CDMS-10-5A-SROPU,0.2439024390243902,0.2334349593495935,7.2073170731707314,3.118403987611305,0.017812096124653,-0.0573495730755086,-0.0306073123600054,-0.0485420298945921
CDMS-10-5A-SZURO,0.0909090909090909,0.2295574795574795,6.878787878787879,2.9884559884559887,-0.0368870387918725,-0.2444781938520446,-0.0924722890278031,-0.2170312957732948
CDMS-10-5B-SRAJA,0.1720430107526881,0.2587813620071684,6.333333333333333,2.82584058713091,-0.0610309948663798,-0.1693519970167211,-0.0596111697442814,0.4562917223745178
CDMS-10-5C-DAAUSA,0.1793103448275862,0.2549644225506294,6.8068965517241375,2.979496442255063,-0.1049519094901377,-0.2493112240409318,-0.157535564981444,0.2677735694195852
CDMS-10-5C-ICAPA,0.1860465116279069,0.2406238464377999,6.953488372093023,3.0335917312661502,-0.0717890151061034,0.5968379631332568,-0.0648187581193354,-0.2764426142003424
CDMS-10-5C-JFALGI,0.0,0.2275929549902152,7.191780821917808,3.095509893455099,-0.2376791125752045,-0.2542253123788656,-0.2381462134592814,0.0597201991346437
CDMS-10-5C-MAORTO,0.0,0.2184210526315789,7.157894736842105,3.08187134502924,-0.1652152638197268,-0.1264085637683718,-0.1652152638197268,-0.143582994858795
CDMS-10-5C-NBEMO,0.3372093023255814,0.2254337393872277,7.011627906976744,3.057401255075674,0.4138681635468145,0.065796169216892,0.3797959200324294,-0.1004437459375054
CDMS-10-6B-ASCACO,0.6153846153846154,0.2434405101071767,6.786324786324786,2.969563152896486,0.4815864988339251,0.0746022049275432,0.2156926325161567,-0.1880875532778443
CDMS-10-6B-JJMOBE,0.0,0.225907029478458,6.595238095238095,2.9169501133786846,-0.2464310512436259,-0.2518210657868967,-0.2464310512436259,-0.2155085058106536
CDMS-11-5A-EAARCA,0.2197802197802197,0.2328580150008721,7.1923076923076925,3.108930751787895,0.1386211171534904,-0.03333606923241,0.1445222085103311,0.2195518522112556
CDMS-11-5A-MGTHAR,0.036697247706422,0.227653997378768,7.055045871559633,3.065523518275812,-0.2458536627772647,0.1705222609650586,-0.2427044264458946,0.0596750815403713
CDMS-11-6A-DFVEBE,0.1509433962264151,0.2734651093141659,6.169811320754717,2.758760107816712,-0.2730527391495483,0.0319993564482864,-0.2668141915342208,0.2646302099072116
CDMS-11-6A-NMREPR,0.073394495412844,0.2540192223678462,6.834862385321101,2.996060870831513,-0.3225766658429577,0.1637351598081536,-0.322170139664174,0.645198909541188
CDMS-11-6B-ARAHE,0.24,0.2611904761904762,6.765,2.947003968253968,-0.1501266910373672,0.071804976315518,-0.2241293583157154,0.1147950201942389
CDMS-11-6B-AVROTO,0.1118881118881118,0.2282606282606282,7.545454545454546,3.2165334665334666,-0.0184023711155404,-0.0530818417002578,-0.0191785602802483,0.0813507415275096
CDMS-11-6B-EAFESA,0.0840336134453781,0.2299319727891156,7.521008403361344,3.188375350140056,-0.1271853095239001,0.4877450298275293,-0.127382966353253,-0.2903262328971485
CDMS-11-6B-EFRGR,0.1121495327102803,0.2438992731048805,6.813084112149533,2.9822912030855955,-0.181859159667896,0.3981782836265036,-0.1829001188937173,-0.1880477902406089
CDMS-11-6B-EROCO,0.1927710843373494,0.253298909925416,6.9156626506024095,3.009456875119526,-0.1404188342417767,0.287654144030673,-0.1360451468748196,0.1361227012036932
CDMS-11-6B-JACUPE,0.405,0.2912142857142857,5.395,2.524777777777778,-0.0532698722667887,0.3120839039289307,-0.1324491984226121,-0.280643839761923
CDMS-11-6B-JDCHBA,0.1208791208791208,0.2540947148090005,6.703296703296704,2.9460273853131,-0.2104920470719609,0.0830244629218325,-0.2083094264059954,0.6674366526808906
CDMS-11-6B-JFSAHE,0.1419753086419753,0.2156133646874387,8.0,3.3667450519302373,0.204976679585579,-0.0767004967599008,0.2047467386601719,-0.0084163451319957
CDMS-11-6B-JLPENA,0.074074074074074,0.2240226337448559,6.37962962962963,2.822126690182245,-0.2258959030215522,0.2701811468801181,-0.2223234734582503,0.0194604583879664
CDMS-11-6B-JMARME,0.2465753424657534,0.2333007175472929,7.184931506849315,3.0999266144814093,0.1226561267736232,0.0656682192787421,0.085278309921808,-0.0692413506534759
CDMS-11-6B-JPSAMA,0.1904761904761904,0.2294501133786848,7.309523809523809,3.1527777777777777,0.1859822712747588,-0.1358872663030463,0.1885739266197949,0.1284832397767016
CDMS-11-6B-LESTA,0.1221374045801526,0.230176905367745,6.7251908396946565,2.939216042651157,-0.0383376447601864,0.0167331807127901,-0.0374609188393731,-0.0580288450573884
CDMS-11-6B-MAGIMU,0.0,0.2390977443609022,7.315789473684211,3.1152882205513786,-0.5228572587935332,1.1955122350558842,-0.5252178479932761,-0.4478071009330538
CDMS-11-6B-MEBRTA,0.2213740458015267,0.2534048224887919,6.885496183206107,2.988234581364352,-0.0417607101062868,0.3937289842724097,-0.055950280294484,-0.2699995892510215
CDMS-11-6B-MMAMO,0.2073732718894009,0.2327298661400044,7.32258064516129,3.143588618242996,0.0160349205574979,0.0860411878894029,-0.0991910342666091,-0.0225028240590753
CDMS-11-6B-RSECA,0.1975308641975308,0.2258475406623555,7.802469135802469,3.2804232804232805,0.1144831607785855,-0.0823500780792616,0.1191883208936804,0.126452477592856
CDMS-11-6B-SCAPA,0.0,0.2300324675324675,7.4393939393939394,3.190897065897066,-0.2381732704239866,-0.2332480357851762,-0.239346008111551,0.4430317891865565
CDMS-11-6B-VZAPE,0.2816901408450704,0.2413313212608987,6.950704225352113,3.01645987033311,0.1640344937988468,0.5430215400619938,0.1733593127318398,-0.2238503284808992
CDMS-11-6B-YLNIME,0.0952380952380952,0.225151171579743,7.440476190476191,3.186933106575964,0.0144341190428495,-0.2435296962871733,0.015210318044791,0.0154666414878839
CDMS-11-7C-ICARE,0.2424242424242424,0.2379389129389129,7.03030303030303,3.063311688311688,0.2858021681168998,-0.3633143878585458,0.2859380496912352,0.6918763681770234
CDMS-11-7C-SALMA,0.0833333333333333,0.2400876322751322,6.854166666666667,3.003414351851852,-0.1118070357445915,-0.1476725433251444,-0.1130843082275326,-0.3003858847479405
CDMS-11-7C-SPGAVE,0.125,0.2310626102292768,6.819444444444445,2.981426366843033,-0.0907222526179248,0.3076502866343464,-0.0850486747904075,0.0243448261131201
CDMS-12-5A-SRIGO,0.3543689320388349,0.2378525196486361,7.325242718446602,3.136037910309755,0.351104437973795,-0.2904539248500131,0.1919892345537809,-0.0461549114754883
CDMS-12-6A-FAROPA,0.087431693989071,0.2397779512533611,6.939890710382514,3.024807008413566,-0.2411756301690522,0.349328763811624,-0.2378919034972233,-0.0286837418200629
CDMS-12-6A-JGIGA,0.0592592592592592,0.2269370958259847,7.437037037037037,3.1642857142857146,-0.1119500161308954,-0.0734616081386103,-0.1114411569162455,-0.2303962490697087
CDMS-12-6A-JSOTGU,0.0,0.2109126984126984,8.5625,3.519345238095238,-0.0399438426216142,-0.0542846219056428,-0.0399438426216142,-0.0302701315523658
CDMS-12-6A-SROAL,0.0579710144927536,0.2494248907292385,6.27536231884058,2.8544398435702787,-0.2900013600302389,-0.0652225722480555,-0.2882205563568509,0.1346827989698284
CDMS-12-6B-IJDAGA,0.3511111111111111,0.2407971781305114,6.986666666666666,3.0352380952380957,0.1777674168566829,0.3503178732986388,0.0668624086886262,0.0406954919643403
CDMS-12-6B-SCLAG,0.8518518518518519,0.3151283558690966,5.45679012345679,2.54700176366843,0.41163375177156,-0.2653364209777847,0.2026802377736771,0.477281279164659
CDMS-12-7C-ARAHE,0.5714285714285714,0.2061224489795918,7.5,3.1706349206349205,0.7299575637371077,-0.2870191063448939,0.3377495425320072,-0.2230497267751053
CDMS-12-7C-CATRAR,0.0,0.246551724137931,6.189655172413793,2.8039135194307607,-0.3901131099678812,-0.4095814363616362,-0.3907129420799934,0.4054936882641332
CDMS-12-7C-DLOLO,0.2388059701492537,0.2304193319118692,7.477611940298507,3.1818881781568344,0.2749390719705803,-0.2862191655566931,0.2792431377253522,-0.1274644139703808
CDMS-12-7C-JSZAOR,0.1666666666666666,0.252620701058201,6.635416666666667,2.917303240740741,-0.2651116889943341,0.6438912763153789,-0.3208293758170659,0.1936003457760514
CDMS-12-7C-MAROBE,0.0,0.2271962233169129,7.603448275862069,3.2412082649151617,-0.2540922679524114,0.0806491831791339,-0.2555633823486594,0.3070762759206865
CDMS-12-7C-VMAPA,0.0,0.21,8.253333333333334,3.447407407407407,-0.094502047437889,-0.1015529876358748,-0.094502047437889,-0.08581340837554
CDMS-12-7C-VQURA,0.2388059701492537,0.2360637289741767,7.231343283582089,3.1115849324804548,0.0932756814843623,-0.0690538485518745,0.109532889240415,-0.1340135998792378
CDMS-13-6B-ASUMO,0.0,0.2852229780801209,5.809523809523809,2.655404383975813,-0.4602286208815018,-0.38788461336248,-0.4650952003124925,1.2605997844445471
CDMS-13-6B-JDTAHE,0.3302752293577982,0.2398427260812581,6.513761467889908,2.8832386777340906,0.2178072314346665,0.2046072740551593,0.1234140303163773,-0.1271898966868214
CDMS-13-7C-MVEAR,0.514018691588785,0.2500148345942738,6.598130841121495,2.902425456163774,0.3731823318677827,0.168021159563784,0.1902074135065889,-0.3648240978067575
CDMS-13-7C-RAIZAC,0.233009708737864,0.2491447064262598,6.864077669902913,2.989751887810141,-0.0908976562622578,0.0622124040757736,-0.1654908823957677,0.3577081053775146
CDMS-13-7C-SSOSLO,0.421875,0.2518167162698412,6.625,2.9269593253968256,0.3232244748749721,-0.3640678346910966,0.1445652497702382,0.4255876435532169
CDMS-14-10A-IMORTO,0.1142857142857142,0.2264965986394558,7.557142857142857,3.206802721088436,0.0457187660999314,-0.2347981493029351,0.047713408310158,0.1185790229887439
CDMS-14-10A-JCVANI,0.1746724890829694,0.2494004297497747,6.751091703056769,2.960220420045748,-0.0858260220371754,-0.0908437126724902,-0.1860171736479053,0.4196973326065839
CDMS-14-6B-KDCAHE,0.1212121212121212,0.2795334295334295,5.333333333333333,2.4874338624338623,-0.3885262751415335,0.2036099336529709,-0.3915276756822393,0.3727415895392353
CDMS-15-10A-AMALOS,0.1560693641618497,0.2321680888154876,7.427745664739884,3.176277640150472,-0.0267484623897698,0.1561226307736325,-0.0798945405048461,-0.0022985114336284
CDMS-15-10A-JJMACH,0.1153846153846153,0.222409188034188,7.788461538461538,3.291418650793651,0.0256296475034055,-0.1045103875696056,0.0289090638637365,-0.0044673697109293
CDMS-15-10A-MAALCA,0.5966386554621849,0.2364479124983326,6.907563025210084,3.0217420301453912,0.8389475268156924,-0.1335711947641378,0.7656333114138452,-0.1213573116099888
CDMS-15-10A-MAALRI,0.1111111111111111,0.2380026455026455,7.15,3.082178130511464,-0.1907814910734149,0.2468643713017299,-0.179682761269011,-0.0634830362136248
CDMS-15-10A-SGOMO,0.3790849673202614,0.2390030086108517,6.869281045751634,3.0046166614794068,0.3798990379716671,-0.1837506369856592,0.2066262043211454,-0.2435566414237123
CDMS-15-10A-SHEGA,0.3571428571428571,0.2585803368966634,6.510204081632653,2.875672173631357,-0.0064927662466185,0.0169836359960376,-0.1842291709803316,0.0215884338449829
CDMS-15-11B-JEMOLO,0.13,0.2474920634920635,6.81,2.9658253968253967,-0.2231936517756376,0.3164843740832417,-0.3332342504182939,0.2352564479249067
