feature,mean_coef,std_coef,frac_nonzero,n_selected,frac_selected
z_l1_T7W30,-0.061746645135785476,0.04333513729882426,1.0,400,1.0
z_density_T7W30,0.05693448903276295,0.03222804219084692,1.0,400,1.0
z_diameter_T7W30,-0.03842996635612953,0.021350796706116473,1.0,400,1.0
z_re_T7W30,-0.03735218731767993,0.029979437639493046,1.0,400,1.0
z_asp_T7W30,-0.03624686890846263,0.02093183355084401,1.0,400,1.0
z_lsc_T7W30,0.020957692871589176,0.02385190562932661,1.0,400,1.0
z_l2_T7W30,-0.015557425547480299,0.020563643486539336,1.0,400,1.0
z_pe_T7W30,-0.00829449094017095,0.01881862612941656,1.0,400,1.0
z_l3_T7W30,0.0003161767364688474,0.033609660526281844,1.0,400,1.0
z_lcc_T7W30,9.211633734618575e-19,1.4635771549164922e-17,0.0,400,1.0
z_atd_T7W30,-4.2459964423593835e-20,2.248500645203662e-18,0.0,400,1.0
z_edges_T7W30,0.0,0.0,0.0,400,1.0
z_nodes_T7W30,0.0,0.0,0.0,400,1.0
