subject,z_re_T6W40,z_l1_T6W40,z_l2_T6W40,z_l3_T6W40,z_diameter_T6W40,z_asp_T6W40,y_true,y_pred
CDMS-10-4A-JURAN,1.4623398135528831,0.6482111050381939,-0.5395633913966236,-0.09793407801167309,1.2073124900150556,-3.9693390207171557,2,3.922527302071852
CDMS-10-5A-HEPIHO,1.2528254721850582,1.2264063780780472,0.020146470219746637,0.2987302165153228,1.4520554438733362,-4.372265673981335,7,5.089398690481348
CDMS-10-5A-KSRAGU,0.24749301728090656,-0.9667586979241056,0.5616503419319606,1.3713262242718078,1.2186986741336046,-2.0729198011268966,5,5.57099014215845
CDMS-10-5A-SROPU,-2.2389139120375714,-0.5491612352260612,-0.5408767954940316,1.30799510166373,-0.9308436140547165,3.230200140048405,6,5.489900068490927
CDMS-10-5A-SZURO,-1.0054914018204977,0.33958657293212946,0.9459600086383795,0.7130422122363922,0.011254086115642936,-0.4829676631124052,5,5.732884198580813
CDMS-10-5B-SRAJA,0.5564070688418961,1.28356216223467,1.3255893878013953,0.5098994098021443,1.0536126208862053,-3.8360457389923974,13,6.104525294165086
CDMS-10-5C-DAAUSA,-0.06360673005885131,1.2112457117430093,-0.40812384372286004,-0.47925488633634655,0.014550251336964193,0.13966155018727164,8,5.625972436740359
CDMS-10-5C-ICAPA,0.4671908245591736,-0.23185955221870963,0.8784261591777067,0.39811923130304055,0.6188929980273556,-2.071686893092857,7,5.270583151346882
CDMS-10-5C-JFALGI,0.9160090081573471,2.2558686470089695,1.216926702246597,0.21541459122776407,0.7796603894580062,-3.4974766605437666,10,7.09790306114609
CDMS-10-5C-MAORTO,-0.8505219696984059,-0.4680496476483938,0.31192698048187983,0.16426354874474458,-0.7499235738528403,1.5666145352051277,12,5.1858102568232844
CDMS-10-5C-NBEMO,-1.087951649199261,-2.7628032368038182,0.3477731830291253,-0.2101519858297403,-0.7742146160170157,3.6818233906371036,5,4.405975469407567
CDMS-10-6B-ASCACO,-0.024030533188656222,2.0853272943180854,1.6414419925901553,-0.09004181696956326,1.4446433728029051,-5.100752554830395,6,5.168088138313703
CDMS-10-6B-JJMOBE,-0.16043855046771052,1.4823861482367067,-0.2203365843323691,0.002164849705445726,0.6107926111207508,-2.3522651822642446,1,4.573803675589751
CDMS-11-4A-GACHSA,-2.047541982647185,0.17219893042884404,0.7458748024143816,-0.3041444012856427,-0.7186582267045689,4.564120807672698,2,7.6233503134696985
CDMS-11-5A-EAARCA,-0.7512404745712908,1.1665737365784117,1.1891133002876697,0.19843013594018233,0.6306935221707234,-1.6109975623198383,8,6.03407304167703
CDMS-11-5A-MGTHAR,-1.5463912286719086,0.3463921095066902,0.6707385462583194,0.6747983703700929,-1.6084843787032677,4.248643289577949,9,7.997197091929047
CDMS-11-6A-DFVEBE,1.9232971145604727,-4.15345543246895,1.029043534616781,0.9442949392277535,0.032379787764632795,-1.4201558946397634,1,3.566904432652099
CDMS-11-6A-NMREPR,-1.6651077436873638,1.3645138696913643,1.121674146270018,1.0305958760783536,0.43746945173909846,-1.8133784393337387,8,5.687267544348904
CDMS-11-6B-ARAHE,-1.277082056872724,-2.623725787869514,1.4202897502477503,0.7238722706580809,0.0844119530238645,0.27053072871699146,5,3.8097972414956214
CDMS-11-6B-AVROTO,-0.7852280160327724,1.0494889621449752,0.8855204532157852,0.348894789313299,-0.4856041033402714,-0.6504138783285589,8,5.574158590563629
CDMS-11-6B-EAFESA,-2.021984526702683,-0.45556954187778825,-0.07704484485128638,0.2582048564639676,-0.2955771743701009,1.7660123440298718,0,4.385541496283153
CDMS-11-6B-EFRGR,-2.4008382713862395,-0.24473763314673747,1.550647233992868,-1.8625204686042274,-1.1939788642539118,4.2240902911176965,3,5.284162671310621
CDMS-11-6B-EROCO,-0.4178756641668019,0.9166657835363079,0.7626970142237914,-0.3415591075133318,0.2566505826746837,-0.9183010726985418,6,5.46977791964728
CDMS-11-6B-JACUPE,0.4911313024326174,-2.9631676355291408,-0.4583187083117677,0.5036656960046996,-1.0386042242187354,4.666854717093723,9,6.413061531062569
CDMS-11-6B-JDCHBA,-0.703867293551159,-2.021523559154704,-1.4186154702717513,0.6720390859970973,-1.2316183750327208,5.239043396853281,3,5.746958168431216
CDMS-11-6B-JFSAHE,0.31563713794950077,1.242796058073522,-0.4378840954519402,0.1411118889380576,1.1302084493389692,-3.563860103085991,3,4.0395097193532905
CDMS-11-6B-JLPENA,-0.0853781979871219,-0.08694848758739535,-0.14690255805207902,-0.4109239689293041,-0.8943348723940042,1.3820467402278072,4,4.969059038869075
CDMS-11-6B-JMARME,-0.5723955643630723,1.1254978277879777,-0.32942361482810645,-0.03909304751675413,-0.13223510645223266,0.3015196262969911,5,5.565370504515975
CDMS-11-6B-JPSAMA,-0.8426147279688125,-0.20961395712516553,-0.12471272389674798,0.8542960711281664,-0.04872046940227048,-0.4727237514958943,0,4.367410824830448
CDMS-11-6B-LESTA,-0.6084567254886285,0.4148327170889332,0.7426420088455429,-0.2766377506394505,-0.6895816986185968,0.87378729217277,8,5.6680862269517425
CDMS-11-6B-MAGIMU,-0.6400997207647058,1.6747289744509386,0.3589981332310724,-0.8493333987447678,0.17532562776315053,-1.1442362562252857,9,4.7868837433015745
