subject,pe_T2W30,z_diameter_T2W30,z_asp_T2W30,y_true,y_pred
CDMS-8-4A-LGOPA,0.033732307913648896,0.0,0.0,6,5.136026254447307
CDMS-8-4C-JDBUTU,0.5530437905215306,0.0,0.0,3,5.655337737055189
CDMS-9-4A-ACDUTR,0.40612284443160895,0.0,0.0,3,5.508416790965267
CDMS-9-4A-CARGA,-0.02322865821951936,0.0,0.0,3,5.079065288314139
CDMS-9-4A-CRAAG,0.8779489684460993,0.0,0.0,14,5.980242914979757
CDMS-9-4A-EROHI,-0.13695993843649212,0.0,0.0,2,4.965334008097166
CDMS-9-4A-ILOSE,-0.21255750660551342,0.0,0.0,1,4.889736439928145
CDMS-9-4A-TGAFR,0.09981890771735458,0.0,0.0,2,5.202112854251013
CDMS-9-4C-SCAMO,-0.15115911645145985,0.0,0.0,1,4.951134830082198
CDMS-9-5A-ABERO,0.5507245964238203,0.0,0.0,6,5.653018542957478
CDMS-9-5A-VVAAR,-0.2366562947117954,0.0,0.0,2,4.865637651821863
CDMS-9-5C-JDMADE,0.10083256684216302,0.0,0.0,6,5.203126513375821
CDMS-9-5C-LVIZAC,0.32204669609113434,0.0,0.0,2,5.424340642624792
CDMS-9-5C-MLOGO,0.043802646931356826,0.0,0.0,5,5.146096593465015
CDMS-9-5C-SCAAG,4.897706053466342,0.0,0.0,10,10.0
CDMS-XX-10A-VGILO,-0.21878619311527903,0.0,0.0,7,4.883507753418379
CDMS-XX-5C-MPCAQU,0.0560106161945404,0.0,0.0,9,5.1583045627281985
CDMS-XX-6B-SPUCA,0.23167778611440593,0.0,0.0,0,5.333971732648064
CSO-10-4A-KCOMO,-0.15815973833411423,0.0,0.0,4,4.944134208199544
CSO-10-4A-LRAVI,0.11228095225176737,0.0,0.0,12,5.2145748987854255
CSO-10-4A-LSCAVA,-0.06624508107842786,0.0,0.0,11,5.03604886545523
CSO-10-5A-ACAVA,-0.05387964154040592,0.0,0.0,4,5.048414304993252
CSO-10-5A-ARACA,0.26832742294354706,0.0,0.0,0,5.370621369477205
CSO-10-5A-DABRZA,0.5158422507074869,0.0,0.0,3,5.618136197241145
CSO-10-5A-GZAMA,-0.28650447284944747,0.0,0.0,6,4.815789473684211
CSO-10-5A-IPECA,-0.18940889108567305,0.0,0.0,11,4.912885055447985
CSO-10-5A-JANORO,-0.12167316380761228,0.0,0.0,5,4.980620782726046
CSO-10-5A-JBUVE,0.2598315595392169,0.0,0.0,2,5.362125506072875
CSO-10-5A-JJSEMO,0.3365977538712004,0.0,0.0,13,5.4388917004048585
CSO-10-5A-JLCARI,0.636770478743582,0.0,0.0,9,5.73906442527724
CSO-10-5A-MAARAN,-0.13958352675952668,0.0,0.0,4,4.962710419774131
CSO-10-5A-RVMOIB,-0.005393435483017406,0.0,0.0,4,5.096900511050641
CSO-10-5A-SVHEES,0.15711481661225868,0.0,0.0,7,5.259408763145917
CSO-11-5A-MDVOSPE,0.11228095225176737,0.0,0.0,3,5.2145748987854255
CSO-11-5A-MTAGA,-0.28650447284944747,0.0,0.0,5,4.815789473684211
CSO-11-6A-CAPAMU,0.12872571204975536,0.0,0.0,1,5.2310196585834134
CSO-11-6A-DSCACH,-0.17978724641391075,0.0,0.0,0,4.922506700119747
CSO-11-6A-EROMO,-0.07157466581437699,0.0,0.0,7,5.030719280719281
CSO-11-6A-FSOVRE,0.32677917332893536,0.0,0.0,5,5.429073119862593
CSO-11-6B-ANREVA,-0.08711176029884005,0.0,0.0,5,5.015182186234818
CSO-11-6B-DISEMO,-0.28650447284944747,0.0,0.0,0,4.815789473684211
CSO-11-6B-LHFDLACH,0.23967074082576634,0.0,0.0,7,5.341964687359424
CSO-11-6B-RJGIHE,-0.2702275167228674,0.0,0.0,3,4.832066429810791
CSO-11-6B-SFLVA,0.13000474892293212,0.0,0.0,8,5.23229869545659
CSO-11-6B-VCOMA,0.003310516322946988,0.0,0.0,14,5.105604462856605
CSO-12-6A-DGISE,0.11228095225176737,0.0,0.0,2,5.2145748987854255
CSO-12-6A-FJOVRE,0.315977104641596,0.0,0.0,1,5.418271051175254
CSO-12-6B-GQULO,0.015930111287715043,0.0,0.0,4,5.118224057821373
CSO-12-6B-LJHEFE,0.23852960441948845,0.0,0.0,2,5.3408235509531465
CSO-12-7A-DALRE,-0.18094362502853745,0.0,0.0,8,4.921350321505121
CSO-12-7A-ESALA,-0.2675146907017707,0.0,0.0,7,4.834779255831887
CSO-12-7A-IMERO,-0.032463387229414664,0.0,0.0,9,5.069830559304243
CSO-12-7A-JHEZA,0.0830506069563901,0.0,0.0,9,5.185344553490048
CSO-12-7A-LSARAR,-0.28650447284944747,0.0,0.0,6,4.815789473684211
CSO-12-7A-SCAHO,-0.11797015628881535,0.0,0.0,1,4.984323790244843
CSO-12-7B-DVAGRO,0.6485785929051247,0.0,0.0,8,5.750872539438783
CSO-12-7B-SMUGU,-0.1338828904033038,0.0,0.0,4,4.968411056130354
CSO-12-7B-SSARA,0.1722020783032452,0.0,0.0,2,5.274496024836903
CSO-12-7B-VHOMA,0.17304825512433286,0.0,0.0,8,5.275342201657991
CSO-12-8A-YTOME,0.5187353278356976,0.0,0.0,13,5.621029274369356
CSO-13-6A-ANASA,-0.13753290600129287,0.0,0.0,3,4.964761040532365
CSO-13-6B-JETAVE,0.27542044433862767,0.0,0.0,9,5.377714390872286
CSO-13-6B-LFMIES,0.04292696527764317,0.0,0.0,8,5.145220911811301
CSO-13-6B-LJMAHU,0.37489574439159146,0.0,0.0,8,5.4771896909252495
CSO-13-7A-CAPAMU,0.12761885321719824,0.0,0.0,7,5.229912799750856
CSO-13-7A-CDDITR,0.0624327741141153,0.0,0.0,2,5.164726720647773
CSO-13-7A-JJATFL,-0.17434607203973052,0.0,0.0,7,4.927947874493928
CSO-13-7A-KRAMA,0.11228095225176737,0.0,0.0,6,5.2145748987854255
CSO-13-7A-RXCHLU,0.39332972803738464,0.0,0.0,1,5.495623674571043
CSO-13-7A-YAMEZA,-0.07257876375725036,0.0,0.0,3,5.029715182776408
CSO-13-8A-KIGAGU,0.04654709097134724,0.0,0.0,2,5.148841037505005
CSO-13-8A-MBUAN,-0.28650447284944747,0.0,0.0,3,4.815789473684211
CSO-13-8A-MGAAN,-0.19497994905572646,0.0,0.0,9,4.907313997477932
CSO-13-8A-MGAHE,0.30955246573268713,0.0,0.0,12,5.411846412266345
CSO-13-8A-MJAGA,0.2624728656015751,0.0,0.0,2,5.364766812135233
CSO-13-8A-VHODU,-0.030350331178594203,0.0,0.0,8,5.071943615355064
CSO-13-8B-FCJISA,-0.1314212519767528,0.0,0.0,5,4.970872694556905
CSO-13-8B-JEMABE,0.5596987462677641,0.0,0.0,6,5.661992692801422
CSO-13-9B-DMLLLU,-0.04109805740254657,0.0,0.0,10,5.0611958891311115
CSO-14-7B-EVEGO,-0.1239422613432195,0.0,0.0,1,4.978351685190439
CSO-14-8A-AQUMA,-0.1548665655344834,0.0,0.0,3,4.947427380999175
CSO-14-8A-SZARA,0.40125589797728445,0.0,0.0,12,5.5035498445109425
CSO-14-8B-JLLORA,-0.28650447284944747,0.0,0.0,13,4.815789473684211
CSO-14-9A-AEDCAGO,-0.11369745530558806,0.0,0.0,2,4.98859649122807
CSO-14-9A-HASACA,-0.25121372726526925,0.0,0.0,11,4.851080219268389
CSO-14-9A-JSMAAL,-0.14865272096260806,0.0,0.0,2,4.95364122557105
CSO-14-9A-MARJA,-0.28650447284944747,0.0,0.0,3,4.815789473684211
CSO-14-9A-SORZU,-0.024935538105640198,0.0,0.0,5,5.077358408428018
CSO-14-9B-ERAGA,-0.19688977057951185,0.0,0.0,1,4.905404175954146
CSO-14-9B-MFEGA,0.27111921479208156,0.0,0.0,11,5.37341316132574
CSO-15-10A-LJRAGU,0.17524707200459044,0.0,0.0,8,5.2775410185382485
