subject,l3_T2W30,z_pe_T2W30
CDMS-10-4A-JURAN,0.7563025210084033,0.6898990229792038
CDMS-10-5A-HEPIHO,0.7870370370370371,-0.6618912622566988
CDMS-10-5A-KSRAGU,1.101123595505618,-0.5498615396846375
CDMS-10-5A-SROPU,0.3125,0.1208361057158184
CDMS-10-5A-SZURO,0.0,-0.6277069245392357
CDMS-10-5B-SRAJA,2.8072289156626504,-0.2862144846535743
CDMS-10-5C-DAAUSA,2.744,-0.073826922838368
CDMS-10-5C-ICAPA,0.217391304347826,-0.660040201133925
CDMS-10-5C-JFALGI,0.5094339622641509,-0.692478849387197
CDMS-10-5C-NBEMO,0.3636363636363636,0.5047063449784603
CDMS-10-6B-ASCACO,0.7835051546391752,1.2701423352963863
CDMS-10-6B-JJMOBE,0.0,-0.916673035363786
CDMS-11-5A-EAARCA,0.9506172839506172,0.4981704950567723
CDMS-11-5A-MGTHAR,0.6629213483146067,-0.3832025880980644
CDMS-11-6A-DFVEBE,3.272727272727273,-0.2059885525946786
CDMS-11-6A-NMREPR,4.01123595505618,-0.6838476442191463
CDMS-11-6B-ARAHE,1.0333333333333334,-0.330928909980104
CDMS-11-6B-AVROTO,1.5365853658536586,-0.2861128607890437
CDMS-11-6B-EAFESA,0.0,-0.3359842567030173
CDMS-11-6B-EFRGR,0.4123711340206185,-0.3942494844714588
CDMS-11-6B-EROCO,1.7142857142857142,-0.3149821682972942
CDMS-11-6B-JACUPE,1.6666666666666667,-0.0825135945290477
CDMS-11-6B-JDCHBA,3.265432098765432,-0.7021411726623531
CDMS-11-6B-JFSAHE,0.5211267605633803,-0.0299087594855094
CDMS-11-6B-JLPENA,0.4431818181818182,-0.584096317333385
CDMS-11-6B-JMARME,0.5625,0.3279598191413307
CDMS-11-6B-JPSAMA,0.84375,0.0202420263316327
CDMS-11-6B-LESTA,0.6936936936936937,-0.2190040543150803
CDMS-11-6B-MEBRTA,0.4234234234234234,0.196749282461074
CDMS-11-6B-MMAMO,1.0913705583756346,-0.0775653666831948
CDMS-11-6B-RSECA,0.6229508196721312,0.2434111873954099
CDMS-11-6B-SCAPA,1.1607142857142858,-0.7063866498269755
CDMS-11-6B-VZAPE,0.5737704918032787,0.5143515924622737
CDMS-11-6B-YLNIME,0.71875,-0.1106499250717256
CDMS-11-7C-ICARE,1.608695652173913,0.8515524517847759
CDMS-11-7C-SALMA,0.2105263157894736,-0.4489750749122658
CDMS-11-7C-SPGAVE,1.1923076923076923,0.0432565563896763
CDMS-12-5A-SRIGO,1.0806451612903225,0.8853586242742425
CDMS-12-6A-FAROPA,0.7668711656441718,-0.6057166115569351
CDMS-12-6A-JGIGA,0.217391304347826,-0.4357437416856682
CDMS-12-6A-SROAL,1.469387755102041,-0.8858708719916498
CDMS-12-6B-IJDAGA,1.5609756097560976,0.8273492239244176
CDMS-12-6B-SCLAG,3.622950819672131,0.8283200029286132
CDMS-12-7C-ARAHE,0.0,1.551685569399334
